Date,Open,High,Low,Close,Adj Close,Volume
2017-01-10,10.35,10.35,9.9,9.9,9.9,300
2017-01-11,12.67,12.67,10.4,10.41,10.41,8600
2017-01-12,10.48,10.85,10.48,10.75,10.75,400
2017-01-13,10.74,10.74,10.01,10.49,10.49,8800
2017-01-17,10.56,10.56,10.4,10.49,10.49,15800
2017-01-18,10.74,11.79,10.5,10.9,10.9,8900
2017-01-19,10.6,10.89,10.4,10.49,10.49,8300
2017-01-20,10.51,10.65,10.46,10.46,10.46,3100
2017-01-23,10.8,11.85,10.47,10.5,10.5,4700
2017-01-24,10.5,10.8,10.49,10.8,10.8,8000
2017-01-25,10.8,10.8,10.49,10.49,10.49,5700
2017-01-26,10.73,10.73,10.49,10.5,10.5,2600
2017-01-27,10.5,10.73,10.49,10.5,10.5,4000
2017-01-30,10.7,10.7,10.32,10.49,10.49,4500
2017-01-31,10.65,10.65,10.54,10.54,10.54,2200
2017-02-01,11.07,11.07,10.87,10.99,10.99,5000
2017-02-02,10.87,11.2,10.87,11.05,11.05,3800
2017-02-03,11.04,11.09,10.99,11.0,11.0,5200
2017-02-06,11.3,11.3,11.02,11.19,11.19,400
2017-02-07,11.19,11.2,10.61,11.2,11.2,2100
2017-02-08,11.1,11.17,11.1,11.1,11.1,1300
2017-02-09,11.0,11.45,11.0,11.45,11.45,900
2017-02-10,11.45,11.99,11.1,11.21,11.21,1900
2017-02-13,11.95,12.0,11.89,11.992,11.992,2800
2017-02-14,12.08,12.28,11.88,12.233,12.233,14000
2017-02-15,12.84,16.17,12.33,14.5,14.5,51800
2017-02-16,16.0,16.969999,15.5,16.74,16.74,45800
2017-02-17,17.200001,24.209999,17.018,23.9,23.9,120400
2017-02-21,28.879999,28.879999,24.058001,27.700001,27.700001,98100
2017-02-22,28.18,28.700001,22.059999,22.4,22.4,100700
2017-02-23,21.450001,22.02,18.062,20.0,20.0,67700
2017-02-24,20.0,20.67,19.48,20.139999,20.139999,8500
2017-02-27,22.0,23.433001,20.305,20.577999,20.577999,12300
2017-02-28,20.9,20.9,19.336,20.400999,20.400999,12600
2017-03-01,19.6,19.986,18.625999,19.110001,19.110001,11200
2017-03-02,19.200001,19.75,17.51,17.610001,17.610001,20800
2017-03-03,17.5,17.5,16.959999,17.274,17.274,16400
2017-03-06,17.059999,19.165001,16.780001,17.5,17.5,7500
2017-03-07,18.482,18.482,17.1,17.962,17.962,2500
2017-03-08,17.98,17.98,17.125,17.256001,17.256001,3600
2017-03-09,17.0,17.879999,17.0,17.559999,17.559999,3600
2017-03-10,17.51,17.643999,17.51,17.51,17.51,2700
2017-03-13,17.25,17.285,17.25,17.285,17.285,1700
2017-03-14,17.002001,17.66,17.002001,17.66,17.66,600
2017-03-15,17.0,17.243,16.533001,16.65,16.65,2200
2017-03-16,16.68,17.870001,16.01,17.204,17.204,71100
2017-03-17,16.52,16.950001,15.01,16.950001,16.950001,21100
2017-03-20,15.29,17.32,15.29,16.23,16.23,1500
2017-03-21,17.15,17.15,15.531,16.548,16.548,1400
2017-03-22,16.84,16.84,16.01,16.285,16.285,400
2017-03-23,16.827,16.827,16.827,16.827,16.827,100
2017-03-24,16.309999,18.24,16.1,16.68,16.68,61900
2017-03-27,17.99,17.99,15.34,15.8,15.8,27800
2017-03-28,16.040001,16.5,15.53,15.53,15.53,18800
2017-03-29,16.5,16.5,15.714,15.75,15.75,8000
2017-03-30,15.79,15.79,14.68,14.956,14.956,15600
2017-03-31,15.05,15.05,12.25,13.49,13.49,49100
2017-04-03,13.65,13.65,12.5,13.32,13.32,9400
2017-04-04,12.65,13.44,12.65,12.77,12.77,5000
