Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,61.580002,62.299999,60.619999,61.700001,48.275017,1185000
2013-07-17,61.759998,63.23,61.759998,63.119999,49.386051,1172000
2013-07-18,63.259998,63.549999,62.549999,62.98,49.276516,880900
2013-07-19,63.16,63.169998,61.630001,61.700001,48.275017,900400
2013-07-22,61.91,63.209999,61.700001,63.209999,49.45647,723000
2013-07-23,63.639999,64.440002,63.169998,64.209999,50.238869,659000
2013-07-24,64.400002,64.489998,63.75,63.77,49.894619,652600
2013-07-25,63.77,65.150002,63.25,65.150002,50.97435,563500
2013-07-26,64.760002,65.300003,64.239998,65.019997,50.872635,334100
2013-07-29,66.010002,66.919998,65.599998,65.900002,51.561172,551800
2013-07-30,66.139999,66.139999,64.449997,64.709999,50.630089,1013000
2013-07-31,64.690002,67.410004,64.690002,67.199997,52.578308,1156000
2013-08-01,70.019997,72.190002,68.050003,71.110001,55.63755,1542400
2013-08-02,69.160004,70.870003,69.160004,70.519997,55.175926,478000
2013-08-05,70.260002,70.470001,69.919998,70.459999,55.128986,375000
2013-08-06,70.169998,70.410004,68.279999,68.419998,53.532845,881700
2013-08-07,68.290001,68.75,67.489998,67.760002,53.016457,514600
2013-08-08,67.980003,68.029999,66.970001,66.989998,52.414001,680600
2013-08-09,66.970001,67.150002,65.75,65.959999,51.608135,665200
2013-08-12,65.949997,66.290001,65.57,65.809998,51.490742,811500
2013-08-13,65.82,66.269997,64.889999,64.910004,50.786572,681800
2013-08-14,65.0,65.970001,64.699997,65.620003,51.342087,969300
2013-08-15,65.25,65.459999,63.349998,64.129997,50.176281,989500
2013-08-16,64.059998,64.5,63.0,63.540001,49.714661,651500
2013-08-19,63.130001,64.18,63.130001,63.43,49.628601,480800
2013-08-20,63.669998,63.740002,62.889999,62.91,49.221752,808700
2013-08-21,62.869999,63.369999,62.529999,62.549999,48.940071,847100
2013-08-22,62.759998,63.200001,62.509998,63.119999,49.386051,455700
2013-08-23,63.330002,64.269997,63.02,63.59,49.753773,451200
