Date,Open,High,Low,Close,Adj Close,Volume
2023-04-04,8.53,9.38,7.01,7.55,7.55,673300
2023-04-05,7.34,7.4,6.85,7.0,7.0,262700
2023-04-06,7.0,7.11,7.0,7.08,7.08,36000
2023-04-10,7.04,7.05,6.95,6.996,6.996,37700
2023-04-11,7.05,7.4,6.95,7.36,7.36,77800
2023-04-12,7.29,7.52,7.131,7.52,7.52,53400
2023-04-13,7.52,8.18,7.52,7.68,7.68,180600
2023-04-14,7.76,7.76,7.39,7.48,7.48,13900
2023-04-17,7.36,7.6,7.23,7.6,7.6,17800
2023-04-18,7.6,7.8,7.501,7.61,7.61,60100
2023-04-19,7.59,8.2,7.5,7.91,7.91,77600
2023-04-20,7.84,8.29,7.62,8.2,8.2,55100
2023-04-21,8.3,8.5,8.19,8.4,8.4,27800
2023-04-24,8.39,8.54,8.11,8.42,8.42,25200
2023-04-25,8.0,8.145,7.75,7.89,7.89,19300
2023-04-26,7.714,8.33,7.7,8.2,8.2,62900
2023-04-27,8.29,8.39,8.09,8.34,8.34,52900
2023-04-28,8.34,9.795,8.17,8.96,8.96,70200
2023-05-01,8.92,8.96,8.44,8.69,8.69,33600
2023-05-02,8.62,8.82,8.585,8.82,8.82,18900
2023-05-03,8.84,8.84,8.423,8.84,8.84,97600
2023-05-04,8.71,8.99,8.43,8.8,8.8,15100
2023-05-05,8.8,8.98,8.79,8.98,8.98,13900
2023-05-08,8.85,9.415,8.8,9.39,9.39,36500
2023-05-09,9.3,9.38,9.07,9.3,9.3,39800
2023-05-10,9.26,9.26,9.005,9.2,9.2,43600
2023-05-11,9.2,9.2,8.808,9.1,9.1,30200
2023-05-12,9.13,9.13,8.7,9.0,9.0,24000
2023-05-15,8.88,8.98,8.8,8.81,8.81,26000
2023-05-16,8.8,8.8,8.342,8.65,8.65,48400
2023-05-17,8.75,8.75,7.77,7.94,7.94,45300
2023-05-18,7.94,8.9,7.44,8.9,8.9,127400
2023-05-19,8.45,8.95,8.15,8.85,8.85,19400
2023-05-22,8.95,8.95,7.6,7.6,7.6,43000
2023-05-23,7.645,7.94,7.33,7.45,7.45,117400
2023-05-24,7.45,7.9,7.42,7.42,7.42,9900
2023-05-25,7.61,7.97,7.43,7.43,7.43,15100
2023-05-26,8.01,8.01,7.35,7.43,7.43,22400
2023-05-30,7.57,7.77,7.38,7.38,7.38,14700
2023-05-31,7.414,7.97,7.392,7.49,7.49,12600
2023-06-01,7.78,8.7,7.76,8.37,8.37,35200
2023-06-02,8.69,8.88,8.38,8.39,8.39,41900
2023-06-05,8.38,8.4,7.5,7.52,7.52,48200
2023-06-06,8.05,8.3,7.72,8.25,8.25,15400
2023-06-07,8.29,8.3,7.85,7.86,7.86,16400
2023-06-08,7.91,8.2,7.6,7.6,7.6,17700
2023-06-09,7.67,8.34,7.65,7.7,7.7,21100
2023-06-12,7.77,8.25,7.7,7.7,7.7,40300
2023-06-13,7.75,7.89,7.41,7.47,7.47,104200
2023-06-14,7.5,7.9,7.36,7.36,7.36,34300
2023-06-15,7.8,7.8,7.36,7.44,7.44,18800
2023-06-16,7.43,7.8,7.33,7.43,7.43,17500
2023-06-20,7.79,7.79,7.44,7.79,7.79,24700
2023-06-21,7.57,8.01,7.45,7.68,7.68,23600
2023-06-22,7.56,7.86,7.45,7.51,7.51,38800
2023-06-23,7.61,7.72,7.0,7.0,7.0,287700
2023-06-26,7.22,7.903,7.2,7.78,7.78,67200
2023-06-27,8.45,10.35,8.4,9.02,9.02,549000
2023-06-28,9.2,9.998,8.81,9.13,9.13,198500
2023-06-29,9.1,10.51,8.81,9.9,9.9,163000
2023-06-30,9.59,10.43,8.9,9.12,9.12,191000
2023-07-03,9.12,10.31,9.12,9.99,9.99,106100
2023-07-05,9.99,10.26,9.61,9.85,9.85,75100
2023-07-06,9.82,11.42,9.82,10.01,10.01,363200
2023-07-07,10.2,10.8,9.55,9.72,9.72,84400
2023-07-10,9.66,10.2,9.56,9.88,9.88,106900
2023-07-11,9.85,9.995,9.21,9.46,9.46,83300
2023-07-12,9.99,9.99,9.17,9.35,9.35,37600
2023-07-13,9.5,9.69,9.4367,9.399,9.399,40025
