Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,0.42,0.42,0.42,0.42,0.42,0
2013-07-17,0.38,0.425,0.38,0.425,0.425,41600
2013-07-18,0.425,0.425,0.425,0.425,0.425,0
2013-07-19,0.425,0.425,0.425,0.425,0.425,0
2013-07-22,0.38,0.435,0.37,0.435,0.435,22100
2013-07-23,0.435,0.435,0.435,0.435,0.435,1300
2013-07-24,0.42,0.42,0.38,0.38,0.38,800
2013-07-25,0.38,0.38,0.38,0.38,0.38,0
2013-07-26,0.38,0.38,0.38,0.38,0.38,0
2013-07-29,0.38,0.38,0.38,0.38,0.38,0
2013-07-30,0.38,0.38,0.38,0.38,0.38,0
2013-07-31,0.38,0.38,0.38,0.38,0.38,0
2013-08-01,0.42,0.42,0.4,0.4,0.4,8000
2013-08-02,0.4,0.4,0.4,0.4,0.4,0
2013-08-05,0.4,0.4,0.4,0.4,0.4,200
2013-08-06,0.405,0.405,0.405,0.405,0.405,200
2013-08-07,0.405,0.405,0.405,0.405,0.405,0
2013-08-08,0.435,0.435,0.435,0.435,0.435,4500
2013-08-09,0.435,0.435,0.435,0.435,0.435,0
2013-08-12,0.435,0.45,0.43,0.45,0.45,5100
2013-08-13,0.45,0.45,0.45,0.45,0.45,2500
2013-08-14,0.45,0.45,0.42,0.42,0.42,3600
2013-08-15,0.45,0.45,0.45,0.45,0.45,2500
2013-08-16,0.45,0.45,0.45,0.45,0.45,0
2013-08-19,0.45,0.45,0.45,0.45,0.45,0
2013-08-20,0.44,0.44,0.44,0.44,0.44,300
2013-08-21,0.44,0.44,0.44,0.44,0.44,0
2013-08-22,0.44,0.44,0.44,0.44,0.44,0
2013-08-23,0.44,0.44,0.44,0.44,0.44,0
2013-08-26,0.44,0.44,0.44,0.44,0.44,0
2013-08-27,0.44,0.465,0.44,0.465,0.465,51500
2013-08-28,0.46,0.46,0.45,0.45,0.45,9000
2013-08-29,0.41,0.4699,0.41,0.4699,0.4699,6200
2013-08-30,0.4699,0.4699,0.4699,0.4699,0.4699,0
2013-09-03,0.48,0.633,0.48,0.61,0.61,75000
2013-09-04,0.647,0.845,0.647,0.75,0.75,87000
2013-09-05,0.8,0.93,0.799,0.91,0.91,142800
2013-09-06,0.91,0.933,0.81,0.9,0.9,19200
2013-09-09,0.7,0.933,0.7,0.85,0.85,21700
2013-09-10,0.8,0.88,0.8,0.8,0.8,6100
2013-09-11,0.85,0.93,0.85,0.93,0.93,38000
2013-09-12,0.76,0.93,0.76,0.9,0.9,3200
2013-09-13,0.9,0.98,0.9,0.97,0.97,24200
2013-09-16,0.969,1.01,0.921,1.0,1.0,14900
2013-09-17,1.0,1.21,1.0,1.09,1.09,23800
