Date,Open,High,Low,Close,Adj Close,Volume
2014-10-03,16.0,16.25,16.0,16.200001,16.200001,1656500
2014-10-06,16.451,17.0,16.299999,17.0,17.0,2066900
2014-10-07,16.795,17.0,16.1,16.799999,16.799999,123000
2014-10-08,15.65,17.0,15.65,16.25,16.25,31600
2014-10-09,16.799999,17.049999,16.25,16.25,16.25,43600
2014-10-10,15.95,16.950001,15.75,16.280001,16.280001,3600
2014-10-13,15.4,17.0,15.4,16.549999,16.549999,7100
2014-10-14,15.8,16.25,15.67,16.25,16.25,5900
2014-10-15,15.5,16.0,15.5,15.56,15.56,5300
2014-10-16,15.45,15.95,15.4,15.45,15.45,5600
2014-10-17,15.05,15.8,15.05,15.21,15.21,11000
2014-10-20,15.8,16.299999,15.8,16.299999,16.299999,4500
2014-10-21,16.1,16.299999,16.0,16.201,16.201,4500
2014-10-22,16.15,16.6,16.1,16.6,16.6,232500
2014-10-23,16.15,16.4,15.9,16.379999,16.379999,6200
2014-10-24,16.549999,16.6,16.0,16.0,16.0,14300
2014-10-27,16.299999,16.799999,16.299999,16.75,16.75,10600
2014-10-28,16.620001,16.950001,16.35,16.733,16.733,1950000
2014-10-29,17.0,17.0,16.6,16.790001,16.790001,1740600
2014-10-30,16.84,17.35,16.84,16.950001,16.950001,513300
2014-10-31,17.75,17.75,17.0,17.25,17.25,20600
2014-11-03,17.25,18.0,16.75,17.120001,17.120001,51300
2014-11-04,17.65,17.65,17.0,17.6,17.6,281100
2014-11-05,17.25,17.75,17.25,17.25,17.25,11000
2014-11-06,16.92,17.35,16.85,17.1,17.1,13900
2014-11-07,16.799999,17.4,16.799999,16.85,16.85,32200
2014-11-10,16.76,17.51,16.709999,16.799999,16.799999,12700
2014-11-11,17.4,17.4,16.950001,17.1,17.1,13100
2014-11-12,17.299999,17.35,16.75,16.85,16.85,22700
2014-11-13,16.85,17.25,16.85,17.073,17.073,14700
2014-11-14,17.059999,17.07,16.75,16.785,16.785,18700
2014-11-17,16.5,16.700001,16.5,16.555,16.555,25100
2014-11-18,16.5,16.52,16.43,16.51,16.51,33900
2014-11-19,16.525,16.620001,16.41,16.540001,16.540001,20700
2014-11-20,16.469999,16.58,16.469999,16.5,16.5,25600
2014-11-21,16.899,16.9,16.75,16.870001,16.870001,74200
2014-11-24,16.809999,16.83,16.799999,16.809999,16.809999,21100
2014-11-25,16.59,16.6,16.52,16.57,16.57,33600
2014-11-26,16.190001,16.26,16.121,16.190001,16.190001,19700
2014-11-28,16.059999,16.290001,15.96,16.145,16.145,29400
2014-12-01,16.129999,16.190001,16.0,16.139999,16.139999,59600
2014-12-02,15.85,15.85,15.54,15.55,15.55,54800
2014-12-03,15.39,15.54,15.37,15.4,15.4,79100
2014-12-04,15.19,15.33,15.19,15.22,15.22,173300
2014-12-05,14.92,15.111,14.92,15.03,15.03,111600
2014-12-08,14.96,15.1,14.96,15.005,15.005,111800
2014-12-09,15.02,15.317,15.02,15.25,15.25,384400
2014-12-10,15.09,15.25,15.08,15.145,15.145,428000
2014-12-11,15.24,15.24,14.94,15.04,15.04,792000
2014-12-12,14.78,14.78,14.45,14.465,14.465,966900
2014-12-15,14.43,14.442,14.29,14.41,14.41,139400
2014-12-16,14.33,14.4,14.15,14.17,14.17,163200
2014-12-17,13.3,13.49,12.83,13.03,13.03,1407700
2014-12-18,13.74,13.9,13.61,13.76,13.76,786200
2014-12-19,14.16,14.36,14.16,14.215,14.215,90900
2014-12-22,14.39,14.39,14.15,14.15,14.15,49900
2014-12-23,14.07,14.34,13.95,14.02,14.02,191300
2014-12-24,13.99,14.07,13.99,14.035,14.035,34600
2014-12-26,14.113,14.2,14.07,14.11,14.11,74100
2014-12-29,13.86,14.0,13.77,13.775,13.775,201500
2014-12-30,13.76,13.86,13.597,13.71,13.71,122500
2014-12-31,13.58,13.85,13.58,13.73,13.73,154800
2015-01-02,13.66,13.86,13.61,13.67,13.67,54000
2015-01-05,13.46,13.5,13.18,13.255,13.255,103600
2015-01-06,13.18,13.23,12.98,13.07,13.07,104700
2015-01-07,13.15,13.15,13.08,13.08,13.08,39500
2015-01-08,13.3,13.3,13.19,13.3,13.3,41600
2015-01-09,13.26,13.53,13.26,13.34,13.34,75100
2015-01-12,13.425,13.459,13.11,13.375,13.375,133500
2015-01-13,13.45,13.72,13.45,13.6,13.6,92300
2015-01-14,13.21,13.34,13.14,13.23,13.23,148000
2015-01-15,13.15,13.34,13.15,13.31,13.31,59200
2015-01-16,13.41,13.69,13.41,13.53,13.53,100500
2015-01-20,13.85,13.85,13.67,13.813,13.813,118600
2015-01-21,13.81,14.02,13.81,13.958,13.958,98400
2015-01-22,14.23,14.4,14.17,14.32,14.32,907300
2015-01-23,13.98,14.254,13.98,14.205,14.205,343100
2015-01-26,14.1,14.26,14.1,14.14,14.14,111400
2015-01-27,13.976,14.13,13.97,14.03,14.03,74800
2015-01-28,14.0,14.2,14.0,14.09,14.09,481700
2015-01-29,13.85,13.85,13.61,13.74,13.74,85200
2015-01-30,13.8,13.8,13.6,13.73,13.73,63400
2015-02-02,13.62,13.76,13.62,13.76,13.76,76400
2015-02-03,13.681,13.82,13.681,13.82,13.82,58700
2015-02-04,14.25,14.46,14.25,14.43,14.43,58400
2015-02-05,14.46,14.78,14.46,14.78,14.78,66800
2015-02-06,14.26,14.41,14.24,14.31,14.31,73600
2015-02-09,14.298,14.592,14.27,14.42,14.42,84100
2015-02-10,14.65,14.86,14.65,14.86,14.86,62300
2015-02-11,14.8,14.85,14.77,14.84,14.84,83200
2015-02-12,15.11,15.16,14.94,15.12,15.12,56800
2015-02-13,15.29,15.64,15.26,15.59,15.59,502300
2015-02-17,15.3,15.747,15.27,15.7,15.7,3251500
2015-02-18,15.55,15.67,15.5,15.58,15.58,1238800
2015-02-19,15.59,15.74,15.57,15.685,15.685,419800
2015-02-20,15.62,15.74,15.62,15.7,15.7,82800
2015-02-23,15.33,15.53,15.33,15.41,15.41,37600
2015-02-24,15.37,15.46,15.33,15.45,15.45,83700
2015-02-25,15.71,15.75,15.5,15.66,15.66,62900
2015-02-26,15.65,15.77,15.63,15.63,15.63,97500
2015-02-27,15.825,15.825,15.72,15.8,15.8,24900
2015-03-02,15.7,15.85,15.7,15.81,15.81,402200
2015-03-03,15.72,15.97,15.72,15.917,15.917,287200
2015-03-04,15.79,15.99,15.79,15.96,15.96,145900
2015-03-05,16.16,16.16,15.81,16.049999,16.049999,50000
2015-03-06,16.049999,16.209999,15.97,16.030001,16.030001,61800
2015-03-09,16.01,16.1,15.99,16.09,16.09,41100
2015-03-10,15.69,15.74,15.32,15.68,15.68,168200
2015-03-11,15.42,15.58,15.42,15.535,15.535,112300
2015-03-12,15.54,15.63,15.45,15.56,15.56,51100
2015-03-13,15.5,15.5,15.21,15.39,15.39,59900
2015-03-16,15.228,15.39,15.2,15.27,15.27,46500
2015-03-17,15.01,15.27,15.01,15.04,15.04,47600
2015-03-18,15.13,15.59,15.13,15.49,15.49,52900
2015-03-19,15.08,15.28,15.08,15.093,15.093,101600
2015-03-20,15.14,15.41,15.14,15.34,15.34,72500
2015-03-23,15.57,15.73,15.57,15.7,15.7,46500
2015-03-24,15.55,15.8,15.55,15.71,15.71,52900
2015-03-25,15.8,15.98,15.78,15.88,15.88,43400
2015-03-26,15.8,15.92,15.51,15.72,15.72,54200
2015-03-27,15.83,16.120001,15.83,16.065001,16.065001,34300
2015-03-30,16.165001,16.42,16.15,16.42,16.42,97100
2015-03-31,15.957,15.96,15.78,15.875,15.875,342200
2015-04-01,16.030001,16.15,15.97,16.094999,16.094999,163400
2015-04-02,16.190001,16.190001,16.030001,16.184999,16.184999,80300
2015-04-06,16.177,16.5,16.177,16.43,16.43,65300
2015-04-07,16.26,16.41,16.26,16.280001,16.280001,46300
2015-04-08,16.326,16.559999,16.299999,16.496,16.496,53000
2015-04-09,16.690001,17.0,16.690001,16.959999,16.959999,58500
2015-04-10,16.714001,16.969999,16.629999,16.84,16.84,53600
2015-04-13,16.799999,17.15,16.799999,17.07,17.07,109400
2015-04-14,17.1,17.1,16.959999,17.02,17.02,68100
2015-04-15,16.860001,17.15,16.860001,17.049999,17.049999,33300
2015-04-16,17.059999,17.35,17.059999,17.256001,17.256001,52600
