Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,5.94,6.1,5.94,6.1,4.612002,5700
2013-07-17,6.25,6.25,5.98,5.98,4.521275,2300
2013-07-18,6.21,6.25,6.21,6.25,4.725413,5200
2013-07-19,6.09,6.09,6.09,6.09,4.604443,4100
2013-07-22,6.13,6.25,6.04,6.25,4.725413,14000
2013-07-23,6.22,6.25,6.22,6.25,4.725413,3600
2013-07-24,6.05,6.05,6.02,6.02,4.551517,7900
2013-07-25,6.03,6.12,6.03,6.12,4.627123,9100
2013-07-26,6.06,6.07,6.02,6.06,4.581759,23500
2013-07-29,6.05,6.05,6.05,6.05,4.574199,100
2013-07-30,6.0,6.0,5.9,5.95,4.498592,72600
2013-07-31,5.94,5.94,5.65,5.78,4.370061,19200
2013-08-01,5.99,6.2,5.99,6.2,4.687609,57400
2013-08-02,6.05,6.2,5.92,6.15,4.649806,125700
2013-08-05,6.0,6.15,6.0,6.12,4.627123,139800
2013-08-06,6.12,6.14,6.1,6.14,4.642245,6800
2013-08-07,6.11,6.11,5.99,6.06,4.581759,14100
2013-08-08,6.03,6.39,6.03,6.39,4.831261,43700
2013-08-09,6.5,6.78,6.5,6.68,5.050521,10100
2013-08-12,6.74,6.74,6.5,6.5,4.914429,11000
2013-08-13,6.55,6.55,6.35,6.41,4.846383,15800
2013-08-14,6.5,6.5,6.41,6.47,4.891747,35900
2013-08-15,6.52,6.52,6.32,6.37,4.81614,33700
2013-08-16,6.33,6.43,6.33,6.43,4.861504,69200
2013-08-19,6.3,6.36,6.3,6.32,4.778337,98900
2013-08-20,6.35,6.35,6.31,6.31,4.770777,18300
2013-08-21,6.31,6.32,6.28,6.32,4.778337,6200
2013-08-22,6.32,6.32,6.32,6.32,4.778337,0
2013-08-23,6.14,6.25,6.1,6.2,4.687609,16600
2013-08-26,6.3,6.34,6.02,6.02,4.551517,15700
2013-08-27,5.98,6.03,5.91,6.03,4.559078,36300
2013-08-28,6.05,6.24,6.02,6.13,4.634685,33600
2013-08-29,6.25,6.25,6.25,6.25,4.725413,2000
2013-08-30,6.2,6.2,6.13,6.2,4.687609,6600
2013-09-03,6.24,6.35,6.24,6.35,4.801019,1500
2013-09-04,6.25,6.27,6.25,6.27,4.740533,10200
2013-09-05,6.35,6.5,6.35,6.5,4.914429,200
2013-09-06,6.5,6.5,6.5,6.5,4.914429,0
2013-09-09,6.78,6.91,6.78,6.81,5.148809,2600
2013-09-10,6.81,6.81,6.81,6.81,5.148809,400
2013-09-11,6.79,7.05,6.75,7.05,5.330266,7400
2013-09-12,6.99,6.99,6.86,6.87,5.194173,11000
2013-09-13,6.83,6.83,6.76,6.76,5.111006,13800
2013-09-16,6.77,6.77,6.62,6.62,5.005157,900
2013-09-17,6.69,6.88,6.69,6.88,5.201734,7100
2013-09-18,7.24,7.24,7.24,7.24,5.473917,1000
2013-09-19,7.34,7.34,7.34,7.34,5.549524,100
2013-09-20,6.9,6.94,6.77,6.94,5.247098,13700
2013-09-23,6.87,6.95,6.84,6.9,5.216855,13300
2013-09-24,6.97,7.1,6.95,7.05,5.330266,15800
2013-09-25,7.0,7.0,6.81,6.81,5.148809,44200
2013-09-26,6.87,6.87,6.79,6.79,5.133688,45000
2013-09-27,6.92,6.92,6.88,6.9,5.216855,2900
2013-09-30,7.0,7.0,7.0,7.0,5.292461,500
2013-10-01,7.0,7.0,6.8,6.8,5.141249,700
2013-10-02,6.85,6.85,6.85,6.85,5.179052,200
2013-10-03,6.95,6.95,6.95,6.95,5.254659,4900
2013-10-04,6.85,6.85,6.85,6.85,5.179052,200
2013-10-07,6.85,6.85,6.85,6.85,5.179052,0
2013-10-08,6.91,6.91,6.76,6.76,5.111006,25600
2013-10-09,6.88,6.96,6.88,6.96,5.262219,15000
2013-10-10,7.0,7.05,6.98,7.05,5.330266,5200
2013-10-11,7.16,7.45,7.16,7.4,5.594888,7700
2013-10-14,7.4,7.6,7.4,7.6,5.746102,9400
2013-10-15,7.57,7.67,7.52,7.52,5.685616,7400
2013-10-16,7.85,7.94,7.64,7.75,5.85951,11600
2013-10-17,7.54,7.6,7.52,7.6,5.746102,2600
2013-10-18,7.69,7.7,7.46,7.46,5.640252,9000
2013-10-21,7.57,7.57,7.43,7.43,5.61757,4900
2013-10-22,7.4,7.56,7.4,7.56,5.715859,600
2013-10-23,7.56,7.56,7.56,7.56,5.715859,0
2013-10-24,7.39,7.5,7.39,7.5,5.670495,5900
2013-10-25,7.5,7.5,7.5,7.5,5.670495,0
2013-10-28,7.42,7.54,7.42,7.54,5.700737,2100
2013-10-29,7.54,7.54,7.54,7.54,5.700737,0
2013-10-30,7.45,7.46,7.43,7.43,5.61757,22500
2013-10-31,7.37,7.42,7.26,7.26,5.489039,26700
2013-11-01,7.33,7.33,7.33,7.33,5.541963,100
2013-11-04,7.41,7.41,7.41,7.41,5.602449,5000
2013-11-05,7.41,7.41,7.41,7.41,5.602449,0
2013-11-06,7.16,7.26,7.16,7.26,5.489039,5300
2013-11-07,7.11,7.11,7.11,7.11,5.375629,200
2013-11-08,7.0,7.03,6.95,7.0,5.292461,5200
2013-11-11,7.1,7.1,6.97,6.97,5.26978,2000
2013-11-12,7.1,7.11,7.1,7.11,5.375629,1600
2013-11-13,6.96,7.14,6.96,7.08,5.352947,9400
2013-11-14,7.17,7.2,7.14,7.19,5.436114,22900
2013-11-15,7.14,7.28,7.14,7.28,5.504161,11900
2013-11-18,7.34,7.43,7.34,7.43,5.61757,2000
2013-11-19,7.3,7.38,7.3,7.38,5.579767,1200
2013-11-20,7.27,7.39,7.12,7.12,5.383189,5200
2013-11-21,7.12,7.12,7.12,7.12,5.383189,0
2013-11-22,7.19,7.26,7.17,7.26,5.489039,16800
2013-11-25,7.26,7.26,7.26,7.26,5.489039,0
2013-11-26,7.1,7.1,7.1,7.1,5.368068,1000
2013-11-27,7.1,7.1,7.1,7.1,5.368068,0
2013-11-29,7.25,7.25,7.25,7.25,5.481478,3300
2013-12-02,7.1,7.19,7.1,7.1,5.368068,7100
2013-12-03,7.0,7.0,6.79,6.89,5.209295,18900
2013-12-04,6.74,6.85,6.51,6.51,4.92199,14900
2013-12-05,6.56,6.84,6.56,6.84,5.171492,5000
2013-12-06,6.63,6.83,6.62,6.83,5.16393,19500
2013-12-09,6.84,7.0,6.84,6.9,5.216855,9400
2013-12-10,7.03,7.03,6.91,7.01,5.300023,3700
2013-12-11,6.84,6.84,6.66,6.76,5.111006,11600
2013-12-12,6.69,6.7,6.69,6.7,5.065642,8700
2013-12-13,6.8,6.8,6.76,6.76,5.111006,4100
