Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,20.42,21.040001,20.280001,20.719999,12.509957,55400
2013-07-17,20.860001,21.450001,20.73,20.77,12.540146,45100
2013-07-18,20.799999,21.200001,20.780001,20.92,12.630712,40100
2013-07-19,20.860001,20.959999,20.51,20.83,12.576372,57100
2013-07-22,20.82,21.07,20.700001,20.969999,12.6609,23100
2013-07-23,20.91,21.07,20.76,20.860001,12.594485,56400
2013-07-24,20.92,21.23,20.540001,20.91,12.624673,22400
2013-07-25,20.82,22.67,20.82,22.6,13.645033,25200
2013-07-26,22.49,22.66,21.52,21.82,13.174097,43300
2013-07-29,21.700001,22.35,21.190001,22.0,13.282772,21200
2013-07-30,22.129999,22.42,21.620001,21.620001,13.053347,19100
2013-07-31,21.620001,22.34,21.17,21.58,13.029193,32100
2013-08-01,21.709999,21.77,21.290001,21.42,12.93259,14900
2013-08-02,21.26,21.43,21.139999,21.33,12.878254,7700
2013-08-05,21.389999,21.9,20.879999,21.139999,12.763538,29600
2013-08-06,21.110001,21.6,20.85,21.16,12.775616,33400
2013-08-07,21.18,21.48,20.950001,20.959999,12.654862,13100
2013-08-08,21.08,21.360001,20.85,21.190001,12.793729,10100
2013-08-09,21.09,21.59,20.9,21.4,12.920518,29700
2013-08-12,21.450001,22.07,21.450001,21.98,13.2707,16100
2013-08-13,21.99,22.25,21.82,22.139999,13.367303,28300
2013-08-14,22.209999,22.360001,22.08,22.15,13.373338,21200
2013-08-15,22.0,22.1,21.01,21.059999,12.715236,24800
2013-08-16,20.93,21.0,20.690001,20.719999,12.509957,36600
2013-08-19,20.799999,21.120001,20.51,20.610001,12.443545,11700
2013-08-20,20.6,21.290001,20.6,20.99,12.672974,15300
2013-08-21,20.870001,21.370001,20.870001,21.040001,12.703164,14100
2013-08-22,21.43,22.15,21.27,21.91,13.228436,12300
2013-08-23,22.290001,26.290001,22.120001,22.23,13.421638,47500
2013-08-26,22.32,22.6,21.190001,21.290001,12.854103,21800
2013-08-27,21.16,21.25,20.879999,20.98,12.666935,34000
2013-08-28,21.049999,21.27,20.860001,21.049999,12.709201,39900
2013-08-29,21.0,21.639999,20.889999,21.639999,13.065421,15200
2013-08-30,21.690001,21.75,21.51,21.65,13.071456,21900
2013-09-03,21.940001,22.66,21.92,22.459999,13.560505,33400
