Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,82.709999,82.739998,81.900002,82.529999,71.437698,56600
2013-07-17,82.480003,82.639999,81.790001,82.629997,71.524292,37400
2013-07-18,82.970001,84.209999,82.610001,83.470001,72.251373,56700
2013-07-19,83.519997,84.25,83.120003,84.18,72.865959,42200
2013-07-22,83.889999,84.290001,83.690002,84.019997,72.727455,37600
2013-07-23,84.339996,84.339996,83.279999,83.589996,72.355232,46000
2013-07-24,83.720001,84.480003,80.400002,82.029999,71.004929,93900
2013-07-25,82.010002,83.459999,81.879997,83.129997,71.957047,27200
2013-07-26,82.5,83.309998,81.800003,82.620003,71.515625,45400
2013-07-29,82.589996,83.080002,81.5,82.019997,70.996262,31800
2013-07-30,81.980003,81.980003,80.5,81.5,70.546127,23000
2013-07-31,81.550003,81.550003,79.68,79.68,68.970734,43100
2013-08-01,80.190002,80.949997,79.900002,80.769997,69.914268,49000
2013-08-02,80.339996,81.279999,79.730003,80.5,69.680557,44200
2013-08-05,80.230003,81.800003,80.230003,81.760002,70.771179,34500
2013-08-06,81.5,81.709999,81.019997,81.169998,70.26049,24600
2013-08-07,80.949997,81.760002,80.050003,80.099998,69.334305,29300
2013-08-08,80.400002,81.089996,79.519997,79.730003,69.014046,39400
2013-08-09,79.779999,80.5,79.589996,79.949997,69.204475,11600
2013-08-12,79.599998,79.940002,78.669998,78.860001,68.260979,34900
2013-08-13,79.389999,79.93,78.730003,78.949997,68.33886,8600
2013-08-14,79.160004,79.290001,78.07,78.230003,67.715652,25100
2013-08-15,77.410004,77.410004,74.629997,75.150002,65.049583,54600
2013-08-16,74.870003,77.279999,74.870003,77.260002,66.87603,146600
2013-08-19,76.790001,77.559998,76.739998,76.970001,66.625023,27600
2013-08-20,77.260002,78.279999,76.889999,78.160004,67.65506,23200
2013-08-21,77.790001,78.139999,76.760002,77.25,66.867363,19300
2013-08-22,77.639999,80.0,77.25,78.900002,68.295601,26900
2013-08-23,78.739998,78.889999,78.279999,78.889999,68.286949,22800
2013-08-26,79.43,79.43,77.690002,78.099998,67.603104,71100
2013-08-27,77.290001,77.290001,75.889999,76.849998,66.521133,25100
2013-08-28,76.779999,77.059998,76.470001,76.860001,66.529778,28000
2013-08-29,76.800003,78.0,76.760002,77.620003,67.187622,21100
2013-08-30,77.330002,77.379997,76.330002,76.919998,66.581726,39200
2013-09-03,77.779999,77.849998,76.440002,76.879997,66.547104,21000
2013-09-04,77.040001,77.040001,75.360001,76.589996,66.296082,69700
2013-09-05,76.790001,77.160004,76.059998,76.239998,65.993134,11900
2013-09-06,76.449997,76.449997,74.720001,75.790001,65.603607,14900
2013-09-09,76.220001,76.529999,75.589996,76.309998,66.05368,21900
2013-09-10,76.82,76.82,75.410004,76.449997,66.174866,53800
2013-09-11,76.269997,77.580002,76.269997,77.360001,66.962578,20400
2013-09-12,77.769997,78.150002,77.440002,77.5,67.222771,23300
2013-09-13,77.900002,78.400002,77.5,78.230003,67.85598,12300
2013-09-16,78.800003,78.870003,77.860001,78.010002,67.665169,23300
2013-09-17,78.25,79.519997,78.25,79.449997,68.914215,32700
2013-09-18,79.43,80.5,79.080002,80.330002,69.677513,32200
2013-09-19,80.57,80.790001,79.489998,80.029999,69.417259,22000
2013-09-20,79.830002,80.860001,79.309998,80.300003,69.651512,113500
2013-09-23,80.690002,80.75,80.099998,80.660004,69.963753,18100
2013-09-24,80.959999,81.440002,79.5,81.279999,70.501541,38000
2013-09-25,81.389999,81.730003,80.330002,80.510002,69.833664,44200
2013-09-26,80.519997,81.639999,80.190002,81.610001,70.787773,32600
2013-09-27,81.099998,81.220001,80.529999,80.790001,70.076523,32600
2013-09-30,79.82,80.879997,79.290001,80.720001,70.015793,51600
2013-10-01,80.459999,81.029999,78.68,80.699997,69.998428,75000
2013-10-02,80.230003,80.529999,79.690002,80.07,69.452011,37200
2013-10-03,79.790001,80.389999,78.129997,79.449997,68.914215,50200
2013-10-04,79.440002,80.540001,78.269997,79.629997,69.070351,29700
2013-10-07,79.199997,79.970001,78.620003,79.32,68.801453,26800
2013-10-08,79.559998,80.040001,78.709999,79.190002,68.688675,49000
2013-10-09,79.209999,80.099998,78.949997,79.360001,68.836128,38800
2013-10-10,80.43,81.190002,79.580002,80.0,69.391266,60900
2013-10-11,79.459999,82.0,79.459999,82.0,71.126053,30500
2013-10-14,81.389999,82.779999,81.110001,82.739998,71.767891,26400
2013-10-15,82.779999,83.629997,81.739998,83.040001,72.02816,45600
2013-10-16,83.800003,85.18,82.699997,84.589996,73.37262,30100
2013-10-17,84.07,85.139999,83.790001,84.610001,73.389954,49600
2013-10-18,85.300003,85.449997,84.0,84.730003,73.494019,152000
2013-10-21,84.57,84.919998,84.209999,84.300003,73.121033,34000
2013-10-22,84.800003,86.019997,84.529999,85.800003,74.42215,21600
