Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,23.190001,23.290001,22.93,23.290001,14.548403,8600
2013-07-17,23.42,23.42,23.040001,23.290001,14.548403,11300
2013-07-18,23.84,24.07,23.84,24.040001,15.016896,11200
2013-07-19,24.15,24.389999,24.120001,24.379999,15.229286,9500
2013-07-22,24.52,24.67,24.4,24.639999,15.391696,13400
2013-07-23,24.440001,24.700001,24.440001,24.59,15.360466,24600
2013-07-24,24.459999,24.459999,24.23,24.27,15.160571,79600
2013-07-25,24.299999,24.49,24.26,24.49,15.297997,4900
2013-07-26,24.290001,24.360001,24.18,24.360001,15.216791,14000
2013-07-29,23.860001,23.98,23.74,23.969999,14.973175,8800
2013-07-30,23.940001,24.01,23.74,23.93,14.948187,29200
2013-07-31,23.93,24.139999,23.84,24.1,15.05438,11300
2013-08-01,24.049999,24.08,23.799999,23.98,14.979421,4900
2013-08-02,24.059999,24.24,24.0,24.18,15.104352,11700
2013-08-05,24.139999,24.32,24.110001,24.32,15.191804,5400
2013-08-06,24.24,24.26,24.049999,24.18,15.104352,13100
2013-08-07,24.07,24.129999,23.879999,24.1,15.05438,8700
2013-08-08,24.48,24.549999,24.4,24.549999,15.335479,1900
2013-08-09,24.34,24.73,24.34,24.709999,15.435422,9900
2013-08-12,24.389999,24.389999,24.280001,24.370001,15.223039,11300
2013-08-13,24.120001,24.389999,24.120001,24.370001,15.223039,8300
2013-08-14,24.35,24.42,24.25,24.42,15.254271,8400
2013-08-15,23.940001,24.299999,23.780001,24.299999,15.179311,14700
2013-08-16,24.059999,24.139999,24.02,24.139999,15.079365,4700
2013-08-19,24.27,24.5,24.15,24.49,15.297997,12700
2013-08-20,24.219999,24.49,24.219999,24.35,15.210545,9600
2013-08-21,24.35,24.49,24.309999,24.48,15.29175,6900
2013-08-22,24.26,24.450001,24.059999,24.450001,15.27301,29500
2013-08-23,24.57,25.0,24.57,25.0,15.616575,13600
2013-08-26,25.059999,25.219999,24.91,24.91,15.560357,24000
2013-08-27,24.92,25.0,24.75,24.76,15.466658,5300
2013-08-28,24.559999,24.610001,24.389999,24.469999,15.285503,9200
2013-08-29,24.219999,24.4,24.16,24.209999,15.123095,10400
2013-08-30,24.049999,24.07,23.9,24.0,14.991912,1900
2013-09-03,24.18,24.190001,24.09,24.190001,15.1106,1800
2013-09-04,24.129999,24.51,24.129999,24.450001,15.27301,7100
2013-09-05,24.48,24.49,24.309999,24.4,15.241778,7600
2013-09-06,24.879999,24.879999,24.450001,24.75,15.46041,7400
2013-09-09,24.85,24.889999,24.77,24.809999,15.49789,4500
2013-09-10,25.08,25.27,25.08,25.200001,15.741509,110300
2013-09-11,25.23,25.360001,25.120001,25.25,15.772742,3400
2013-09-12,25.49,25.58,25.41,25.41,15.872684,5000
2013-09-13,25.48,25.5,25.32,25.34,15.82896,13000
2013-09-16,25.65,25.65,25.34,25.450001,15.897676,3600
2013-09-17,25.290001,25.34,25.139999,25.34,15.82896,4800
2013-09-18,25.209999,25.49,25.0,25.48,15.916412,8500
2013-09-19,25.43,25.440001,25.15,25.18,15.729017,11800
2013-09-20,25.51,25.709999,25.450001,25.459999,15.903924,9700
2013-09-23,25.620001,25.66,25.26,25.459999,15.903924,15300
2013-09-24,25.76,25.799999,25.549999,25.65,16.022606,25900
2013-09-25,25.51,25.58,25.42,25.549999,15.960139,15900
2013-09-26,25.719999,25.870001,25.57,25.690001,16.047598,17500
2013-09-27,25.57,25.700001,25.51,25.700001,16.053843,14900
2013-09-30,25.41,25.57,25.4,25.52,15.941401,7700
2013-10-01,25.360001,25.440001,25.309999,25.309999,15.810221,10900
2013-10-02,25.209999,25.219999,25.08,25.18,15.729017,4400
2013-10-03,25.360001,25.370001,25.209999,25.35,15.835209,12600
2013-10-04,25.18,25.299999,25.129999,25.209999,15.747755,4100
2013-10-07,25.040001,25.129999,25.040001,25.110001,15.685288,5100
2013-10-08,25.049999,25.049999,24.77,24.870001,15.535371,11500
2013-10-09,24.639999,24.799999,24.51,24.76,15.466658,8300
2013-10-10,24.92,25.120001,24.879999,25.120001,15.691536,14000
2013-10-11,25.0,25.059999,24.9,25.059999,15.654054,8800
2013-10-14,25.129999,25.280001,25.120001,25.280001,15.791479,11200
