Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,0.63,0.71,0.62,0.709,0.709,596800
2013-07-17,0.71,0.72,0.69,0.72,0.72,251200
2013-07-18,0.72,0.72,0.68,0.7,0.7,209900
2013-07-19,0.7,0.7,0.68,0.7,0.7,87600
2013-07-22,0.7,0.7,0.68,0.681,0.681,50000
2013-07-23,0.7,0.72,0.67,0.715,0.715,147400
2013-07-24,0.72,0.73,0.69,0.72,0.72,172000
2013-07-25,0.701,0.75,0.701,0.74,0.74,171400
2013-07-26,0.72,0.77,0.72,0.76,0.76,212500
2013-07-29,0.77,0.87,0.745,0.86,0.86,559300
2013-07-30,0.88,0.91,0.845,0.845,0.845,811300
2013-07-31,0.848,0.88,0.83,0.88,0.88,279600
2013-08-01,0.9,0.9,0.85,0.88,0.88,196600
2013-08-02,0.88,0.895,0.85,0.875,0.875,165600
2013-08-05,0.86,0.885,0.8,0.85,0.85,188200
2013-08-06,0.85,0.85,0.79,0.81,0.81,199100
2013-08-07,0.81,0.83,0.81,0.83,0.83,105600
2013-08-08,0.811,0.841,0.78,0.83,0.83,169500
2013-08-09,0.83,0.85,0.65,0.73,0.73,793000
2013-08-12,0.72,0.8,0.66,0.7,0.7,252400
2013-08-13,0.75,0.8,0.67,0.709,0.709,163500
2013-08-14,0.709,0.71,0.66,0.67,0.67,118300
2013-08-15,0.66,0.69,0.61,0.625,0.625,517300
2013-08-16,0.63,0.675,0.63,0.67,0.67,168900
2013-08-19,0.67,0.675,0.636,0.655,0.655,67200
2013-08-20,0.655,0.73,0.65,0.73,0.73,178900
2013-08-21,0.73,0.77,0.7,0.77,0.77,342800
2013-08-22,0.77,0.78,0.73,0.75,0.75,144000
2013-08-23,0.77,0.77,0.735,0.77,0.77,65700
2013-08-26,0.77,0.77,0.72,0.77,0.77,107000
2013-08-27,0.74,0.76,0.74,0.74,0.74,46100
2013-08-28,0.74,0.75,0.725,0.75,0.75,34600
2013-08-29,0.75,0.8,0.745,0.77,0.77,178000
2013-08-30,0.77,0.79,0.74,0.75,0.75,78500
2013-09-03,0.75,0.76,0.72,0.73,0.73,81600
2013-09-04,0.73,0.74,0.705,0.705,0.705,32100
2013-09-05,0.73,0.73,0.7,0.72,0.72,34800
2013-09-06,0.71,0.755,0.7,0.73,0.73,82300
2013-09-09,0.73,0.73,0.71,0.72,0.72,41500
2013-09-10,0.738,0.745,0.69,0.7,0.7,89600
2013-09-11,0.686,0.71,0.686,0.71,0.71,79100
2013-09-12,0.73,0.73,0.65,0.672,0.672,79700
2013-09-13,0.68,0.7,0.65,0.66,0.66,156300
2013-09-16,0.66,0.7,0.65,0.68,0.68,107300
2013-09-17,0.68,0.74,0.68,0.71,0.71,108700
2013-09-18,0.725,0.725,0.68,0.68,0.68,113100
2013-09-19,0.68,0.72,0.68,0.69,0.69,65300
2013-09-20,0.68,0.71,0.66,0.71,0.71,160200
2013-09-23,0.71,0.71,0.67,0.685,0.685,59900
2013-09-24,0.66,0.7,0.66,0.69,0.69,47000
2013-09-25,0.66,0.7,0.66,0.7,0.7,46500
2013-09-26,0.673,0.699,0.665,0.665,0.665,74300
2013-09-27,0.66,0.7,0.651,0.7,0.7,179500
2013-09-30,0.7,0.7,0.67,0.674,0.674,60300
2013-10-01,0.673,0.68,0.67,0.675,0.675,83000
2013-10-02,0.7,0.73,0.685,0.7,0.7,177500
2013-10-03,0.695,0.705,0.68,0.681,0.681,64600
2013-10-04,0.7,0.71,0.69,0.69,0.69,60300
2013-10-07,0.68,0.73,0.68,0.73,0.73,123700
2013-10-08,0.7,0.802,0.7,0.77,0.77,609800
2013-10-09,0.795,0.795,0.76,0.77,0.77,91500
2013-10-10,0.785,0.795,0.76,0.785,0.785,92600
2013-10-11,0.79,0.79,0.75,0.755,0.755,85200
2013-10-14,0.75,0.785,0.75,0.77,0.77,46100
2013-10-15,0.77,0.77,0.75,0.75,0.75,38800
2013-10-16,0.75,0.75,0.68,0.73,0.73,133500
2013-10-17,0.67,0.75,0.67,0.75,0.75,37400
2013-10-18,0.73,0.77,0.72,0.72,0.72,77700
2013-10-21,0.72,0.758,0.7,0.725,0.725,49000
2013-10-22,0.725,0.78,0.725,0.77,0.77,72400
2013-10-23,0.755,0.775,0.73,0.76,0.76,54400
2013-10-24,0.75,0.775,0.75,0.775,0.775,55700
2013-10-25,0.74,0.77,0.72,0.744,0.744,116800
2013-10-28,0.725,0.744,0.725,0.74,0.74,36500
2013-10-29,0.75,0.75,0.73,0.75,0.75,43000
2013-10-30,0.75,0.75,0.72,0.75,0.75,21500
2013-10-31,0.72,0.75,0.72,0.734,0.734,62800
2013-11-01,0.735,0.74,0.73,0.735,0.735,26500
2013-11-04,0.73,0.74,0.72,0.74,0.74,55200
2013-11-05,0.74,0.77,0.715,0.75,0.75,46100
2013-11-06,0.77,0.775,0.75,0.77,0.77,260700
2013-11-07,0.75,0.785,0.75,0.78,0.78,68800
2013-11-08,0.785,0.785,0.651,0.7,0.7,358400
2013-11-11,0.66,0.7,0.66,0.681,0.681,35700
2013-11-12,0.67,0.68,0.62,0.641,0.641,205300
2013-11-13,0.65,0.65,0.62,0.64,0.64,190000
2013-11-14,0.64,0.685,0.635,0.67,0.67,89800
2013-11-15,0.67,0.67,0.63,0.633,0.633,48600
2013-11-18,0.61,0.645,0.61,0.62,0.62,199200
2013-11-19,0.62,0.64,0.62,0.62,0.62,88200
2013-11-20,0.6,0.635,0.6,0.61,0.61,86500
2013-11-21,0.61,0.62,0.6,0.601,0.601,71000
2013-11-22,0.6,0.61,0.59,0.6,0.6,126000
2013-11-25,0.6,0.6,0.581,0.6,0.6,145000
2013-11-26,0.581,0.6,0.57,0.58,0.58,76600
2013-11-27,0.57,0.58,0.4,0.55,0.55,1071800
2013-11-29,0.53,0.55,0.5,0.53,0.53,69300
2013-12-02,0.52,0.55,0.501,0.52,0.52,158600
2013-12-03,0.501,0.53,0.452,0.475,0.475,225700
2013-12-04,0.45,0.49,0.45,0.49,0.49,149000
2013-12-05,0.53,0.53,0.47,0.48,0.48,106000
2013-12-06,0.44,0.48,0.4,0.47,0.47,81000
2013-12-09,0.47,0.48,0.401,0.44,0.44,244300
2013-12-10,0.44,0.475,0.42,0.45,0.45,77700
2013-12-11,0.45,0.48,0.45,0.45,0.45,119100
2013-12-12,0.411,0.48,0.41,0.47,0.47,160700
2013-12-13,0.46,0.47,0.44,0.46,0.46,70400
2013-12-16,0.42,0.47,0.42,0.45,0.45,197100
2013-12-17,0.42,0.45,0.42,0.43,0.43,192100
2013-12-18,0.42,0.44,0.41,0.42,0.42,143500
2013-12-19,0.41,0.433,0.41,0.42,0.42,96600
2013-12-20,0.43,0.49,0.42,0.47,0.47,301700
2013-12-23,0.458,0.475,0.42,0.44,0.44,234300
2013-12-24,0.405,0.5,0.405,0.47,0.47,168600
2013-12-26,0.452,0.49,0.452,0.48,0.48,107800
2013-12-27,0.47,0.48,0.45,0.47,0.47,85200
2013-12-30,0.47,0.48,0.46,0.46,0.46,204800
2013-12-31,0.446,0.486,0.44,0.48,0.48,149100
2014-01-02,0.5,0.5,0.45,0.48,0.48,88800
2014-01-03,0.6,0.6,0.471,0.51,0.51,130100
2014-01-06,0.53,0.53,0.479,0.505,0.505,210400
2014-01-07,0.51,0.51,0.47,0.51,0.51,42400
2014-01-08,0.5,0.51,0.49,0.5,0.5,63100
2014-01-09,0.502,0.506,0.49,0.49,0.49,44400
2014-01-10,0.45,0.51,0.45,0.493,0.493,29200
2014-01-13,0.49,0.52,0.49,0.51,0.51,120900
2014-01-14,0.505,0.525,0.505,0.52,0.52,52000
2014-01-15,0.515,0.53,0.511,0.515,0.515,123200
2014-01-16,0.515,0.53,0.511,0.511,0.511,43000
2014-01-17,0.511,0.525,0.511,0.52,0.52,74500
2014-01-21,0.525,0.57,0.515,0.56,0.56,153200
2014-01-22,0.56,0.58,0.56,0.58,0.58,66600
2014-01-23,0.618,0.66,0.58,0.63,0.63,306500
2014-01-24,0.62,0.65,0.59,0.62,0.62,185100
2014-01-27,0.595,0.61,0.59,0.605,0.605,53700
2014-01-28,0.605,0.615,0.593,0.6,0.6,30100
2014-01-29,0.595,0.62,0.595,0.595,0.595,120200
2014-01-30,0.61,0.61,0.575,0.58,0.58,35100
2014-01-31,0.575,0.58,0.56,0.57,0.57,43800
2014-02-03,0.56,0.571,0.52,0.55,0.55,200500
2014-02-04,0.54,0.565,0.54,0.55,0.55,113300
2014-02-05,0.54,0.56,0.54,0.55,0.55,29500
