Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,5.75,5.75,5.75,5.75,3.602167,500
2013-07-17,5.75,5.75,5.75,5.75,3.602167,0
2013-07-18,5.75,5.75,5.75,5.75,3.602167,0
2013-07-19,5.96,5.96,5.96,5.96,3.733725,200
2013-07-22,5.96,5.96,5.96,5.96,3.733725,0
2013-07-23,6.12,6.2,6.12,6.2,3.884075,4100
2013-07-24,6.2,6.2,6.2,6.2,3.884075,0
2013-07-25,6.2,6.2,6.2,6.2,3.884075,0
2013-07-26,6.13,6.13,6.13,6.13,3.840223,1100
2013-07-29,6.13,6.13,6.13,6.13,3.840223,0
2013-07-30,6.13,6.13,6.13,6.13,3.840223,0
2013-07-31,6.13,6.13,6.13,6.13,3.840223,0
2013-08-01,6.13,6.13,6.13,6.13,3.840223,0
2013-08-02,6.13,6.13,6.13,6.13,3.840223,0
2013-08-05,6.13,6.13,6.13,6.13,3.840223,0
2013-08-06,6.02,6.02,5.94,5.94,3.721195,7800
2013-08-07,5.94,5.94,5.94,5.94,3.721195,0
2013-08-08,5.94,5.94,5.94,5.94,3.721195,0
2013-08-09,6.06,6.06,6.06,6.06,3.796371,800
2013-08-12,6.0,6.0,6.0,6.0,3.758783,300
2013-08-13,5.97,5.97,5.97,5.97,3.739988,600
2013-08-14,5.97,5.97,5.97,5.97,3.739988,0
2013-08-15,5.97,5.97,5.97,5.97,3.739988,0
2013-08-16,5.97,5.97,5.97,5.97,3.739988,0
2013-08-19,5.97,5.97,5.97,5.97,3.739988,0
2013-08-20,6.01,6.01,6.01,6.01,3.765048,300
2013-08-21,6.01,6.01,6.01,6.01,3.765048,0
2013-08-22,6.01,6.01,6.01,6.01,3.765048,0
2013-08-23,6.01,6.01,6.01,6.01,3.765048,0
2013-08-26,6.01,6.01,6.01,6.01,3.765048,0
2013-08-27,6.3,6.3,6.3,6.3,3.946722,600
2013-08-28,6.02,6.02,6.02,6.02,3.771312,13300
2013-08-29,6.0,6.0,6.0,6.0,3.758783,200
2013-08-30,6.0,6.0,6.0,6.0,3.758783,0
2013-09-03,6.0,6.0,6.0,6.0,3.758783,0
2013-09-04,6.05,6.05,6.05,6.05,3.790106,1100
2013-09-05,6.05,6.05,6.05,6.05,3.790106,0
2013-09-06,6.05,6.05,6.05,6.05,3.790106,0
2013-09-09,6.33,6.33,6.33,6.33,3.965516,200
2013-09-10,6.33,6.33,6.33,6.33,3.965516,0
2013-09-11,6.31,6.31,6.2,6.2,3.884075,3700
2013-09-12,6.2,6.2,6.2,6.2,3.884075,0
2013-09-13,6.23,6.23,6.23,6.23,3.902869,300
2013-09-16,6.29,6.29,6.29,6.29,3.940457,200
2013-09-17,6.29,6.29,6.29,6.29,3.940457,0
2013-09-18,6.29,6.29,6.29,6.29,3.940457,0
2013-09-19,6.29,6.29,6.29,6.29,3.940457,0
2013-09-20,6.29,6.29,6.29,6.29,3.940457,0
2013-09-23,6.26,6.26,6.26,6.26,3.921664,200
2013-09-24,6.26,6.26,6.26,6.26,3.921664,0
2013-09-25,6.26,6.26,6.26,6.26,3.921664,0
2013-09-26,6.26,6.26,6.26,6.26,3.921664,0
2013-09-27,6.26,6.26,6.26,6.26,3.921664,0
2013-09-30,6.26,6.26,6.26,6.26,3.921664,0
2013-10-01,6.26,6.26,6.26,6.26,3.921664,0
2013-10-02,6.26,6.26,6.26,6.26,3.921664,0
2013-10-03,6.24,6.24,6.2,6.2,3.884075,2200
2013-10-04,6.2,6.2,6.2,6.2,3.884075,0
2013-10-07,6.2,6.2,6.2,6.2,3.884075,0
2013-10-08,6.15,6.15,6.15,6.15,3.852752,900
2013-10-09,6.15,6.15,6.15,6.15,3.852752,0
2013-10-10,6.15,6.15,6.15,6.15,3.852752,0
2013-10-11,6.15,6.15,6.15,6.15,3.852752,0
2013-10-14,6.18,6.18,6.18,6.18,3.871546,300
2013-10-15,6.18,6.18,6.18,6.18,3.871546,0
2013-10-16,6.18,6.18,6.18,6.18,3.871546,0
2013-10-17,6.18,6.18,6.18,6.18,3.871546,0
2013-10-18,6.18,6.18,6.18,6.18,3.871546,0
2013-10-21,6.5,6.5,6.5,6.5,4.072015,3400
2013-10-22,6.5,6.5,6.5,6.5,4.072015,1100
2013-10-23,6.5,6.5,6.5,6.5,4.072015,800
2013-10-24,6.5,6.5,6.5,6.5,4.072015,0
2013-10-25,6.5,6.5,6.5,6.5,4.072015,0
2013-10-28,6.5,6.5,6.5,6.5,4.072015,0
2013-10-29,6.5,6.5,6.5,6.5,4.072015,0
2013-10-30,6.5,6.5,6.5,6.5,4.072015,1300
2013-10-31,6.5,6.5,6.5,6.5,4.072015,0
2013-11-01,6.36,6.36,6.36,6.36,3.98431,600
2013-11-04,6.36,6.36,6.36,6.36,3.98431,0
2013-11-05,6.36,6.36,6.29,6.29,3.940457,3100
2013-11-06,6.43,6.43,6.43,6.43,4.028161,800
2013-11-07,6.43,6.43,6.43,6.43,4.028161,0
2013-11-08,6.26,6.26,6.26,6.26,3.921664,200
2013-11-11,6.26,6.26,6.26,6.26,3.921664,0
2013-11-12,6.26,6.26,6.26,6.26,3.921664,0
2013-11-13,6.26,6.26,6.26,6.26,3.921664,0
2013-11-14,6.6,6.71,6.6,6.7,4.197307,1000
2013-11-15,6.7,6.7,6.7,6.7,4.197307,0
2013-11-18,6.56,6.56,6.56,6.56,4.109602,400
2013-11-19,6.61,6.61,6.55,6.55,4.103338,1600
2013-11-20,6.55,6.55,6.55,6.55,4.103338,0
2013-11-21,6.45,6.45,6.45,6.45,4.040691,800
2013-11-22,6.45,6.45,6.45,6.45,4.040691,0
2013-11-25,6.45,6.45,6.45,6.45,4.040691,0
2013-11-26,6.45,6.45,6.45,6.45,4.040691,0
2013-11-27,6.52,6.52,6.52,6.52,4.084544,100
2013-11-29,6.52,6.52,6.52,6.52,4.084544,0
2013-12-02,6.52,6.52,6.52,6.52,4.084544,0
2013-12-03,6.52,6.52,6.52,6.52,4.084544,0
2013-12-04,6.45,6.45,6.45,6.45,4.040691,200
2013-12-05,6.39,6.4,6.39,6.4,4.009369,700
2013-12-06,6.4,6.4,6.4,6.4,4.009369,100
2013-12-09,6.36,6.36,6.36,6.36,3.98431,6000
2013-12-10,6.29,6.38,6.28,6.38,3.996839,62700
2013-12-11,6.38,6.38,6.38,6.38,3.996839,0
2013-12-12,6.38,6.38,6.38,6.38,3.996839,0
2013-12-13,6.38,6.38,6.38,6.38,3.996839,0
2013-12-16,6.38,6.38,6.38,6.38,3.996839,0
2013-12-17,6.38,6.38,6.38,6.38,3.996839,0
2013-12-18,6.38,6.38,6.38,6.38,3.996839,0
2013-12-19,6.38,6.38,6.38,6.38,3.996839,0
2013-12-20,6.38,6.38,6.38,6.38,3.996839,0
2013-12-23,6.38,6.38,6.38,6.38,3.996839,0
2013-12-24,6.38,6.38,6.38,6.38,3.996839,0
2013-12-26,6.07,6.07,6.07,6.07,3.802634,500
2013-12-27,6.07,6.07,6.07,6.07,3.802634,0
2013-12-30,6.07,6.07,6.07,6.07,3.802634,0
2013-12-31,5.99,5.99,5.99,5.99,3.752518,300
2014-01-02,5.98,5.98,5.98,5.98,3.746253,5400
