Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,6.25,6.26,6.14,6.22,6.117793,42200
2013-07-17,6.27,6.3,6.13,6.28,6.176808,32100
2013-07-18,6.28,6.32,6.26,6.31,6.206315,62400
2013-07-19,6.33,6.7,6.33,6.61,6.501385,195000
2013-07-22,6.66,6.86,6.66,6.8,6.688263,86300
2013-07-23,6.77,6.9,6.68,6.88,6.766948,80000
2013-07-24,6.9,6.96,6.7,6.75,6.639084,73300
2013-07-25,6.7,6.86,6.7,6.8,6.688263,33400
2013-07-26,6.8,6.85,6.68,6.8,6.688263,16600
2013-07-29,6.76,6.8,6.71,6.78,6.668591,27600
2013-07-30,6.81,6.9,6.72,6.84,6.727606,53700
2013-07-31,6.9,6.9,6.76,6.82,6.707934,44200
2013-08-01,6.83,6.87,6.65,6.69,6.58007,71100
2013-08-02,6.75,6.79,6.7,6.7,6.589906,49000
2013-08-05,6.75,6.75,6.55,6.57,6.462042,67700
2013-08-06,6.5,6.6,6.45,6.52,6.412864,38300
2013-08-07,6.55,6.6,6.34,6.4,6.294836,45900
2013-08-08,6.41,6.45,6.22,6.43,6.324343,53100
2013-08-09,6.43,6.55,6.43,6.45,6.344014,31400
2013-08-12,6.44,6.58,6.44,6.58,6.471878,21700
2013-08-13,6.61,6.63,6.4,6.59,6.481714,64900
2013-08-14,6.62,6.62,6.5,6.54,6.432535,25800
2013-08-15,6.57,6.57,6.41,6.44,6.334178,45100
2013-08-16,6.42,6.5,6.37,6.45,6.344014,24100
2013-08-19,6.48,6.48,6.31,6.35,6.245657,44500
2013-08-20,6.31,6.5,6.31,6.39,6.285,46100
2013-08-21,6.4,6.46,6.32,6.32,6.21615,40300
2013-08-22,6.34,6.39,6.25,6.32,6.21615,17000
2013-08-23,6.32,6.36,6.29,6.29,6.186643,32400
2013-08-26,6.29,6.43,6.25,6.29,6.186643,69300
2013-08-27,6.25,6.33,6.05,6.08,5.980094,73600
2013-08-28,6.09,6.14,6.05,6.05,5.950587,57900
2013-08-29,6.05,6.19,6.05,6.17,6.068615,71300
2013-08-30,6.18,6.22,6.13,6.14,6.039108,20300
2013-09-03,6.2,6.2,6.06,6.07,5.970258,46500
2013-09-04,6.07,6.18,6.05,6.06,5.960423,28400
2013-09-05,6.05,6.17,6.05,6.1,5.999765,25700
2013-09-06,6.1,6.25,6.1,6.16,6.058779,36800
2013-09-09,6.18,6.53,6.18,6.36,6.255493,94000
2013-09-10,6.4,6.45,6.34,6.36,6.255493,38800
2013-09-11,6.34,6.34,6.07,6.11,6.009601,124300
2013-09-12,6.18,6.23,6.14,6.16,6.058779,46600
2013-09-13,6.12,6.17,6.07,6.09,5.98993,24900
2013-09-16,6.1,6.21,5.95,5.96,5.862066,72100
2013-09-17,5.98,6.09,5.98,6.01,5.911244,77700
2013-09-18,6.0,6.07,6.0,6.05,5.950587,38800
2013-09-19,6.06,6.07,6.01,6.02,5.92108,57000
2013-09-20,6.0,6.05,5.81,5.82,5.724366,85200
2013-09-23,5.81,5.98,5.81,5.88,5.783381,104800
