Date,Open,High,Low,Close,Adj Close,Volume
2022-06-29,1330.0,1330.0,750.0,866.0,866.0,2126
2022-06-30,835.0,835.0,538.5,590.0,590.0,2940
2022-07-01,589.0,605.059998,321.0,361.0,361.0,2817
2022-07-05,320.0,321.220001,253.0,280.0,280.0,2953
2022-07-06,282.0,490.0,282.0,441.0,441.0,68430
2022-07-07,426.0,510.0,417.420013,480.0,480.0,8520
2022-07-08,458.0,539.0,458.0,516.0,516.0,1699
2022-07-11,516.0,674.0,501.359985,621.0,621.0,2856
2022-07-12,659.0,752.340027,600.0,604.0,604.0,2241
2022-07-13,580.0,580.0,482.0,482.0,482.0,839
2022-07-14,560.0,560.0,440.0,442.01001,442.01001,1781
2022-07-15,464.0,500.0,450.0,499.0,499.0,452
2022-07-18,513.0,513.0,400.0,407.0,407.0,1347
2022-07-19,417.0,450.0,392.0,392.0,392.0,484
2022-07-20,392.0,415.0,335.0,335.0,335.0,545
2022-07-21,339.0,397.0,335.0,336.0,336.0,611
2022-07-22,326.0,360.0,310.0,333.0,333.0,2369
2022-07-25,310.0,337.040009,289.0,290.0,290.0,920
2022-07-26,295.0,314.0,290.0,313.0,313.0,4073
2022-07-27,313.0,322.0,225.0,248.0,248.0,8639
2022-07-28,260.0,270.98999,247.669998,270.0,270.0,1006
2022-07-29,270.0,270.0,246.0,270.0,270.0,604
2022-08-01,272.0,320.0,259.98999,285.98999,285.98999,2437
2022-08-02,271.0,299.98999,270.0,296.0,296.0,712
2022-08-03,300.0,310.0,285.190002,297.0,297.0,380
2022-08-04,300.0,313.0,289.5,291.040009,291.040009,766
2022-08-05,287.0,299.0,273.0,288.0,288.0,152
2022-08-08,295.0,299.040009,280.0,290.0,290.0,882
2022-08-09,290.0,290.0,260.0,272.0,272.0,419
2022-08-10,279.0,295.0,255.229996,294.0,294.0,788
2022-08-11,295.0,300.0,285.0,295.0,295.0,2402
2022-08-12,295.0,298.0,290.0,295.0,295.0,434
2022-08-15,301.0,301.5,285.0,295.0,295.0,180
2022-08-16,298.0,298.0,282.0,295.0,295.0,330
