Date,Open,High,Low,Close,Adj Close,Volume
2013-10-16,0.6,0.7,0.6,0.7,0.7,1200
2013-10-17,0.7,0.7,0.63,0.64,0.64,30153
2013-10-18,0.65,0.65,0.63,0.63,0.63,4900
2013-10-21,0.63,0.67,0.6,0.66,0.66,159100
2013-10-22,0.67,0.67,0.66,0.66,0.66,77450
2013-10-23,0.67,0.7,0.66,0.7,0.7,218494
2013-10-24,0.73,0.73,0.69,0.7,0.7,285304
2013-10-25,0.691,0.691,0.63,0.65,0.65,297369
2013-10-28,0.71,0.71,0.65,0.685,0.685,113750
2013-10-29,0.67,0.67,0.59,0.66,0.66,27600
2013-10-30,0.66,0.66,0.66,0.66,0.66,5000
2013-10-31,0.69,0.69,0.69,0.69,0.69,1000
2013-11-01,0.67,0.67,0.67,0.67,0.67,3400
2013-11-04,0.71,0.75,0.7,0.71,0.71,216806
2013-11-05,0.74,0.74,0.71,0.71,0.71,21265
2013-11-06,0.709,0.71,0.7,0.7,0.7,28700
2013-11-07,0.72,0.745,0.71,0.71,0.71,85305
2013-11-08,0.71,0.741,0.71,0.741,0.741,232000
2013-11-11,0.75,0.75,0.63,0.7,0.7,360320
2013-11-12,0.7,0.72,0.7,0.71,0.71,24000
2013-11-13,0.7,0.7,0.67,0.6801,0.6801,63691
2013-11-14,0.7,0.72,0.7,0.72,0.72,3100
2013-11-15,0.72,0.72,0.67,0.67,0.67,121909
2013-11-18,0.71,0.71,0.7,0.7,0.7,7400
2013-11-19,0.705,0.71,0.705,0.71,0.71,28000
2013-11-20,0.71,0.72,0.71,0.72,0.72,15400
2013-11-21,0.73,0.73,0.72,0.72,0.72,49685
2013-11-22,0.725,0.74,0.71,0.71,0.71,146159
2013-11-25,0.72,0.72,0.71,0.72,0.72,4200
2013-11-26,0.72,0.72,0.71,0.71,0.71,33950
2013-11-27,0.71,0.71,0.71,0.71,0.71,11000
2013-11-29,0.71,0.71,0.71,0.71,0.71,10000
2013-12-02,0.71,0.72,0.71,0.71,0.71,60300
