Date,Open,High,Low,Close,Adj Close,Volume
2023-05-04,25.530001,26.98,25.25,26.9,26.9,77004200
2023-05-05,26.66,27.030001,26.209999,26.5,26.5,11289900
2023-05-08,26.33,26.85,25.91,26.51,26.51,6308300
2023-05-09,26.51,26.84,26.07,26.280001,26.280001,4684000
2023-05-10,26.280001,26.77,26.01,26.25,26.25,9602400
2023-05-11,26.030001,26.33,26.0,26.0,26.0,5687300
2023-05-12,26.02,26.620001,25.9,26.5,26.5,5433500
2023-05-15,26.5,27.795,26.5,27.5,27.5,7083200
2023-05-16,27.540001,27.77,26.99,27.030001,27.030001,3818400
2023-05-17,27.299999,27.700001,26.6,27.219999,27.219999,3392200
2023-05-18,27.219999,27.35,26.700001,27.040001,27.040001,2648100
2023-05-19,27.040001,27.259001,26.690001,27.23,27.23,1794300
2023-05-22,27.33,27.43,25.959999,26.07,26.07,7509400
2023-05-23,26.01,26.26,25.809999,26.0,26.0,2485000
2023-05-24,26.01,26.549999,25.860001,26.450001,26.450001,1953600
2023-05-25,26.5,26.639999,25.9,26.33,26.33,2139400
2023-05-26,26.43,26.43,26.200001,26.299999,26.299999,844100
2023-05-30,26.280001,26.5,25.129999,25.73,25.73,6340200
2023-05-31,25.620001,25.620001,24.99,25.09,25.09,6347800
2023-06-01,25.299999,25.639999,24.75,25.280001,25.280001,6072700
2023-06-02,25.26,25.700001,24.969999,25.549999,25.549999,2329400
2023-06-05,25.58,25.77,24.83,25.15,25.15,4737300
2023-06-06,25.0,25.389999,24.9,25.17,25.17,1315000
2023-06-07,25.1,25.254999,24.91,25.08,25.08,1626600
2023-06-08,24.99,25.16,24.809999,25.110001,25.110001,2711800
2023-06-09,25.049999,25.16,24.85,25.1,25.1,1874000
2023-06-12,25.01,25.200001,24.75,25.02,25.02,2619800
2023-06-13,24.99,25.219999,24.959999,25.129999,25.129999,2039800
2023-06-14,25.129999,25.49,25.120001,25.34,25.34,2412000
2023-06-15,25.4,25.950001,25.18,25.75,25.75,1442900
2023-06-16,25.85,26.26,25.700001,26.25,26.25,2333000
2023-06-20,25.950001,26.379999,25.940001,26.059999,26.059999,1487500
2023-06-21,26.190001,26.700001,25.77,26.200001,26.200001,3605900
2023-06-22,26.200001,26.6,26.198999,26.549999,26.549999,1130700
2023-06-23,26.549999,26.74,26.27,26.48,26.48,2793400
2023-06-26,26.59,26.6,26.02,26.15,26.15,2507300
2023-06-27,26.02,26.07,25.190001,25.889999,25.889999,2904600
2023-06-28,25.9,26.02,25.67,25.799999,25.799999,1807900
2023-06-29,25.74,26.219999,25.709999,25.99,25.99,1353900
2023-06-30,26.040001,26.66,25.969999,26.42,26.42,3936300
2023-07-03,26.309999,26.6,25.799999,26.040001,26.040001,7558600
2023-07-05,25.91,26.25,25.620001,25.700001,25.700001,1990700
2023-07-06,25.549999,25.805,25.379999,25.620001,25.620001,4856900
2023-07-07,25.620001,25.65,25.209999,25.219999,25.219999,1793700
2023-07-10,25.309999,25.525,25.1,25.25,25.25,2121200
2023-07-11,25.48,25.549999,25.004999,25.08,25.08,1942600
2023-07-12,25.27,25.370001,24.959999,25.25,25.25,2320900
2023-07-13,25.42,25.5,24.879999,25.375,25.375,1891775
