Date,Open,High,Low,Close,Adj Close,Volume
2014-12-29,0.9,0.9,0.9,0.9,0.9,2000
2014-12-30,0.9,0.9,0.9,0.9,0.9,2000
2014-12-31,0.9,0.9,0.9,0.9,0.9,0
2015-01-02,0.9,0.9,0.9,0.9,0.9,0
2015-01-05,0.9,0.9,0.9,0.9,0.9,0
2015-01-06,0.9,0.9,0.9,0.9,0.9,0
2015-01-07,0.9,0.9,0.9,0.9,0.9,0
2015-01-08,0.9,0.9,0.9,0.9,0.9,0
2015-01-09,0.9,0.9,0.9,0.9,0.9,0
2015-01-12,0.9,0.9,0.9,0.9,0.9,0
2015-01-13,0.9,0.9,0.9,0.9,0.9,0
2015-01-14,0.8,0.8,0.8,0.8,0.8,40000
2015-01-15,0.8,0.8,0.8,0.8,0.8,0
2015-01-16,0.8,0.8,0.8,0.8,0.8,0
2015-01-20,0.8,0.8,0.8,0.8,0.8,0
2015-01-21,0.8,0.8,0.8,0.8,0.8,0
2015-01-22,0.8,0.8,0.8,0.8,0.8,0
2015-01-23,0.8,0.8,0.8,0.8,0.8,0
2015-01-26,0.8,0.8,0.8,0.8,0.8,0
2015-01-27,0.8,0.8,0.8,0.8,0.8,0
2015-01-28,0.9,0.9,0.9,0.9,0.9,10000
2015-01-29,0.9,0.9,0.9,0.9,0.9,0
2015-01-30,0.9,0.9,0.9,0.9,0.9,0
2015-02-02,0.9,0.9,0.9,0.9,0.9,0
2015-02-03,0.9,0.9,0.9,0.9,0.9,0
2015-02-04,0.9,0.9,0.9,0.9,0.9,0
2015-02-05,0.9,0.9,0.9,0.9,0.9,0
2015-02-06,0.9,0.9,0.9,0.9,0.9,0
2015-02-09,0.9,0.9,0.9,0.9,0.9,0
2015-02-10,0.85,0.85,0.85,0.85,0.85,5000
2015-02-11,0.9,0.9,0.9,0.9,0.9,19000
2015-02-12,0.9,0.9,0.9,0.9,0.9,16600
2015-02-13,0.9,0.9,0.9,0.9,0.9,0
2015-02-17,0.9,0.9,0.9,0.9,0.9,7010
2015-02-18,0.91,0.91,0.91,0.91,0.91,11000
2015-02-19,0.91,0.91,0.88,0.88,0.88,12000
2015-02-20,0.88,0.88,0.88,0.88,0.88,0
2015-02-23,0.92,0.92,0.92,0.92,0.92,2000
2015-02-24,0.92,0.92,0.92,0.92,0.92,0
2015-02-25,0.92,0.92,0.92,0.92,0.92,0
2015-02-26,0.92,0.92,0.92,0.92,0.92,0
2015-02-27,0.92,0.92,0.92,0.92,0.92,0
2015-03-02,0.92,0.92,0.92,0.92,0.92,0
2015-03-03,0.92,0.92,0.92,0.92,0.92,0
2015-03-04,0.92,0.92,0.92,0.92,0.92,0
2015-03-05,0.92,0.92,0.92,0.92,0.92,0
2015-03-06,0.92,0.92,0.92,0.92,0.92,0
2015-03-09,0.86,0.86,0.85,0.85,0.85,2000
2015-03-10,0.7,0.78,0.7,0.77,0.77,49000
2015-03-11,0.75,0.75,0.75,0.75,0.75,10000
2015-03-12,0.75,0.75,0.6,0.6,0.6,9500
2015-03-13,0.6,0.6,0.6,0.6,0.6,0
2015-03-16,0.68,0.75,0.68,0.739,0.739,21000
2015-03-17,0.77,0.77,0.77,0.77,0.77,5000
2015-03-18,0.7,0.85,0.7,0.77,0.77,30100
2015-03-19,0.7,0.85,0.7,0.77,0.77,13500
2015-03-20,0.8,0.8,0.75,0.75,0.75,5000
2015-03-23,0.75,0.75,0.75,0.75,0.75,1000
2015-03-24,0.75,0.75,0.75,0.75,0.75,8600
2015-03-25,0.83,0.83,0.83,0.83,0.83,1500
2015-03-26,0.83,0.83,0.7,0.7,0.7,2125
2015-03-27,0.818,0.818,0.818,0.818,0.818,603
2015-03-30,0.818,0.83,0.818,0.818,0.818,1000
2015-03-31,0.87,0.87,0.7,0.85,0.85,90323
2015-04-01,0.91,0.91,0.89,0.91,0.91,12501
2015-04-02,0.99,1.05,0.8601,1.05,1.05,29164
2015-04-06,1.06,1.22,1.05,1.18,1.18,44850
2015-04-07,1.07,1.18,1.07,1.08,1.08,20597
2015-04-08,1.08,1.24,1.07,1.17,1.17,17434
2015-04-09,1.22,1.26,1.22,1.25,1.25,17534
2015-04-10,1.25,1.29,1.25,1.27,1.27,4538
2015-04-13,1.27,1.32,1.27,1.32,1.32,13200
2015-04-14,1.32,1.32,1.3,1.32,1.32,12760
2015-04-15,1.318,1.318,1.25,1.25,1.25,5550
2015-04-16,1.25,1.27,1.25,1.27,1.27,20800
2015-04-17,1.28,1.28,1.28,1.28,1.28,2325
2015-04-20,1.28,1.35,1.26,1.26,1.26,15946
2015-04-21,1.33,1.34,1.26,1.27,1.27,10250
2015-04-22,1.32,1.32,1.25,1.25,1.25,9600
2015-04-23,1.24,1.24,1.24,1.24,1.24,6000
2015-04-24,1.14,1.18,1.12,1.15,1.15,14800
2015-04-27,1.14,1.29,1.12,1.13,1.13,13325
2015-04-28,1.15,1.16,1.11,1.16,1.16,3998
2015-04-29,1.15,1.16,1.05,1.1,1.1,11414
2015-04-30,1.16,1.16,1.15,1.15,1.15,4500
2015-05-01,1.06,1.06,1.06,1.06,1.06,1000
2015-05-04,1.08,1.15,1.08,1.15,1.15,22749
2015-05-05,1.15,1.15,0.95,1.02,1.02,9350
2015-05-06,0.95,1.08,0.95,0.95,0.95,6614
2015-05-07,0.8002,1.055,0.8002,1.05,1.05,20368
2015-05-08,1.06,1.09,1.0,1.086,1.086,47130
2015-05-11,1.09,1.09,1.07,1.07,1.07,4000
2015-05-12,1.01,1.01,0.9,0.9,0.9,21484
2015-05-13,1.0,1.01,1.0,1.01,1.01,1378
2015-05-14,1.01,1.01,0.9201,0.9351,0.9351,11350
2015-05-15,1.03,1.04,0.9201,1.04,1.04,7002
2015-05-18,0.99,0.99,0.9001,0.95,0.95,3937
2015-05-19,0.905,0.95,0.88,0.88,0.88,5011
2015-05-20,0.851,0.8599,0.7501,0.78,0.78,22465
2015-05-21,0.74,0.75,0.6901,0.6901,0.6901,4481
2015-05-22,0.6901,0.75,0.6901,0.74,0.74,9600
2015-05-26,0.7,0.7,0.65,0.67,0.67,30740
2015-05-27,0.67,0.75,0.67,0.75,0.75,4250
2015-05-28,0.74,0.74,0.74,0.74,0.74,250
2015-05-29,0.74,0.74,0.74,0.74,0.74,125
2015-06-01,0.74,0.74,0.73,0.74,0.74,5750
2015-06-02,0.74,0.74,0.65,0.65,0.65,10811
2015-06-03,0.65,0.65,0.54,0.56,0.56,32700
2015-06-04,0.58,0.58,0.58,0.58,0.58,1000
2015-06-05,0.58,0.6,0.5632,0.6,0.6,16700
2015-06-08,0.6,0.6,0.6,0.6,0.6,500
2015-06-09,0.6,0.62,0.6,0.61,0.61,8000
2015-06-10,0.64,0.64,0.61,0.61,0.61,4300
2015-06-11,0.61,0.61,0.61,0.61,0.61,2700
2015-06-12,0.5503,0.62,0.5503,0.5503,0.5503,20500
2015-06-15,0.5503,0.5503,0.5503,0.5503,0.5503,0
2015-06-16,0.55527,0.55527,0.48,0.48,0.48,29800
2015-06-17,0.49,0.4999,0.49,0.4999,0.4999,15950
2015-06-18,0.5,0.52,0.5,0.52,0.52,43745
2015-06-19,0.52,0.52,0.52,0.52,0.52,0
2015-06-22,0.51,0.51,0.51,0.51,0.51,820
2015-06-23,0.51,0.53,0.50235,0.50235,0.50235,36500
2015-06-24,0.51,0.51,0.51,0.51,0.51,530
2015-06-25,0.51,0.51,0.51,0.51,0.51,250
2015-06-26,0.5,0.5,0.5,0.5,0.5,1000
2015-06-29,0.4101,0.4101,0.4101,0.4101,0.4101,720
2015-06-30,0.46,0.46,0.43,0.46,0.46,20796
2015-07-01,0.46,0.46,0.46,0.46,0.46,0
2015-07-02,0.46,0.47,0.46,0.46,0.46,7620
2015-07-06,0.4301,0.4302,0.43,0.43,0.43,5000
2015-07-07,0.43,0.51,0.4299,0.5,0.5,6650
2015-07-08,0.5,0.5,0.5,0.5,0.5,0
