Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,6.34,6.58,6.3,6.5,6.020797,41300
2013-07-17,6.56,6.85,6.48,6.78,6.280156,96800
2013-07-18,6.82,7.0,6.76,6.99,6.474673,62700
2013-07-19,6.99,7.0,6.75,6.84,6.335731,48600
2013-07-22,6.77,6.88,6.75,6.8,6.298681,36300
2013-07-23,6.83,6.85,6.75,6.76,6.26163,27600
2013-07-24,6.82,6.91,6.7,6.72,6.224578,24200
2013-07-25,6.72,7.0,6.59,6.98,6.465411,50500
2013-07-26,6.88,6.9,6.56,6.65,6.159739,45100
2013-07-29,6.63,6.92,6.45,6.5,6.020797,46400
2013-07-30,6.57,6.57,6.4,6.43,5.955958,29900
2013-07-31,6.45,6.46,6.21,6.27,5.807754,46400
2013-08-01,6.37,6.72,6.09,6.48,6.002272,27900
2013-08-02,6.49,6.49,6.27,6.28,5.817017,39900
2013-08-05,6.25,6.57,6.25,6.56,6.076374,42200
2013-08-06,6.51,6.52,6.34,6.46,5.983747,21000
2013-08-07,5.58,6.49,5.58,6.45,5.974483,48100
2013-08-08,6.53,6.53,6.14,6.2,5.742914,31100
2013-08-09,6.19,6.37,5.96,6.04,5.59471,31300
2013-08-12,6.06,6.13,5.88,6.06,5.613236,140100
2013-08-13,6.05,6.05,5.86,5.98,5.539134,20600
2013-08-14,5.96,6.0,5.69,5.74,5.316827,39700
2013-08-15,5.65,5.65,5.25,5.26,4.872214,63000
2013-08-16,5.25,5.42,5.01,5.11,4.733273,51000
2013-08-19,5.07,5.22,4.83,4.87,4.510966,93500
2013-08-20,4.86,5.18,4.83,4.95,4.585069,101800
2013-08-21,4.92,4.99,4.85,4.9,4.538755,22500
2013-08-22,4.92,4.96,4.89,4.95,4.585069,54100
2013-08-23,4.95,5.33,4.89,5.24,4.853689,93300
2013-08-26,5.26,5.3,5.17,5.2,4.816638,27900
2013-08-27,5.1,5.2,4.79,4.86,4.501704,38900
2013-08-28,4.86,5.03,4.74,5.0,4.631383,44000
2013-08-29,4.97,5.28,4.97,5.28,4.89074,34700
2013-08-30,5.36,5.36,5.04,5.1,4.72401,56700
2013-09-03,5.21,5.23,5.05,5.17,4.78885,88500
2013-09-04,5.16,5.16,4.92,4.98,4.612857,99400
2013-09-05,5.0,5.0,4.91,4.94,4.575806,18500
2013-09-06,4.99,5.25,4.91,5.05,4.677697,47100
2013-09-09,5.06,5.16,5.04,5.11,4.733273,45100
2013-09-10,5.14,5.14,4.96,5.05,4.677697,29200
2013-09-11,5.0,5.21,4.94,5.2,4.884342,78800
2013-09-12,5.17,5.26,5.0,5.09,4.781019,33100
2013-09-13,5.12,5.12,4.96,5.06,4.75284,27300
2013-09-16,5.17,5.17,4.92,4.99,4.687089,28800
2013-09-17,4.96,5.14,4.91,5.03,4.724661,112900
2013-09-18,5.02,5.02,4.91,4.91,4.611945,64400
2013-09-19,4.92,4.97,4.86,4.91,4.611945,44100
2013-09-20,4.92,4.92,4.82,4.85,4.555588,203900
2013-09-23,4.86,4.88,4.74,4.76,4.471052,125600
2013-09-24,4.75,4.75,4.62,4.68,4.395907,55100
2013-09-25,4.67,4.71,4.58,4.63,4.348943,44500
2013-09-26,4.64,4.72,4.58,4.65,4.367729,46700
2013-09-27,4.6,4.65,4.5,4.58,4.301978,53200
2013-09-30,4.52,4.63,4.52,4.61,4.330157,76100
2013-10-01,4.59,4.71,4.3,4.52,4.24562,214200
2013-10-02,4.46,4.61,4.41,4.48,4.208048,45600
2013-10-03,4.48,4.61,4.35,4.54,4.264406,85400
2013-10-04,4.52,4.65,4.46,4.53,4.255013,34800
2013-10-07,4.48,4.62,4.4,4.6,4.320764,52000
2013-10-08,4.61,4.66,4.53,4.65,4.367729,71000
2013-10-09,4.66,4.7,4.49,4.59,4.311371,61500
2013-10-10,4.69,4.7,4.5,4.64,4.358335,295700
2013-10-11,4.61,4.79,4.54,4.79,4.49923,47600
2013-10-14,4.74,4.89,4.74,4.89,4.59316,36100
2013-10-15,4.88,4.96,4.72,4.74,4.452265,36200
2013-10-16,4.8,4.95,4.74,4.8,4.508624,35500
2013-10-17,4.77,4.9,4.5,4.88,4.583767,49900
2013-10-18,4.96,4.96,4.76,4.8,4.508624,82400
2013-10-21,4.79,4.92,4.63,4.77,4.480444,64300
2013-10-22,4.47,4.93,4.44,4.57,4.292585,76700
2013-10-23,4.57,4.87,4.57,4.79,4.49923,175200
2013-10-24,4.79,4.89,4.64,4.68,4.395907,169900
2013-10-25,4.71,4.81,4.66,4.74,4.452265,138900
2013-10-28,4.75,4.87,4.75,4.79,4.49923,106500
2013-10-29,4.82,4.9,4.67,4.79,4.49923,220600
2013-10-30,4.81,4.97,4.81,4.92,4.621339,61400
2013-10-31,4.95,4.97,4.74,4.78,4.489837,157000
2013-11-01,4.77,4.87,4.75,4.81,4.518016,120900
2013-11-04,4.82,4.97,4.76,4.97,4.668303,82400
2013-11-05,4.89,5.21,4.89,5.2,4.884342,114500
2013-11-06,5.23,5.44,5.19,5.3,4.978272,63100
2013-11-07,5.35,5.38,4.82,5.3,4.978272,63500
2013-11-08,5.29,5.63,5.29,5.53,5.19431,52300
2013-11-11,5.5,5.71,5.38,5.45,5.119165,69000
2013-11-12,5.44,5.67,5.25,5.56,5.222488,88600
2013-11-13,5.55,5.56,5.38,5.52,5.184916,46300
2013-11-14,5.5,5.55,5.31,5.32,4.997057,42400
2013-11-15,5.31,5.42,5.28,5.34,5.015843,75400
2013-11-18,5.38,5.45,5.37,5.37,5.044022,56000
2013-11-19,5.38,5.54,5.3,5.31,4.987664,66300
2013-11-20,5.31,5.39,5.29,5.3,4.978272,47300
2013-11-21,5.34,5.38,5.19,5.23,4.912521,188100
2013-11-22,5.25,5.37,5.19,5.25,4.931306,92900
2013-11-25,5.29,5.4,5.21,5.24,4.921913,60200
2013-11-26,5.23,5.4,5.22,5.27,4.950092,71600
2013-11-27,5.26,5.41,5.26,5.36,5.034629,30500
2013-11-29,5.41,5.55,5.35,5.35,5.025236,38700
2013-12-02,5.32,5.4,5.16,5.33,5.006451,154300
2013-12-03,5.29,5.5,5.12,5.19,4.874949,104100
2013-12-04,5.22,5.29,5.15,5.25,4.931306,59700
2013-12-05,5.24,5.24,5.12,5.14,4.827984,36000
2013-12-06,5.19,5.23,5.07,5.13,4.818591,47500
2013-12-09,5.15,5.15,5.01,5.12,4.809198,53000
2013-12-10,5.14,5.18,4.96,4.97,4.668303,75800
2013-12-11,4.93,5.0,4.81,4.84,4.61114,74500
2013-12-12,4.53,4.74,4.35,4.54,4.325326,384400
2013-12-13,4.54,5.03,4.54,4.66,4.439651,256600
2013-12-16,4.7,4.71,4.57,4.58,4.363435,261800
2013-12-17,4.57,4.59,4.54,4.56,4.34438,257700
2013-12-18,4.58,4.62,4.54,4.59,4.372962,231300
2013-12-19,4.59,4.75,4.58,4.59,4.372962,226200
2013-12-20,4.61,4.75,4.52,4.55,4.334854,2352200
2013-12-23,4.58,4.89,4.58,4.85,4.620667,372200
2013-12-24,4.82,5.16,4.82,5.07,4.830266,80600
2013-12-26,5.08,5.3,4.99,4.99,4.754048,162000
2013-12-27,5.0,5.27,4.97,5.06,4.820738,128600
2013-12-30,5.02,5.31,4.92,4.94,4.706413,342500
2013-12-31,4.98,5.14,4.91,4.98,4.744521,171100
2014-01-02,4.98,5.05,4.88,4.89,4.658776,74200
2014-01-03,4.9,5.14,4.88,5.08,4.839792,121400
2014-01-06,5.12,5.17,5.05,5.08,4.839792,91500
2014-01-07,5.08,5.32,5.08,5.1,4.858847,129000
2014-01-08,5.06,5.3,5.04,5.26,5.011281,169600
2014-01-09,5.28,5.34,5.15,5.17,4.925537,187000
2014-01-10,5.19,5.19,5.05,5.09,4.84932,40200
2014-01-13,5.06,5.11,5.05,5.08,4.839792,107900
2014-01-14,5.11,5.3,5.04,5.25,5.001754,56600
2014-01-15,5.25,5.3,5.18,5.2,4.954118,105300
2014-01-16,5.17,5.29,5.16,5.26,5.011281,68000
2014-01-17,5.27,5.29,5.13,5.23,4.982699,71200
2014-01-21,5.24,5.34,5.16,5.2,4.954118,80100
2014-01-22,5.22,5.32,5.2,5.27,5.020808,55800
2014-01-23,5.23,5.23,5.0,5.02,4.782629,66900
2014-01-24,5.0,5.02,4.8,4.87,4.639722,92200
2014-01-27,4.9,4.91,4.59,4.68,4.458706,117300
2014-01-28,4.67,4.72,4.4,4.63,4.41107,200100
2014-01-29,4.58,4.58,4.47,4.51,4.296745,84900
2014-01-30,4.53,4.62,4.53,4.54,4.325326,56300
2014-01-31,4.5,4.65,4.36,4.37,4.163364,124000
2014-02-03,4.38,4.48,4.15,4.18,3.982348,115400
2014-02-04,4.19,4.31,4.15,4.16,3.963294,56200
2014-02-05,4.15,4.16,3.97,3.99,3.801333,179100
2014-02-06,4.0,4.04,3.94,3.95,3.763224,175100
2014-02-07,3.95,4.03,3.92,3.97,3.782279,156800
2014-02-10,3.96,4.07,3.8,3.93,3.74417,162000
2014-02-11,3.95,3.95,3.85,3.9,3.715589,88600
2014-02-12,3.89,3.98,3.85,3.89,3.706061,50300
2014-02-13,3.88,3.93,3.85,3.9,3.715589,58000
2014-02-14,3.91,4.0,3.88,3.92,3.734643,76100
2014-02-18,3.92,4.15,3.92,4.06,3.868023,53100
2014-02-19,4.03,4.1,3.91,3.92,3.734643,108900
2014-02-20,3.92,4.0,3.89,3.93,3.74417,52900
2014-02-21,3.96,4.29,3.96,4.25,4.049039,136000
2014-02-24,4.28,4.57,4.25,4.46,4.249109,116300
2014-02-25,4.44,4.62,4.44,4.57,4.353908,71200
2014-02-26,4.56,4.84,4.55,4.55,4.334854,95100
2014-02-27,4.55,4.79,4.53,4.55,4.334854,102500
2014-02-28,4.57,4.59,4.5,4.5,4.287217,76400
2014-03-03,4.5,4.58,4.5,4.5,4.287217,90400
2014-03-04,4.55,4.75,4.08,4.7,4.477761,152900
2014-03-05,4.9,4.9,4.5,4.57,4.353908,115800
2014-03-06,4.68,4.68,4.5,4.6,4.382489,107100
2014-03-07,4.64,4.66,4.5,4.53,4.315799,124200
2014-03-10,4.5,4.6,4.5,4.5,4.287217,88400
2014-03-11,4.5,4.61,4.19,4.21,4.01093,152600
