Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,4.7,4.7,4.7,4.7,3.086282,300
2013-07-17,4.82,4.96,4.8,4.96,3.257013,2000
2013-07-18,4.68,4.68,4.68,4.68,3.073149,300
2013-07-19,4.68,4.68,4.68,4.68,3.073149,0
2013-07-22,4.54,4.68,4.54,4.68,3.073149,1900
2013-07-23,4.67,4.79,4.67,4.79,3.145381,6000
2013-07-24,4.79,4.79,4.79,4.79,3.145381,0
2013-07-25,4.79,4.79,4.79,4.79,3.145381,0
2013-07-26,4.79,4.79,4.79,4.79,3.145381,0
2013-07-29,4.69,4.69,4.68,4.68,3.073149,6900
2013-07-30,4.63,4.65,4.63,4.64,3.046883,2100
2013-07-31,4.64,4.64,4.64,4.64,3.046883,0
2013-08-01,4.45,4.45,4.45,4.45,2.922118,300
2013-08-02,4.45,4.45,4.45,4.45,2.922118,0
2013-08-05,4.65,4.79,4.65,4.79,3.145381,400
2013-08-06,4.78,4.78,4.65,4.65,3.05345,12400
2013-08-07,4.65,4.65,4.65,4.65,3.05345,0
2013-08-08,4.72,4.9,4.72,4.9,3.217613,12900
2013-08-09,4.9,4.9,4.9,4.9,3.217613,0
2013-08-12,4.94,4.94,4.9,4.9,3.217613,10100
2013-08-13,4.9,4.9,4.9,4.9,3.217613,0
2013-08-14,4.6,4.6,4.52,4.52,2.968084,3800
2013-08-15,4.5,4.5,4.36,4.41,2.895852,13500
2013-08-16,4.37,4.42,4.21,4.24,2.78422,14300
2013-08-19,4.21,4.32,3.84,3.86,2.534691,49200
2013-08-20,3.85,3.97,3.85,3.97,2.606924,1400
2013-08-21,3.88,4.0,3.87,3.88,2.547825,3400
2013-08-22,3.95,3.95,3.94,3.95,2.59379,1000
2013-08-23,3.98,3.98,3.98,3.98,2.61349,1100
2013-08-26,3.99,4.0,3.99,4.0,2.626623,3100
2013-08-27,3.95,4.0,3.84,3.84,2.521558,1600
2013-08-28,3.84,3.84,3.84,3.84,2.521558,0
2013-08-29,4.02,4.02,3.85,3.85,2.528125,200
2013-08-30,3.89,4.15,3.89,4.0,2.626623,2900
2013-09-03,4.0,4.0,4.0,4.0,2.626623,100
2013-09-04,4.08,4.14,4.0,4.11,2.698855,11000
2013-09-05,4.1,4.13,4.09,4.09,2.685722,3600
2013-09-06,4.22,4.22,4.09,4.12,2.705422,4900
