Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,29.860001,30.24,29.74,29.870001,29.870001,181300
2013-07-17,30.01,30.200001,29.780001,30.049999,30.049999,221000
2013-07-18,30.1,30.209999,29.790001,29.98,29.98,123800
2013-07-19,29.870001,30.059999,29.74,30.040001,30.040001,126200
2013-07-22,30.15,30.6,30.02,30.530001,30.530001,151000
2013-07-23,30.68,31.01,30.65,30.860001,30.860001,201800
2013-07-24,30.9,31.1,30.01,30.15,30.15,118700
2013-07-25,30.17,30.940001,30.07,30.92,30.92,131900
2013-07-26,30.92,30.92,30.450001,30.690001,30.690001,173800
2013-07-29,30.67,32.110001,30.67,31.73,31.73,299900
2013-07-30,31.870001,32.099998,30.98,31.08,31.08,158100
2013-07-31,31.09,31.280001,30.67,31.1,31.1,196900
2013-08-01,31.27,32.119999,31.25,31.879999,31.879999,140900
2013-08-02,31.99,31.99,31.32,31.58,31.58,117900
2013-08-05,31.4,31.99,31.35,31.459999,31.459999,153600
2013-08-06,31.41,31.530001,31.07,31.450001,31.450001,102900
2013-08-07,31.450001,31.450001,31.0,31.190001,31.190001,130200
2013-08-08,31.48,31.799999,31.209999,31.450001,31.450001,153900
2013-08-09,31.459999,31.65,31.0,31.07,31.07,122700
2013-08-12,30.93,32.0,30.9,31.91,31.91,284200
2013-08-13,31.98,32.0,31.620001,31.959999,31.959999,244200
2013-08-14,31.93,31.93,31.5,31.719999,31.719999,142100
2013-08-15,31.48,31.610001,30.790001,30.92,30.92,206700
2013-08-16,30.92,31.1,30.530001,30.91,30.91,135700
2013-08-19,30.969999,31.17,30.370001,30.43,30.43,82000
2013-08-20,30.450001,30.92,29.91,30.82,30.82,82300
2013-08-21,30.65,31.18,30.559999,30.92,30.92,82800
2013-08-22,30.99,31.58,30.76,31.459999,31.459999,53800
2013-08-23,31.43,31.5,31.16,31.43,31.43,126200
2013-08-26,31.5,32.400002,31.389999,32.049999,32.049999,156800
2013-08-27,31.76,32.09,31.4,31.73,31.73,169900
2013-08-28,31.700001,32.07,31.5,31.959999,31.959999,353800
2013-08-29,33.34,37.650002,33.34,35.549999,35.549999,1987000
2013-08-30,35.630001,36.91,35.200001,36.310001,36.310001,563200
2013-09-03,36.799999,37.639999,36.18,36.860001,36.860001,357400
2013-09-04,36.880001,37.009998,36.32,36.959999,36.959999,415200
2013-09-05,36.889999,37.139999,36.650002,36.68,36.68,318700
2013-09-06,36.950001,37.02,36.060001,36.779999,36.779999,260300
2013-09-09,36.810001,38.02,36.810001,37.57,37.57,371800
2013-09-10,37.75,38.139999,37.490002,37.849998,37.849998,260800
2013-09-11,37.720001,37.91,37.110001,37.709999,37.709999,425600
2013-09-12,37.630001,37.720001,36.52,36.849998,36.849998,389400
2013-09-13,36.939999,37.060001,36.080002,36.220001,36.220001,312400
2013-09-16,36.669998,36.689999,35.009998,35.150002,35.150002,524800
2013-09-17,35.23,35.450001,33.75,34.900002,34.900002,905100
2013-09-18,35.009998,35.009998,34.080002,34.200001,34.200001,568100
2013-09-19,34.139999,34.439999,33.889999,33.919998,33.919998,350600
2013-09-20,33.869999,33.990002,32.93,32.959999,32.959999,623600
2013-09-23,32.860001,33.09,31.99,32.0,32.0,513100
2013-09-24,32.0,32.419998,31.190001,31.969999,31.969999,435200
2013-09-25,31.98,32.310001,31.49,32.07,32.07,364500
2013-09-26,32.09,32.400002,31.65,32.07,32.07,192400
2013-09-27,31.790001,31.790001,31.389999,31.440001,31.440001,184100
2013-09-30,31.24,31.57,30.860001,30.879999,30.879999,583300
2013-10-01,30.959999,31.66,30.5,31.48,31.48,316400
2013-10-02,31.33,31.370001,30.870001,31.07,31.07,207700
2013-10-03,30.92,30.98,29.99,30.059999,30.059999,258500
2013-10-04,29.98,30.26,29.530001,29.870001,29.870001,241800
2013-10-07,29.67,29.870001,28.82,29.01,29.01,303500
2013-10-08,29.08,29.17,28.379999,28.59,28.59,185200
2013-10-09,21.200001,21.370001,17.15,17.6,17.6,5308500
2013-10-10,17.57,18.790001,17.57,18.370001,18.370001,1923200
2013-10-11,18.879999,19.360001,18.65,19.01,19.01,2501300
2013-10-14,18.549999,19.24,18.450001,19.02,19.02,1515200
2013-10-15,18.969999,19.23,18.559999,18.75,18.75,438100
2013-10-16,18.950001,19.1,18.200001,18.49,18.49,700300
2013-10-17,18.35,18.790001,18.299999,18.48,18.48,424600
2013-10-18,18.65,19.110001,18.469999,18.82,18.82,768700
2013-10-21,18.91,18.91,18.41,18.549999,18.549999,419200
2013-10-22,18.57,18.67,17.76,17.9,17.9,246200
2013-10-23,17.879999,18.530001,17.75,18.41,18.41,231800
2013-10-24,18.5,18.66,18.27,18.559999,18.559999,489300
2013-10-25,18.700001,19.01,18.629999,18.84,18.84,220900
2013-10-28,18.799999,18.91,18.559999,18.879999,18.879999,227200
2013-10-29,18.969999,19.18,18.76,19.0,19.0,371600
2013-10-30,18.99,19.09,18.469999,18.58,18.58,211300
2013-10-31,18.530001,18.59,18.0,18.280001,18.280001,355800
2013-11-01,18.290001,18.719999,18.059999,18.469999,18.469999,384500
2013-11-04,18.549999,18.75,18.299999,18.5,18.5,157900
2013-11-05,18.469999,18.75,18.110001,18.15,18.15,224900
2013-11-06,18.26,18.26,17.74,17.9,17.9,489800
2013-11-07,18.719999,19.719999,18.27,18.440001,18.440001,667900
2013-11-08,18.690001,19.67,18.49,19.530001,19.530001,542000
2013-11-11,19.540001,19.93,19.25,19.540001,19.540001,302100
2013-11-12,19.42,20.440001,19.42,20.120001,20.120001,488300
2013-11-13,19.92,20.98,19.92,20.780001,20.780001,530900
2013-11-14,21.549999,21.620001,20.5,20.75,20.75,550000
2013-11-15,20.709999,21.25,19.68,21.059999,21.059999,693100
2013-11-18,21.110001,21.6,20.48,20.889999,20.889999,655000
2013-11-19,20.879999,21.290001,20.639999,20.889999,20.889999,247900
2013-11-20,20.82,21.1,20.15,20.280001,20.280001,222500
2013-11-21,20.389999,20.780001,20.110001,20.57,20.57,201100
2013-11-22,20.66,21.02,20.459999,20.870001,20.870001,264100
2013-11-25,20.950001,21.15,20.139999,20.18,20.18,279000
2013-11-26,20.15,20.889999,20.110001,20.639999,20.639999,174100
2013-11-27,20.709999,21.1,20.639999,20.940001,20.940001,92500
2013-11-29,21.09,21.17,20.629999,21.040001,21.040001,113900
2013-12-02,20.98,20.98,19.790001,20.040001,20.040001,335900
2013-12-03,19.959999,21.049999,19.959999,20.17,20.17,371000
2013-12-04,20.02,20.809999,19.940001,20.27,20.27,194000
2013-12-05,20.299999,20.5,19.92,19.940001,19.940001,92400
2013-12-06,20.299999,20.299999,19.690001,20.17,20.17,341000
2013-12-09,20.18,20.299999,19.469999,19.940001,19.940001,343400
2013-12-10,19.940001,20.77,19.92,20.57,20.57,292600
2013-12-11,20.549999,20.709999,19.959999,20.01,20.01,347300
2013-12-12,19.889999,20.389999,19.690001,20.299999,20.299999,212300
2013-12-13,20.4,21.200001,20.370001,21.02,21.02,267300
2013-12-16,21.08,21.57,20.75,21.389999,21.389999,359500
2013-12-17,21.41,21.540001,21.07,21.139999,21.139999,234800
2013-12-18,21.219999,21.9,20.91,21.65,21.65,339300
2013-12-19,21.49,21.68,21.32,21.370001,21.370001,174400
2013-12-20,21.42,21.959999,21.32,21.73,21.73,412600
2013-12-23,21.809999,21.969999,21.1,21.209999,21.209999,253600
2013-12-24,21.370001,21.809999,21.370001,21.65,21.65,103700
2013-12-26,21.790001,21.950001,21.459999,21.52,21.52,169000
2013-12-27,21.610001,21.950001,21.17,21.24,21.24,101100
2013-12-30,21.200001,21.879999,21.1,21.719999,21.719999,295400
2013-12-31,21.74,21.99,21.67,21.75,21.75,154700
2014-01-02,21.67,21.790001,20.82,21.01,21.01,212500
2014-01-03,21.01,21.48,20.950001,21.299999,21.299999,152300
2014-01-06,21.49,21.559999,20.98,21.139999,21.139999,142100
2014-01-07,21.129999,21.77,21.129999,21.52,21.52,144900
2014-01-08,21.950001,23.450001,21.950001,22.559999,22.559999,801300
2014-01-09,22.620001,23.1,22.200001,22.209999,22.209999,385300
2014-01-10,22.34,22.77,22.26,22.719999,22.719999,240700
2014-01-13,22.719999,22.799999,21.860001,22.030001,22.030001,308500
2014-01-14,22.059999,23.040001,22.059999,22.610001,22.610001,229300
2014-01-15,22.75,23.07,22.540001,22.879999,22.879999,232800
2014-01-16,22.879999,23.219999,22.629999,22.889999,22.889999,127900
2014-01-17,22.93,23.0,22.43,22.58,22.58,131600
2014-01-21,22.799999,23.34,22.530001,22.950001,22.950001,227800
2014-01-22,23.0,23.27,22.76,23.129999,23.129999,154500
2014-01-23,22.92,23.299999,22.530001,22.93,22.93,199800
2014-01-24,22.719999,23.0,21.67,22.1,22.1,248900
2014-01-27,22.08,22.219999,21.65,22.01,22.01,280200
2014-01-28,21.950001,22.549999,21.950001,22.34,22.34,271400
2014-01-29,22.059999,22.59,22.0,22.190001,22.190001,265000
2014-01-30,22.42,22.610001,22.030001,22.16,22.16,310400
2014-01-31,21.85,22.32,21.85,21.950001,21.950001,198200
2014-02-03,21.98,22.48,21.58,21.98,21.98,504200
2014-02-04,22.459999,23.549999,21.059999,21.33,21.33,892900
2014-02-05,21.4,21.450001,19.879999,20.17,20.17,698600
2014-02-06,20.18,20.5,19.719999,20.25,20.25,408000
2014-02-07,20.309999,20.73,20.200001,20.530001,20.530001,272400
2014-02-10,20.530001,20.629999,20.09,20.41,20.41,194900
2014-02-11,20.370001,20.59,20.1,20.57,20.57,314900
2014-02-12,20.719999,21.120001,20.639999,21.120001,21.120001,302600
2014-02-13,20.99,21.459999,20.75,21.32,21.32,242100
2014-02-14,21.33,21.719999,20.969999,21.700001,21.700001,346500
2014-02-18,21.889999,22.790001,21.690001,22.629999,22.629999,396500
2014-02-19,22.51,22.790001,22.01,22.059999,22.059999,305300
2014-02-20,22.030001,22.32,21.82,21.98,21.98,342300
2014-02-21,22.0,22.02,21.790001,21.950001,21.950001,464500
2014-02-24,21.889999,22.57,21.889999,22.450001,22.450001,377900
2014-02-25,22.52,22.860001,22.42,22.6,22.6,264500
2014-02-26,22.6,22.709999,22.450001,22.610001,22.610001,238700
2014-02-27,22.469999,22.93,22.469999,22.85,22.85,184500
2014-02-28,22.790001,22.860001,22.43,22.629999,22.629999,196600
2014-03-03,22.389999,22.469999,22.26,22.389999,22.389999,256200
2014-03-04,22.610001,22.780001,22.35,22.43,22.43,257300
2014-03-05,22.4,22.639999,22.07,22.280001,22.280001,308500
2014-03-06,22.299999,22.360001,22.08,22.139999,22.139999,259100
2014-03-07,22.190001,22.299999,21.709999,21.9,21.9,375000
2014-03-10,21.77,22.059999,21.200001,21.25,21.25,305400
2014-03-11,21.25,21.370001,20.280001,20.299999,20.299999,375900
2014-03-12,20.09,20.5,19.66,20.360001,20.360001,362900
2014-03-13,20.370001,20.4,19.75,19.889999,19.889999,352600
2014-03-14,19.790001,20.15,19.66,20.09,20.09,373200
2014-03-17,20.209999,20.610001,20.15,20.52,20.52,153200
2014-03-18,20.5,21.0,20.5,20.940001,20.940001,291100
2014-03-19,20.9,21.27,20.85,21.17,21.17,236600
2014-03-20,21.209999,21.459999,21.049999,21.200001,21.200001,232700
2014-03-21,21.34,22.0,21.309999,21.629999,21.629999,271600
2014-03-24,21.639999,21.67,21.26,21.4,21.4,354700
2014-03-25,21.870001,21.98,21.41,21.440001,21.440001,216200
2014-03-26,21.59,21.639999,20.99,21.200001,21.200001,259600
2014-03-27,21.219999,21.73,21.200001,21.67,21.67,337800
2014-03-28,21.709999,22.25,21.540001,22.1,22.1,440200
2014-03-31,22.209999,22.709999,22.15,22.65,22.65,293600
2014-04-01,22.67,23.299999,22.4,23.200001,23.200001,199800
2014-04-02,23.110001,23.110001,22.620001,22.889999,22.889999,277100
2014-04-03,22.82,22.959999,22.48,22.77,22.77,220600
2014-04-04,22.85,23.040001,22.209999,22.51,22.51,437800
2014-04-07,22.43,22.469999,21.82,21.92,21.92,311700
2014-04-08,21.91,22.690001,21.440001,22.549999,22.549999,470400
2014-04-09,22.549999,22.799999,22.280001,22.690001,22.690001,175400
2014-04-10,22.629999,22.65,21.799999,22.110001,22.110001,291100
2014-04-11,21.940001,22.18,21.610001,21.620001,21.620001,277800
2014-04-14,21.84,21.93,21.49,21.879999,21.879999,240500
2014-04-15,21.91,22.049999,21.23,21.84,21.84,178400
2014-04-16,22.02,22.18,21.84,21.93,21.93,163100
2014-04-17,21.940001,22.42,21.92,22.26,22.26,363800
2014-04-21,22.33,22.450001,21.98,22.389999,22.389999,426400
2014-04-22,22.370001,22.74,21.93,22.389999,22.389999,690600
2014-04-23,22.35,22.620001,22.09,22.27,22.27,228700
2014-04-24,22.33,22.34,21.809999,22.27,22.27,279900
2014-04-25,22.24,22.4,21.84,21.969999,21.969999,229400
2014-04-28,22.0,22.17,21.139999,21.4,21.4,360900
2014-04-29,21.52,22.809999,21.379999,22.459999,22.459999,1010600
2014-04-30,22.5,23.83,22.43,23.68,23.68,669600
2014-05-01,23.6,24.0,23.4,23.870001,23.870001,475100
2014-05-02,23.91,25.309999,23.91,25.129999,25.129999,402800
2014-05-05,24.91,25.4,24.450001,25.0,25.0,269400
2014-05-06,24.99,25.040001,24.389999,24.66,24.66,266200
2014-05-07,24.809999,24.98,24.34,24.93,24.93,317500
2014-05-08,24.950001,25.4,24.299999,24.360001,24.360001,225000
2014-05-09,24.25,24.719999,24.1,24.42,24.42,212400
2014-05-12,24.559999,24.969999,24.459999,24.77,24.77,201800
2014-05-13,24.790001,24.790001,23.93,23.959999,23.959999,307000
2014-05-14,23.98,23.98,22.84,23.040001,23.040001,371700
2014-05-15,22.98,23.129999,22.219999,23.030001,23.030001,465200
2014-05-16,23.1,23.389999,22.709999,23.290001,23.290001,302300
2014-05-19,23.219999,23.58,22.959999,23.58,23.58,314300
2014-05-20,23.41,23.610001,22.620001,23.1,23.1,252800
2014-05-21,23.110001,23.43,22.85,23.17,23.17,158900
2014-05-22,23.08,23.610001,22.870001,22.889999,22.889999,275800
2014-05-23,22.92,23.15,22.76,23.040001,23.040001,286000
2014-05-27,23.190001,23.33,23.059999,23.18,23.18,187400
2014-05-28,23.200001,23.219999,22.74,22.77,22.77,216900
2014-05-29,22.91,22.91,22.200001,22.75,22.75,376400
2014-05-30,22.799999,23.07,22.74,22.959999,22.959999,247700
2014-06-02,23.040001,23.280001,22.629999,23.030001,23.030001,246900
2014-06-03,23.01,23.34,22.48,22.969999,22.969999,389000
2014-06-04,22.83,23.450001,22.83,23.309999,23.309999,146100
2014-06-05,23.299999,24.030001,23.15,23.809999,23.809999,229300
2014-06-06,23.950001,24.35,23.809999,23.85,23.85,173400
2014-06-09,23.780001,24.059999,23.52,23.559999,23.559999,211900
2014-06-10,23.49,23.629999,23.42,23.540001,23.540001,221500
2014-06-11,23.51,23.549999,23.23,23.389999,23.389999,117800
2014-06-12,23.290001,23.540001,23.030001,23.43,23.43,131400
2014-06-13,23.450001,23.6,22.9,23.209999,23.209999,167200
2014-06-16,23.23,24.459999,23.110001,24.299999,24.299999,196600
2014-06-17,24.190001,24.959999,24.17,24.629999,24.629999,182900
2014-06-18,24.58,25.07,24.41,25.030001,25.030001,184400
2014-06-19,25.1,25.129999,24.59,24.83,24.83,187200
2014-06-20,24.940001,25.25,24.700001,25.110001,25.110001,615400
2014-06-23,25.17,26.0,24.889999,25.98,25.98,310700
2014-06-24,25.870001,26.200001,25.24,25.280001,25.280001,308100
2014-06-25,25.18,25.74,25.0,25.66,25.66,161300
2014-06-26,25.6,25.74,25.15,25.620001,25.620001,150200
2014-06-27,25.360001,25.360001,23.809999,24.32,24.32,1424200
2014-06-30,24.18,24.51,23.940001,24.07,24.07,313000
2014-07-01,24.16,24.42,24.01,24.110001,24.110001,401900
2014-07-02,24.07,24.27,23.52,23.6,23.6,244200
2014-07-03,23.690001,24.02,23.690001,23.75,23.75,220400
2014-07-07,23.68,23.68,22.75,22.780001,22.780001,335200
2014-07-08,22.73,22.77,22.16,22.23,22.23,397000
2014-07-09,22.25,22.459999,22.049999,22.25,22.25,343000
2014-07-10,21.879999,21.99,21.59,21.870001,21.870001,438200
2014-07-11,21.809999,22.08,21.610001,21.93,21.93,341900
2014-07-14,22.129999,22.280001,22.030001,22.139999,22.139999,200300
2014-07-15,22.030001,22.110001,21.66,21.91,21.91,218300
2014-07-16,22.0,22.0,21.719999,21.809999,21.809999,189700
2014-07-17,21.690001,21.959999,21.65,21.809999,21.809999,296900
2014-07-18,21.82,22.120001,21.82,22.049999,22.049999,227800
2014-07-21,21.940001,22.01,21.75,21.85,21.85,203700
2014-07-22,21.870001,22.32,21.870001,22.26,22.26,179000
2014-07-23,22.290001,22.469999,22.01,22.299999,22.299999,197600
2014-07-24,22.32,22.540001,22.129999,22.370001,22.370001,420300
2014-07-25,22.209999,22.58,22.200001,22.530001,22.530001,219600
2014-07-28,22.58,23.059999,22.540001,23.01,23.01,255900
2014-07-29,23.0,23.32,22.950001,23.139999,23.139999,287800
2014-07-30,23.24,23.5,23.200001,23.49,23.49,161800
2014-07-31,23.299999,23.58,23.25,23.309999,23.309999,302200
2014-08-01,23.33,23.690001,23.200001,23.35,23.35,314100
2014-08-04,23.4,23.51,23.059999,23.290001,23.290001,330100
2014-08-05,22.530001,23.01,22.379999,22.879999,22.879999,482700
2014-08-06,22.780001,23.01,22.59,22.620001,22.620001,371700
2014-08-07,22.610001,22.870001,22.290001,22.32,22.32,297200
2014-08-08,22.299999,22.370001,22.030001,22.07,22.07,309500
2014-08-11,22.129999,22.52,21.969999,22.34,22.34,413700
2014-08-12,22.360001,22.52,22.139999,22.190001,22.190001,287800
2014-08-13,22.58,22.620001,22.16,22.4,22.4,306200
2014-08-14,22.4,22.4,18.67,19.42,19.42,2280700
2014-08-15,19.17,19.93,18.4,19.65,19.65,1060300
2014-08-18,19.65,19.65,19.1,19.5,19.5,724600
2014-08-19,19.530001,19.67,19.370001,19.48,19.48,439300
2014-08-20,19.4,19.6,19.309999,19.4,19.4,357500
2014-08-21,19.43,19.639999,19.290001,19.549999,19.549999,351600
2014-08-22,19.559999,20.110001,19.459999,20.049999,20.049999,576500
2014-08-25,20.09,20.15,19.93,20.030001,20.030001,265300
2014-08-26,19.969999,20.07,19.290001,19.299999,19.299999,574000
2014-08-27,19.24,19.34,18.9,18.969999,18.969999,423300
2014-08-28,18.91,19.040001,18.68,18.74,18.74,513900
2014-08-29,18.74,18.889999,18.719999,18.83,18.83,245400
2014-09-02,18.9,18.9,18.35,18.5,18.5,548200
2014-09-03,18.549999,18.75,18.34,18.459999,18.459999,591900
2014-09-04,18.469999,18.719999,18.139999,18.17,18.17,285300
2014-09-05,18.17,18.200001,17.950001,18.110001,18.110001,357100
2014-09-08,18.120001,18.32,18.01,18.309999,18.309999,457900
2014-09-09,18.200001,18.200001,17.280001,17.389999,17.389999,688600
2014-09-10,17.42,17.83,17.360001,17.780001,17.780001,376700
2014-09-11,17.700001,17.9,17.51,17.629999,17.629999,772500
2014-09-12,17.65,17.700001,17.48,17.59,17.59,540600
2014-09-15,17.639999,17.690001,17.459999,17.58,17.58,335900
2014-09-16,17.540001,17.58,17.309999,17.370001,17.370001,342600
2014-09-17,17.35,17.58,17.33,17.42,17.42,332000
2014-09-18,17.440001,17.52,17.24,17.290001,17.290001,112300
2014-09-19,17.27,17.32,16.58,16.879999,16.879999,732100
2014-09-22,16.83,17.08,16.719999,17.049999,17.049999,309500
2014-09-23,17.030001,17.17,16.719999,16.799999,16.799999,212100
2014-09-24,16.790001,16.809999,16.67,16.75,16.75,163600
2014-09-25,16.860001,16.860001,16.370001,16.389999,16.389999,213700
2014-09-26,16.389999,16.610001,16.34,16.540001,16.540001,222200
2014-09-29,16.41,16.5,16.32,16.35,16.35,235600
2014-09-30,16.389999,16.41,15.96,15.96,15.96,220900
2014-10-01,15.91,15.97,15.73,15.89,15.89,289400
2014-10-02,15.86,16.35,15.86,16.25,16.25,247600
2014-10-03,16.32,16.42,16.18,16.299999,16.299999,193900
2014-10-06,16.299999,16.59,16.15,16.469999,16.469999,366900
2014-10-07,16.43,16.43,15.6,15.83,15.83,1366800
2014-10-08,15.82,16.08,15.49,15.99,15.99,775600
2014-10-09,14.99,15.36,14.53,14.87,14.87,1409300
2014-10-10,14.66,14.84,13.82,13.82,13.82,563200
2014-10-13,13.8,13.8,13.0,13.05,13.05,680200
2014-10-14,13.16,13.71,12.94,13.63,13.63,578000
2014-10-15,13.43,14.13,13.11,14.0,14.0,880800
2014-10-16,13.85,14.73,13.85,14.65,14.65,849000
2014-10-17,14.84,15.08,14.67,14.73,14.73,457400
2014-10-20,14.72,15.05,14.72,15.03,15.03,379400
2014-10-21,15.08,15.33,14.83,15.04,15.04,366600
2014-10-22,15.04,15.16,14.84,14.87,14.87,313400
2014-10-23,14.98,15.28,14.91,14.99,14.99,287400
2014-10-24,14.89,15.08,14.73,14.97,14.97,153900
2014-10-27,14.93,14.97,14.73,14.89,14.89,133800
2014-10-28,14.91,15.26,14.88,15.24,15.24,542500
2014-10-29,15.29,15.58,15.11,15.15,15.15,408400
2014-10-30,15.13,15.27,12.97,12.98,12.98,1072900
2014-10-31,13.1,13.2,12.3,12.4,12.4,1040500
2014-11-03,12.4,12.56,12.16,12.25,12.25,506200
2014-11-04,12.26,12.45,12.18,12.24,12.24,612000
2014-11-05,12.29,12.29,11.62,11.64,11.64,984700
