Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,3.34,3.34,3.34,3.34,3.34,100
2013-07-17,3.33,3.42,3.19,3.19,3.19,5569
2013-07-18,3.19,3.19,3.19,3.19,3.19,200
2013-07-19,3.28,3.281,3.27,3.28,3.28,4300
2013-07-22,3.33,3.33,3.21,3.21,3.21,1100
2013-07-23,3.33,3.33,3.33,3.33,3.33,9
2013-07-24,3.31,3.42,3.31,3.35,3.35,3339
2013-07-25,3.42,3.42,3.24,3.24,3.24,3261
2013-07-26,3.24,3.24,3.24,3.24,3.24,100
2013-07-29,3.23,3.41,3.23,3.41,3.41,230
2013-07-30,3.34,3.42,3.24,3.24,3.24,3500
2013-07-31,3.16,3.2,3.07,3.15,3.15,3798
2013-08-01,3.26,3.27,3.175,3.2499,3.2499,10775
2013-08-02,3.28,3.3,3.25,3.3,3.3,11452
2013-08-05,3.32,3.45,3.336,3.45,3.45,7277
2013-08-06,3.47,3.54,3.4,3.53,3.53,7161
2013-08-07,3.53,3.53,3.449,3.45,3.45,7000
2013-08-08,3.5,3.72,3.48,3.69,3.69,21991
2013-08-09,3.76,4.32,3.463,4.29,4.29,13057
2013-08-12,4.3,4.42,3.6001,3.84,3.84,11365
2013-08-13,3.95,3.99,3.85,3.86,3.86,1010
2013-08-14,3.99,4.0,3.99,4.0,4.0,400
2013-08-15,3.915,3.98,3.8158,3.98,3.98,4906
2013-08-16,3.73,3.75,3.72,3.73,3.73,2300
2013-08-19,3.98,4.0,3.84,3.96,3.96,1130
2013-08-20,3.95,3.95,3.95,3.95,3.95,30
2013-08-21,3.96,3.96,3.96,3.96,3.96,1
2013-08-22,3.93,3.93,3.93,3.93,3.93,2
2013-08-23,3.95,3.95,3.8,3.93,3.93,767
2013-08-26,3.9,3.9,3.9,3.9,3.9,2
2013-08-27,3.78,3.87,3.77,3.87,3.87,761
2013-08-28,3.76,3.76,3.76,3.76,3.76,2
2013-08-29,3.82,3.82,3.76,3.76,3.76,2195
2013-08-30,3.76,3.76,3.76,3.76,3.76,100
2013-09-03,3.59,3.59,3.55,3.55,3.55,1500
2013-09-04,3.58,3.87,3.55,3.6085,3.6085,3177
2013-09-05,3.75,3.75,3.75,3.75,3.75,35
2013-09-06,3.79,3.79,3.79,3.79,3.79,122
2013-09-09,3.58,3.59,3.5,3.56,3.56,5194
2013-09-10,3.79,3.88,3.79,3.88,3.88,2043
2013-09-11,3.88,3.88,3.88,3.88,3.88,25
2013-09-12,3.89,3.89,3.89,3.89,3.89,25
2013-09-13,3.78,3.78,3.75,3.75,3.75,3270
2013-09-16,3.75,3.75,3.75,3.75,3.75,1000
2013-09-17,3.78,3.78,3.78,3.78,3.78,25
2013-09-18,3.82,3.82,3.82,3.82,3.82,3
2013-09-19,3.8,3.92,3.79,3.92,3.92,3784
2013-09-20,3.93,3.93,3.801,3.93,3.93,2117
2013-09-23,3.84,3.84,3.83,3.831,3.831,629
2013-09-24,3.85,3.9,3.78,3.9,3.9,54348
2013-09-25,3.9,3.9,3.9,3.9,3.9,47
2013-09-26,3.92,3.92,3.92,3.92,3.92,973
2013-09-27,3.63,3.63,3.63,3.63,3.63,100
2013-09-30,3.46,3.93,3.43,3.93,3.93,1945
2013-10-01,3.93,3.93,3.93,3.93,3.93,0
2013-10-02,3.9,3.9,3.9,3.9,3.9,1
2013-10-03,3.74,3.74,3.74,3.74,3.74,2
2013-10-04,3.76,3.8,3.43,3.43,3.43,5088
2013-10-07,3.45,3.87,3.45,3.87,3.87,5302
2013-10-08,3.86,3.86,3.86,3.86,3.86,200
2013-10-09,3.75,3.78,3.351,3.41,3.41,10694
2013-10-10,3.65,3.65,3.5,3.5,3.5,1650
2013-10-11,3.62,3.6925,3.55,3.57,3.57,5531
2013-10-14,3.32,3.32,3.32,3.32,3.32,100
2013-10-15,3.35,3.55,3.35,3.5,3.5,900
2013-10-16,3.4,3.59,3.351,3.59,3.59,300
2013-10-17,3.52,3.66,3.49,3.52,3.52,800
2013-10-18,3.48,3.51,3.3775,3.46,3.46,7360
2013-10-21,3.38,3.42,3.11,3.15,3.15,57909
2013-10-22,3.28,3.34,3.119,3.119,3.119,4200
2013-10-23,3.2,3.262,3.15,3.16,3.16,963
2013-10-24,3.16,3.2299,3.16,3.16,3.16,4466
2013-10-25,3.15,3.19,2.68,2.8,2.8,228573
2013-10-28,2.8,3.04,2.8,2.99,2.99,76201
2013-10-29,3.09,3.09,2.95,2.9596,2.9596,12198
2013-10-30,3.04,3.05,2.97,3.05,3.05,667
2013-10-31,2.87,2.99,2.85,2.88,2.88,3694
2013-11-01,2.87,2.87,2.85,2.86,2.86,8369
2013-11-04,2.87,2.97,2.8,2.85,2.85,142839
2013-11-05,2.87,2.96,2.86,2.96,2.96,51300
2013-11-06,2.95,3.01,2.95,3.01,3.01,109034
2013-11-07,2.97,3.01,2.949,2.949,2.949,18736
2013-11-08,2.97,2.98,2.95,2.98,2.98,300
2013-11-11,2.96,2.96,2.89,2.94,2.94,11300
2013-11-12,2.91,2.977,2.85,2.95,2.95,28269
2013-11-13,2.88,3.0,2.86,2.91,2.91,14900
2013-11-14,2.93,2.95,2.86,2.94,2.94,16262
2013-11-15,2.94,2.979,2.85,2.9,2.9,21953
2013-11-18,2.92,2.92,2.85,2.85,2.85,24172
2013-11-19,2.82,2.8504,2.8,2.8,2.8,24170
2013-11-20,2.83,2.909,2.7,2.75,2.75,149488
2013-11-21,2.79,2.879,2.79,2.79,2.79,1000
2013-11-22,2.87,2.89,2.8,2.81,2.81,3651
2013-11-25,2.76,2.815,2.7,2.76,2.76,3400
2013-11-26,2.71,2.71,2.65,2.71,2.71,26003
2013-11-27,2.71,2.781,2.71,2.78,2.78,8100
2013-11-29,2.82,2.82,2.77,2.81,2.81,5805
2013-12-02,2.83,2.92,2.83,2.92,2.92,500
2013-12-03,2.95,2.96,2.89,2.95,2.95,14753
2013-12-04,2.88,2.88,2.76,2.85,2.85,28725
2013-12-05,2.93,2.94,2.75,2.85,2.85,199785
2013-12-06,2.83,2.93,2.789,2.83,2.83,4858
2013-12-09,2.91,2.95,2.78,2.95,2.95,9259
2013-12-10,2.9,2.92,2.89,2.89,2.89,1232
2013-12-11,2.89,2.91,2.81,2.81,2.81,8262
2013-12-12,2.94,2.94,2.94,2.94,2.94,350
2013-12-13,2.95,2.95,2.95,2.95,2.95,3325
2013-12-16,2.89,2.95,2.89,2.95,2.95,6981
2013-12-17,2.94,2.96,2.94,2.96,2.96,5373
2013-12-18,2.96,3.02,2.96,3.0,3.0,4304
2013-12-19,3.0,3.0,3.0,3.0,3.0,40
2013-12-20,2.89,3.25,2.89,3.25,3.25,21202
2013-12-23,3.2,3.24,3.1627,3.24,3.24,3492
2013-12-24,3.17,3.17,3.17,3.17,3.17,150
2013-12-26,3.05,3.05,3.05,3.05,3.05,308
2013-12-27,3.11,3.11,3.0633,3.0633,3.0633,753
2013-12-30,3.1,3.11,3.0,3.1,3.1,34964
2013-12-31,3.21,3.21,3.11,3.1399,3.1399,10236
2014-01-02,3.15,3.17,3.15,3.15,3.15,2131
2014-01-03,3.16,3.23,3.16,3.1786,3.1786,766
2014-01-06,3.24,3.24,3.23,3.23,3.23,249
2014-01-07,3.24,3.24,3.2399,3.24,3.24,2552
2014-01-08,3.12,3.22,3.05,3.12,3.12,2334
2014-01-09,3.11,3.245,3.1,3.24,3.24,8761
2014-01-10,3.25,3.25,3.24,3.24,3.24,717
2014-01-13,3.24,3.27,3.24,3.25,3.25,10674
2014-01-14,3.17,3.26,3.17,3.255,3.255,1880
2014-01-15,3.3,3.364,3.22,3.26,3.26,4276
2014-01-16,3.31,3.351,3.26,3.351,3.351,3704
2014-01-17,3.2499,3.2499,3.2499,3.2499,3.2499,100
2014-01-21,3.18,3.18,3.05,3.06,3.06,3244
2014-01-22,3.07,3.22,3.07,3.17,3.17,1244
2014-01-23,3.2,3.23,3.1,3.15,3.15,9332
2014-01-24,3.08,3.08,3.08,3.08,3.08,542
2014-01-27,3.06,3.13,3.01,3.01,3.01,1587
2014-01-28,3.13,3.13,3.13,3.13,3.13,332
2014-01-29,3.14,3.15,3.12,3.15,3.15,4671
2014-01-30,3.2,3.2,3.2,3.2,3.2,100
2014-01-31,3.02,3.35,3.02,3.35,3.35,607
2014-02-03,3.141,3.141,3.13,3.141,3.141,2102
2014-02-04,3.18,3.3099,3.18,3.3,3.3,950
2014-02-05,3.07,3.2,3.02,3.2,3.2,6500
2014-02-06,2.9,2.93,2.89,2.89,2.89,1310
2014-02-07,3.1,3.25,3.1,3.13,3.13,2876
