Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,18.16,18.16,17.51,17.889999,17.889999,20300
2013-07-17,17.98,18.24,17.790001,17.889999,17.889999,16000
2013-07-18,17.92,19.09,17.92,18.799999,18.799999,117100
2013-07-19,18.83,19.700001,18.74,19.59,19.59,34200
2013-07-22,19.790001,19.99,19.59,19.66,19.66,34300
2013-07-23,19.66,19.799999,18.65,18.719999,18.719999,33800
2013-07-24,18.700001,18.700001,17.860001,18.48,18.48,25200
2013-07-25,18.219999,18.59,18.18,18.42,18.42,9900
2013-07-26,18.48,18.48,18.26,18.35,18.35,10000
2013-07-29,18.27,18.5,18.02,18.1,18.1,19900
2013-07-30,18.24,18.379999,17.549999,17.559999,17.559999,25500
2013-07-31,17.549999,17.93,17.549999,17.68,17.68,12300
2013-08-01,17.65,17.950001,17.65,17.73,17.73,9100
2013-08-02,17.85,18.120001,17.25,17.719999,17.719999,28700
2013-08-05,17.65,18.379999,17.549999,18.27,18.27,7500
2013-08-06,18.23,18.49,17.83,18.4,18.4,21500
2013-08-07,18.17,18.41,17.860001,17.92,17.92,20900
2013-08-08,18.07,18.24,17.82,17.92,17.92,9100
2013-08-09,17.74,17.84,17.6,17.74,17.74,12100
2013-08-12,17.51,17.67,17.34,17.66,17.66,11200
2013-08-13,17.559999,17.91,17.42,17.91,17.91,28300
2013-08-14,18.09,19.0,18.01,18.66,18.66,77100
2013-08-15,17.77,17.77,16.030001,17.0,17.0,182800
2013-08-16,16.809999,16.809999,16.0,16.42,16.42,55600
2013-08-19,16.5,16.719999,15.75,15.85,15.85,40200
2013-08-20,16.040001,16.280001,15.87,16.07,16.07,27400
2013-08-21,16.23,16.25,15.47,15.47,15.47,30100
2013-08-22,16.120001,16.16,14.7,16.1,16.1,31900
2013-08-23,16.200001,16.98,15.6,16.27,16.27,26700
2013-08-26,16.26,16.26,15.34,15.44,15.44,14300
2013-08-27,15.22,15.35,14.51,14.75,14.75,26500
2013-08-28,14.72,14.85,14.3,14.32,14.32,16600
2013-08-29,14.33,14.8,14.33,14.72,14.72,5900
2013-08-30,14.66,14.89,14.02,14.17,14.17,42000
2013-09-03,14.29,14.43,14.07,14.14,14.14,5800
2013-09-04,14.14,14.14,13.8,13.88,13.88,30600
2013-09-05,13.86,13.86,12.91,13.0,13.0,46800
2013-09-06,13.0,13.43,12.69,12.83,12.83,51900
2013-09-09,12.91,14.16,12.91,14.02,14.02,26400
2013-09-10,14.13,14.24,13.44,13.69,13.69,24000
2013-09-11,13.66,13.92,13.25,13.27,13.27,13200
2013-09-12,13.32,13.49,13.13,13.13,13.13,15100
2013-09-13,13.14,13.84,13.02,13.28,13.28,26900
2013-09-16,13.47,13.61,13.2,13.23,13.23,41800
2013-09-17,13.13,13.55,13.13,13.21,13.21,30500
2013-09-18,13.25,13.46,12.98,13.06,13.06,62400
2013-09-19,13.07,13.08,12.5,12.84,12.84,45000
2013-09-20,12.84,14.25,12.83,14.09,14.09,67400
2013-09-23,14.0,14.17,13.85,13.86,13.86,14100
2013-09-24,13.7,13.84,13.7,13.71,13.71,7600
2013-09-25,13.69,13.98,13.59,13.76,13.76,25100
2013-09-26,13.83,13.99,13.62,13.78,13.78,18700
2013-09-27,13.74,13.94,13.26,13.62,13.62,8500
2013-09-30,13.52,13.61,13.41,13.51,13.51,11800
2013-10-01,13.54,13.62,13.0,13.08,13.08,28600
2013-10-02,12.95,13.13,12.95,13.02,13.02,11500
2013-10-03,13.06,13.1,12.87,13.02,13.02,9000
2013-10-04,12.99,13.63,12.85,13.34,13.34,38700
2013-10-07,13.18,13.79,13.11,13.18,13.18,15400
2013-10-08,13.22,13.22,12.86,12.86,12.86,13300
2013-10-09,12.92,13.14,12.9,12.92,12.92,12000
2013-10-10,13.17,13.71,13.09,13.71,13.71,20100
2013-10-11,13.64,13.79,13.08,13.73,13.73,13000
2013-10-14,13.64,13.96,13.53,13.9,13.9,18600
2013-10-15,13.9,13.95,13.72,13.87,13.87,11500
2013-10-16,13.96,14.19,13.68,13.83,13.83,12700
2013-10-17,13.89,14.18,13.67,14.03,14.03,12100
2013-10-18,14.21,15.23,14.2,15.03,15.03,26000
2013-10-21,15.0,15.01,14.65,14.68,14.68,5700
2013-10-22,14.81,15.35,14.36,14.86,14.86,15000
2013-10-23,14.78,15.15,14.65,15.04,15.04,7200
2013-10-24,15.15,15.15,14.8,14.98,14.98,11200
