Date,Open,High,Low,Close,Adj Close,Volume
2022-06-02,3.0,3.0,3.0,3.0,3.0,300
2022-06-03,3.0,3.0,2.0,2.0,2.0,1700
2022-06-06,2.0,2.0,2.0,2.0,2.0,0
2022-06-07,2.0,2.0,2.0,2.0,2.0,0
2022-06-08,2.0,2.0,2.0,2.0,2.0,0
2022-06-09,2.0,2.0,2.0,2.0,2.0,0
2022-06-10,2.0,2.0,2.0,2.0,2.0,0
2022-06-13,2.0,2.0,2.0,2.0,2.0,0
2022-06-14,2.0,2.0,2.0,2.0,2.0,0
2022-06-15,2.0,2.0,2.0,2.0,2.0,0
2022-06-16,2.0,2.0,2.0,2.0,2.0,0
2022-06-17,2.0,2.0,2.0,2.0,2.0,0
2022-06-21,2.0,2.0,2.0,2.0,2.0,0
2022-06-22,2.0,2.0,2.0,2.0,2.0,0
2022-06-23,2.0,2.0,2.0,2.0,2.0,0
2022-06-24,2.0,2.0,2.0,2.0,2.0,0
2022-06-27,2.0,2.0,2.0,2.0,2.0,0
2022-06-28,2.0,2.0,2.0,2.0,2.0,0
2022-06-29,2.0,2.0,2.0,2.0,2.0,0
2022-06-30,2.0,2.0,2.0,2.0,2.0,0
2022-07-01,2.0,2.0,2.0,2.0,2.0,0
2022-07-05,2.0,2.0,2.0,2.0,2.0,0
2022-07-06,2.0,2.0,2.0,2.0,2.0,0
2022-07-07,2.0,2.0,2.0,2.0,2.0,0
2022-07-08,2.0,2.0,2.0,2.0,2.0,0
2022-07-11,2.0,2.0,2.0,2.0,2.0,0
2022-07-12,2.0,2.0,2.0,2.0,2.0,0
2022-07-13,2.0,2.0,2.0,2.0,2.0,0
2022-07-14,2.0,2.0,2.0,2.0,2.0,0
2022-07-15,2.0,2.0,2.0,2.0,2.0,0
2022-07-18,2.0,2.0,2.0,2.0,2.0,0
2022-07-19,2.0,2.0,2.0,2.0,2.0,0
2022-07-20,2.0,2.0,2.0,2.0,2.0,0
2022-07-21,2.0,2.0,2.0,2.0,2.0,0
2022-07-22,2.0,2.0,2.0,2.0,2.0,0
2022-07-25,2.0,2.0,2.0,2.0,2.0,0
2022-07-26,2.0,2.0,2.0,2.0,2.0,0
2022-07-27,2.0,2.0,2.0,2.0,2.0,0
2022-07-28,2.0,2.0,2.0,2.0,2.0,0
2022-07-29,2.0,2.0,2.0,2.0,2.0,0
2022-08-01,2.0,2.0,2.0,2.0,2.0,0
2022-08-02,2.0,2.0,2.0,2.0,2.0,0
2022-08-03,2.0,2.0,2.0,2.0,2.0,0
2022-08-04,2.0,2.0,2.0,2.0,2.0,0
2022-08-05,2.0,2.0,2.0,2.0,2.0,0
2022-08-08,2.0,2.0,2.0,2.0,2.0,0
2022-08-09,2.0,2.0,2.0,2.0,2.0,0
2022-08-10,2.0,2.0,2.0,2.0,2.0,0
2022-08-11,2.0,2.0,2.0,2.0,2.0,0
2022-08-12,2.0,2.0,2.0,2.0,2.0,0
2022-08-15,2.0,2.0,2.0,2.0,2.0,0
2022-08-16,2.0,2.0,2.0,2.0,2.0,0
2022-08-17,2.0,2.0,2.0,2.0,2.0,0
2022-08-18,2.0,2.0,2.0,2.0,2.0,0
