Date,Open,High,Low,Close,Adj Close,Volume
2014-02-06,7.61,7.61,7.61,7.61,7.61,200
2014-02-07,7.61,7.61,7.61,7.61,7.61,0
2014-02-10,7.61,7.61,7.61,7.61,7.61,0
2014-02-11,7.61,7.61,7.61,7.61,7.61,0
2014-02-12,7.61,7.61,7.61,7.61,7.61,0
2014-02-13,7.61,7.61,7.61,7.61,7.61,0
2014-02-14,7.61,7.61,7.61,7.61,7.61,0
2014-02-18,7.61,7.61,7.61,7.61,7.61,0
2014-02-19,7.61,7.61,7.61,7.61,7.61,0
2014-02-20,7.61,7.61,7.61,7.61,7.61,0
2014-02-21,7.61,7.61,7.61,7.61,7.61,0
2014-02-24,7.61,7.61,7.61,7.61,7.61,0
2014-02-25,7.61,7.61,7.61,7.61,7.61,0
2014-02-26,7.61,7.61,7.61,7.61,7.61,0
2014-02-27,7.61,7.61,7.61,7.61,7.61,0
2014-02-28,7.61,7.61,7.61,7.61,7.61,0
2014-03-03,7.61,7.61,7.61,7.61,7.61,0
2014-03-04,7.61,7.61,7.61,7.61,7.61,0
2014-03-05,7.61,7.61,7.61,7.61,7.61,0
2014-03-06,7.61,7.61,7.61,7.61,7.61,0
2014-03-07,7.61,7.61,7.61,7.61,7.61,0
2014-03-10,7.61,7.61,7.61,7.61,7.61,0
2014-03-11,7.61,7.61,7.61,7.61,7.61,0
2014-03-12,7.61,7.61,7.61,7.61,7.61,0
2014-03-13,7.61,7.61,7.61,7.61,7.61,0
2014-03-14,7.61,7.61,7.61,7.61,7.61,0
2014-03-17,7.61,7.61,7.61,7.61,7.61,0
2014-03-18,7.61,7.61,7.61,7.61,7.61,0
2014-03-19,7.61,7.61,7.61,7.61,7.61,0
2014-03-20,7.61,7.61,7.61,7.61,7.61,0
2014-03-21,7.61,7.61,7.61,7.61,7.61,0
2014-03-24,7.61,7.61,7.61,7.61,7.61,0
2014-03-25,7.61,7.61,7.61,7.61,7.61,0
2014-03-26,7.61,7.61,7.61,7.61,7.61,0
2014-03-27,7.61,7.61,7.61,7.61,7.61,0
2014-03-28,7.61,7.61,7.61,7.61,7.61,0
2014-03-31,7.61,7.61,7.61,7.61,7.61,0
2014-04-01,7.61,7.61,7.61,7.61,7.61,0
2014-04-02,7.61,7.61,7.61,7.61,7.61,0
2014-04-03,7.61,7.61,7.61,7.61,7.61,0
2014-04-04,7.61,7.61,7.61,7.61,7.61,0
2014-04-07,7.61,7.61,7.61,7.61,7.61,0
2014-04-08,7.61,7.61,7.61,7.61,7.61,0
2014-04-09,7.61,7.61,7.61,7.61,7.61,0
2014-04-10,7.61,7.61,7.61,7.61,7.61,0
2014-04-11,7.61,7.61,7.61,7.61,7.61,0
2014-04-14,7.61,7.61,7.61,7.61,7.61,0
2014-04-15,7.61,7.61,7.61,7.61,7.61,0
2014-04-16,7.61,7.61,7.61,7.61,7.61,0
2014-04-17,7.61,7.61,7.61,7.61,7.61,0
2014-04-21,7.61,7.61,7.61,7.61,7.61,0
2014-04-22,7.61,7.61,7.61,7.61,7.61,0
2014-04-23,7.61,7.61,7.61,7.61,7.61,0
2014-04-24,7.61,7.61,7.61,7.61,7.61,0
2014-04-25,7.61,7.61,7.61,7.61,7.61,0
2014-04-28,7.61,7.61,7.61,7.61,7.61,0
2014-04-29,7.61,7.61,7.61,7.61,7.61,0
2014-04-30,7.61,7.61,7.61,7.61,7.61,0
2014-05-01,7.61,7.61,7.61,7.61,7.61,0
2014-05-02,7.61,7.61,7.61,7.61,7.61,0
2014-05-05,7.61,7.61,7.61,7.61,7.61,0
2014-05-06,7.61,7.61,7.61,7.61,7.61,0
2014-05-07,7.61,7.61,7.61,7.61,7.61,0
2014-05-08,7.61,7.61,7.61,7.61,7.61,0
2014-05-09,7.61,7.61,7.61,7.61,7.61,0
2014-05-12,7.61,7.61,7.61,7.61,7.61,0
2014-05-13,7.61,7.61,7.61,7.61,7.61,0
2014-05-14,7.61,7.61,7.61,7.61,7.61,0
2014-05-15,7.61,7.61,7.61,7.61,7.61,0
2014-05-16,7.61,7.61,7.61,7.61,7.61,0
2014-05-19,7.61,7.61,7.61,7.61,7.61,0
2014-05-20,7.61,7.61,7.61,7.61,7.61,0
2014-05-21,7.61,7.61,7.61,7.61,7.61,0
2014-05-22,7.61,7.61,7.61,7.61,7.61,0
2014-05-23,7.61,7.61,7.61,7.61,7.61,0
2014-05-27,7.61,7.61,7.61,7.61,7.61,0
2014-05-28,7.61,7.61,7.61,7.61,7.61,0
2014-05-29,7.61,7.61,7.61,7.61,7.61,0
2014-05-30,7.61,7.61,7.61,7.61,7.61,0
2014-06-02,7.61,7.61,7.61,7.61,7.61,0
2014-06-03,7.61,7.61,7.61,7.61,7.61,0
2014-06-04,7.61,7.61,7.61,7.61,7.61,0
2014-06-05,7.61,7.61,7.61,7.61,7.61,0
2014-06-06,7.61,7.61,7.61,7.61,7.61,0
2014-06-09,8.155,8.155,8.155,8.155,8.155,200
2014-06-10,8.155,8.155,8.155,8.155,8.155,0
2014-06-11,8.155,8.155,8.155,8.155,8.155,0
2014-06-12,8.155,8.155,8.155,8.155,8.155,0
2014-06-13,8.155,8.155,8.155,8.155,8.155,0
2014-06-16,8.155,8.155,8.155,8.155,8.155,0
2014-06-17,8.155,8.155,8.155,8.155,8.155,0
2014-06-18,8.155,8.155,8.155,8.155,8.155,0
2014-06-19,8.155,8.155,8.155,8.155,8.155,0
2014-06-20,8.155,8.155,8.155,8.155,8.155,0
2014-06-23,8.155,8.155,8.155,8.155,8.155,0
