Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,5.46,5.54,5.33,5.49,5.103441,26400
2013-07-17,5.48,5.75,5.46,5.61,5.214991,65000
2013-07-18,5.66,5.71,5.6,5.62,5.224286,14700
2013-07-19,5.7,5.7,5.6,5.65,5.252175,5800
2013-07-22,5.61,5.7,5.55,5.67,5.270766,50600
2013-07-23,5.6,5.69,5.42,5.51,5.122033,20500
2013-07-24,5.5,5.5,5.26,5.31,4.936116,11300
2013-07-25,5.42,5.42,5.18,5.18,4.815268,23600
2013-07-26,5.19,5.3,4.83,5.06,4.703718,28200
2013-07-29,5.0,5.1,4.98,5.08,4.72231,41700
2013-07-30,5.13,5.25,5.05,5.25,4.880341,14600
2013-07-31,5.3,5.6,5.2,5.59,5.196399,60900
2013-08-01,5.55,5.8,5.55,5.68,5.280063,56400
2013-08-02,5.72,5.92,5.72,5.8,5.391613,28300
2013-08-05,5.8,6.01,5.6,5.97,5.549643,69900
2013-08-06,6.0,6.1,5.77,6.09,5.661194,112400
2013-08-07,6.04,6.11,5.77,6.05,5.62401,52800
2013-08-08,6.05,6.08,5.98,6.08,5.651898,15000
2013-08-09,6.07,6.07,5.86,5.94,5.521756,45100
2013-08-12,5.99,6.12,5.9,6.12,5.68908,61700
2013-08-13,5.97,6.18,5.66,6.18,5.744855,36700
2013-08-14,6.18,6.24,6.01,6.1,5.670491,35300
2013-08-15,6.06,6.18,6.06,6.1,5.670491,6300
2013-08-16,6.14,6.15,5.94,5.94,5.521756,2700
2013-08-19,6.0,6.0,5.87,5.9,5.484572,22500
2013-08-20,5.88,5.97,5.8,5.91,5.493866,22200
2013-08-21,5.92,5.97,5.65,5.66,5.261469,13200
2013-08-22,5.7,5.85,5.65,5.79,5.382317,5000
2013-08-23,5.75,5.79,5.7,5.76,5.35443,9700
2013-08-26,5.74,5.75,5.65,5.73,5.326541,9000
2013-08-27,5.65,5.73,5.41,5.41,5.029073,16100
2013-08-28,5.39,5.45,5.25,5.4,5.019778,15900
2013-08-29,5.34,5.58,4.86,5.28,4.908228,37700
2013-08-30,5.24,5.38,4.98,5.04,4.685125,6500
2013-09-03,5.07,5.07,4.75,4.84,4.499208,26200
2013-09-04,4.78,4.95,4.67,4.77,4.434138,8900
2013-09-05,4.78,4.97,4.6,4.82,4.480616,8100
2013-09-06,4.89,5.0,4.88,4.94,4.592166,7900
2013-09-09,4.89,5.0,4.88,4.89,4.545686,11000
2013-09-10,4.98,5.0,4.93,4.93,4.58287,15000
2013-09-11,4.99,5.27,4.98,5.02,4.666533,20200
2013-09-12,5.06,5.1,4.89,5.0,4.647941,6200
2013-09-13,5.08,5.1,4.98,5.0,4.647941,4000
2013-09-16,5.09,5.09,5.0,5.0,4.647941,5600
2013-09-17,5.09,5.1,5.0,5.1,4.740902,8300
2013-09-18,5.07,5.12,5.03,5.03,4.67583,10600
2013-09-19,5.09,5.12,5.0,5.0,4.647941,6000
2013-09-20,5.05,5.34,5.01,5.25,4.880341,49700
2013-09-23,5.29,5.43,5.26,5.4,5.019778,17700
2013-09-24,5.43,5.43,5.3,5.31,4.936116,9700
2013-09-25,5.42,5.42,5.25,5.25,4.880341,11300
2013-09-26,5.26,5.39,4.97,5.26,4.889636,7500
2013-09-27,5.25,5.36,5.25,5.25,4.880341,3000
2013-09-30,5.25,5.33,4.99,5.24,4.871042,18600
2013-10-01,5.28,5.33,4.95,5.11,4.750196,12900
2013-10-02,5.23,5.23,5.0,5.0,4.647941,4600
2013-10-03,5.04,5.22,4.96,5.04,4.685125,15700
2013-10-04,5.24,5.24,5.0,5.01,4.657238,10000
2013-10-07,5.24,5.24,5.0,5.0,4.647941,22500
2013-10-08,5.0,5.17,4.9,4.9,4.554984,16300
2013-10-09,4.99,5.0,4.9,4.91,4.56428,13300
2013-10-10,4.97,5.11,4.88,5.03,4.67583,22900
2013-10-11,5.08,5.22,4.96,5.19,4.824563,38000
2013-10-14,5.1,5.23,5.01,5.17,4.805971,30400
2013-10-15,5.11,5.21,5.06,5.18,4.815268,15700
2013-10-16,5.19,5.2,5.0,5.11,4.750196,16900
2013-10-17,5.09,5.18,5.0,5.09,4.731605,14600
2013-10-18,5.1,5.12,5.01,5.02,4.666533,4200
2013-10-21,5.02,5.09,5.0,5.02,4.666533,2400
2013-10-22,5.04,5.1,5.02,5.02,4.666533,15900
2013-10-23,5.07,5.07,5.02,5.05,4.694421,11400
2013-10-24,5.07,5.1,5.05,5.07,4.713012,4100
2013-10-25,5.1,5.1,5.02,5.08,4.72231,10000
2013-10-28,5.09,5.1,5.04,5.09,4.731605,5500
2013-10-29,5.1,5.1,5.05,5.1,4.740902,5100
2013-10-30,5.1,5.1,5.04,5.07,4.713012,16100
2013-10-31,5.07,5.3,5.05,5.29,4.917522,39500
2013-11-01,5.26,5.27,5.21,5.21,4.843155,800
2013-11-04,5.26,5.27,5.15,5.25,4.880341,2300
2013-11-05,5.2,5.27,5.09,5.26,4.889636,15500
2013-11-06,5.34,5.34,5.02,5.2,4.833859,10200
2013-11-07,5.34,5.34,5.01,5.17,4.805971,17600
2013-11-08,5.23,5.35,5.0,5.16,4.796677,34800
2013-11-11,5.08,5.3,5.08,5.17,4.805971,16100
2013-11-12,5.14,5.37,4.82,4.85,4.508504,41500
2013-11-13,5.22,5.22,4.95,4.95,4.601463,30500
2013-11-14,4.95,4.95,4.64,4.74,4.406249,33000
2013-11-15,4.75,4.93,4.6,4.72,4.387657,11200
2013-11-18,4.74,4.95,4.55,4.6,4.276107,34100
2013-11-19,4.62,4.83,4.3,4.75,4.415544,85300
2013-11-20,4.73,4.8,4.63,4.76,4.42484,6800
2013-11-21,4.94,4.94,4.54,4.84,4.499208,54700
2013-11-22,4.79,4.94,4.63,4.93,4.58287,10800
2013-11-25,4.95,4.98,4.79,4.97,4.620055,42700
2013-11-26,4.92,5.02,4.8,5.02,4.666533,29600
2013-11-27,5.0,5.02,4.87,5.02,4.666533,17700
2013-11-29,4.99,5.02,4.99,5.01,4.657238,1300
2013-12-02,5.02,5.02,4.92,5.02,4.666533,7200
2013-12-03,4.75,5.08,4.75,5.08,4.72231,2000
2013-12-04,5.0,5.08,4.78,5.05,4.694421,17600
2013-12-05,5.01,5.22,5.0,5.15,4.78738,31000
2013-12-06,5.05,5.4,5.05,5.23,4.861748,84500
2013-12-09,5.3,5.38,5.22,5.3,4.92682,3400
2013-12-10,5.35,5.35,5.29,5.3,4.92682,18900
2013-12-11,5.28,5.3,5.2,5.25,4.880341,15400
2013-12-12,5.29,5.33,5.23,5.3,4.92682,23600
2013-12-13,5.3,5.33,5.2,5.25,4.880341,8900
2013-12-16,5.23,5.33,5.05,5.18,4.815268,64900
2013-12-17,5.0,5.32,5.0,5.24,4.871042,13200
2013-12-18,5.2,5.2,5.01,5.18,4.815268,38100
2013-12-19,5.17,5.18,5.06,5.09,4.731605,9200
2013-12-20,5.05,5.26,5.0,5.23,4.861748,56400
2013-12-23,5.23,5.29,5.1,5.29,4.917522,10600
2013-12-24,5.21,5.32,5.04,5.32,4.94541,4900
2013-12-26,5.33,5.33,5.05,5.15,4.78738,13500
2013-12-27,5.21,5.3,5.21,5.29,4.917522,8200
2013-12-30,5.32,5.32,5.07,5.27,4.898931,14000
2013-12-31,5.19,5.29,5.08,5.19,4.824563,31600
2014-01-02,5.27,5.35,5.16,5.35,4.973299,28100
2014-01-03,5.35,5.35,5.2,5.35,4.973299,36600
2014-01-06,5.32,5.4,5.22,5.39,5.010482,12400
2014-01-07,5.33,5.63,5.21,5.63,5.233582,26400
2014-01-08,5.44,5.84,5.43,5.68,5.280063,29500
2014-01-09,5.74,5.74,5.57,5.65,5.252175,6500
2014-01-10,5.44,5.75,5.44,5.69,5.289359,8300
2014-01-13,5.75,5.75,5.6,5.63,5.233582,7300
2014-01-14,5.62,5.7,5.62,5.63,5.233582,1200
2014-01-15,5.7,5.7,5.56,5.6,5.205696,7800
2014-01-16,5.6,5.7,5.55,5.62,5.224286,7300
2014-01-17,5.6,5.62,5.5,5.52,5.131327,28700
2014-01-21,5.52,5.65,5.48,5.48,5.094144,13800
2014-01-22,5.46,5.6,5.36,5.5,5.112735,9400
2014-01-23,5.6,5.6,5.51,5.53,5.140625,700
2014-01-24,5.65,5.67,5.25,5.55,5.159215,52600
2014-01-27,5.51,5.69,5.5,5.5,5.112735,5100
2014-01-28,5.59,5.59,5.45,5.52,5.131327,7200
2014-01-29,5.6,5.6,5.32,5.5,5.112735,15000
2014-01-30,5.51,5.57,5.48,5.53,5.140625,4000
2014-01-31,5.47,5.59,5.47,5.51,5.122033,3300
2014-02-03,5.59,5.59,5.44,5.44,5.056961,14700
2014-02-04,5.5,5.59,5.43,5.57,5.177808,6400
2014-02-05,5.58,5.58,5.45,5.45,5.066256,8100
2014-02-06,5.5,5.56,5.42,5.42,5.038369,16000
2014-02-07,5.45,5.55,5.37,5.42,5.038369,17200
2014-02-10,5.45,5.46,5.29,5.42,5.038369,8600
2014-02-11,5.42,5.5,5.36,5.48,5.094144,8000
2014-02-12,5.49,5.54,5.46,5.52,5.131327,7200
2014-02-13,5.5,5.5,5.43,5.5,5.112735,5100
2014-02-14,5.53,5.55,5.48,5.54,5.14992,20200
2014-02-18,5.55,5.68,5.53,5.68,5.280063,2900
2014-02-19,5.67,5.75,5.57,5.68,5.280063,2900
2014-02-20,5.73,5.73,5.48,5.68,5.280063,1000
2014-02-21,5.69,5.74,5.61,5.74,5.335837,6600
2014-02-24,5.74,5.74,5.65,5.67,5.270766,5000
2014-02-25,5.71,5.74,5.46,5.68,5.280063,8600
2014-02-26,5.65,5.69,5.61,5.66,5.261469,3900
2014-02-27,5.63,5.75,5.61,5.74,5.335837,20300
2014-02-28,5.68,5.85,5.46,5.68,5.280063,15900
2014-03-03,5.65,5.74,5.65,5.73,5.326541,8800
2014-03-04,5.73,5.85,5.73,5.84,5.428797,4500
2014-03-05,5.89,6.0,5.84,5.95,5.531051,11300
2014-03-06,6.0,6.0,5.76,5.95,5.531051,32200
2014-03-07,5.99,6.0,5.9,5.98,5.558938,15500
2014-03-10,6.0,6.0,5.91,5.93,5.512458,1400
2014-03-11,5.97,6.0,5.9,5.95,5.531051,13900
2014-03-12,6.0,6.02,5.93,6.0,5.57753,32800
2014-03-13,6.01,6.1,5.9,6.02,5.643149,30300
2014-03-14,6.11,6.11,5.94,6.06,5.680646,16000
2014-03-17,6.08,6.2,6.06,6.2,5.811881,47900
