Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,10.33,10.34,10.26,10.34,6.525513,5900
2013-07-17,10.23,10.23,10.08,10.18,6.424541,1800
2013-07-18,10.21,10.21,10.2,10.2,6.437162,1200
2013-07-19,10.34,10.4,10.34,10.4,6.56338,600
2013-07-22,10.4,10.4,10.4,10.4,6.56338,0
2013-07-23,10.41,10.5,10.41,10.5,6.626487,2700
2013-07-24,10.44,10.44,10.31,10.41,6.569689,2500
2013-07-25,10.17,10.18,10.15,10.16,6.411917,13000
2013-07-26,10.12,10.2,10.12,10.13,6.392984,5000
2013-07-29,9.87,9.96,9.87,9.96,6.285697,9400
2013-07-30,10.04,10.07,10.01,10.01,6.317251,6100
2013-07-31,10.02,10.09,10.02,10.09,6.367741,600
2013-08-01,10.03,10.03,10.03,10.03,6.329875,400
2013-08-02,9.87,9.87,9.82,9.87,6.2289,2000
2013-08-05,9.88,9.89,9.88,9.89,6.241522,21000
2013-08-06,9.88,9.88,9.8,9.8,6.184725,1300
2013-08-07,9.92,9.93,9.91,9.93,6.266766,3700
2013-08-08,10.21,10.29,10.2,10.21,6.443473,29400
2013-08-09,10.42,10.42,10.36,10.36,6.538136,500
2013-08-12,10.17,10.17,10.11,10.13,6.392984,8000
2013-08-13,10.21,10.21,10.15,10.2,6.437162,31300
2013-08-14,9.95,9.96,9.9,9.9,6.247833,16900
2013-08-15,9.62,9.69,9.62,9.68,6.108993,2400
2013-08-16,9.71,9.71,9.66,9.67,6.10268,1700
2013-08-19,9.96,9.96,9.85,9.92,6.260456,3300
2013-08-20,9.92,9.92,9.92,9.92,6.260456,0
2013-08-21,9.87,9.87,9.83,9.83,6.203659,1900
2013-08-22,9.83,9.83,9.83,9.83,6.203659,0
2013-08-23,9.7,9.74,9.7,9.74,6.146857,1200
2013-08-26,9.62,9.62,9.62,9.62,6.071126,600
2013-08-27,9.36,9.36,9.36,9.36,5.907043,400
2013-08-28,9.36,9.36,9.36,9.36,5.907043,0
2013-08-29,9.46,9.46,9.46,9.46,5.970151,1300
2013-08-30,9.33,9.33,9.28,9.29,5.862865,2200
2013-09-03,9.65,9.65,9.53,9.53,6.014328,600
2013-09-04,9.69,9.74,9.69,9.74,6.146857,600
2013-09-05,9.57,9.57,9.56,9.56,6.033261,600
2013-09-06,9.62,9.68,9.61,9.68,6.108993,1700
2013-09-09,9.59,9.59,9.57,9.57,6.039573,600
2013-09-10,9.94,9.94,9.94,9.94,6.273077,300
2013-09-11,10.2,10.31,10.2,10.31,6.506581,2600
2013-09-12,10.1,10.1,10.1,10.1,6.37405,1700
2013-09-13,10.03,10.08,10.02,10.08,6.361429,5400
2013-09-16,10.09,10.15,10.08,10.11,6.380361,6500
2013-09-17,10.0,10.06,10.0,10.06,6.348809,8200
2013-09-18,10.21,10.4,10.21,10.35,6.531825,3000
2013-09-19,10.7,10.77,10.7,10.75,6.784264,3200
2013-09-20,10.52,10.52,10.52,10.52,6.639114,300
2013-09-23,10.46,10.53,10.45,10.53,6.645422,3100
2013-09-24,10.46,10.49,10.46,10.49,6.62018,18500
2013-09-25,10.59,10.63,10.57,10.63,6.708534,8600
2013-09-26,10.8,10.87,10.79,10.8,6.815817,1200
2013-09-27,10.78,10.78,10.71,10.77,6.796885,6700
2013-09-30,10.62,10.62,10.62,10.62,6.702223,400
2013-10-01,10.9,10.9,10.86,10.86,6.853683,1000
2013-10-02,10.86,10.86,10.86,10.86,6.853683,0
2013-10-03,10.86,10.86,10.86,10.86,6.853683,0
2013-10-04,10.71,10.71,10.71,10.71,6.759019,500
2013-10-07,10.72,10.72,10.72,10.72,6.765331,200
2013-10-08,10.59,10.59,10.58,10.58,6.676975,700
2013-10-09,10.58,10.58,10.58,10.58,6.676975,200
2013-10-10,10.81,10.89,10.81,10.89,6.872616,1700
2013-10-11,10.89,10.89,10.89,10.89,6.872616,0
2013-10-14,11.3,11.34,11.3,11.34,7.156608,800
2013-10-15,11.36,11.43,11.36,11.41,7.200787,8300
2013-10-16,11.54,11.54,11.54,11.54,7.282826,300
2013-10-17,11.71,11.77,11.71,11.77,7.427979,2700
2013-10-18,11.78,11.78,11.78,11.78,7.434288,3400
2013-10-21,11.78,11.78,11.78,11.78,7.434288,0
2013-10-22,11.85,11.87,11.85,11.87,7.491088,800
2013-10-23,11.8,11.8,11.8,11.8,7.446912,3200
2013-10-24,12.11,12.11,12.11,12.11,7.642551,2400
2013-10-25,12.05,12.17,12.05,12.12,7.648863,1600
2013-10-28,12.08,12.08,12.08,12.08,7.62362,8300
2013-10-29,11.88,11.88,11.88,11.88,7.497399,300
2013-10-30,11.71,11.71,11.66,11.66,7.358561,2100
2013-10-31,11.68,11.69,11.68,11.69,7.377492,4500
2013-11-01,11.67,11.72,11.66,11.66,7.358561,1100
2013-11-04,11.59,11.59,11.59,11.59,7.31438,700
2013-11-05,11.35,11.35,11.35,11.35,7.162919,300
2013-11-06,11.59,11.68,11.59,11.68,7.371182,1500
2013-11-07,11.68,11.68,11.68,11.68,7.371182,0
2013-11-08,11.3,11.3,11.3,11.3,7.131365,1100
2013-11-11,11.26,11.34,11.26,11.28,7.118744,2100
2013-11-12,11.18,11.18,11.09,11.09,6.998836,900
