Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,0.01,0.01,0.01,0.01,0.01,23500
2013-07-17,0.01,0.01,0.0091,0.0091,0.0091,17500
2013-07-18,0.01,0.01,0.01,0.01,0.01,4925
2013-07-19,0.01,0.01,0.01,0.01,0.01,0
2013-07-22,0.01,0.0189,0.01,0.0189,0.0189,217166
2013-07-23,0.0189,0.0189,0.0189,0.0189,0.0189,25000
2013-07-24,0.012,0.015,0.009,0.015,0.015,68133
2013-07-25,0.015,0.015,0.015,0.015,0.015,0
2013-07-26,0.015,0.015,0.015,0.015,0.015,0
2013-07-29,0.01,0.01,0.01,0.01,0.01,1750
2013-07-30,0.013,0.013,0.013,0.013,0.013,1000
2013-07-31,0.01,0.017,0.01,0.017,0.017,308000
2013-08-01,0.017,0.017,0.013,0.016,0.016,173050
2013-08-02,0.016,0.016,0.0151,0.0151,0.0151,15575
2013-08-05,0.0155,0.019,0.0155,0.019,0.019,170300
2013-08-06,0.019,0.0205,0.0125,0.0205,0.0205,135200
2013-08-07,0.0145,0.0205,0.0145,0.0205,0.0205,5950
2013-08-08,0.02,0.035,0.02,0.03,0.03,846343
2013-08-09,0.03,0.0323,0.025,0.0323,0.0323,261050
2013-08-12,0.026,0.03,0.021,0.021,0.021,117208
2013-08-13,0.025,0.025,0.025,0.025,0.025,100
2013-08-14,0.0247,0.0247,0.02,0.0247,0.0247,3750
2013-08-15,0.0246,0.0246,0.018,0.018,0.018,89700
2013-08-16,0.02,0.0202,0.02,0.02,0.02,55000
2013-08-19,0.02,0.02,0.02,0.02,0.02,0
2013-08-20,0.0138,0.015,0.012,0.015,0.015,29900
2013-08-21,0.017,0.0199,0.017,0.018,0.018,146950
2013-08-22,0.02,0.02,0.02,0.02,0.02,54722
2013-08-23,0.0234,0.0234,0.0233,0.0234,0.0234,15600
2013-08-26,0.019,0.019,0.019,0.019,0.019,10000
2013-08-27,0.018,0.018,0.015,0.015,0.015,65065
2013-08-28,0.015,0.022,0.015,0.022,0.022,140400
2013-08-29,0.017,0.02,0.017,0.02,0.02,100300
2013-08-30,0.018,0.018,0.018,0.018,0.018,11700
2013-09-03,0.02,0.021,0.02,0.021,0.021,126000
2013-09-04,0.018,0.025,0.018,0.025,0.025,194700
2013-09-05,0.035,0.04,0.027,0.027,0.027,122476
2013-09-06,0.019,0.039,0.019,0.039,0.039,151000
2013-09-09,0.03,0.03,0.03,0.03,0.03,20000
2013-09-10,0.033,0.039,0.0305,0.039,0.039,106700
2013-09-11,0.03,0.03,0.03,0.03,0.03,20750
2013-09-12,0.03,0.03,0.022,0.025,0.025,106000
2013-09-13,0.025,0.038,0.025,0.026,0.026,74400
2013-09-16,0.035,0.0395,0.035,0.035,0.035,85998
2013-09-17,0.026,0.026,0.026,0.026,0.026,11700
2013-09-18,0.026,0.026,0.023,0.023,0.023,37200
2013-09-19,0.024,0.024,0.023,0.023,0.023,50200
2013-09-20,0.0231,0.035,0.023,0.03,0.03,177746
2013-09-23,0.028,0.028,0.027,0.028,0.028,44000
2013-09-24,0.025,0.025,0.025,0.025,0.025,10000
2013-09-25,0.023,0.0325,0.023,0.032,0.032,80500
2013-09-26,0.031,0.039,0.0275,0.0275,0.0275,75800
2013-09-27,0.0262,0.0262,0.0232,0.025,0.025,52300
2013-09-30,0.028,0.028,0.028,0.028,0.028,46926
2013-10-01,0.0255,0.028,0.023,0.023,0.023,84800
2013-10-02,0.024,0.0299,0.023,0.0231,0.0231,145200
2013-10-03,0.0232,0.0233,0.0232,0.0232,0.0232,46700
2013-10-04,0.0295,0.0295,0.0295,0.0295,0.0295,40000
2013-10-07,0.0297,0.0297,0.029,0.029,0.029,32140
2013-10-08,0.023,0.0289,0.023,0.0285,0.0285,126561
