Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,2.85,2.85,2.85,2.85,2.85,0
2013-07-17,2.85,2.85,2.85,2.85,2.85,0
2013-07-18,2.85,2.85,2.85,2.85,2.85,0
2013-07-19,2.85,2.85,2.85,2.85,2.85,0
2013-07-22,3.0,3.0,3.0,3.0,3.0,2
2013-07-23,3.0,3.0,3.0,3.0,3.0,0
2013-07-24,3.0,3.0,3.0,3.0,3.0,0
2013-07-25,3.0,3.0,3.0,3.0,3.0,0
2013-07-26,3.0,3.0,3.0,3.0,3.0,0
2013-07-29,3.0,3.0,3.0,3.0,3.0,0
2013-07-30,3.0,3.0,3.0,3.0,3.0,0
2013-07-31,3.0,3.0,3.0,3.0,3.0,0
2013-08-01,3.0,3.0,3.0,3.0,3.0,0
2013-08-02,3.0,3.0,3.0,3.0,3.0,0
2013-08-05,2.55,3.0,2.55,3.0,3.0,156
2013-08-06,3.0,3.0,3.0,3.0,3.0,0
2013-08-07,3.0,3.0,3.0,3.0,3.0,0
2013-08-08,3.0,3.0,3.0,3.0,3.0,0
2013-08-09,3.0,3.0,3.0,3.0,3.0,0
2013-08-12,3.0,3.0,3.0,3.0,3.0,0
2013-08-13,3.0,3.0,3.0,3.0,3.0,0
2013-08-14,3.0,3.0,3.0,3.0,3.0,0
2013-08-15,3.0,3.0,3.0,3.0,3.0,0
2013-08-16,3.0,3.0,3.0,3.0,3.0,0
2013-08-19,3.0,3.0,3.0,3.0,3.0,0
2013-08-20,2.55,2.55,2.55,2.55,2.55,20
2013-08-21,2.55,2.55,2.55,2.55,2.55,0
2013-08-22,2.55,2.55,2.55,2.55,2.55,200
2013-08-23,2.5,2.5,2.5,2.5,2.5,700
2013-08-26,2.45,3.0,2.15,3.0,3.0,2834
2013-08-27,3.0,3.0,3.0,3.0,3.0,0
2013-08-28,3.0,3.0,3.0,3.0,3.0,0
2013-08-29,3.0,3.0,3.0,3.0,3.0,0
2013-08-30,3.0,3.0,3.0,3.0,3.0,0
2013-09-03,1.6,3.5,1.6,3.5,3.5,568
2013-09-04,3.5,3.5,3.5,3.5,3.5,0
2013-09-05,3.5,3.5,3.5,3.5,3.5,0
2013-09-06,3.5,3.5,3.5,3.5,3.5,0
2013-09-09,3.5,3.5,3.5,3.5,3.5,0
2013-09-10,3.5,3.5,3.5,3.5,3.5,0
2013-09-11,3.5,3.5,3.5,3.5,3.5,0
2013-09-12,3.5,3.5,3.5,3.5,3.5,0
2013-09-13,1.6,2.75,1.6,2.75,2.75,150
2013-09-16,2.75,2.75,2.75,2.75,2.75,0
2013-09-17,2.75,2.75,2.75,2.75,2.75,0
2013-09-18,2.0,2.25,1.6,2.0,2.0,6296
2013-09-19,2.15,2.15,2.1,2.1,2.1,520
2013-09-20,2.1,2.1,2.1,2.1,2.1,0
2013-09-23,2.0,2.15,2.0,2.15,2.15,168
2013-09-24,2.15,2.15,2.15,2.15,2.15,0
2013-09-25,2.0,2.15,2.0,2.15,2.15,1496
2013-09-26,2.0,2.0,2.0,2.0,2.0,20
