Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,3.3,3.3,3.3,3.3,2.390566,500
2013-07-17,3.32,3.32,3.32,3.32,2.405054,2500
2013-07-18,3.37,3.37,3.35,3.35,2.426786,2300
2013-07-19,3.29,3.29,3.22,3.29,2.383321,10400
2013-07-22,3.25,3.31,3.25,3.31,2.39781,10500
2013-07-23,3.31,3.31,3.31,3.31,2.39781,0
2013-07-24,3.2,3.21,3.2,3.21,2.325368,1000
2013-07-25,3.21,3.21,3.21,3.21,2.325368,0
2013-07-26,3.27,3.27,3.27,3.27,2.368833,5000
2013-07-29,3.3,3.3,3.28,3.28,2.376077,11800
2013-07-30,3.23,3.23,3.23,3.23,2.339857,2700
2013-07-31,3.13,3.15,3.13,3.15,2.281904,500
2013-08-01,3.11,3.11,3.11,3.11,2.252927,400
2013-08-02,3.08,3.08,3.08,3.08,2.231194,800
2013-08-05,3.05,3.05,3.04,3.04,2.202218,1000
2013-08-06,3.04,3.04,3.04,3.04,2.202218,0
2013-08-07,3.01,3.01,3.01,3.01,2.180485,500
2013-08-08,2.99,3.08,2.98,2.98,2.158753,168100
2013-08-09,2.99,3.0,2.96,2.96,2.144265,1400
2013-08-12,2.85,2.85,2.84,2.84,2.057335,3400
2013-08-13,2.7,2.7,2.7,2.7,1.955917,5000
2013-08-14,2.7,2.7,2.7,2.7,1.955917,0
2013-08-15,2.62,2.62,2.47,2.62,1.897964,1500
2013-08-16,2.44,2.44,2.44,2.44,1.767569,500
2013-08-19,2.59,2.59,2.42,2.42,1.753081,5800
2013-08-20,2.42,2.42,2.42,2.42,1.753081,0
2013-08-21,2.51,2.51,2.51,2.51,1.818279,41700
2013-08-22,2.51,2.51,2.51,2.51,1.818279,0
2013-08-23,2.49,2.49,2.49,2.49,1.80379,1100
2013-08-26,2.49,2.49,2.49,2.49,1.80379,0
2013-08-27,2.49,2.49,2.49,2.49,1.80379,0
2013-08-28,2.49,2.49,2.49,2.49,1.80379,0
2013-08-29,2.55,2.55,2.55,2.55,1.847255,2700
2013-08-30,2.55,2.55,2.54,2.54,1.840011,600
2013-09-03,2.72,2.72,2.72,2.72,1.970405,3600
2013-09-04,2.8,2.91,2.8,2.9,2.1008,1300
2013-09-05,2.86,2.96,2.86,2.93,2.122532,35500
2013-09-06,3.0,3.0,3.0,3.0,2.173241,800
2013-09-09,3.0,3.0,3.0,3.0,2.173241,0
2013-09-10,3.02,3.02,2.99,3.0,2.173241,300
2013-09-11,3.0,3.0,3.0,3.0,2.173241,0
2013-09-12,3.0,3.0,3.0,3.0,2.173241,1400
2013-09-13,3.0,3.0,3.0,3.0,2.173241,0
2013-09-16,3.0,3.0,3.0,3.0,2.173241,0
2013-09-17,3.0,3.0,3.0,3.0,2.173241,0
2013-09-18,2.94,2.94,2.89,2.89,2.093556,3900
2013-09-19,2.97,2.97,2.97,2.97,2.151509,12800
2013-09-20,2.97,2.97,2.97,2.97,2.151509,0
2013-09-23,2.97,2.97,2.97,2.97,2.151509,0
2013-09-24,2.97,2.97,2.97,2.97,2.151509,0
2013-09-25,2.97,2.97,2.97,2.97,2.151509,0
2013-09-26,2.97,2.97,2.97,2.97,2.151509,0
2013-09-27,2.69,2.69,2.69,2.69,1.948673,4000
2013-09-30,2.72,2.72,2.68,2.68,1.941429,1800
2013-10-01,2.71,2.71,2.71,2.71,1.963161,300
2013-10-02,2.71,2.71,2.71,2.71,1.963161,600
2013-10-03,2.72,2.72,2.72,2.72,1.970405,16400
2013-10-04,2.72,2.72,2.72,2.72,1.970405,0
2013-10-07,2.72,2.72,2.72,2.72,1.970405,0
2013-10-08,2.72,2.72,2.72,2.72,1.970405,0
2013-10-09,2.72,2.72,2.72,2.72,1.970405,0
2013-10-10,2.62,2.62,2.48,2.48,1.796546,4400
2013-10-11,2.48,2.48,2.48,2.48,1.796546,0
2013-10-14,2.48,2.48,2.48,2.48,1.796546,0
2013-10-15,2.48,2.48,2.48,2.48,1.796546,0
2013-10-16,2.51,2.51,2.47,2.51,1.818279,99900
2013-10-17,2.59,2.6,2.54,2.54,1.840011,2300
2013-10-18,2.54,2.54,2.54,2.54,1.840011,0
2013-10-21,2.46,2.46,2.46,2.46,1.782058,1600
2013-10-22,2.49,2.5,2.49,2.5,1.811035,3200
2013-10-23,2.44,2.44,2.38,2.4,1.738593,5700
2013-10-24,2.43,2.43,2.38,2.38,1.724105,234300
2013-10-25,2.35,2.37,2.29,2.3,1.666152,17400
2013-10-28,2.41,2.41,2.38,2.38,1.724105,7000
2013-10-29,2.32,2.33,2.32,2.33,1.687884,9700
2013-10-30,2.25,2.26,2.25,2.26,1.637175,5000
2013-10-31,2.13,2.14,2.06,2.14,1.550246,155900
2013-11-01,2.05,2.13,2.03,2.13,1.543001,2300
2013-11-04,2.15,2.15,2.15,2.15,1.55749,100
2013-11-05,2.04,2.04,2.04,2.04,1.477804,200
2013-11-06,1.92,1.93,1.85,1.92,1.390875,15200
2013-11-07,1.82,1.9,1.82,1.9,1.376386,300
