Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,12.78,12.82,11.82,12.16,8.523802,2600
2013-07-17,12.45,12.8,12.13,12.7,8.902324,3500
2013-07-18,12.66,12.9,12.66,12.9,9.042521,21200
2013-07-19,12.9,12.9,12.75,12.81,8.979431,14400
2013-07-22,12.37,13.0,12.37,12.96,9.084578,21300
2013-07-23,13.1,13.34,13.08,13.12,9.196733,13500
2013-07-24,13.12,13.87,13.12,13.43,9.414035,22900
2013-07-25,13.5,13.5,12.3,12.33,8.642965,38700
2013-07-26,12.4,12.75,11.45,11.69,8.194345,64100
2013-07-29,11.7,11.72,11.3,11.5,8.061161,14000
2013-07-30,11.66,12.6,11.66,12.35,8.656986,22900
2013-07-31,12.84,13.5,12.8,13.36,9.364967,21200
2013-08-01,13.75,13.75,13.42,13.68,9.589277,13000
2013-08-02,13.68,13.89,13.3,13.89,9.736482,18500
2013-08-05,13.89,13.89,13.12,13.74,9.631335,14200
2013-08-06,13.75,13.75,13.11,13.64,9.561239,6400
2013-08-07,13.7,13.75,13.05,13.56,9.50516,8800
2013-08-08,13.64,13.85,13.3,13.8,9.673393,9200
2013-08-09,13.85,13.85,13.57,13.85,9.708443,3400
2013-08-12,13.66,14.2,13.66,14.06,9.855645,5400
2013-08-13,13.76,14.25,13.76,14.25,9.98883,4900
2013-08-14,14.09,15.79,14.01,15.13,10.605682,23200
2013-08-15,15.5,16.15,15.1,15.99,11.208517,20500
2013-08-16,16.18,22.9,16.18,21.809999,15.288161,130000
2013-08-19,22.209999,22.48,20.0,20.299999,14.229697,61500
2013-08-20,20.200001,20.200001,18.5,18.809999,13.185257,28400
2013-08-21,18.860001,20.5,18.860001,20.5,14.369895,20300
2013-08-22,20.879999,21.68,19.709999,20.5,14.369895,24300
2013-08-23,20.5,21.5,20.33,21.16,14.832536,17400
2013-08-26,22.5,25.99,22.42,25.0,17.524263,73800
2013-08-27,25.41,26.73,24.01,26.65,18.680862,57900
2013-08-28,26.16,30.73,25.99,28.92,20.272066,105400
2013-08-29,28.200001,28.92,26.25,28.620001,20.061775,69100
2013-08-30,28.59,29.0,27.0,27.709999,19.423891,29200
2013-09-03,27.6,29.5,27.6,29.030001,20.349169,53900
2013-09-04,29.290001,30.0,28.75,29.5,20.678629,13500
2013-09-05,29.85,30.48,29.5,30.120001,21.113232,43500
2013-09-06,30.450001,31.879999,30.15,31.370001,21.989441,30100
2013-09-09,32.0,35.0,31.620001,34.759998,24.365732,52200
2013-09-10,34.75,35.0,34.700001,34.799999,24.39377,56500
2013-09-11,34.5,34.900002,31.6,33.450001,23.447464,41600
2013-09-12,32.799999,33.439999,25.17,27.75,19.451929,147100
2013-09-13,26.68,27.74,23.049999,25.389999,17.797642,105700
2013-09-16,26.43,30.5,25.540001,29.549999,20.713678,104200
2013-09-17,28.75,30.66,27.5,28.1,19.697271,42700
2013-09-18,28.07,28.1,26.1,27.389999,19.199585,26800
2013-09-19,27.48,29.6,26.959999,27.629999,19.367817,30200
2013-09-20,27.35,28.74,25.0,26.049999,18.260281,51400
2013-09-23,25.9,26.32,23.77,25.77,18.064013,63900
2013-09-24,25.620001,27.32,25.1,26.07,18.2743,23800
2013-09-25,26.299999,27.139999,24.02,24.629999,17.2649,29500
2013-09-26,24.65,25.790001,24.190001,25.49,17.867735,29600
2013-09-27,25.0,25.84,24.0,24.049999,16.858339,17500
2013-09-30,24.1,24.889999,22.23,24.030001,16.844322,29500
2013-10-01,24.0,25.34,24.0,24.74,17.342007,23400
2013-10-02,24.549999,24.549999,23.610001,23.610001,16.549915,24900
2013-10-03,23.65,24.73,22.5,22.940001,16.080261,37500
2013-10-04,22.700001,23.450001,22.5,23.110001,16.19943,16200
2013-10-07,23.129999,23.129999,22.0,22.9,16.052227,25700
2013-10-08,23.24,23.5,22.35,22.99,16.115313,17000
2013-10-09,22.889999,22.889999,21.360001,22.209999,15.568553,15200
2013-10-10,22.85,23.51,22.26,23.299999,16.332619,17100
2013-10-11,23.309999,23.5,22.809999,23.33,16.353642,14600
2013-10-14,23.0,23.93,22.709999,23.65,16.577955,18100
2013-10-15,23.879999,24.1,23.35,23.84,16.711138,15400
2013-10-16,24.219999,24.25,23.52,23.52,16.486826,8500
2013-10-17,23.52,24.290001,23.48,24.290001,17.026579,5900
2013-10-18,24.299999,24.299999,23.139999,23.379999,16.388691,10300
2013-10-21,23.719999,24.49,23.299999,24.48,17.159754,29600
2013-10-22,24.99,24.99,24.02,24.02,16.837309,10400
2013-10-23,24.18,24.65,24.030001,24.059999,16.865351,5100
2013-10-24,24.969999,24.969999,24.18,24.84,17.412109,13300
2013-10-25,24.84,24.969999,24.299999,24.32,17.047604,8600
2013-10-28,24.32,24.74,23.610001,24.5,17.173777,13300
2013-10-29,24.24,24.52,23.610001,24.01,16.830301,5200
2013-10-30,23.809999,23.879999,23.5,23.85,16.718147,4000
2013-10-31,23.68,23.709999,23.309999,23.59,16.535898,7300
2013-11-01,23.0,23.59,22.030001,22.030001,15.442382,35300
2013-11-04,22.559999,24.01,22.43,24.01,16.830301,21600
2013-11-05,24.01,24.860001,23.360001,24.42,17.117701,3200
2013-11-06,24.9,26.52,24.02,26.5,18.575718,14800
2013-11-07,26.68,28.450001,26.68,28.299999,19.837467,16700
2013-11-08,28.690001,29.5,28.280001,29.139999,20.426279,23800
2013-11-11,29.139999,29.91,28.4,29.51,20.68564,27400
2013-11-12,29.51,29.790001,28.43,28.43,19.928593,18900
2013-11-13,28.42,29.459999,27.889999,28.49,19.970652,11100
2013-11-14,25.700001,26.4,22.309999,24.48,17.159754,25400
2013-11-15,24.18,24.49,23.41,24.49,17.166763,8600
2013-11-18,24.5,25.139999,24.5,24.5,17.173777,10100
2013-11-19,24.49,24.959999,24.49,24.549999,17.208824,5100
2013-11-20,24.82,24.99,23.559999,23.84,16.711138,11200
2013-11-21,23.889999,23.950001,23.540001,23.540001,16.500851,1600
2013-11-22,23.540001,24.059999,23.540001,24.059999,16.865351,3000
2013-11-25,24.110001,24.110001,20.15,21.34,14.95871,29100
2013-11-26,21.09,21.09,20.110001,21.030001,14.741407,10400
2013-11-27,21.01,22.209999,20.5,21.110001,14.797488,6000
2013-11-29,21.0,21.700001,20.42,21.5,15.070868,2500
2013-12-02,21.200001,21.200001,20.0,20.4,14.299797,6400
2013-12-03,20.32,20.360001,19.299999,19.51,13.675934,9700
2013-12-04,18.83,18.99,17.65,17.969999,12.596438,16300
2013-12-05,17.889999,17.889999,16.719999,17.389999,12.189877,17200
2013-12-06,17.440001,17.860001,17.25,17.299999,12.126789,18100
2013-12-09,17.040001,17.67,16.799999,17.24,12.084731,21400
2013-12-10,16.83,17.290001,16.83,17.139999,12.014634,4700
2013-12-11,17.059999,17.299999,17.059999,17.290001,12.119781,14300
2013-12-12,17.200001,17.219999,17.1,17.1,11.986598,5800
2013-12-13,17.110001,17.129999,17.0,17.01,11.923508,7600
2013-12-16,17.0,17.0,16.5,16.85,11.811355,7600
2013-12-17,16.85,16.889999,16.700001,16.780001,11.762286,3200
2013-12-18,16.780001,17.360001,16.780001,16.9,11.846402,12700
2013-12-19,16.9,17.950001,16.9,17.5,12.266982,5800
2013-12-20,17.57,17.99,17.290001,17.99,12.61046,15300
2013-12-23,17.99,18.6,17.99,18.309999,12.83477,5200
2013-12-24,18.48,19.33,18.48,19.0,13.318442,4200
2013-12-26,18.940001,18.940001,18.120001,18.200001,12.757664,6000
2013-12-27,18.370001,18.530001,17.559999,17.629999,12.358109,10000
2013-12-30,17.59,17.620001,16.9,16.940001,11.874442,12600
2013-12-31,16.959999,17.52,16.9,16.959999,11.88846,5200
2014-01-02,17.08,17.26,17.01,17.01,11.923508,5600
2014-01-03,17.110001,17.5,16.6,17.0,11.916499,13400
2014-01-06,17.0,17.5,17.0,17.5,12.266982,4800
2014-01-07,17.25,17.610001,17.08,17.08,11.972576,6300
