Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,0.0013,0.0013,0.0013,0.0013,0.0013,0
2013-07-17,0.0013,0.0013,0.0013,0.0013,0.0013,0
2013-07-18,0.0013,0.0013,0.0013,0.0013,0.0013,0
2013-07-19,0.0013,0.002,0.0011,0.0014,0.0014,13707000
2013-07-22,0.0036,0.0036,0.0015,0.0016,0.0016,476000
2013-07-23,0.0016,0.0016,0.0016,0.0016,0.0016,0
2013-07-24,0.0016,0.0016,0.0016,0.0016,0.0016,100000
2013-07-25,0.0016,0.0016,0.0016,0.0016,0.0016,0
2013-07-26,0.0016,0.0016,0.0016,0.0016,0.0016,0
2013-07-29,0.0016,0.0016,0.0016,0.0016,0.0016,0
2013-07-30,0.0016,0.0016,0.0016,0.0016,0.0016,0
2013-07-31,0.0006,0.0012,0.0006,0.0012,0.0012,8529324
2013-08-01,0.0007,0.0011,0.0007,0.0011,0.0011,535000
2013-08-02,0.0011,0.0011,0.0011,0.0011,0.0011,0
2013-08-05,0.0003,0.002,0.0003,0.0012,0.0012,99000
2013-08-06,0.0008,0.001,0.0008,0.001,0.001,1465000
2013-08-07,0.001,0.001,0.0005,0.0009,0.0009,1319000
2013-08-08,0.0006,0.001,0.0006,0.001,0.001,2706000
2013-08-09,0.001,0.001,0.0006,0.0006,0.0006,60000
2013-08-12,0.0006,0.0006,0.0005,0.0005,0.0005,5217000
2013-08-13,0.0005,0.0005,0.0005,0.0005,0.0005,800000
2013-08-14,0.0005,0.0005,0.0005,0.0005,0.0005,0
2013-08-15,0.0005,0.0005,0.0005,0.0005,0.0005,1000000
2013-08-16,0.0008,0.0022,0.0008,0.0015,0.0015,2945968
2013-08-19,0.002,0.0022,0.0014,0.0022,0.0022,2929068
2013-08-20,0.0024,0.0024,0.0009,0.0019,0.0019,857000
2013-08-21,0.0019,0.0019,0.0019,0.0019,0.0019,0
2013-08-22,0.002,0.002,0.002,0.002,0.002,911
2013-08-23,0.002,0.002,0.002,0.002,0.002,0
2013-08-26,0.002,0.002,0.002,0.002,0.002,0
2013-08-27,0.0009,0.0019,0.0008,0.0019,0.0019,408600
2013-08-28,0.0008,0.0008,0.0008,0.0008,0.0008,47500
2013-08-29,0.0008,0.0015,0.0008,0.0015,0.0015,125000
2013-08-30,0.0015,0.0015,0.0015,0.0015,0.0015,0
2013-09-03,0.0015,0.0015,0.0015,0.0015,0.0015,0
2013-09-04,0.0008,0.0008,0.0008,0.0008,0.0008,125000
2013-09-05,0.003,0.003,0.0015,0.0015,0.0015,140000
2013-09-06,0.0015,0.0015,0.0015,0.0015,0.0015,0
2013-09-09,0.0008,0.0008,0.0006,0.0006,0.0006,4864000
2013-09-10,0.0007,0.0007,0.0007,0.0007,0.0007,50000
2013-09-11,0.0006,0.0006,0.0006,0.0006,0.0006,2836000
2013-09-12,0.0006,0.0006,0.0006,0.0006,0.0006,0
2013-09-13,0.0006,0.0006,0.0006,0.0006,0.0006,0
2013-09-16,0.0006,0.0006,0.0006,0.0006,0.0006,0
2013-09-17,0.0006,0.0006,0.0006,0.0006,0.0006,0
2013-09-18,0.0007,0.0007,0.0007,0.0007,0.0007,6000
2013-09-19,0.0007,0.0007,0.0007,0.0007,0.0007,119500
2013-09-20,0.0008,0.0012,0.0007,0.0008,0.0008,27801666
2013-09-23,0.0007,0.0007,0.0005,0.0005,0.0005,3703333
2013-09-24,0.0007,0.0008,0.0005,0.0008,0.0008,7786076
2013-09-25,0.0008,0.0008,0.0005,0.0005,0.0005,395000
2013-09-26,0.0005,0.001,0.0005,0.001,0.001,2095000
2013-09-27,0.001,0.0012,0.0007,0.0012,0.0012,476000
2013-09-30,0.0011,0.0011,0.001,0.001,0.001,120000
2013-10-01,0.0011,0.0011,0.0011,0.0011,0.0011,1020000
2013-10-02,0.0008,0.0008,0.0005,0.0008,0.0008,45670000
2013-10-03,0.0008,0.0009,0.0006,0.0007,0.0007,3310000
2013-10-04,0.0006,0.0007,0.0005,0.0005,0.0005,8872533
2013-10-07,0.0005,0.0005,0.0005,0.0005,0.0005,0
2013-10-08,0.0005,0.0005,0.0005,0.0005,0.0005,550000
2013-10-09,0.0005,0.0005,0.0005,0.0005,0.0005,1991533
2013-10-10,0.0006,0.0006,0.0006,0.0006,0.0006,1100000
2013-10-11,0.0008,0.0008,0.0007,0.0007,0.0007,280000
2013-10-14,0.0007,0.0007,0.0007,0.0007,0.0007,0
2013-10-15,0.0005,0.0005,0.0005,0.0005,0.0005,1000000
2013-10-16,0.0007,0.0007,0.0007,0.0007,0.0007,129600
2013-10-17,0.0007,0.0007,0.0007,0.0007,0.0007,28571
2013-10-18,0.0004,0.0005,0.0004,0.0005,0.0005,1024999
2013-10-21,0.0005,0.0005,0.0005,0.0005,0.0005,70001
2013-10-22,0.0005,0.0005,0.0005,0.0005,0.0005,0
2013-10-23,0.0005,0.0005,0.0005,0.0005,0.0005,0
2013-10-24,0.0004,0.0004,0.0004,0.0004,0.0004,20000
2013-10-25,0.0004,0.0006,0.0004,0.0006,0.0006,717000
2013-10-28,0.0007,0.0007,0.0003,0.0003,0.0003,1150000
2013-10-29,0.0003,0.0006,0.0003,0.0003,0.0003,1339333
2013-10-30,0.0007,0.0007,0.0007,0.0007,0.0007,100911
2013-10-31,0.0006,0.0006,0.0006,0.0006,0.0006,717000
2013-11-01,0.0006,0.0006,0.0006,0.0006,0.0006,0
2013-11-04,0.0006,0.0006,0.0006,0.0006,0.0006,75000
2013-11-05,0.0006,0.0006,0.0006,0.0006,0.0006,0
2013-11-06,0.0006,0.0006,0.0006,0.0006,0.0006,225000
2013-11-07,0.0006,0.0006,0.0006,0.0006,0.0006,0
2013-11-08,0.0006,0.0006,0.0006,0.0006,0.0006,0
2013-11-11,0.0006,0.0006,0.0006,0.0006,0.0006,0
2013-11-12,0.0006,0.0006,0.0006,0.0006,0.0006,0
