Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,4.73,4.84,4.61,4.64,4.64,19200
2013-07-17,4.73,4.8,4.73,4.75,4.75,900
2013-07-18,4.79,4.8,4.78,4.8,4.8,1200
2013-07-19,4.76,4.8,4.76,4.79,4.79,600
2013-07-22,4.73,4.8,4.73,4.79,4.79,2100
2013-07-23,4.64,4.8,4.64,4.8,4.8,3700
2013-07-24,4.78,4.78,4.78,4.78,4.78,100
2013-07-25,4.68,4.68,4.59,4.59,4.59,27300
2013-07-26,4.61,4.62,4.56,4.62,4.62,7800
2013-07-29,4.62,4.8,4.62,4.76,4.76,20800
2013-07-30,4.71,4.89,4.71,4.89,4.89,500
2013-07-31,4.83,4.89,4.83,4.88,4.88,1700
2013-08-01,4.87,4.89,4.8,4.8,4.8,1700
2013-08-02,4.78,4.89,4.78,4.88,4.88,5500
2013-08-05,4.88,4.88,4.88,4.88,4.88,0
2013-08-06,4.86,5.19,4.86,5.09,5.09,60100
2013-08-07,5.11,5.29,5.1,5.27,5.27,12700
2013-08-08,5.2,5.22,5.15,5.15,5.15,3900
2013-08-09,5.2,5.35,5.12,5.27,5.27,11900
2013-08-12,5.2,5.3,5.02,5.07,5.07,9800
2013-08-13,5.13,5.23,5.08,5.2,5.2,900
2013-08-14,5.2,5.3,5.15,5.23,5.23,1600
2013-08-15,5.14,5.3,5.0,5.08,5.08,6700
2013-08-16,5.14,5.3,5.07,5.19,5.19,600
2013-08-19,5.19,5.19,5.19,5.19,5.19,0
2013-08-20,5.18,5.25,4.37,4.5,4.5,189200
2013-08-21,4.73,4.73,4.5,4.57,4.57,23900
2013-08-22,4.6,4.9,4.59,4.88,4.88,24400
2013-08-23,4.88,4.88,4.88,4.88,4.88,0
2013-08-26,4.85,5.09,4.84,4.97,4.97,38400
2013-08-27,4.97,5.09,4.9,5.06,5.06,12600
2013-08-28,5.08,5.09,5.05,5.07,5.07,1600
2013-08-29,5.28,5.28,5.04,5.2,5.2,23100
2013-08-30,5.29,5.29,5.15,5.15,5.15,12900
2013-09-03,5.12,5.15,5.11,5.12,5.12,2200
2013-09-04,5.1,5.19,5.1,5.15,5.15,11100
2013-09-05,5.12,5.28,5.11,5.16,5.16,5200
2013-09-06,5.16,5.29,5.13,5.19,5.19,1100
2013-09-09,5.22,5.22,5.22,5.22,5.22,600
2013-09-10,5.21,5.25,5.13,5.13,5.13,1600
2013-09-11,5.24,5.24,5.12,5.23,5.23,1500
2013-09-12,5.18,5.23,4.7,4.76,4.76,23500
2013-09-13,4.8,5.07,4.75,4.87,4.87,12000
2013-09-16,4.82,5.23,4.78,4.99,4.99,12300
2013-09-17,4.91,5.2,4.88,4.9,4.9,6600
2013-09-18,4.88,5.23,4.86,5.0,5.0,4000
2013-09-19,4.99,5.0,4.92,5.0,5.0,4500
2013-09-20,5.06,5.25,4.95,5.11,5.11,27900
2013-09-23,5.07,5.3,5.07,5.17,5.17,10700
2013-09-24,5.09,5.29,5.06,5.06,5.06,6300
2013-09-25,5.18,5.3,5.15,5.19,5.19,17900
2013-09-26,5.24,5.9,5.2,5.5,5.5,40800
2013-09-27,5.57,5.8,5.5,5.64,5.64,10300
2013-09-30,5.55,5.79,5.55,5.75,5.75,7700
2013-10-01,5.74,6.0,5.73,5.98,5.98,18700
2013-10-02,6.0,6.18,5.9,6.0,6.0,6100
2013-10-03,5.99,6.01,5.87,5.99,5.99,3600
2013-10-04,5.94,6.01,5.85,5.94,5.94,11400
2013-10-07,5.99,6.01,5.85,5.87,5.87,2500
2013-10-08,5.93,5.98,5.85,5.96,5.96,11600
2013-10-09,5.98,6.0,5.85,5.99,5.99,3200
2013-10-10,5.98,6.01,5.85,5.99,5.99,18600
2013-10-11,6.0,6.0,5.98,6.0,6.0,25000
2013-10-14,5.99,6.0,5.91,5.99,5.99,2500
2013-10-15,5.9,5.99,5.89,5.99,5.99,1000
2013-10-16,6.0,6.05,5.89,6.03,6.03,21200
2013-10-17,5.96,6.07,5.96,6.07,6.07,13000
2013-10-18,6.07,6.35,6.0,6.12,6.12,23700
2013-10-21,6.07,6.2,6.01,6.12,6.12,6800
2013-10-22,6.08,6.1,6.0,6.0,6.0,11700
2013-10-23,6.08,6.12,6.01,6.11,6.11,5200
2013-10-24,6.01,6.11,6.0,6.07,6.07,3600
2013-10-25,6.12,6.12,6.0,6.06,6.06,4600
2013-10-28,6.11,6.11,6.1,6.11,6.11,400
2013-10-29,6.11,6.11,6.01,6.09,6.09,1100
2013-10-30,6.08,6.11,6.05,6.05,6.05,2400
2013-10-31,6.12,6.12,6.08,6.09,6.09,7300
2013-11-01,6.06,6.11,6.06,6.11,6.11,400
2013-11-04,6.1,6.12,6.0,6.11,6.11,10200
2013-11-05,6.0,6.12,5.95,6.1,6.1,8000
2013-11-06,6.11,6.12,6.0,6.12,6.12,7600
2013-11-07,6.12,6.12,6.08,6.11,6.11,2000
2013-11-08,6.1,6.12,6.01,6.11,6.11,4700
2013-11-11,6.11,6.11,6.11,6.11,6.11,0
2013-11-12,6.12,6.12,6.05,6.06,6.06,1700
2013-11-13,6.12,6.12,6.01,6.12,6.12,5000
2013-11-14,6.0,6.0,4.81,5.2,5.2,123800
2013-11-15,5.76,5.76,5.2,5.28,5.28,15200
2013-11-18,5.14,5.28,5.12,5.28,5.28,6600
2013-11-19,5.14,5.28,5.0,5.04,5.04,13900
2013-11-20,5.18,5.27,5.04,5.12,5.12,9400
2013-11-21,5.09,5.62,5.08,5.48,5.48,19400
2013-11-22,5.52,5.72,5.52,5.68,5.68,5700
2013-11-25,5.6,5.64,5.47,5.64,5.64,12300
2013-11-26,5.4,5.54,5.4,5.42,5.42,5900
2013-11-27,5.47,5.65,5.45,5.63,5.63,6200
2013-11-29,5.53,5.65,5.53,5.64,5.64,2300
2013-12-02,5.64,5.65,5.63,5.65,5.65,900
2013-12-03,5.6,5.6,5.6,5.6,5.6,1000
2013-12-04,5.51,5.6,5.04,5.32,5.32,110900
2013-12-05,5.32,5.5,4.42,4.51,4.51,201700
2013-12-06,4.58,4.84,4.54,4.8,4.8,14300
2013-12-09,4.69,5.0,4.65,4.84,4.84,50600
2013-12-10,4.96,5.15,4.87,5.05,5.05,27600
2013-12-11,5.01,5.14,4.97,5.02,5.02,29300
2013-12-12,5.1,5.13,4.95,5.05,5.05,36800
2013-12-13,5.04,5.17,5.04,5.15,5.15,46200
2013-12-16,5.17,5.25,5.1,5.24,5.24,21000
2013-12-17,5.25,5.43,5.21,5.28,5.28,24900
2013-12-18,5.26,5.31,5.15,5.31,5.31,21800
2013-12-19,5.3,5.44,5.3,5.31,5.31,14500
2013-12-20,5.28,5.44,5.25,5.25,5.25,4800
2013-12-23,5.26,5.37,5.24,5.37,5.37,10600
2013-12-24,5.22,5.44,5.22,5.44,5.44,2900
2013-12-26,5.39,5.62,5.36,5.57,5.57,24500
2013-12-27,5.62,5.62,5.3,5.57,5.57,14700
2013-12-30,5.62,5.62,5.5,5.5,5.5,12800
2013-12-31,5.61,5.62,5.45,5.58,5.58,18300
2014-01-02,5.48,5.8,5.48,5.63,5.63,10600
2014-01-03,5.69,5.93,5.62,5.65,5.65,17200
2014-01-06,5.68,5.75,5.48,5.51,5.51,13900
2014-01-07,5.59,5.86,5.48,5.52,5.52,37300
2014-01-08,5.55,5.59,5.54,5.56,5.56,4000
2014-01-09,5.58,5.78,5.34,5.7,5.7,42900
2014-01-10,5.82,5.82,5.82,5.82,5.82,200
2014-01-13,5.7,5.84,5.55,5.7,5.7,1300
2014-01-14,5.7,5.7,5.59,5.59,5.59,600
2014-01-15,5.55,5.67,4.99,5.63,5.63,32000
2014-01-16,5.57,5.57,5.57,5.57,5.57,100
2014-01-17,5.57,5.57,5.42,5.55,5.55,2000
2014-01-21,5.5,5.57,5.21,5.21,5.21,4300
2014-01-22,5.4,5.57,5.4,5.55,5.55,4600
2014-01-23,5.47,5.57,5.36,5.36,5.36,5300
2014-01-24,5.4,5.53,5.08,5.18,5.18,34000
2014-01-27,5.41,5.41,5.36,5.39,5.39,1900
2014-01-28,5.46,5.46,5.16,5.33,5.33,17200
2014-01-29,5.17,5.29,5.13,5.27,5.27,1500
2014-01-30,5.25,5.39,5.25,5.29,5.29,700
2014-01-31,5.36,5.36,5.21,5.27,5.27,3000
2014-02-03,5.3,5.3,5.15,5.15,5.15,1200
2014-02-04,5.23,5.37,5.16,5.37,5.37,2500
2014-02-05,5.18,5.27,5.15,5.27,5.27,1100
2014-02-06,5.2,5.25,5.13,5.17,5.17,16600
2014-02-07,5.13,5.13,4.99,5.1,5.1,5600
2014-02-10,5.12,5.12,5.0,5.07,5.07,1300
2014-02-11,5.04,5.13,4.9,5.1,5.1,12200
2014-02-12,5.1,5.1,5.1,5.1,5.1,0
2014-02-13,5.09,5.52,5.07,5.41,5.41,18400
2014-02-14,5.48,5.48,5.3,5.31,5.31,1200
2014-02-18,5.39,5.39,5.37,5.38,5.38,3400
2014-02-19,5.3,5.3,5.15,5.15,5.15,500
2014-02-20,5.28,5.28,5.28,5.28,5.28,300
2014-02-21,5.22,5.28,5.22,5.28,5.28,800
2014-02-24,5.28,5.29,5.26,5.29,5.29,1300
2014-02-25,5.28,5.39,5.28,5.39,5.39,4200
2014-02-26,5.43,5.45,5.3,5.45,5.45,3000
2014-02-27,5.45,5.45,5.45,5.45,5.45,600
