Date,Open,High,Low,Close,Adj Close,Volume
2022-05-23,0.11,0.11,0.11,0.11,0.11,2000
2022-05-24,0.14,0.14,0.14,0.14,0.14,500
2022-05-25,0.14,0.14,0.14,0.14,0.14,3250
2022-05-26,0.14,0.14,0.14,0.14,0.14,0
2022-05-27,0.159,0.16,0.159,0.16,0.16,30000
2022-05-31,0.16,0.16,0.11,0.12,0.12,37425
2022-06-01,0.125,0.125,0.125,0.125,0.125,1453
2022-06-02,0.125,0.125,0.125,0.125,0.125,0
2022-06-03,0.125,0.125,0.125,0.125,0.125,0
2022-06-06,0.13,0.13,0.13,0.13,0.13,24000
2022-06-07,0.13,0.13,0.13,0.13,0.13,0
2022-06-08,0.155,0.155,0.155,0.155,0.155,10000
2022-06-09,0.16,0.16,0.16,0.16,0.16,22650
2022-06-10,0.17,0.17,0.17,0.17,0.17,10000
2022-06-13,0.17,0.17,0.17,0.17,0.17,6500
2022-06-14,0.17,0.17,0.17,0.17,0.17,7044
2022-06-15,0.17,0.17,0.17,0.17,0.17,17848
2022-06-16,0.17,0.17,0.17,0.17,0.17,0
2022-06-17,0.17,0.17,0.17,0.17,0.17,0
2022-06-21,0.17,0.17,0.17,0.17,0.17,0
2022-06-22,0.17,0.17,0.17,0.17,0.17,0
2022-06-23,0.17,0.17,0.17,0.17,0.17,0
2022-06-24,0.17,0.17,0.17,0.17,0.17,0
2022-06-27,0.17,0.17,0.17,0.17,0.17,0
2022-06-28,0.343,0.343,0.333,0.333,0.333,2915
2022-06-29,0.35,0.35,0.15,0.35,0.35,41500
2022-06-30,0.35,0.35,0.35,0.35,0.35,5000
2022-07-01,0.35,0.35,0.35,0.35,0.35,0
2022-07-05,0.52,0.52,0.37,0.4,0.4,5532
2022-07-06,0.4,0.4,0.4,0.4,0.4,0
2022-07-07,0.43,0.54988,0.43,0.54,0.54,14963
2022-07-08,0.55,0.64,0.55,0.63,0.63,12905
2022-07-11,0.66,1.14,0.66,0.75,0.75,56976
2022-07-12,0.9,1.06,0.8,0.8,0.8,24815
2022-07-13,0.99,1.0,0.8,0.99,0.99,96252
2022-07-14,1.0,1.09,0.72505,0.75,0.75,36050
2022-07-15,0.945,0.97,0.841,0.87,0.87,25024
2022-07-18,0.85,0.955,0.75,0.8,0.8,46599
2022-07-19,0.89,0.95,0.85,0.85,0.85,6685
2022-07-20,0.88,0.88,0.65,0.71999,0.71999,32440
2022-07-21,0.71,0.79,0.71,0.7887,0.7887,26725
2022-07-22,0.75,0.88,0.746,0.755,0.755,7325
2022-07-25,0.88,0.88,0.88,0.88,0.88,1000
2022-07-26,0.83,0.83,0.75,0.75,0.75,2268
2022-07-27,0.85,0.85,0.75,0.75,0.75,2200
2022-07-28,0.76,0.85,0.7,0.85,0.85,2400
2022-07-29,0.8189,0.8189,0.7,0.79,0.79,2400
2022-08-01,0.73134,0.8189,0.73134,0.79,0.79,1400
2022-08-02,0.73134,0.8499,0.73134,0.8499,0.8499,3945
2022-08-03,0.8499,0.8499,0.8499,0.8499,0.8499,125
2022-08-04,0.8,0.8,0.8,0.8,0.8,200
2022-08-05,0.7,0.8499,0.7,0.8499,0.8499,1600
2022-08-08,0.83,0.83,0.83,0.83,0.83,1181
2022-08-09,0.8499,0.8499,0.8499,0.8499,0.8499,200
2022-08-10,0.81,0.81,0.8,0.8099,0.8099,5000
2022-08-11,0.75896,0.8099,0.74696,0.8,0.8,5050
2022-08-12,0.7,0.7,0.7,0.7,0.7,140
2022-08-15,0.76,0.8,0.625,0.625,0.625,4800
2022-08-16,0.74,0.75,0.63,0.63,0.63,6200
2022-08-17,0.63,0.63,0.63,0.63,0.63,1000
2022-08-18,0.6,0.75,0.6,0.6,0.6,17750
2022-08-19,0.6402,0.6402,0.451,0.451,0.451,1157
2022-08-22,0.49796,0.49796,0.3,0.3,0.3,47550
2022-08-23,0.3,0.3,0.27,0.27,0.27,3100
2022-08-24,0.27,0.59,0.25,0.25,0.25,26827
2022-08-25,0.46,0.46,0.26,0.4,0.4,13100
2022-08-26,0.34,0.4,0.34,0.4,0.4,3500
2022-08-29,0.4,0.4,0.4,0.4,0.4,0
2022-08-30,0.345,0.406,0.27,0.406,0.406,3360
2022-08-31,0.4,0.4,0.3,0.36,0.36,8500
2022-09-01,0.3555,0.46,0.3555,0.46,0.46,4100
2022-09-02,0.36,0.41,0.36,0.41,0.41,565
2022-09-06,0.45,0.45,0.28,0.28,0.28,2737
2022-09-07,0.3099,0.3099,0.29,0.29,0.29,2300
2022-09-08,0.27399,0.27399,0.27,0.27,0.27,5500
2022-09-09,0.3,0.3,0.3,0.3,0.3,325
2022-09-12,0.3,0.3,0.3,0.3,0.3,1750
2022-09-13,0.24,0.25,0.23,0.25,0.25,15000
2022-09-14,0.29,0.29,0.29,0.29,0.29,2000
2022-09-15,0.28,0.29,0.22,0.29,0.29,7600
2022-09-16,0.29,0.29,0.29,0.29,0.29,0
2022-09-19,0.29,0.29,0.29,0.29,0.29,0
2022-09-20,0.29,0.29,0.29,0.29,0.29,2000
2022-09-21,0.29,0.29,0.29,0.29,0.29,5000
2022-09-22,0.29,0.29,0.29,0.29,0.29,500
2022-09-23,0.29,0.29,0.2209,0.2209,0.2209,7250
2022-09-26,0.25,0.25,0.25,0.25,0.25,200
2022-09-27,0.25,0.28,0.25,0.28,0.28,1600
2022-09-28,0.28,0.28,0.28,0.28,0.28,0
2022-09-29,0.28,0.28,0.28,0.28,0.28,0
2022-09-30,0.28,0.28,0.28,0.28,0.28,0
2022-10-03,0.28,0.28,0.28,0.28,0.28,0
2022-10-04,0.28,0.28,0.28,0.28,0.28,0
2022-10-05,0.28,0.285,0.28,0.285,0.285,5000
2022-10-06,0.285,0.285,0.285,0.285,0.285,0
2022-10-07,0.285,0.285,0.285,0.285,0.285,0
2022-10-10,0.285,0.285,0.285,0.285,0.285,0
2022-10-11,0.285,0.285,0.285,0.285,0.285,0
2022-10-12,0.285,0.285,0.285,0.285,0.285,0
2022-10-13,0.2,0.2,0.2,0.2,0.2,2000
2022-10-14,0.15,0.15,0.15,0.15,0.15,2000
2022-10-17,0.228,0.28,0.228,0.23,0.23,2100
2022-10-18,0.2,0.24,0.2,0.24,0.24,8000
2022-10-19,0.24,0.24,0.24,0.24,0.24,0
2022-10-20,0.24,0.24,0.24,0.24,0.24,0
2022-10-21,0.24,0.24,0.24,0.24,0.24,2500
2022-10-24,0.24,0.24,0.24,0.24,0.24,0
2022-10-25,0.26,0.27,0.26,0.27,0.27,3896
2022-10-26,0.27,0.27,0.27,0.27,0.27,0
2022-10-27,0.235,0.235,0.235,0.235,0.235,1000
2022-10-28,0.235,0.235,0.235,0.235,0.235,0
2022-10-31,0.235,0.235,0.235,0.235,0.235,0
2022-11-01,0.235,0.235,0.235,0.235,0.235,0
2022-11-02,0.225,0.255,0.2,0.2,0.2,8000
2022-11-03,0.2,0.28,0.2,0.23,0.23,2450
2022-11-04,0.23,0.23,0.23,0.23,0.23,0
2022-11-07,0.23,0.23,0.23,0.23,0.23,0
2022-11-08,0.26,0.26,0.1152,0.25,0.25,6485
2022-11-09,0.20005,0.20005,0.20005,0.20005,0.20005,500
2022-11-10,0.19,0.19,0.15,0.15,0.15,21000
2022-11-11,0.15,0.15,0.15,0.15,0.15,0
2022-11-14,0.15,0.15,0.15,0.15,0.15,0
2022-11-15,0.15,0.15,0.15,0.15,0.15,0
2022-11-16,0.22,0.22,0.17,0.17,0.17,8700
2022-11-17,0.17,0.17,0.17,0.17,0.17,875
2022-11-18,0.17,0.17,0.0703,0.0703,0.0703,550
2022-11-21,0.15,0.15,0.15,0.15,0.15,6838
2022-11-22,0.15,0.15,0.125,0.135,0.135,10800
2022-11-23,0.135,0.135,0.135,0.135,0.135,0
2022-11-25,0.1425,0.1425,0.1425,0.1425,0.1425,375
2022-11-28,0.1425,0.1425,0.1425,0.1425,0.1425,0
2022-11-29,0.1425,0.1425,0.1425,0.1425,0.1425,0
2022-11-30,0.1425,0.1425,0.1425,0.1425,0.1425,0
2022-12-01,0.2,0.2,0.15,0.15,0.15,20150
2022-12-02,0.2,0.2,0.18,0.18,0.18,1100
2022-12-05,0.18,0.18,0.1425,0.1425,0.1425,500
2022-12-06,0.1425,0.1425,0.1425,0.1425,0.1425,0
2022-12-07,0.1425,0.1425,0.1425,0.1425,0.1425,0
2022-12-08,0.14,0.14,0.14,0.14,0.14,5000
2022-12-09,0.14,0.14,0.14,0.14,0.14,0
2022-12-12,0.14,0.14,0.14,0.14,0.14,0
2022-12-13,0.14,0.14,0.14,0.14,0.14,13676
2022-12-14,0.198,0.198,0.198,0.198,0.198,200
2022-12-15,0.198,0.198,0.198,0.198,0.198,0
2022-12-16,0.16,0.16,0.16,0.16,0.16,1200
2022-12-19,0.16,0.16,0.16,0.16,0.16,0
2022-12-20,0.16,0.16,0.16,0.16,0.16,0
2022-12-21,0.16,0.16,0.16,0.16,0.16,0
2022-12-22,0.16,0.16,0.16,0.16,0.16,0
2022-12-23,0.198,0.2,0.14,0.14,0.14,9500
2022-12-27,0.14,0.14,0.14,0.14,0.14,0
2022-12-28,0.14,0.14,0.14,0.14,0.14,200
2022-12-29,0.2,0.2,0.2,0.2,0.2,2500
2022-12-30,0.2,0.2,0.2,0.2,0.2,0
2023-01-03,0.2,0.2,0.2,0.2,0.2,0
2023-01-04,0.2,0.2,0.2,0.2,0.2,0
2023-01-05,0.18,0.18,0.18,0.18,0.18,2000
2023-01-06,0.18,0.18,0.18,0.18,0.18,0
2023-01-09,0.16,0.16,0.16,0.16,0.16,1000
2023-01-10,0.16,0.16,0.16,0.16,0.16,0
2023-01-11,0.16,0.16,0.16,0.16,0.16,0
2023-01-12,0.16,0.16,0.16,0.16,0.16,0
2023-01-13,0.16,0.16,0.16,0.16,0.16,555
2023-01-17,0.16,0.16,0.16,0.16,0.16,0
2023-01-18,0.14,0.14,0.14,0.14,0.14,8000
2023-01-19,0.14,0.14,0.14,0.14,0.14,0
2023-01-20,0.17,0.17,0.17,0.17,0.17,100
2023-01-23,0.17,0.17,0.17,0.17,0.17,0
2023-01-24,0.17,0.17,0.17,0.17,0.17,0
2023-01-25,0.17,0.17,0.17,0.17,0.17,0
2023-01-26,0.17,0.17,0.17,0.17,0.17,0
2023-01-27,0.17,0.17,0.17,0.17,0.17,1175
2023-01-30,0.17,0.17,0.17,0.17,0.17,0
2023-01-31,0.17,0.17,0.17,0.17,0.17,0
2023-02-01,0.17,0.17,0.17,0.17,0.17,0
2023-02-02,0.17,0.17,0.17,0.17,0.17,0
2023-02-03,0.17,0.17,0.17,0.17,0.17,0
2023-02-06,0.17,0.17,0.17,0.17,0.17,0
2023-02-07,0.17,0.17,0.17,0.17,0.17,0
2023-02-08,0.17,0.17,0.17,0.17,0.17,0
2023-02-09,0.17,0.17,0.17,0.17,0.17,0
2023-02-10,0.17,0.17,0.17,0.17,0.17,0
2023-02-13,0.17,0.17,0.17,0.17,0.17,0
2023-02-14,0.17,0.17,0.17,0.17,0.17,0
2023-02-15,0.17,0.17,0.17,0.17,0.17,0
2023-02-16,0.17,0.17,0.17,0.17,0.17,0
2023-02-17,0.17,0.17,0.17,0.17,0.17,0
2023-02-21,0.17,0.17,0.17,0.17,0.17,0
2023-02-22,0.17,0.17,0.17,0.17,0.17,0
2023-02-23,0.17,0.17,0.17,0.17,0.17,0
2023-02-24,0.17,0.17,0.17,0.17,0.17,0
2023-02-27,0.14,0.14,0.14,0.14,0.14,3000
2023-02-28,0.14,0.14,0.14,0.14,0.14,0
2023-03-01,0.14,0.14,0.14,0.14,0.14,0
2023-03-02,0.14,0.14,0.14,0.14,0.14,0
2023-03-03,0.14,0.14,0.14,0.14,0.14,0
2023-03-06,0.14,0.14,0.14,0.14,0.14,0
2023-03-07,0.14,0.14,0.14,0.14,0.14,0
2023-03-08,0.14,0.14,0.14,0.14,0.14,0
2023-03-09,0.14,0.14,0.14,0.14,0.14,0
2023-03-10,0.16,0.16,0.16,0.16,0.16,400
2023-03-13,0.16,0.16,0.16,0.16,0.16,500
2023-03-14,0.16,0.16,0.16,0.16,0.16,0
2023-03-15,0.16,0.16,0.16,0.16,0.16,0
2023-03-16,0.16,0.16,0.16,0.16,0.16,0
2023-03-17,0.16,0.16,0.16,0.16,0.16,0
2023-03-20,0.16,0.16,0.16,0.16,0.16,0
2023-03-21,0.16,0.16,0.16,0.16,0.16,0
2023-03-22,0.16,0.16,0.16,0.16,0.16,0
2023-03-23,0.16,0.16,0.16,0.16,0.16,0
2023-03-24,0.16,0.17,0.16,0.17,0.17,10000
2023-03-27,0.17,0.17,0.17,0.17,0.17,0
2023-03-28,0.17,0.17,0.17,0.17,0.17,0
2023-03-29,0.17,0.17,0.17,0.17,0.17,200
2023-03-30,0.17,0.17,0.17,0.17,0.17,0
2023-03-31,0.14,0.14,0.14,0.14,0.14,101
2023-04-03,0.14,0.14,0.14,0.14,0.14,0
2023-04-04,0.19,0.19,0.19,0.19,0.19,500
2023-04-05,0.19,0.19,0.19,0.19,0.19,110
2023-04-06,0.145,0.145,0.145,0.145,0.145,500
2023-04-10,0.141,0.141,0.141,0.141,0.141,200
2023-04-11,0.141,0.141,0.141,0.141,0.141,0
2023-04-12,0.141,0.141,0.141,0.141,0.141,0
2023-04-13,0.141,0.141,0.141,0.141,0.141,0
2023-04-14,0.141,0.141,0.141,0.141,0.141,0
2023-04-17,0.141,0.141,0.141,0.141,0.141,0
2023-04-18,0.141,0.141,0.141,0.141,0.141,0
2023-04-19,0.141,0.141,0.141,0.141,0.141,0
2023-04-20,0.141,0.141,0.141,0.141,0.141,0
2023-04-21,0.165,0.19,0.165,0.19,0.19,700
2023-04-24,0.19,0.19,0.19,0.19,0.19,0
2023-04-25,0.19,0.19,0.19,0.19,0.19,0
2023-04-26,0.19,0.19,0.19,0.19,0.19,0
2023-04-27,0.19,0.19,0.19,0.19,0.19,0
2023-04-28,0.19,0.19,0.19,0.19,0.19,0
2023-05-01,0.19,0.19,0.19,0.19,0.19,0
2023-05-02,0.19,0.19,0.19,0.19,0.19,5000
2023-05-03,0.19,0.19,0.19,0.19,0.19,0
2023-05-04,0.19,0.19,0.19,0.19,0.19,0
2023-05-05,0.19,0.19,0.19,0.19,0.19,0
2023-05-08,0.19,0.19,0.19,0.19,0.19,0
2023-05-09,0.19,0.19,0.19,0.19,0.19,0
2023-05-10,0.19,0.19,0.19,0.19,0.19,0
2023-05-11,0.19,0.19,0.19,0.19,0.19,0
2023-05-12,0.19,0.19,0.19,0.19,0.19,0
2023-05-15,0.19,0.19,0.19,0.19,0.19,0
2023-05-16,0.19,0.19,0.19,0.19,0.19,0
2023-05-17,0.2,0.2,0.2,0.2,0.2,1500
2023-05-18,0.2,0.2,0.2,0.2,0.2,400
2023-05-19,0.2,0.2,0.2,0.2,0.2,0
