Date,Open,High,Low,Close,Adj Close,Volume
2021-10-19,0.5529,0.5529,0.5448,0.5448,0.5448,5000
2021-10-20,0.53,0.53,0.53,0.53,0.53,1650
2021-10-21,0.53,0.53,0.53,0.53,0.53,0
2021-10-22,0.5606,0.5606,0.5606,0.5606,0.5606,5000
2021-10-25,0.57,0.6,0.57,0.57,0.57,4000
2021-10-26,0.6,0.6,0.5938,0.5938,0.5938,2700
2021-10-27,0.57,0.58,0.57,0.57,0.57,5525
2021-10-28,0.57,0.58,0.556,0.556,0.556,33200
2021-10-29,0.56,0.57,0.54643,0.54643,0.54643,4500
2021-11-01,0.546,0.565,0.546,0.565,0.565,3250
2021-11-02,0.6,0.6,0.56961,0.57,0.57,13056
2021-11-03,0.6,0.6,0.6,0.6,0.6,51100
2021-11-04,0.62,0.63,0.59417,0.63,0.63,25431
2021-11-05,0.6079,0.61,0.58,0.5995,0.5995,91624
2021-11-08,0.60796,0.64,0.60219,0.62,0.62,178100
2021-11-09,0.62,0.62,0.5897,0.5897,0.5897,23720
2021-11-10,0.59439,0.6,0.57,0.575,0.575,12878
2021-11-11,0.58197,0.58197,0.58197,0.58197,0.58197,1000
2021-11-12,0.63,0.65,0.62667,0.6431,0.6431,31234
2021-11-15,0.64534,0.7,0.64,0.66,0.66,40811
2021-11-16,0.7,0.8,0.64233,0.69713,0.69713,36989
2021-11-17,0.704,0.79,0.696,0.73544,0.73544,32099
2021-11-18,0.7354,0.8,0.7,0.8,0.8,40498
2021-11-19,0.71916,0.74,0.65,0.65,0.65,69735
2021-11-22,0.65,0.66736,0.65,0.65,0.65,51633
2021-11-23,0.68189,0.6899,0.58049,0.58049,0.58049,74480
2021-11-24,0.59356,0.63,0.59,0.62425,0.62425,71000
2021-11-26,0.63,0.705,0.61077,0.63,0.63,80082
2021-11-29,0.65,0.67495,0.62,0.63279,0.63279,48014
2021-11-30,0.635,0.7199,0.6,0.61,0.61,23805
2021-12-01,0.59,0.6146,0.59,0.60624,0.60624,24643
2021-12-02,0.61,0.68883,0.59,0.67116,0.67116,45283
2021-12-03,0.6749,0.6749,0.602,0.62,0.62,107885
2021-12-06,0.63133,0.64593,0.59,0.59,0.59,136680
2021-12-07,0.6,0.67,0.58984,0.59,0.59,47095
2021-12-08,0.59,0.6499,0.55631,0.58,0.58,25683
2021-12-09,0.62394,0.62394,0.58244,0.58244,0.58244,3420
2021-12-10,0.55,0.6098,0.55,0.6098,0.6098,2065
2021-12-13,0.56164,0.5801,0.5129,0.5129,0.5129,16496
