Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,13.6,14.4,12.8,14.4,14.4,210
2013-07-17,14.4,14.4,14.4,14.4,14.4,2
2013-07-18,15.2,16.0,14.4,15.2,15.2,589
2013-07-19,15.2,15.2,13.6,13.6,13.6,100
2013-07-22,12.8,16.0,12.0,14.4,14.4,124
2013-07-23,14.4,15.2,14.4,14.4,14.4,45
2013-07-24,12.8,14.4,12.0,13.6,13.6,87
2013-07-25,13.6,14.4,12.0,14.4,14.4,290
2013-07-26,14.4,14.4,13.6,13.6,13.6,15
2013-07-29,13.6,13.6,12.0,12.0,12.0,36
2013-07-30,13.6,14.4,12.0,12.0,12.0,85
2013-07-31,14.4,14.4,14.4,14.4,14.4,15
2013-08-01,14.4,14.4,12.0,12.8,12.8,361
2013-08-02,14.4,14.4,12.0,14.4,14.4,215
2013-08-05,12.0,12.0,11.2,12.0,12.0,447
2013-08-06,12.0,12.0,10.4,12.0,12.0,51
2013-08-07,10.4,14.4,10.4,14.4,14.4,63
2013-08-08,15.2,15.2,10.4,12.0,12.0,303
2013-08-09,11.2,11.2,11.2,11.2,11.2,33
2013-08-12,12.0,14.4,12.0,14.4,14.4,85
2013-08-13,12.8,14.4,10.4,10.4,10.4,240
2013-08-14,13.6,14.4,11.2,12.0,12.0,299
2013-08-15,14.4,14.4,11.2,11.2,11.2,411
2013-08-16,11.2,11.2,10.4,10.4,10.4,132
2013-08-19,13.6,14.4,12.0,12.0,12.0,369
2013-08-20,12.8,12.8,12.0,12.0,12.0,155
2013-08-21,9.6,10.4,8.8,10.4,10.4,264
2013-08-22,10.4,10.4,8.8,9.6,9.6,150
2013-08-23,10.4,12.0,10.4,12.0,12.0,66
2013-08-26,12.0,12.8,12.0,12.8,12.8,41
2013-08-27,12.8,12.8,10.4,10.4,10.4,44
2013-08-28,12.0,12.0,10.4,11.2,11.2,27
2013-08-29,10.4,11.2,10.4,11.2,11.2,16
2013-08-30,11.2,11.2,10.4,10.4,10.4,239
2013-09-03,10.4,10.4,10.4,10.4,10.4,0
2013-09-04,10.4,10.4,10.4,10.4,10.4,78
2013-09-05,8.8,8.8,8.8,8.8,8.8,138
2013-09-06,10.4,12.8,10.4,12.8,12.8,96
2013-09-09,12.8,17.6,8.8,17.6,17.6,97
2013-09-10,15.2,15.2,15.2,15.2,15.2,32
2013-09-11,15.2,15.2,15.2,15.2,15.2,5
2013-09-12,12.8,12.8,9.6,12.8,12.8,175
2013-09-13,9.6,9.6,9.6,9.6,9.6,18
2013-09-16,12.0,12.8,8.8,12.8,12.8,387
2013-09-17,9.6,12.0,8.0,11.2,11.2,67
2013-09-18,11.2,11.2,9.6,9.6,9.6,275
2013-09-19,9.6,9.6,8.0,9.6,9.6,667
2013-09-20,9.6,9.6,8.8,8.8,8.8,116
2013-09-23,8.8,8.8,8.8,8.8,8.8,6
2013-09-24,8.8,8.8,8.8,8.8,8.8,243
2013-09-25,9.6,9.6,9.6,9.6,9.6,25
2013-09-26,9.6,9.6,8.8,9.6,9.6,585
2013-09-27,9.6,9.6,8.8,9.6,9.6,332
2013-09-30,9.6,9.6,9.6,9.6,9.6,0
2013-10-01,9.6,9.6,9.6,9.6,9.6,18
2013-10-02,8.0,9.6,8.0,9.6,9.6,243
2013-10-03,8.8,9.6,8.8,8.8,8.8,54
2013-10-04,8.8,8.8,8.8,8.8,8.8,7
2013-10-07,8.0,8.0,7.2,8.0,8.0,1243
2013-10-08,6.4,6.4,6.4,6.4,6.4,38
2013-10-09,6.4,6.4,6.4,6.4,6.4,152
2013-10-10,7.2,7.2,7.2,7.2,7.2,7
2013-10-11,7.2,7.2,6.4,7.2,7.2,557
2013-10-14,6.4,6.4,6.4,6.4,6.4,282
2013-10-15,6.4,6.4,5.6,6.4,6.4,222
2013-10-16,5.6,5.6,5.6,5.6,5.6,77
2013-10-17,9.6,9.6,6.4,6.4,6.4,1598
2013-10-18,6.4,7.2,6.4,7.2,7.2,115
2013-10-21,8.0,8.8,7.2,8.0,8.0,63
2013-10-22,8.0,8.0,8.0,8.0,8.0,253
2013-10-23,8.0,8.8,8.0,8.8,8.8,34
2013-10-24,8.8,8.8,7.2,7.2,7.2,202
2013-10-25,7.2,7.2,7.2,7.2,7.2,31
2013-10-28,7.2,7.2,6.4,6.4,6.4,285
2013-10-29,6.4,6.4,6.4,6.4,6.4,37
2013-10-30,7.2,7.2,7.2,7.2,7.2,79
2013-10-31,7.2,7.2,7.2,7.2,7.2,131
2013-11-01,7.2,7.2,6.4,6.4,6.4,125
2013-11-04,7.2,7.2,7.2,7.2,7.2,38
2013-11-05,7.2,7.2,7.2,7.2,7.2,0
2013-11-06,5.6,6.4,5.6,5.6,5.6,512
2013-11-07,6.4,7.2,5.6,7.2,7.2,113
2013-11-08,4.8,7.2,4.8,7.2,7.2,60
2013-11-11,7.2,7.2,7.2,7.2,7.2,0
2013-11-12,4.8,5.6,4.8,5.6,5.6,118
2013-11-13,5.6,5.6,4.8,4.8,4.8,178
2013-11-14,4.8,5.6,4.8,4.8,4.8,80
2013-11-15,4.8,4.8,4.8,4.8,4.8,133
2013-11-18,4.0,4.0,4.0,4.0,4.0,791
2013-11-19,4.8,4.8,4.8,4.8,4.8,3
2013-11-20,4.0,4.8,4.0,4.8,4.8,151
