Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,26.98,27.25,26.709999,26.84,18.951893,1258300
2013-07-17,26.92,26.969999,26.700001,26.870001,18.97308,961100
2013-07-18,26.959999,27.299999,26.93,27.030001,19.086052,1096100
2013-07-19,27.02,27.219999,27.0,27.15,19.170782,1295800
2013-07-22,27.17,27.559999,27.15,27.370001,19.326134,1439700
2013-07-23,27.440001,27.66,27.26,27.43,19.368498,1408500
2013-07-24,27.48,27.549999,27.139999,27.209999,19.213152,1063900
2013-07-25,27.059999,27.26,26.75,27.209999,19.213152,1647200
2013-07-26,27.93,27.969999,26.91,27.09,19.128422,1922900
2013-07-29,26.969999,27.32,26.809999,27.02,19.078991,1844500
2013-07-30,27.1,27.24,26.68,26.75,18.888351,2452700
2013-07-31,26.790001,27.27,26.700001,27.02,19.078991,1834100
2013-08-01,27.209999,27.77,27.139999,27.73,19.580326,1785200
2013-08-02,27.6,27.85,27.57,27.709999,19.566206,1063100
2013-08-05,27.58,27.879999,27.370001,27.690001,19.55208,806800
2013-08-06,27.66,27.700001,27.190001,27.32,19.290823,1803700
2013-08-07,27.219999,27.33,26.629999,27.059999,19.107235,3043200
2013-08-08,27.209999,27.290001,26.6,26.809999,18.930712,3080600
2013-08-09,26.700001,26.870001,26.450001,26.83,18.944832,2261900
2013-08-12,26.629999,26.790001,26.530001,26.74,18.881279,2411200
2013-08-13,26.74,26.91,26.48,26.860001,18.966019,3126400
2013-08-14,26.85,27.0,26.6,26.639999,18.810673,1457100
2013-08-15,26.41,26.43,25.93,26.01,18.365828,1688600
2013-08-16,25.9,26.09,25.790001,25.950001,18.32346,1572100
2013-08-19,26.0,26.02,25.6,25.66,18.11869,1756900
2013-08-20,25.700001,26.049999,25.620001,25.92,18.302279,2127500
2013-08-21,25.84,25.84,25.370001,25.440001,17.963346,1779800
2013-08-22,25.48,25.530001,25.139999,25.25,17.82918,2091500
2013-08-23,25.25,25.52,24.74,25.51,18.012768,3777300
2013-08-26,25.48,25.9,25.299999,25.77,18.196363,3315300
2013-08-27,25.559999,25.6,25.16,25.200001,17.793879,2327400
2013-08-28,25.0,25.08,24.32,24.99,17.751259,5212900
2013-08-29,24.940001,25.790001,24.82,25.4,18.04249,2992300
2013-08-30,25.42,25.57,25.190001,25.299999,17.971458,2525000
2013-09-03,25.6,26.030001,25.6,25.719999,18.269804,3627900
2013-09-04,26.059999,26.91,25.99,26.02,18.482899,4567700
2013-09-05,25.959999,26.129999,25.82,25.92,18.411869,2147000
2013-09-06,25.98,26.43,25.74,26.040001,18.49711,2594500
2013-09-09,26.17,26.41,26.02,26.280001,18.667595,1961900
2013-09-10,26.41,26.5,26.139999,26.32,18.696007,1434200
2013-09-11,26.360001,26.84,26.27,26.66,18.937519,1901800
2013-09-12,26.639999,26.879999,26.530001,26.620001,18.909101,1595900
2013-09-13,26.719999,26.969999,26.52,26.93,19.129303,1015800
2013-09-16,27.23,27.32,26.82,26.85,19.072483,1471400
2013-09-17,26.879999,26.91,26.73,26.84,19.06538,1117100
2013-09-18,26.77,27.4,26.59,27.309999,19.399231,2171600
2013-09-19,27.4,27.559999,27.34,27.389999,19.456062,1907800
2013-09-20,27.41,27.5,27.16,27.290001,19.385029,2347000
2013-09-23,27.18,27.370001,26.83,27.1,19.250065,1621500
2013-09-24,27.030001,27.6,26.98,27.4,19.46316,2035800
2013-09-25,27.41,27.66,27.110001,27.17,19.299793,1991200
2013-09-26,27.200001,27.67,27.200001,27.67,19.654957,1775300
2013-09-27,27.469999,27.82,27.34,27.59,19.598129,1373700
2013-09-30,27.35,27.639999,27.25,27.5,19.534201,1508900
2013-10-01,27.52,27.799999,27.42,27.66,19.647854,1133100
2013-10-02,27.559999,27.700001,27.360001,27.66,19.647854,1180000
2013-10-03,27.57,27.66,27.02,27.309999,19.399231,1617100
2013-10-04,27.280001,27.73,27.26,27.540001,19.562611,973300
2013-10-07,27.25,27.299999,26.969999,26.98,19.164822,1274600
2013-10-08,27.139999,27.24,26.52,26.559999,18.866491,3097700
2013-10-09,26.67,26.91,26.290001,26.690001,18.958828,2031600
2013-10-10,27.030001,27.370001,26.879999,27.24,19.349506,1557900
2013-10-11,27.110001,27.82,27.110001,27.809999,19.754404,1080900
2013-10-14,27.57,27.940001,27.540001,27.799999,19.747301,1151200
2013-10-15,27.719999,27.799999,27.17,27.34,19.420542,2112800
2013-10-16,27.610001,27.969999,27.469999,27.959999,19.860952,1483300
2013-10-17,27.879999,28.85,27.879999,28.68,20.372391,2677300
2013-10-18,28.809999,29.120001,28.74,29.02,20.613907,2620300
