Date,Open,High,Low,Close,Adj Close,Volume
2014-06-06,6.5,6.5,6.1,6.2,6.2,149.0
2014-06-09,6.2,11.0,6.2,7.0,7.0,411.0
2014-06-10,7.2,7.2,7.2,7.2,7.2,309.0
2014-06-11,6.6,15.0,6.6,15.0,15.0,585.0
2014-06-12,7.8,10.8,7.8,10.8,10.8,1572.0
2014-06-13,10.9,15.0,10.9,11.0,11.0,15.0
2014-06-16,10.0,10.0,9.8,10.0,10.0,118.0
2014-06-17,8.0,8.0,8.0,8.0,8.0,0.0
2014-06-18,8.2,8.2,7.4,7.4,7.4,150.0
2014-06-19,7.4,8.0,7.4,8.0,8.0,62.0
2014-06-20,7.9,10.0,7.9,7.9,7.9,281.0
2014-06-23,9.0,9.0,9.0,9.0,9.0,25.0
2014-06-24,,,,,,
2014-06-25,,,,,,
2014-06-26,,,,,,
2014-06-27,9.0,9.0,6.4,7.5,7.5,55.0
2014-06-30,,,,,,
2014-07-01,7.4,7.4,7.4,7.4,7.4,6.0
2014-07-02,,,,,,
2014-07-03,6.8,6.8,6.8,6.8,6.8,7.0
2014-07-07,6.8,6.8,6.8,6.8,6.8,1.0
2014-07-08,6.8,6.8,6.0,6.1,6.1,197.0
2014-07-09,6.5,6.5,6.5,6.5,6.5,2.0
2014-07-10,,,,,,
2014-07-11,,,,,,
2014-07-14,4.1,6.5,4.1,5.0,5.0,64.0
2014-07-15,6.0,6.0,6.0,6.0,6.0,12.0
2014-07-16,6.0,12.0,4.1,12.0,12.0,38.0
2014-07-17,,,,,,
2014-07-18,5.0,5.0,5.0,5.0,5.0,2.0
2014-07-21,,,,,,
2014-07-22,,,,,,
2014-07-23,,,,,,
2014-07-24,6.0,11.0,6.0,9.0,9.0,48.0
2014-07-25,15.0,18.799999,10.0,10.0,10.0,389.0
2014-07-28,12.5,12.5,9.0,11.0,11.0,277.0
2014-07-29,12.5,14.4,11.0,11.0,11.0,123.0
2014-07-30,10.0,15.0,10.0,15.0,15.0,130.0
2014-07-31,13.5,13.5,9.0,13.5,13.5,260.0
2014-08-01,6.0,13.0,6.0,12.7,12.7,209.0
2014-08-04,8.0,10.0,8.0,8.0,8.0,149.0
2014-08-05,11.7,12.0,8.0,8.9,8.9,87.0
2014-08-06,8.0,8.0,6.4,6.5,6.5,610.0
2014-08-07,7.4,7.5,7.4,7.5,7.5,35.0
2014-08-08,6.4,6.4,6.4,6.4,6.4,5.0
2014-08-11,6.4,6.4,6.0,6.0,6.0,91.0
2014-08-12,10.0,10.0,8.9,10.0,10.0,247.0
2014-08-13,7.1,7.1,7.1,7.1,7.1,4.0
2014-08-14,7.1,7.1,7.1,7.1,7.1,20.0
2014-08-15,,,,,,
2014-08-18,7.1,7.1,5.0,5.0,5.0,148.0
2014-08-19,8.9,8.9,8.0,8.0,8.0,158.0
2014-08-20,5.1,7.0,5.1,7.0,7.0,99.0
2014-08-21,5.5,10.0,5.5,9.0,9.0,591.0
2014-08-22,10.0,12.0,10.0,12.0,12.0,185.0
2014-08-25,,,,,,
2014-08-26,10.0,10.0,10.0,10.0,10.0,50.0
2014-08-27,8.3,8.3,6.5,6.5,6.5,304.0
2014-08-28,9.3,9.3,9.3,9.3,9.3,19.0
2014-08-29,6.5,8.9,6.5,8.9,8.9,26.0
2014-09-02,8.9,9.4,7.2,7.2,7.2,132.0
2014-09-03,,,,,,
2014-09-04,,,,,,
2014-09-05,7.5,7.5,7.5,7.5,7.5,5.0
2014-09-08,7.5,7.5,5.6,5.6,5.6,10.0
2014-09-09,7.5,7.5,7.5,7.5,7.5,33.0
2014-09-10,5.6,5.6,5.5,5.5,5.5,54.0
2014-09-11,6.5,7.4,6.5,6.5,6.5,68.0
2014-09-12,6.5,6.5,6.5,6.5,6.5,0.0
2014-09-15,6.5,6.5,6.5,6.5,6.5,19.0
2014-09-16,,,,,,
2014-09-17,6.5,6.5,6.1,6.1,6.1,65.0
2014-09-18,6.1,6.1,5.5,5.5,5.5,122.0
2014-09-19,5.5,5.5,5.5,5.5,5.5,10.0
2014-09-22,5.5,7.0,5.5,7.0,7.0,167.0
2014-09-23,4.2,7.4,3.4,6.1,6.1,163.0
2014-09-24,6.0,6.0,3.9,3.9,3.9,102.0
2014-09-25,4.0,4.0,4.0,4.0,4.0,28.0
2014-09-26,4.0,4.0,4.0,4.0,4.0,140.0
2014-09-29,3.9,3.9,3.9,3.9,3.9,8.0
2014-09-30,,,,,,
2014-10-01,,,,,,
2014-10-02,3.9,3.9,3.9,3.9,3.9,1.0
2014-10-03,3.9,6.4,3.9,6.4,6.4,30.0
2014-10-06,3.9,3.9,3.9,3.9,3.9,2.0
2014-10-07,3.4,3.4,3.4,3.4,3.4,27.0
2014-10-08,3.1,3.1,3.1,3.1,3.1,5.0
2014-10-09,3.1,3.1,3.1,3.1,3.1,5.0
2014-10-10,2.3,3.4,2.3,3.4,3.4,20.0
2014-10-13,,,,,,
2014-10-14,,,,,,
2014-10-15,,,,,,
2014-10-16,3.1,3.1,3.1,3.1,3.1,5.0
2014-10-17,2.7,2.7,2.7,2.7,2.7,26.0
2014-10-20,,,,,,
2014-10-21,6.2,6.2,2.7,3.0,3.0,287.0
2014-10-22,,,,,,
2014-10-23,,,,,,
2014-10-24,3.0,3.0,3.0,3.0,3.0,100.0
2014-10-27,2.9,4.0,2.3,2.3,2.3,122.0
2014-10-28,,,,,,
2014-10-29,,,,,,
2014-10-30,,,,,,
2014-10-31,2.4,6.4,2.4,6.4,6.4,83.0
2014-11-03,2.3,2.3,2.3,2.3,2.3,2.0
2014-11-04,2.5,4.0,2.5,4.0,4.0,149.0
2014-11-05,5.6,5.6,2.6,2.9,2.9,10.0
2014-11-06,2.6,2.6,2.6,2.6,2.6,37.0
2014-11-07,2.6,2.6,2.6,2.6,2.6,133.0
2014-11-10,,,,,,
2014-11-11,,,,,,
2014-11-12,5.0,5.6,5.0,5.6,5.6,37.0
2014-11-13,4.5,4.5,4.5,4.5,4.5,50.0
2014-11-14,3.0,5.8,3.0,5.8,5.8,145.0
2014-11-17,5.0,6.5,5.0,5.0,5.0,248.0
2014-11-18,6.5,6.6,6.4,6.4,6.4,40.0
2014-11-19,,,,,,
2014-11-20,3.2,3.2,3.2,3.2,3.2,8.0
2014-11-21,,,,,,
2014-11-24,6.4,6.4,3.3,3.3,3.3,8.0
2014-11-25,3.3,3.3,3.3,3.3,3.3,2.0
2014-11-26,6.0,7.0,6.0,7.0,7.0,159.0
2014-11-28,3.7,8.9,3.7,8.9,8.9,57.0
2014-12-01,4.1,4.1,4.1,4.1,4.1,2.0
2014-12-02,,,,,,
2014-12-03,3.2,7.0,3.2,3.5,3.5,172.0
2014-12-04,,,,,,
2014-12-05,3.2,3.2,3.2,3.2,3.2,14.0
2014-12-08,3.5,3.5,3.5,3.5,3.5,54.0
2014-12-09,,,,,,
2014-12-10,3.5,3.5,3.5,3.5,3.5,119.0
2014-12-11,3.5,6.5,3.5,6.5,6.5,27.0
2014-12-12,3.6,3.6,3.6,3.6,3.6,1.0
2014-12-15,,,,,,
2014-12-16,3.7,3.72,3.1,3.1,3.1,144.0
2014-12-17,4.7,10.0,4.7,7.5,7.5,609.0
2014-12-18,9.0,9.0,5.0,9.0,9.0,89.0
2014-12-19,7.0,7.0,4.1,4.6,4.6,31.0
2014-12-22,4.1,9.0,4.1,5.0,5.0,5.0
2014-12-23,5.5,8.9,5.5,8.9,8.9,210.0
2014-12-24,4.9,4.9,4.9,4.9,4.9,2.0
2014-12-26,4.9,4.9,4.9,4.9,4.9,2.0
2014-12-29,4.9,4.9,4.1,4.1,4.1,17.0
2014-12-30,4.5,4.5,4.5,4.5,4.5,7.0
2014-12-31,4.1,5.0,3.5,3.9,3.9,36.0
2015-01-02,3.8,3.8,3.8,3.8,3.8,0.0
2015-01-05,,,,,,
2015-01-06,,,,,,
2015-01-07,4.1,4.2,4.1,4.1,4.1,10.0
2015-01-08,3.8,3.8,3.8,3.8,3.8,1.0
2015-01-09,4.0,4.0,4.0,4.0,4.0,9.0
2015-01-12,,,,,,
2015-01-13,3.9,3.9,3.8,3.8,3.8,41.0
2015-01-14,,,,,,
