Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,0.5698,0.5702,0.5622,0.5622,0.5622,11500
2021-04-06,0.5622,0.5622,0.5622,0.5622,0.5622,0
2021-04-07,0.6455,0.6706,0.6378,0.6607,0.6607,135538
2021-04-08,0.6607,0.6607,0.6607,0.6607,0.6607,0
2021-04-09,0.6584,0.6584,0.6584,0.6584,0.6584,1416
2021-04-12,0.6584,0.6584,0.6584,0.6584,0.6584,0
2021-04-13,0.6385,0.6385,0.6385,0.6385,0.6385,600
2021-04-14,0.6,0.6017,0.58,0.58,0.58,33000
2021-04-15,0.58,0.58,0.58,0.58,0.58,0
2021-04-16,0.58,0.58,0.58,0.58,0.58,0
2021-04-19,0.58,0.58,0.58,0.58,0.58,0
2021-04-20,0.58,0.58,0.58,0.58,0.58,0
2021-04-21,0.58,0.58,0.58,0.58,0.58,0
2021-04-22,0.589,0.589,0.589,0.589,0.589,15000
2021-04-23,0.59,0.59,0.59,0.59,0.59,10096
2021-04-26,0.58498,0.58498,0.58498,0.58498,0.58498,5600
2021-04-27,0.58498,0.58498,0.58498,0.58498,0.58498,0
2021-04-28,0.58498,0.58498,0.58498,0.58498,0.58498,0
2021-04-29,0.58,0.58,0.58,0.58,0.58,1709
2021-04-30,0.5964,0.6,0.5887,0.5975,0.5975,12453
2021-05-03,0.5975,0.5975,0.5975,0.5975,0.5975,0
2021-05-04,0.62618,0.635,0.6252,0.6252,0.6252,120800
2021-05-05,0.6435,0.6435,0.6139,0.6252,0.6252,8119
2021-05-06,0.6053,0.6053,0.5977,0.5977,0.5977,700
2021-05-07,0.60863,0.6093,0.60863,0.6093,0.6093,1200
2021-05-10,0.6101,0.6101,0.6091,0.6091,0.6091,12258
2021-05-11,0.5956,0.6204,0.5751,0.6204,0.6204,7799
2021-05-12,0.5952,0.5952,0.5867,0.5938,0.5938,6012
2021-05-13,0.5927,0.5927,0.5756,0.5756,0.5756,200
2021-05-14,0.6032,0.6032,0.5868,0.5868,0.5868,23064
2021-05-17,0.5868,0.5868,0.5868,0.5868,0.5868,0
2021-05-18,0.5898,0.5939,0.5806,0.59,0.59,10246
2021-05-19,0.59,0.59,0.59,0.59,0.59,0
2021-05-20,0.597,0.597,0.597,0.597,0.597,6900
2021-05-21,0.6147,0.6225,0.6147,0.6225,0.6225,2018
2021-05-24,0.6225,0.6225,0.6225,0.6225,0.6225,0
2021-05-25,0.6225,0.6225,0.6225,0.6225,0.6225,0
2021-05-26,0.6225,0.6225,0.6225,0.6225,0.6225,0
2021-05-27,0.5878,0.5889,0.5804,0.5829,0.5829,6500
2021-05-28,0.5829,0.5829,0.5829,0.5829,0.5829,0
2021-06-01,0.59,0.59,0.5814,0.5814,0.5814,2700
2021-06-02,0.5637,0.5841,0.5637,0.58,0.58,2100
2021-06-03,0.5703,0.5753,0.5703,0.5753,0.5753,3869
2021-06-04,0.5753,0.5753,0.575,0.575,0.575,2860
2021-06-07,0.575,0.575,0.575,0.575,0.575,0
2021-06-08,0.5822,0.5822,0.58,0.58,0.58,18900
2021-06-09,0.58,0.58,0.58,0.58,0.58,10329
2021-06-10,0.6032,0.6032,0.59305,0.59305,0.59305,730
2021-06-11,0.5875,0.5875,0.5875,0.5875,0.5875,175
2021-06-14,0.5877,0.59911,0.58,0.58,0.58,2060
2021-06-15,0.58,0.58,0.58,0.58,0.58,0
2021-06-16,0.5795,0.5795,0.5534,0.5534,0.5534,1185
2021-06-17,0.56918,0.7,0.56918,0.56918,0.56918,3101
2021-06-18,0.56918,0.56918,0.56918,0.56918,0.56918,0
2021-06-21,0.56918,0.56918,0.56918,0.56918,0.56918,0
2021-06-22,0.6187,0.65,0.6,0.6,0.6,6300
2021-06-23,0.6483,0.6483,0.61005,0.62,0.62,2530
