Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,8.4,8.4,8.4,8.4,7.453588,0
2013-07-17,8.65,8.65,8.65,8.65,7.675422,300
2013-07-18,7.876,7.95,7.876,7.95,7.054289,6600
2013-07-19,7.837,7.837,7.837,7.837,6.95402,42500
2013-07-22,7.85,7.85,7.85,7.85,6.965556,1300
2013-07-23,7.862,7.862,7.787,7.862,6.976203,13300
2013-07-24,7.798,7.95,7.65,7.65,6.788089,6400
2013-07-25,7.709,7.709,7.709,7.709,6.840441,8600
2013-07-26,7.45,7.45,7.45,7.45,6.610622,200
2013-07-29,7.58,7.588,7.5,7.5,6.654989,2900
2013-07-30,7.55,7.55,7.55,7.55,6.699356,500
2013-07-31,7.85,7.85,7.85,7.85,6.965556,900
2013-08-01,7.5,7.5,7.5,7.5,6.654989,300
2013-08-02,7.6,7.6,7.6,7.6,6.743722,500
2013-08-05,7.85,7.85,7.65,7.65,6.788089,600
2013-08-06,7.65,7.65,7.65,7.65,6.788089,400
2013-08-07,7.72,7.72,7.72,7.72,6.850204,300
2013-08-08,7.7,7.8,7.7,7.8,6.921189,1000
2013-08-09,7.65,7.65,7.65,7.65,6.788089,200
2013-08-12,7.65,7.65,7.65,7.65,6.788089,400
2013-08-13,7.65,7.65,7.65,7.65,6.788089,0
2013-08-14,7.74,7.77,7.74,7.77,6.894568,2200
2013-08-15,7.77,7.77,7.77,7.77,6.894568,0
2013-08-16,7.77,7.77,7.77,7.77,6.894568,0
2013-08-19,7.63,7.63,7.55,7.55,6.699356,700
2013-08-20,7.59,7.59,7.47,7.47,6.62837,2600
2013-08-21,7.46,7.46,7.27,7.27,6.450903,600
2013-08-22,7.27,7.27,7.25,7.25,6.433157,1000
2013-08-23,7.25,7.25,7.25,7.25,6.433157,0
2013-08-26,7.35,7.35,7.35,7.35,6.52189,300
2013-08-27,7.35,7.35,7.35,7.35,6.52189,0
2013-08-28,7.35,7.35,7.35,7.35,6.52189,0
2013-08-29,7.35,7.35,7.35,7.35,6.52189,0
2013-08-30,7.35,7.35,7.35,7.35,6.52189,0
2013-09-03,7.35,7.35,7.35,7.35,6.52189,0
2013-09-04,7.4,7.55,7.4,7.55,6.699356,4700
2013-09-05,7.55,7.55,7.55,7.55,6.699356,0
2013-09-06,7.55,7.55,7.55,7.55,6.699356,0
2013-09-09,7.55,7.55,7.55,7.55,6.699356,0
2013-09-10,7.54,7.54,7.45,7.45,6.610622,500
2013-09-11,7.74,7.74,7.74,7.74,6.867949,2700
2013-09-12,7.4,7.5,7.4,7.5,6.654989,900
2013-09-13,7.5,7.5,7.5,7.5,6.654989,0
2013-09-16,7.57,7.57,7.57,7.57,6.717103,6200
2013-09-17,7.57,7.57,7.57,7.57,6.717103,0
2013-09-18,7.57,7.57,7.57,7.57,6.717103,0
2013-09-19,7.57,7.57,7.57,7.57,6.717103,0
2013-09-20,7.57,7.57,7.57,7.57,6.717103,0
2013-09-23,7.45,7.45,7.45,7.45,6.610622,1000
2013-09-24,7.45,7.45,7.45,7.45,6.610622,0
2013-09-25,7.45,7.45,7.45,7.45,6.610622,0
2013-09-26,7.45,7.45,7.45,7.45,6.610622,0
2013-09-27,7.28,7.28,7.28,7.28,6.459776,1300
2013-09-30,7.25,7.25,7.25,7.25,6.433157,3000
2013-10-01,7.25,7.25,7.25,7.25,6.433157,400
2013-10-02,7.25,7.25,7.25,7.25,6.433157,200
2013-10-03,7.35,7.5,7.35,7.5,6.654989,16000
2013-10-04,7.25,7.25,7.25,7.25,6.433157,200
2013-10-07,7.25,7.25,7.25,7.25,6.433157,0
2013-10-08,7.25,7.25,7.25,7.25,6.433157,0
2013-10-09,7.25,7.25,7.25,7.25,6.433157,0
2013-10-10,7.35,7.35,7.35,7.35,6.52189,100
2013-10-11,7.37,7.37,7.37,7.37,6.539637,200
2013-10-14,7.37,7.37,7.37,7.37,6.539637,0
2013-10-15,7.2,7.2,7.2,7.2,6.38879,300
2013-10-16,7.2,7.2,7.2,7.2,6.38879,0
2013-10-17,7.35,7.35,7.35,7.35,6.52189,200
2013-10-18,7.4,7.4,7.4,7.4,6.566256,400
2013-10-21,7.58,7.58,7.5,7.5,6.654989,61100
2013-10-22,7.5,7.5,7.5,7.5,6.654989,0
2013-10-23,7.6,7.6,7.55,7.55,6.699356,1100
2013-10-24,7.6,7.6,7.6,7.6,6.743722,2000
2013-10-25,7.9,7.9,7.9,7.9,7.009923,100
2013-10-28,7.94,7.94,7.6,7.6,6.743722,16800
2013-10-29,7.65,8.0,7.65,8.0,7.098656,2800
2013-10-30,8.29,8.34,8.29,8.34,7.400349,116600
2013-10-31,8.22,8.25,7.9,7.9,7.009923,62200
2013-11-01,8.06,8.15,7.75,8.08,7.169642,153000
2013-11-04,8.08,8.25,7.75,8.1,7.187389,32200
2013-11-05,7.9,7.92,7.85,7.9,7.009923,98300
2013-11-06,8.01,8.06,7.75,7.75,6.876822,51200
2013-11-07,8.05,8.05,7.6,8.02,7.116403,29800
2013-11-08,7.8,7.84,7.75,7.84,6.956683,27100
2013-11-11,7.83,7.84,7.75,7.84,6.956683,12500
2013-11-12,7.77,7.8,7.72,7.8,6.921189,3200
2013-11-13,7.69,7.74,7.69,7.74,6.867949,9900
2013-11-14,7.75,7.82,7.5,7.82,6.938936,5200
2013-11-15,7.8,8.0,7.79,7.84,6.956683,60200
2013-11-18,7.78,8.1,7.7,7.85,6.965556,78000
2013-11-19,7.76,7.77,7.74,7.77,6.894568,91500
2013-11-20,7.73,7.81,7.5,7.81,6.930063,179800
2013-11-21,7.8,7.94,7.8,7.89,7.001049,364700
2013-11-22,7.84,7.87,7.6,7.87,6.983302,109000
2013-11-25,7.84,8.0,7.7,7.9,7.009923,62300
2013-11-26,6.2,7.82,6.2,7.8,6.921189,83900
2013-11-27,7.92,7.92,7.81,7.83,6.94781,13800
2013-11-29,7.83,7.83,7.78,7.78,6.903442,19000
2013-12-02,7.7,7.7,7.7,7.7,6.832456,12800
2013-12-03,7.69,7.74,7.65,7.74,6.867949,19200
2013-12-04,7.5,7.53,7.5,7.5,6.654989,5900
2013-12-05,7.57,7.61,7.54,7.54,6.690483,10200
2013-12-06,7.58,7.58,7.58,7.58,6.725977,8400
2013-12-09,7.64,7.71,7.64,7.71,6.84133,70700
2013-12-10,7.71,7.71,7.71,7.71,6.84133,0
2013-12-11,7.71,7.71,7.71,7.71,6.84133,0
2013-12-12,7.5,7.54,7.41,7.54,6.690483,11300
2013-12-13,7.42,7.42,7.42,7.42,6.584003,2900
2013-12-16,7.42,7.53,7.3,7.53,6.681611,2600
2013-12-17,7.51,7.52,7.51,7.52,6.672736,2800
2013-12-18,7.49,7.52,7.39,7.52,6.672736,4300
2013-12-19,7.47,7.57,7.47,7.57,6.717103,10800
2013-12-20,7.54,7.61,7.54,7.61,6.752596,13100
2013-12-23,7.66,7.68,7.62,7.62,6.761469,10900
2013-12-24,7.59,7.6,7.54,7.54,6.690483,1000
2013-12-26,7.71,7.71,7.71,7.71,6.84133,500
2013-12-27,7.69,7.74,7.69,7.69,6.823583,1300
2013-12-30,7.8,7.84,7.8,7.84,6.956683,5900
2013-12-31,7.84,7.84,7.84,7.84,6.956683,700
2014-01-02,7.64,7.64,7.61,7.63,6.770342,17000
2014-01-03,7.54,7.56,7.54,7.56,6.708229,800
2014-01-06,7.57,7.57,7.57,7.57,6.717103,1000
2014-01-07,7.57,7.57,7.57,7.57,6.717103,0
2014-01-08,7.51,7.51,7.51,7.51,6.663863,19700
2014-01-09,7.44,7.47,7.44,7.44,6.60175,4100
2014-01-10,7.52,7.56,7.52,7.56,6.708229,5400
2014-01-13,7.58,7.58,7.57,7.58,6.725977,9000
2014-01-14,7.6,7.6,7.57,7.6,6.743722,6000
2014-01-15,7.61,7.61,7.61,7.61,6.752596,3000
2014-01-16,7.58,7.69,7.58,7.69,6.823583,263500
2014-01-17,7.98,8.02,7.98,7.99,7.089782,380100
2014-01-21,8.08,8.12,8.05,8.12,7.205136,543200
2014-01-22,8.19,8.2,8.11,8.19,7.267248,12000
2014-01-23,8.27,8.27,8.26,8.27,7.338236,2100
2014-01-24,8.12,8.15,8.07,8.14,7.222882,20600
2014-01-27,7.99,8.02,7.92,8.0,7.098656,35900
2014-01-28,7.97,8.06,7.97,8.06,7.151896,10100
2014-01-29,7.87,7.92,7.87,7.92,7.027669,900
2014-01-30,7.86,7.86,7.79,7.79,6.912315,2300
2014-01-31,7.79,7.81,7.79,7.8,6.921189,23200
2014-02-03,7.73,7.73,7.65,7.65,6.788089,2200
2014-02-04,7.69,7.69,7.61,7.61,6.752596,3600
2014-02-05,7.7,7.77,7.7,7.77,6.894568,35700
2014-02-06,7.51,7.54,7.51,7.54,6.690483,6900
2014-02-07,7.47,7.56,7.47,7.55,6.699356,26200
2014-02-10,7.54,7.54,7.54,7.54,6.690483,1200
