Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,8.73,8.82,8.73,8.82,5.742991,244400
2013-07-17,8.8,8.86,8.77,8.79,5.723458,297500
2013-07-18,8.42,8.75,7.84,8.05,5.241619,227600
2013-07-19,7.9,8.04,7.9,8.02,5.222085,1162700
2013-07-22,8.0,8.14,7.95,8.06,5.248131,756700
2013-07-23,7.84,7.99,7.84,7.99,5.202551,6400
2013-07-24,7.89,7.9,7.81,7.86,5.117904,12600
2013-07-25,7.8,7.84,7.76,7.84,5.104881,10000
2013-07-26,7.75,7.83,7.71,7.79,5.072324,40600
2013-07-29,7.68,7.78,7.65,7.78,5.065813,108900
2013-07-30,7.78,7.82,7.73,7.76,5.05279,46500
2013-07-31,7.65,7.81,7.65,7.8,5.078835,21400
2013-08-01,7.77,7.83,7.68,7.76,5.05279,84700
2013-08-02,7.91,7.98,7.87,7.95,5.176506,312000
2013-08-05,7.79,7.85,7.73,7.81,5.085347,12500
2013-08-06,7.82,7.83,7.71,7.74,5.039767,53600
2013-08-07,7.76,7.83,7.75,7.79,5.072324,13900
2013-08-08,7.9,7.93,7.86,7.9,5.143949,12000
2013-08-09,7.97,7.97,7.9,7.96,5.183018,3300
2013-08-12,7.87,7.91,7.8,7.88,5.130926,34300
2013-08-13,7.92,7.97,7.9,7.95,5.176506,8100
2013-08-14,7.79,7.87,7.79,7.87,5.124414,59900
2013-08-15,7.71,7.84,7.66,7.84,5.104881,214700
2013-08-16,7.74,7.75,7.68,7.74,5.039767,49500
2013-08-19,7.67,7.75,7.65,7.69,5.007211,11800
2013-08-20,7.62,7.64,7.59,7.6,4.948608,15500
2013-08-21,7.51,7.51,7.38,7.41,4.824894,31900
2013-08-22,7.43,7.43,7.37,7.4,4.818383,47800
2013-08-23,7.47,7.56,7.47,7.55,4.916053,15300
2013-08-26,7.52,7.52,7.43,7.48,4.870473,16300
2013-08-27,7.46,7.47,7.42,7.42,4.831405,26600
2013-08-28,7.4,7.41,7.36,7.36,4.792337,42500
2013-08-29,7.26,7.28,7.21,7.25,4.720712,20300
2013-08-30,7.25,7.27,7.22,7.25,4.720712,29000
2013-09-03,7.35,7.42,7.35,7.36,4.792337,14400
2013-09-04,7.44,7.5,7.42,7.49,4.876984,14400
2013-09-05,7.36,7.42,7.36,7.42,4.831405,44900
2013-09-06,7.49,7.49,7.42,7.46,4.85745,30000
2013-09-09,7.5,7.61,7.5,7.55,4.916053,27700
2013-09-10,7.64,7.65,7.6,7.65,4.981165,5400
2013-09-11,7.74,7.79,7.72,7.78,5.065813,19900
2013-09-12,7.66,7.72,7.65,7.71,5.020234,18800
2013-09-13,7.59,7.59,7.52,7.52,4.896519,13500
2013-09-16,7.62,7.69,7.58,7.61,4.955121,31600
2013-09-17,7.64,7.71,7.64,7.69,5.007211,23600
2013-09-18,7.65,7.82,7.63,7.8,5.078835,57000
2013-09-19,7.82,7.82,7.74,7.74,5.039767,11800
2013-09-20,7.67,7.7,7.57,7.58,4.935586,41900
2013-09-23,7.6,7.64,7.56,7.61,4.955121,37800
2013-09-24,7.48,7.53,7.39,7.5,4.883495,61700
2013-09-25,7.53,7.57,7.48,7.53,4.903029,16600
2013-09-26,7.46,7.5,7.43,7.44,4.844428,19800
2013-09-27,7.35,7.39,7.32,7.39,4.811872,10400
2013-09-30,7.31,7.36,7.3,7.34,4.779315,8900
2013-10-01,7.39,7.43,7.36,7.4,4.818383,55500
2013-10-02,7.35,7.4,7.35,7.37,4.798849,16100
2013-10-03,7.43,7.45,7.4,7.44,4.844428,8000
2013-10-04,7.39,7.43,7.37,7.38,4.80536,10300
2013-10-07,7.35,7.39,7.35,7.38,4.80536,12600
2013-10-08,7.42,7.42,7.33,7.35,4.785826,23400
2013-10-09,7.28,7.29,7.24,7.28,4.740247,17000
2013-10-10,7.28,7.34,7.28,7.32,4.766292,15500
2013-10-11,7.39,7.43,7.39,7.42,4.831405,4300
2013-10-14,7.4,7.44,7.4,7.42,4.831405,4300
2013-10-15,7.4,7.41,7.37,7.37,4.798849,15300
2013-10-16,7.38,7.44,7.38,7.44,4.844428,10100
2013-10-17,7.53,7.56,7.5,7.55,4.916053,65400
2013-10-18,7.59,7.63,7.58,7.62,4.961631,11200
2013-10-21,7.6,7.66,7.6,7.65,4.981165,17200
2013-10-22,7.7,7.74,7.67,7.72,5.026745,12600
2013-10-23,7.89,7.9,7.82,7.89,5.137437,36500
2013-10-24,7.93,8.0,7.93,8.0,5.209062,16500
2013-10-25,7.96,8.01,7.94,8.01,5.215574,10600
2013-10-28,7.94,7.99,7.86,7.94,5.169994,237600
2013-10-29,7.93,7.94,7.83,7.91,5.15046,216900
2013-10-30,8.35,8.35,8.25,8.26,5.378357,46600
2013-10-31,8.2,8.21,8.15,8.2,5.339288,44700
2013-11-01,8.11,8.11,8.04,8.1,5.274176,84100
2013-11-04,8.14,8.14,8.05,8.08,5.261153,30500
2013-11-05,7.88,7.95,7.86,7.93,5.163483,125800
2013-11-06,8.03,8.07,8.01,8.06,5.248131,29000
2013-11-07,8.0,8.2,7.88,7.98,5.19604,30900
2013-11-08,7.81,7.81,7.76,7.8,5.078835,34000
2013-11-11,7.88,7.88,7.79,7.81,5.085347,23900
2013-11-12,7.75,7.75,7.69,7.74,5.039767,43200
2013-11-13,7.69,7.76,7.65,7.76,5.05279,19200
2013-11-14,7.75,7.82,7.72,7.82,5.091858,70300
2013-11-15,7.82,7.83,7.78,7.83,5.09837,26300
2013-11-18,7.85,7.86,7.8,7.8,5.078835,87400
2013-11-19,7.77,7.8,7.75,7.75,5.046279,30700
2013-11-20,7.83,7.85,7.77,7.79,5.072324,47200
2013-11-21,7.84,7.93,7.84,7.91,5.15046,564700
2013-11-22,7.88,7.91,7.83,7.91,5.15046,402600
2013-11-25,7.88,7.95,7.86,7.95,5.176506,154700
2013-11-26,7.83,7.92,7.8,7.91,5.15046,677200
2013-11-27,7.96,7.96,7.9,7.9,5.143949,351800
2013-11-29,7.86,7.89,7.76,7.84,5.104881,236900
2013-12-02,7.79,7.81,7.74,7.77,5.059301,146900
2013-12-03,7.73,7.76,7.68,7.73,5.033256,110900
2013-12-04,7.53,7.56,7.48,7.55,4.916053,118100
