Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,0.08,0.08,0.07,0.07,0.07,48600
2013-07-17,0.07,0.07,0.07,0.07,0.07,4900
2013-07-18,0.07,0.09,0.07,0.07,0.07,25800
2013-07-19,0.08,0.08,0.08,0.08,0.08,39000
2013-07-22,0.07,0.07,0.05,0.05,0.05,24800
2013-07-23,0.05,0.05,0.05,0.05,0.05,0
2013-07-24,0.05,0.05,0.05,0.05,0.05,0
2013-07-25,0.05,0.05,0.05,0.05,0.05,0
2013-07-26,0.06,0.06,0.06,0.06,0.06,1000
2013-07-29,0.05,0.05,0.05,0.05,0.05,10500
2013-07-30,0.05,0.05,0.05,0.05,0.05,0
2013-07-31,0.05,0.06,0.05,0.06,0.06,79400
2013-08-01,0.06,0.06,0.06,0.06,0.06,0
2013-08-02,0.06,0.06,0.06,0.06,0.06,0
2013-08-05,0.06,0.06,0.04,0.05,0.05,44800
2013-08-06,0.05,0.05,0.04,0.04,0.04,57800
2013-08-07,0.04,0.04,0.04,0.04,0.04,0
2013-08-08,0.03,0.05,0.03,0.05,0.05,1400
2013-08-09,0.05,0.05,0.05,0.05,0.05,0
2013-08-12,0.05,0.05,0.05,0.05,0.05,0
2013-08-13,0.05,0.05,0.05,0.05,0.05,0
2013-08-14,0.05,0.05,0.05,0.05,0.05,0
2013-08-15,0.05,0.05,0.05,0.05,0.05,0
2013-08-16,0.05,0.05,0.05,0.05,0.05,0
2013-08-19,0.05,0.05,0.05,0.05,0.05,3200
2013-08-20,0.05,0.05,0.05,0.05,0.05,0
2013-08-21,0.04,0.04,0.04,0.04,0.04,1200
2013-08-22,0.04,0.04,0.04,0.04,0.04,8000
2013-08-23,0.04,0.04,0.04,0.04,0.04,0
2013-08-26,0.04,0.04,0.04,0.04,0.04,0
2013-08-27,0.04,0.05,0.04,0.04,0.04,36900
2013-08-28,0.05,0.06,0.05,0.05,0.05,36200
2013-08-29,0.05,0.05,0.05,0.05,0.05,0
