Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,0.145,0.145,0.119,0.119,0.119,11000
2013-07-17,0.145,0.145,0.12,0.145,0.145,22800
2013-07-18,0.119,0.125,0.11,0.125,0.125,20919
2013-07-19,0.115,0.115,0.115,0.115,0.115,6600
2013-07-22,0.125,0.128,0.12,0.12,0.12,28000
2013-07-23,0.12,0.128,0.12,0.12,0.12,46962
2013-07-24,0.12,0.12,0.12,0.12,0.12,1000
2013-07-25,0.12,0.12,0.12,0.12,0.12,2393
2013-07-26,0.125,0.125,0.125,0.125,0.125,9000
2013-07-29,0.12,0.12,0.12,0.12,0.12,1350
2013-07-30,0.12,0.128,0.12,0.128,0.128,200
2013-07-31,0.128,0.128,0.128,0.128,0.128,0
2013-08-01,0.128,0.135,0.128,0.135,0.135,14145
2013-08-02,0.135,0.135,0.135,0.135,0.135,0
2013-08-05,0.135,0.135,0.135,0.135,0.135,0
2013-08-06,0.135,0.135,0.135,0.135,0.135,100
2013-08-07,0.122,0.122,0.122,0.122,0.122,255
2013-08-08,0.122,0.122,0.122,0.122,0.122,0
2013-08-09,0.122,0.128,0.105,0.105,0.105,85400
2013-08-12,0.105,0.105,0.055,0.0563,0.0563,194950
2013-08-13,0.105,0.105,0.105,0.105,0.105,1000
2013-08-14,0.105,0.105,0.105,0.105,0.105,0
2013-08-15,0.075,0.075,0.075,0.075,0.075,20000
2013-08-16,0.075,0.075,0.075,0.075,0.075,0
2013-08-19,0.08,0.105,0.08,0.105,0.105,73500
2013-08-20,0.081,0.11,0.081,0.11,0.11,19200
2013-08-21,0.11,0.11,0.11,0.11,0.11,0
2013-08-22,0.11,0.11,0.11,0.11,0.11,0
2013-08-23,0.075,0.075,0.075,0.075,0.075,1200
2013-08-26,0.075,0.075,0.075,0.075,0.075,500
2013-08-27,0.075,0.075,0.075,0.075,0.075,0
2013-08-28,0.075,0.075,0.075,0.075,0.075,0
2013-08-29,0.075,0.075,0.075,0.075,0.075,0
2013-08-30,0.0751,0.077,0.0751,0.0751,0.0751,29000
2013-09-03,0.0751,0.0751,0.0751,0.0751,0.0751,0
2013-09-04,0.1,0.1,0.1,0.1,0.1,600
2013-09-05,0.1,0.1,0.1,0.1,0.1,0
2013-09-06,0.1,0.1,0.1,0.1,0.1,0
2013-09-09,0.1,0.1,0.1,0.1,0.1,0
2013-09-10,0.0769,0.0772,0.0769,0.0772,0.0772,18600
2013-09-11,0.0772,0.0772,0.0772,0.0772,0.0772,0
2013-09-12,0.0772,0.0772,0.0772,0.0772,0.0772,0
2013-09-13,0.0769,0.0769,0.0769,0.0769,0.0769,10000
2013-09-16,0.0769,0.0769,0.0769,0.0769,0.0769,10000
2013-09-17,0.0769,0.0769,0.0769,0.0769,0.0769,0
2013-09-18,0.076,0.076,0.076,0.076,0.076,1500
2013-09-19,0.076,0.076,0.076,0.076,0.076,10700
2013-09-20,0.076,0.076,0.076,0.076,0.076,0
2013-09-23,0.076,0.076,0.076,0.076,0.076,0
2013-09-24,0.076,0.076,0.076,0.076,0.076,10000
2013-09-25,0.075,0.075,0.075,0.075,0.075,2500
2013-09-26,0.075,0.075,0.075,0.075,0.075,2200
2013-09-27,0.075,0.075,0.075,0.075,0.075,0
2013-09-30,0.09,0.09,0.09,0.09,0.09,13000
2013-10-01,0.075,0.075,0.075,0.075,0.075,15800
2013-10-02,0.075,0.075,0.075,0.075,0.075,0
2013-10-03,0.075,0.075,0.075,0.075,0.075,0
2013-10-04,0.075,0.075,0.075,0.075,0.075,0
2013-10-07,0.075,0.075,0.075,0.075,0.075,0
2013-10-08,0.0651,0.0651,0.0651,0.0651,0.0651,20000
2013-10-09,0.0651,0.0651,0.0651,0.0651,0.0651,0
2013-10-10,0.0651,0.0651,0.0651,0.0651,0.0651,0
2013-10-11,0.065,0.065,0.065,0.065,0.065,10000
2013-10-14,0.065,0.065,0.065,0.065,0.065,0
2013-10-15,0.065,0.065,0.065,0.065,0.065,0
2013-10-16,0.07,0.07,0.065,0.07,0.07,24550
2013-10-17,0.055,0.055,0.05,0.05,0.05,95890
2013-10-18,0.05,0.06,0.046,0.06,0.06,57500
2013-10-21,0.062,0.064,0.06,0.064,0.064,55000
2013-10-22,0.064,0.065,0.064,0.065,0.065,60870
2013-10-23,0.065,0.065,0.065,0.065,0.065,0
2013-10-24,0.064,0.065,0.064,0.065,0.065,60500
2013-10-25,0.065,0.065,0.06,0.06,0.06,18000
2013-10-28,0.06,0.06,0.06,0.06,0.06,10000
2013-10-29,0.06,0.06,0.06,0.06,0.06,0
2013-10-30,0.06,0.06,0.06,0.06,0.06,8000
2013-10-31,0.06,0.06,0.06,0.06,0.06,0
2013-11-01,0.06,0.06,0.06,0.06,0.06,0
2013-11-04,0.06,0.06,0.046,0.051,0.051,61826
2013-11-05,0.046,0.046,0.025,0.0315,0.0315,277900
2013-11-06,0.04,0.04,0.033,0.033,0.033,53030
2013-11-07,0.033,0.033,0.033,0.033,0.033,28810
2013-11-08,0.033,0.033,0.033,0.033,0.033,0
2013-11-11,0.033,0.033,0.033,0.033,0.033,0
2013-11-12,0.033,0.033,0.033,0.033,0.033,0
2013-11-13,0.04,0.04,0.04,0.04,0.04,43018
2013-11-14,0.04,0.04,0.04,0.04,0.04,0
2013-11-15,0.04,0.04,0.04,0.04,0.04,0
2013-11-18,0.042,0.042,0.042,0.042,0.042,300
2013-11-19,0.042,0.042,0.042,0.042,0.042,0
2013-11-20,0.045,0.05,0.04,0.05,0.05,25000
2013-11-21,0.05,0.05,0.039,0.05,0.05,7300
2013-11-22,0.045,0.05,0.039,0.05,0.05,10577
2013-11-25,0.05,0.05,0.05,0.05,0.05,0
2013-11-26,0.05,0.05,0.05,0.05,0.05,0
2013-11-27,0.039,0.039,0.0302,0.034,0.034,286350
2013-11-29,0.0301,0.039,0.0301,0.039,0.039,13700
2013-12-02,0.037,0.037,0.037,0.037,0.037,15000
2013-12-03,0.0321,0.038,0.0321,0.037,0.037,35915
2013-12-04,0.0321,0.0321,0.0321,0.0321,0.0321,10000
2013-12-05,0.0321,0.0321,0.0321,0.0321,0.0321,0
2013-12-06,0.03,0.03,0.03,0.03,0.03,375
2013-12-09,0.03,0.03,0.03,0.03,0.03,7303
2013-12-10,0.0324,0.035,0.0324,0.035,0.035,150045
2013-12-11,0.035,0.035,0.035,0.035,0.035,40000
2013-12-12,0.033,0.033,0.033,0.033,0.033,10120
2013-12-13,0.033,0.033,0.033,0.033,0.033,10000
2013-12-16,0.03,0.0302,0.03,0.0302,0.0302,20705
2013-12-17,0.035,0.036,0.0301,0.0301,0.0301,62216
2013-12-18,0.035,0.0355,0.035,0.0355,0.0355,55959
2013-12-19,0.0302,0.0302,0.03,0.03,0.03,77582
2013-12-20,0.03,0.03,0.03,0.03,0.03,0
2013-12-23,0.0302,0.0311,0.0302,0.0302,0.0302,24703
2013-12-24,0.0302,0.0302,0.0302,0.0302,0.0302,0
