Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,22.0,22.5,21.5,22.25,22.25,4468
2013-07-17,21.75,22.25,21.25,21.5,21.5,1532
2013-07-18,21.5,22.25,21.5,22.25,22.25,428
2013-07-19,22.0,23.25,22.0,22.75,22.75,1880
2013-07-22,22.75,24.0,22.5,24.0,24.0,1400
2013-07-23,24.5,25.75,22.75,25.75,25.75,2368
2013-07-24,25.25,25.25,24.0,24.5,24.5,1228
2013-07-25,25.5,26.0,24.75,24.75,24.75,416
2013-07-26,25.75,25.75,23.5,23.75,23.75,2932
2013-07-29,25.25,25.25,22.75,23.25,23.25,1520
2013-07-30,23.25,23.25,23.0,23.0,23.0,2980
2013-07-31,23.0,24.25,22.75,23.0,23.0,2164
2013-08-01,25.0,25.0,22.5,23.0,23.0,1460
2013-08-02,23.0,24.5,23.0,24.0,24.0,1316
2013-08-05,23.5,24.0,23.5,23.5,23.5,644
2013-08-06,23.5,24.0,23.5,23.5,23.5,52
2013-08-07,23.5,24.75,22.75,23.25,23.25,1436
2013-08-08,24.5,24.5,23.25,23.75,23.75,472
2013-08-09,24.5,24.5,23.5,23.75,23.75,1440
2013-08-12,24.25,24.5,24.0,24.25,24.25,748
2013-08-13,24.5,25.5,23.0,23.5,23.5,5640
2013-08-14,24.0,24.75,22.0,22.25,22.25,7448
2013-08-15,22.75,23.75,19.5,19.75,19.75,19176
2013-08-16,19.5,22.0,19.5,21.0,21.0,1104
2013-08-19,20.5,21.25,20.25,21.0,21.0,2236
2013-08-20,20.5,20.75,20.25,20.75,20.75,616
2013-08-21,20.75,20.75,20.5,20.75,20.75,336
2013-08-22,20.25,20.25,19.75,19.75,19.75,2728
2013-08-23,19.75,20.75,19.75,20.25,20.25,2856
2013-08-26,20.5,20.5,20.0,20.25,20.25,1852
2013-08-27,20.25,20.25,20.0,20.0,20.0,764
2013-08-28,20.0,20.25,19.25,20.25,20.25,252
2013-08-29,19.0,20.5,15.25,19.75,19.75,4424
2013-08-30,20.0,20.0,19.5,20.0,20.0,100
2013-09-03,20.25,20.25,19.0,19.75,19.75,204
2013-09-04,19.0,20.5,19.0,20.5,20.5,2208
2013-09-05,21.25,21.75,20.25,21.5,21.5,2616
2013-09-06,22.0,22.0,19.75,21.75,21.75,596
2013-09-09,20.75,21.75,20.25,21.0,21.0,824
2013-09-10,20.75,21.75,20.25,21.25,21.25,3408
2013-09-11,20.25,21.25,20.25,21.25,21.25,120
2013-09-12,21.25,21.25,20.25,20.5,20.5,596
2013-09-13,19.75,21.25,19.75,21.25,21.25,1168
2013-09-16,21.5,21.5,19.0,19.5,19.5,4556
2013-09-17,19.25,19.5,18.25,19.5,19.5,4580
2013-09-18,19.25,20.25,19.0,20.0,20.0,832
