Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,5.57,5.57,5.57,5.57,2.731102,0
2013-07-17,5.57,5.57,5.57,5.57,2.731102,0
2013-07-18,5.57,5.57,5.57,5.57,2.731102,0
2013-07-19,5.57,5.57,5.57,5.57,2.731102,0
2013-07-22,5.57,5.57,5.57,5.57,2.731102,0
2013-07-23,5.57,5.57,5.57,5.57,2.731102,0
2013-07-24,5.57,5.57,5.57,5.57,2.731102,0
2013-07-25,5.57,5.57,5.57,5.57,2.731102,0
2013-07-26,5.57,5.57,5.57,5.57,2.731102,0
2013-07-29,5.57,5.57,5.57,5.57,2.731102,0
2013-07-30,6.76,6.76,6.76,6.76,3.314588,2300
2013-07-31,6.76,6.76,6.76,6.76,3.314588,0
2013-08-01,6.76,6.76,6.76,6.76,3.314588,0
2013-08-02,6.84,6.84,6.84,6.84,3.353813,100
2013-08-05,6.84,6.84,6.84,6.84,3.353813,0
2013-08-06,7.18,7.18,7.18,7.18,3.520524,100
2013-08-07,7.18,7.18,7.18,7.18,3.520524,0
2013-08-08,7.18,7.18,7.18,7.18,3.520524,0
2013-08-09,7.36,7.36,7.36,7.36,3.608782,100
2013-08-12,7.36,7.36,7.36,7.36,3.608782,0
2013-08-13,7.36,7.36,7.36,7.36,3.608782,0
2013-08-14,7.36,7.36,7.36,7.36,3.608782,0
2013-08-15,7.36,7.36,7.36,7.36,3.608782,0
2013-08-16,8.88,8.88,8.88,8.88,4.354074,500
2013-08-19,8.88,8.88,8.88,8.88,4.354074,0
2013-08-20,8.88,8.88,8.88,8.88,4.354074,0
2013-08-21,8.88,8.88,8.88,8.88,4.354074,0
2013-08-22,8.88,8.88,8.88,8.88,4.354074,0
2013-08-23,8.88,8.88,8.88,8.88,4.354074,0
2013-08-26,9.84,9.84,9.84,9.84,4.824784,200
2013-08-27,9.84,9.84,9.84,9.84,4.824784,0
2013-08-28,9.84,9.84,9.84,9.84,4.824784,0
2013-08-29,9.84,9.84,9.84,9.84,4.824784,0
2013-08-30,10.08,10.08,10.08,10.08,4.942462,100
2013-09-03,10.08,10.08,10.08,10.08,4.942462,0
2013-09-04,9.84,9.84,9.84,9.84,4.824784,0
2013-09-05,9.84,9.84,9.84,9.84,4.824784,0
2013-09-06,10.08,10.08,10.08,10.08,4.942462,0
2013-09-09,10.08,10.08,10.08,10.08,4.942462,0
2013-09-10,10.08,10.08,10.08,10.08,4.942462,0
2013-09-11,10.08,10.08,10.08,10.08,4.942462,0
2013-09-12,10.08,10.08,10.08,10.08,4.942462,0
