Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,0.33,0.35,0.33,0.35,0.35,26700
2013-07-17,0.33,0.36,0.33,0.35,0.35,48500
2013-07-18,0.35,0.36,0.35,0.36,0.36,38200
2013-07-19,0.35,0.36,0.33,0.35,0.35,14400
2013-07-22,0.37,0.37,0.35,0.35,0.35,4700
2013-07-23,0.35,0.36,0.35,0.36,0.36,11000
2013-07-24,0.34,0.38,0.34,0.38,0.38,7300
2013-07-25,0.4,0.42,0.4,0.42,0.42,38000
2013-07-26,0.4,0.42,0.4,0.41,0.41,17200
2013-07-29,0.42,0.42,0.41,0.41,0.41,20800
2013-07-30,0.41,0.59,0.41,0.56,0.56,212200
2013-07-31,0.59,0.6,0.45,0.45,0.45,92300
2013-08-01,0.55,0.55,0.47,0.54,0.54,42800
2013-08-02,0.54,0.54,0.47,0.51,0.51,27800
2013-08-05,0.53,0.59,0.53,0.56,0.56,78700
2013-08-06,0.57,0.62,0.55,0.59,0.59,134500
2013-08-07,0.61,0.62,0.45,0.5,0.5,148200
2013-08-08,0.5,0.62,0.5,0.62,0.62,137000
2013-08-09,0.63,0.63,0.57,0.57,0.57,63600
2013-08-12,0.55,0.66,0.55,0.62,0.62,114200
2013-08-13,0.64,0.7,0.63,0.7,0.7,311900
2013-08-14,0.72,0.93,0.69,0.81,0.81,304800
2013-08-15,0.81,0.95,0.81,0.9,0.9,443900
2013-08-16,0.93,0.95,0.8,0.95,0.95,183800
2013-08-19,0.98,1.1,0.96,1.08,1.08,355900
2013-08-20,1.05,1.06,0.85,0.95,0.95,290900
2013-08-21,0.97,0.97,0.8,0.8,0.8,235400
2013-08-22,0.81,0.81,0.72,0.78,0.78,152800
2013-08-23,0.77,0.8,0.77,0.79,0.79,36500
2013-08-26,0.8,0.88,0.77,0.88,0.88,277400
2013-08-27,0.87,0.88,0.81,0.87,0.87,83200
2013-08-28,0.85,0.89,0.83,0.87,0.87,68900
2013-08-29,0.83,0.85,0.8,0.82,0.82,52700
2013-08-30,0.84,0.84,0.78,0.82,0.82,57700
2013-09-03,0.81,0.83,0.8,0.8,0.8,25100
2013-09-04,0.78,0.85,0.78,0.85,0.85,82700
2013-09-05,0.87,0.99,0.81,0.99,0.99,183400
2013-09-06,1.0,1.0,0.89,0.95,0.95,133400
2013-09-09,0.95,0.98,0.9,0.95,0.95,76800
2013-09-10,0.95,0.98,0.85,0.95,0.95,195500
2013-09-11,1.0,1.0,0.92,0.94,0.94,148800
2013-09-12,0.92,0.99,0.9,0.94,0.94,66800
2013-09-13,0.93,0.93,0.8,0.81,0.81,188700
2013-09-16,0.84,0.94,0.84,0.9,0.9,34000
2013-09-17,0.81,0.91,0.81,0.88,0.88,27900
2013-09-18,0.85,0.94,0.85,0.92,0.92,44200
2013-09-19,0.83,0.93,0.83,0.87,0.87,66800
2013-09-20,0.87,0.9,0.87,0.87,0.87,8000
2013-09-23,0.82,0.95,0.82,0.91,0.91,98600
2013-09-24,0.94,0.95,0.91,0.95,0.95,49400
2013-09-25,0.91,0.95,0.9,0.92,0.92,27100
2013-09-26,0.97,0.97,0.92,0.92,0.92,11500
2013-09-27,0.95,0.95,0.92,0.93,0.93,9300
2013-09-30,0.95,0.95,0.85,0.93,0.93,104200
2013-10-01,0.95,0.95,0.91,0.94,0.94,21800
2013-10-02,0.92,0.96,0.91,0.91,0.91,21500
2013-10-03,0.85,0.97,0.85,0.93,0.93,19000
2013-10-04,0.95,0.97,0.93,0.93,0.93,36900
2013-10-07,0.93,0.94,0.91,0.93,0.93,37800
2013-10-08,0.97,0.97,0.92,0.92,0.92,32800
2013-10-09,0.91,0.94,0.87,0.9,0.9,65000
2013-10-10,0.93,1.01,0.88,0.97,0.97,73700
2013-10-11,0.97,1.13,0.97,1.13,1.13,169700
2013-10-14,1.15,1.15,1.02,1.07,1.07,121300
2013-10-15,1.05,1.2,1.05,1.17,1.17,242900
2013-10-16,1.18,1.32,1.17,1.26,1.26,248900
2013-10-17,1.23,1.29,1.11,1.24,1.24,184500
2013-10-18,1.26,1.36,1.25,1.31,1.31,146200
2013-10-21,1.35,1.43,1.31,1.36,1.36,145000
2013-10-22,1.4,1.7,1.39,1.65,1.65,283500
2013-10-23,1.65,1.69,1.35,1.4,1.4,308300
2013-10-24,1.41,1.64,1.38,1.5,1.5,219900
2013-10-25,1.5,1.5,1.2,1.26,1.26,121700
2013-10-28,1.27,1.3,1.15,1.21,1.21,81400
2013-10-29,1.23,1.49,1.23,1.32,1.32,84100
2013-10-30,1.35,1.4,1.33,1.36,1.36,24500
2013-10-31,1.36,1.42,1.3,1.34,1.34,49000
2013-11-01,1.32,1.43,1.3,1.42,1.42,35200
2013-11-04,1.45,1.45,1.35,1.43,1.43,42000
2013-11-05,1.42,1.44,1.32,1.33,1.33,36100
2013-11-06,1.34,1.38,1.34,1.35,1.35,20900
2013-11-07,1.35,1.35,1.33,1.35,1.35,9400
2013-11-08,1.33,1.4,1.33,1.36,1.36,22400
2013-11-11,1.36,1.4,1.35,1.35,1.35,13100
2013-11-12,1.3,1.36,1.24,1.25,1.25,58300
2013-11-13,1.26,1.36,1.26,1.36,1.36,36400
2013-11-14,1.3,1.37,1.24,1.37,1.37,13800
2013-11-15,1.37,1.37,1.28,1.36,1.36,24600
2013-11-18,1.35,1.35,1.27,1.27,1.27,29400
2013-11-19,1.27,1.3,1.27,1.3,1.3,6200
2013-11-20,1.34,1.34,1.28,1.3,1.3,66300
2013-11-21,1.3,1.3,1.26,1.26,1.26,18100
2013-11-22,1.27,1.34,1.25,1.25,1.25,27900
2013-11-25,1.3,1.3,1.25,1.3,1.3,13900
2013-11-26,1.25,1.3,1.05,1.25,1.25,53400
2013-11-27,1.34,1.4,1.17,1.3,1.3,26900
2013-11-29,1.25,1.25,1.2,1.25,1.25,18400
2013-12-02,1.3,1.31,1.17,1.25,1.25,50400
2013-12-03,1.19,1.21,1.16,1.21,1.21,11100
2013-12-04,1.17,1.28,1.12,1.15,1.15,44000
2013-12-05,1.12,1.3,1.12,1.3,1.3,82700
2013-12-06,1.4,1.5,1.37,1.49,1.49,275000
2013-12-09,1.49,1.57,1.3,1.4,1.4,125700
2013-12-10,1.4,1.4,1.26,1.26,1.26,40100
2013-12-11,1.28,1.3,1.22,1.24,1.24,57900
2013-12-12,1.25,1.31,1.18,1.19,1.19,57000
2013-12-13,1.2,1.2,1.08,1.2,1.2,175100
2013-12-16,1.2,1.31,1.17,1.31,1.31,100700
2013-12-17,1.31,1.48,1.22,1.22,1.22,86100
2013-12-18,1.21,1.21,1.03,1.13,1.13,188900
2013-12-19,1.14,1.25,1.06,1.24,1.24,86800
2013-12-20,1.15,1.24,1.12,1.2,1.2,81200
2013-12-23,1.21,1.24,1.15,1.19,1.19,38300
2013-12-24,1.19,1.2,1.15,1.16,1.16,26300
2013-12-26,1.15,1.15,1.08,1.1,1.1,163800
2013-12-27,1.1,1.24,1.06,1.2,1.2,155400
2013-12-30,1.2,1.26,1.09,1.19,1.19,98000
2013-12-31,1.11,1.18,1.08,1.15,1.15,87800
2014-01-02,1.15,1.17,1.09,1.14,1.14,24900
2014-01-03,1.09,1.23,1.09,1.22,1.22,51400
2014-01-06,1.25,1.26,1.1,1.1,1.1,46500
2014-01-07,1.12,1.2,1.06,1.1,1.1,73300
2014-01-08,1.1,1.17,1.08,1.15,1.15,38700
2014-01-09,1.14,1.14,1.08,1.08,1.08,14000
2014-01-10,1.07,1.12,1.07,1.08,1.08,104100
2014-01-13,1.09,1.15,1.07,1.12,1.12,121900
2014-01-14,1.1,1.17,1.06,1.07,1.07,82000
2014-01-15,1.07,1.15,1.02,1.1,1.1,81600
2014-01-16,1.17,1.24,1.1,1.24,1.24,228000
2014-01-17,1.25,1.42,1.12,1.25,1.25,172100
2014-01-21,1.3,1.39,1.2,1.37,1.37,85200
2014-01-22,1.37,1.38,1.25,1.36,1.36,51000
2014-01-23,1.39,1.39,1.26,1.36,1.36,96600
2014-01-24,1.35,1.39,1.2,1.33,1.33,65900
2014-01-27,1.25,1.34,1.22,1.22,1.22,30000
2014-01-28,1.33,1.34,1.23,1.3,1.3,24900
2014-01-29,1.32,1.39,1.3,1.39,1.39,92600
2014-01-30,1.39,1.41,1.2,1.37,1.37,138100
2014-01-31,1.39,1.39,1.28,1.37,1.37,77300
2014-02-03,1.4,1.42,1.25,1.37,1.37,32300
2014-02-04,1.36,1.4,1.29,1.35,1.35,38100
2014-02-05,1.32,1.32,1.29,1.29,1.29,20300
2014-02-06,1.3,1.35,1.3,1.35,1.35,20200
2014-02-07,1.35,1.45,1.3,1.41,1.41,59900
2014-02-10,1.45,1.45,1.38,1.45,1.45,67300
2014-02-11,1.47,1.49,1.3,1.4,1.4,117200
2014-02-12,1.44,1.45,1.35,1.45,1.45,40600
2014-02-13,1.37,1.49,1.37,1.49,1.49,25800
2014-02-14,1.49,1.49,1.4,1.47,1.47,49800
2014-02-18,1.47,1.48,1.4,1.41,1.41,58200
2014-02-19,1.45,1.48,1.37,1.4,1.4,86800
2014-02-20,1.47,1.48,1.39,1.44,1.44,58400
2014-02-21,1.47,1.48,1.4,1.45,1.45,30800
2014-02-24,1.48,1.51,1.42,1.42,1.42,66800
2014-02-25,1.4,1.42,1.36,1.41,1.41,86400
2014-02-26,1.42,1.45,1.4,1.42,1.42,15800
2014-02-27,1.4,1.41,1.35,1.35,1.35,69200
2014-02-28,1.35,1.4,1.32,1.34,1.34,33100
2014-03-03,1.33,1.4,1.32,1.37,1.37,39600
2014-03-04,1.37,1.42,1.33,1.36,1.36,45800
2014-03-05,1.36,1.38,1.34,1.36,1.36,23000
2014-03-06,1.36,1.42,1.33,1.42,1.42,112800
2014-03-07,1.36,1.45,1.36,1.4,1.4,104500
2014-03-10,1.43,1.43,1.32,1.4,1.4,50600
2014-03-11,1.43,1.43,1.4,1.42,1.42,23100
2014-03-12,1.41,1.41,1.32,1.4,1.4,82000
2014-03-13,1.41,1.41,1.32,1.4,1.4,34000
2014-03-14,1.4,1.4,1.27,1.3,1.3,182400
2014-03-17,1.26,1.36,1.17,1.36,1.36,171300
2014-03-18,1.35,1.35,1.22,1.25,1.25,40900
2014-03-19,1.26,1.3,1.2,1.3,1.3,44600
2014-03-20,1.3,1.3,1.22,1.28,1.28,14000
2014-03-21,1.28,1.32,1.27,1.32,1.32,34400
2014-03-24,1.31,1.36,1.23,1.23,1.23,53000
