Date,Open,High,Low,Close,Adj Close,Volume
2020-09-08,1.05,1.05,1.05,1.05,1.05,200
2020-09-09,1.25,6.0,1.25,1.25,1.25,400
2020-09-10,1.5,2.5,1.5,1.5,1.5,1300
2020-09-11,1.6,2.75,1.6,2.6,2.6,10800
2020-09-14,2.55,4.6,2.45,3.45,3.45,42200
2020-09-15,4.75,6.0,4.75,5.35,5.35,12900
2020-09-16,2.825,5.425,2.825,5.25,5.25,6000
2020-09-17,5.5,6.7,4.25,6.5,6.5,23900
2020-09-18,6.9,7.1,6.25,6.25,6.25,15100
2020-09-21,5.75,6.1,5.75,6.1,6.1,200
2020-09-22,5.2,6.3,4.1,6.3,6.3,700
2020-09-23,6.3,6.3,6.3,6.3,6.3,0
2020-09-24,5.2,5.25,4.3,5.25,5.25,8800
2020-09-25,5.25,5.25,5.25,5.25,5.25,0
2020-09-28,4.65,4.65,4.3,4.3,4.3,1000
2020-09-29,4.5,5.05,4.5,5.02,5.02,76300
2020-09-30,5.25,5.25,5.25,5.25,5.25,500
2020-10-01,4.5,5.1,4.5,5.0,5.0,800
2020-10-02,5.25,5.25,5.25,5.25,5.25,25000
2020-10-05,4.6,4.6,4.6,4.6,4.6,100
2020-10-06,5.0,5.0,5.0,5.0,5.0,3100
2020-10-07,5.25,5.5,5.0,5.0,5.0,2800
2020-10-08,5.0,5.0,5.0,5.0,5.0,12300
2020-10-09,5.0,5.0,5.0,5.0,5.0,500
2020-10-12,4.5,5.0,4.5,5.0,5.0,300
2020-10-13,4.5,5.5,4.3,4.6,4.6,3900
2020-10-14,5.0,5.0,4.5,4.8,4.8,9800
2020-10-15,4.65,4.8,4.65,4.8,4.8,4500
2020-10-16,4.5,4.65,4.5,4.65,4.65,900
2020-10-19,4.5,4.5,4.1,4.3,4.3,5200
2020-10-20,4.3,4.3,4.3,4.3,4.3,7600
2020-10-21,4.3,4.3,4.3,4.3,4.3,0
2020-10-22,4.1,4.1,4.0,4.0,4.0,700
2020-10-23,4.5,5.1,4.3,5.1,5.1,5100
2020-10-26,5.0,5.1,4.75,4.85,4.85,94500
2020-10-27,4.6,4.6,4.6,4.6,4.6,500
2020-10-28,4.35,4.4,4.35,4.4,4.4,1000
2020-10-29,4.4,4.4,4.35,4.4,4.4,700
2020-10-30,5.1,5.1,5.1,5.1,5.1,100
2020-11-02,4.8,4.8,4.75,4.75,4.75,400
2020-11-03,5.0,5.0,4.3,4.3,4.3,5600
2020-11-04,4.5,4.5,4.3,4.3,4.3,6600
2020-11-05,4.25,4.5,4.25,4.5,4.5,3000
2020-11-06,4.5,5.5,4.5,5.1,5.1,78000
2020-11-09,4.8,5.1,4.8,4.8,4.8,2000
2020-11-10,5.1,5.1,5.1,5.1,5.1,900
2020-11-11,4.8,4.8,4.8,4.8,4.8,700
2020-11-12,4.8,4.8,4.8,4.8,4.8,0
2020-11-13,4.8,4.8,4.69,4.7,4.7,1000
2020-11-16,4.5,4.5,4.5,4.5,4.5,500
2020-11-17,4.5,4.5,4.5,4.5,4.5,0
2020-11-18,4.6,4.6,4.33,4.6,4.6,2100
2020-11-19,4.6,4.6,4.6,4.6,4.6,0
2020-11-20,4.33,4.33,4.33,4.33,4.33,300
2020-11-23,4.4,4.45,4.4,4.45,4.45,1300
2020-11-24,4.2,4.25,4.2,4.25,4.25,700
2020-11-25,4.25,4.25,4.25,4.25,4.25,1100
2020-11-27,4.25,4.25,4.25,4.25,4.25,0
2020-11-30,4.4,4.44,4.4,4.44,4.44,3000
2020-12-01,4.45,4.45,4.15,4.25,4.25,2700
2020-12-02,4.06,4.6,4.06,4.06,4.06,5900
2020-12-03,4.06,4.25,4.01,4.25,4.25,3800
2020-12-04,4.02,4.02,4.01,4.01,4.01,600
2020-12-07,4.02,4.02,3.53,3.53,3.53,3900
2020-12-08,4.0,4.0,4.0,4.0,4.0,1200
2020-12-09,4.0,4.0,4.0,4.0,4.0,8600
2020-12-10,3.95,4.08,3.95,4.08,4.08,1000
2020-12-11,4.0,4.15,4.0,4.0,4.0,3300
2020-12-14,4.0,4.0,4.0,4.0,4.0,2300
2020-12-15,4.0,4.0,4.0,4.0,4.0,1000
2020-12-16,4.1,4.15,4.1,4.15,4.15,3200
2020-12-17,4.15,4.3,4.15,4.3,4.3,500
2020-12-18,4.35,5.2,4.35,5.2,5.2,4600
2020-12-21,4.15,5.0,4.1,5.0,5.0,3500
2020-12-22,4.45,4.45,4.45,4.45,4.45,2300
2020-12-23,4.33,5.25,4.33,4.33,4.33,8200
2020-12-24,4.34,4.34,4.1,4.15,4.15,9100
2020-12-28,4.25,4.4,4.25,4.4,4.4,6300
2020-12-29,4.24,4.52,4.24,4.52,4.52,10500
2020-12-30,4.4,5.25,4.4,4.67,4.67,7300
2020-12-31,5.0,5.0,4.41,4.7,4.7,4400
2021-01-04,4.7,4.7,2.0,3.6,3.6,23600
2021-01-05,4.65,4.65,3.75,4.18,4.18,6000
2021-01-06,4.44,4.45,4.44,4.45,4.45,300
2021-01-07,4.2,4.2,4.2,4.2,4.2,100
2021-01-08,4.2,4.2,4.2,4.2,4.2,400
2021-01-11,4.2,4.2,4.2,4.2,4.2,100
2021-01-12,4.2,4.2,4.2,4.2,4.2,600
2021-01-13,4.2,4.2,3.65,3.8,3.8,6200
2021-01-14,3.8,4.18,3.6,3.6,3.6,700
2021-01-15,4.0,4.41,3.24,3.24,3.24,6700
2021-01-19,3.6,4.2,3.6,4.2,4.2,4600
2021-01-20,3.75,3.75,3.75,3.75,3.75,400
2021-01-21,4.0,4.01,4.0,4.0,4.0,2800
