Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,0.003,0.003,0.003,0.003,0.003,0
2013-07-17,0.004,0.0045,0.004,0.0045,0.0045,2810000
2013-07-18,0.0039,0.0045,0.0027,0.004,0.004,549700
2013-07-19,0.0043,0.0045,0.004,0.0045,0.0045,2062167
2013-07-22,0.0045,0.006,0.0045,0.006,0.006,1898593
2013-07-23,0.0065,0.0088,0.0065,0.0085,0.0085,2023000
2013-07-24,0.008,0.009,0.0043,0.0089,0.0089,1149510
2013-07-25,0.0085,0.0088,0.0083,0.0083,0.0083,2003000
2013-07-26,0.0086,0.009,0.0086,0.009,0.009,825000
2013-07-29,0.0042,0.009,0.0042,0.009,0.009,600155
2013-07-30,0.009,0.009,0.009,0.009,0.009,5000
2013-07-31,0.0089,0.0089,0.0089,0.0089,0.0089,5000
2013-08-01,0.0089,0.0089,0.0089,0.0089,0.0089,5000
2013-08-02,0.0088,0.0088,0.0088,0.0088,0.0088,7000
2013-08-05,0.0087,0.0087,0.0085,0.0085,0.0085,10000
2013-08-06,0.009,0.0095,0.0042,0.0075,0.0075,192439
2013-08-07,0.0075,0.0075,0.0075,0.0075,0.0075,0
2013-08-08,0.0075,0.0075,0.005,0.005,0.005,245000
2013-08-09,0.005,0.005,0.004,0.004,0.004,167500
2013-08-12,0.003,0.005,0.003,0.003,0.003,20710
2013-08-13,0.005,0.005,0.005,0.005,0.005,10000
2013-08-14,0.005,0.005,0.005,0.005,0.005,0
2013-08-15,0.005,0.005,0.005,0.005,0.005,14000
2013-08-16,0.01,0.01,0.01,0.01,0.01,5000
2013-08-19,0.01,0.01,0.01,0.01,0.01,0
2013-08-20,0.01,0.01,0.01,0.01,0.01,0
2013-08-21,0.01,0.01,0.01,0.01,0.01,0
2013-08-22,0.01,0.01,0.01,0.01,0.01,0
2013-08-23,0.01,0.01,0.01,0.01,0.01,0
2013-08-26,0.01,0.01,0.01,0.01,0.01,0
2013-08-27,0.01,0.01,0.01,0.01,0.01,0
2013-08-28,0.01,0.01,0.01,0.01,0.01,0
2013-08-29,0.01,0.01,0.01,0.01,0.01,0
2013-08-30,0.01,0.01,0.01,0.01,0.01,0
2013-09-03,0.003,0.0032,0.003,0.0032,0.0032,50364
2013-09-04,0.0032,0.0032,0.0032,0.0032,0.0032,0
2013-09-05,0.0032,0.0032,0.0032,0.0032,0.0032,0
2013-09-06,0.0032,0.0032,0.0032,0.0032,0.0032,0
2013-09-09,0.0032,0.0032,0.0032,0.0032,0.0032,0
2013-09-10,0.0025,0.0031,0.0025,0.0025,0.0025,55001
2013-09-11,0.0025,0.0025,0.0025,0.0025,0.0025,0
2013-09-12,0.0025,0.0025,0.0025,0.0025,0.0025,0
2013-09-13,0.0025,0.0025,0.0025,0.0025,0.0025,95400
2013-09-16,0.0025,0.0025,0.0025,0.0025,0.0025,0
2013-09-17,0.0025,0.0025,0.0025,0.0025,0.0025,182
2013-09-18,0.0028,0.0028,0.0025,0.0025,0.0025,15000
2013-09-19,0.0025,0.0025,0.0025,0.0025,0.0025,0
2013-09-20,0.0025,0.0025,0.0025,0.0025,0.0025,0
2013-09-23,0.0025,0.0025,0.0025,0.0025,0.0025,0
2013-09-24,0.0059,0.0059,0.0029,0.0029,0.0029,5100
2013-09-25,0.0029,0.0029,0.0029,0.0029,0.0029,0
2013-09-26,0.0025,0.0025,0.0025,0.0025,0.0025,1004
2013-09-27,0.0025,0.0025,0.0025,0.0025,0.0025,0
