Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,14.24,14.33,14.11,14.23,10.997369,133200
2013-07-17,14.25,14.32,14.05,14.17,10.951001,1193700
2013-07-18,14.31,14.39,14.22,14.33,11.074651,323800
2013-07-19,14.33,14.45,14.32,14.36,11.097835,33300
2013-07-22,14.39,14.45,14.37,14.4,11.128751,43000
2013-07-23,14.28,14.37,14.17,14.17,10.951001,131900
2013-07-24,14.35,14.36,14.2,14.3,11.051466,78300
2013-07-25,14.42,14.44,14.28,14.44,11.159661,77800
2013-07-26,14.33,14.33,14.17,14.3,11.051466,59000
2013-07-29,14.1,14.19,13.99,14.12,10.912357,66000
2013-07-30,14.34,14.34,14.08,14.18,10.958728,122400
2013-07-31,14.13,14.3,14.13,14.23,10.997369,77300
2013-08-01,14.27,14.32,14.22,14.3,11.051466,67600
2013-08-02,14.15,14.28,14.08,14.18,10.958728,83800
2013-08-05,14.44,14.44,14.22,14.27,11.028281,105100
2013-08-06,14.47,14.55,14.42,14.52,11.22149,108100
2013-08-07,14.27,14.53,14.14,14.2,11.114262,173400
2013-08-08,14.34,14.39,14.26,14.31,11.200357,62100
2013-08-09,14.18,14.3,14.18,14.26,11.16122,53300
2013-08-12,14.07,14.32,14.03,14.03,10.981202,159100
2013-08-13,13.99,14.13,13.94,14.13,11.059472,96600
2013-08-14,14.24,14.26,14.1,14.16,11.082952,143800
2013-08-15,14.05,14.11,13.83,14.1,11.035991,97600
2013-08-16,13.94,14.0,13.89,14.0,10.957723,80400
2013-08-19,14.04,14.14,14.02,14.1,11.035991,82500
2013-08-20,13.98,14.19,13.98,14.16,11.082952,88300
2013-08-21,14.15,14.23,14.05,14.05,10.996856,132700
2013-08-22,14.1,14.3,14.1,14.15,11.075126,410800
2013-08-23,14.11,14.13,13.94,14.05,10.996856,886300
2013-08-26,14.28,14.28,13.99,14.03,10.981202,85600
2013-08-27,14.06,14.06,13.8,13.8,10.801184,188900
2013-08-28,13.8,13.8,13.6,13.65,10.683778,129000
2013-08-29,13.56,13.79,13.54,13.7,10.722914,111600
2013-08-30,13.61,13.64,13.5,13.57,10.621162,61200
2013-09-03,13.84,13.85,13.69,13.76,10.769876,153200
2013-09-04,13.73,13.74,13.59,13.72,10.738566,97000
2013-09-05,13.73,13.73,13.59,13.64,10.675952,70800
2013-09-06,13.66,13.73,13.57,13.7,10.722914,103200
2013-09-09,13.63,13.77,13.62,13.73,10.746395,74200
2013-09-10,14.03,14.05,13.92,14.03,10.981202,289700
2013-09-11,13.88,14.04,13.88,14.01,10.965549,112400
2013-09-12,14.02,14.13,13.98,14.07,11.012509,136400
2013-09-13,14.65,14.65,14.38,14.44,11.302107,166300
2013-09-16,14.5,14.51,14.42,14.42,11.286455,142900
2013-09-17,14.51,14.62,14.48,14.51,11.356895,75400
2013-09-18,14.53,14.71,14.43,14.71,11.513433,291000
2013-09-19,14.76,14.79,14.65,14.7,11.505607,90000
2013-09-20,14.67,14.76,14.66,14.73,11.52909,99500
2013-09-23,14.64,14.7,14.56,14.65,11.466472,171300
2013-09-24,14.57,14.6,14.51,14.56,11.39603,74900
2013-09-25,14.42,14.61,14.41,14.58,11.411683,103400
2013-09-26,14.53,14.63,14.48,14.6,11.427339,54200
2013-09-27,14.51,14.65,14.46,14.64,11.458645,65100
2013-09-30,14.58,14.7,14.54,14.69,11.497779,101600
2013-10-01,14.41,14.53,14.39,14.44,11.302107,90700
2013-10-02,14.32,14.4,14.24,14.4,11.2708,64100
2013-10-03,14.23,14.3,14.18,14.28,11.176876,77200
2013-10-04,14.07,14.19,14.03,14.13,11.059472,111900
2013-10-07,14.0,14.18,14.0,14.17,11.090781,72700
2013-10-08,13.91,13.92,13.72,13.77,10.777701,118100
2013-10-09,13.61,13.75,13.55,13.71,10.73074,126600
2013-10-10,13.73,13.9,13.73,13.84,10.83249,174600
2013-10-11,13.85,14.03,13.85,14.01,10.965549,63700
2013-10-14,14.02,14.09,13.94,14.03,10.981202,71700
