Date,Open,High,Low,Close,Adj Close,Volume
2016-05-02,0.74,0.762,0.7,0.75,0.75,31600
2016-05-03,0.7,0.78,0.7,0.752,0.752,5300
2016-05-04,0.727,0.73,0.727,0.73,0.73,600
2016-05-05,0.77,0.77,0.71,0.71,0.71,10200
2016-05-06,0.71,0.74,0.549,0.601,0.601,74500
2016-05-09,0.65,0.71,0.63,0.63,0.63,26800
2016-05-10,0.659,0.679,0.63,0.63,0.63,2000
2016-05-11,0.649,0.66,0.649,0.66,0.66,2100
2016-05-12,0.63,0.71,0.63,0.665,0.665,7500
2016-05-13,0.64,0.658,0.577,0.6,0.6,22700
2016-05-16,0.655,0.655,0.64,0.648,0.648,6700
2016-05-17,0.61,0.655,0.61,0.63,0.63,3200
2016-05-18,0.61,0.63,0.59,0.59,0.59,11000
2016-05-19,0.59,0.59,0.521,0.58,0.58,76200
2016-05-20,0.53,0.628,0.51,0.62,0.62,5700
2016-05-23,0.601,0.606,0.6,0.606,0.606,1700
2016-05-24,0.598,0.65,0.59,0.6,0.6,20500
2016-05-25,0.582,0.65,0.56,0.594,0.594,11700
2016-05-26,0.58,0.65,0.58,0.6,0.6,1100
2016-05-27,0.6,0.64,0.58,0.61,0.61,11300
2016-05-31,0.64,0.64,0.63,0.63,0.63,9200
2016-06-01,0.64,0.64,0.62,0.62,0.62,2800
2016-06-02,0.639,0.64,0.62,0.64,0.64,4500
2016-06-03,0.632,0.64,0.62,0.62,0.62,3500
2016-06-06,0.62,0.64,0.56,0.63,0.63,7500
2016-06-07,0.621,0.64,0.56,0.56,0.56,3900
2016-06-08,0.56,0.64,0.56,0.62,0.62,6800
2016-06-09,0.582,0.63,0.582,0.63,0.63,600
2016-06-10,0.598,0.62,0.57,0.57,0.57,6800
2016-06-13,0.56,0.62,0.56,0.605,0.605,14400
2016-06-14,0.604,0.63,0.6,0.63,0.63,17900
2016-06-15,0.615,0.62,0.615,0.62,0.62,2400
2016-06-16,0.6,0.625,0.6,0.61,0.61,4500
2016-06-17,0.6,0.63,0.6,0.61,0.61,5300
2016-06-20,0.6,0.63,0.6,0.616,0.616,1800
2016-06-21,0.61,0.61,0.6,0.6,0.6,400
2016-06-22,0.63,0.63,0.6,0.6,0.6,15100
2016-06-23,0.622,0.63,0.56,0.618,0.618,7000
2016-06-24,0.56,0.62,0.56,0.57,0.57,6600
2016-06-27,0.597,0.597,0.56,0.56,0.56,4600
2016-06-28,0.56,0.56,0.56,0.56,0.56,2400
2016-06-29,0.56,0.618,0.56,0.6,0.6,5400
2016-06-30,0.585,0.6,0.57,0.595,0.595,4500
2016-07-01,0.56,0.62,0.56,0.591,0.591,13500
2016-07-05,0.6,0.6,0.6,0.6,0.6,300
2016-07-06,0.581,0.586,0.564,0.564,0.564,2600
2016-07-07,0.55,0.6,0.55,0.6,0.6,6200
2016-07-08,0.597,0.604,0.59,0.6,0.6,5600
2016-07-11,0.62,0.62,0.59,0.59,0.59,11500
2016-07-12,0.61,0.99,0.61,0.692,0.692,770800
2016-07-13,0.59,0.691,0.59,0.59,0.59,47000
2016-07-14,0.6,0.73,0.6,0.64,0.64,18900
2016-07-15,0.62,0.729,0.62,0.67,0.67,150800
2016-07-18,0.622,0.7,0.61,0.7,0.7,12900
2016-07-19,0.67,0.745,0.67,0.73,0.73,34200
2016-07-20,0.7,0.71,0.7,0.708,0.708,7300
2016-07-21,0.7,0.75,0.7,0.7,0.7,8800
2016-07-22,0.74,0.74,0.605,0.64,0.64,29100
2016-07-25,0.638,0.71,0.61,0.611,0.611,169300
2016-07-26,0.63,0.774,0.615,0.74,0.74,99300
2016-07-27,0.68,0.77,0.65,0.76,0.76,31900
2016-07-28,0.76,0.88,0.76,0.84,0.84,37200
2016-07-29,0.84,0.97,0.8,0.93,0.93,47300
2016-08-01,0.98,1.03,0.91,0.99,0.99,108100
2016-08-02,0.98,1.014,0.8,0.871,0.871,37400
