Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,12.43,12.8,12.43,12.75,9.519466,36100
2013-07-17,12.7,12.95,12.7,12.94,9.661326,7300
2013-07-18,12.82,13.0,12.82,12.99,9.698657,3500
2013-07-19,12.92,13.1,12.92,13.1,9.780787,5600
2013-07-22,13.14,13.41,13.1,13.32,9.945043,13000
2013-07-23,13.32,13.45,13.03,13.45,10.042103,27600
2013-07-24,13.44,13.5,13.23,13.5,10.079436,10800
2013-07-25,13.45,13.45,13.29,13.4,10.004773,17500
2013-07-26,13.32,13.4,13.26,13.4,10.004773,14800
2013-07-29,13.32,13.54,13.31,13.42,10.019707,7800
2013-07-30,13.36,13.46,13.22,13.46,10.049571,11500
2013-07-31,13.38,13.39,13.33,13.34,9.959975,5700
2013-08-01,13.26,13.39,13.25,13.26,9.900249,12100
2013-08-02,13.28,13.47,13.26,13.47,10.057039,19300
2013-08-05,13.47,13.55,13.32,13.55,10.116768,22100
2013-08-06,13.5,13.66,13.43,13.52,10.094372,16700
2013-08-07,13.56,13.89,13.56,13.7,10.228761,15600
2013-08-08,13.68,13.98,13.68,13.69,10.221292,5600
2013-08-09,13.42,13.78,13.41,13.51,10.086903,8200
2013-08-12,13.52,13.55,13.34,13.34,9.959975,3500
2013-08-13,13.34,13.4,13.13,13.3,9.930112,4600
2013-08-14,13.25,13.26,13.0,13.15,9.818115,12500
2013-08-15,13.05,13.05,12.5,12.87,9.609063,16400
2013-08-16,12.8,12.8,12.61,12.72,9.49707,8000
2013-08-19,12.66,12.66,12.5,12.5,9.332809,8300
2013-08-20,12.5,13.15,12.5,12.65,9.444804,17400
2013-08-21,12.67,12.82,12.67,12.7,9.482136,1300
2013-08-22,12.51,12.88,12.51,12.6,9.407475,6000
2013-08-23,12.7,12.75,12.64,12.69,9.47467,4000
2013-08-26,12.82,12.82,12.38,12.5,9.332809,8600
2013-08-27,12.42,12.79,12.25,12.44,9.288014,10000
2013-08-28,12.39,12.4,12.14,12.35,9.220819,16000
2013-08-29,12.25,12.25,12.15,12.2,9.190685,2100
2013-08-30,12.19,12.24,12.16,12.21,9.198219,2600
2013-09-03,12.25,12.29,12.21,12.22,9.205752,13900
2013-09-04,12.18,12.37,11.36,12.02,9.055084,24500
2013-09-05,12.02,12.39,12.02,12.15,9.153017,3100
2013-09-06,12.11,12.13,12.07,12.1,9.115352,1000
2013-09-09,12.1,12.33,12.1,12.28,9.250952,8500
2013-09-10,12.25,12.32,12.01,12.21,9.198219,14700
2013-09-11,12.18,12.37,12.05,12.23,9.213284,17600
2013-09-12,12.32,12.72,12.24,12.58,9.47695,17800
2013-09-13,12.6,12.73,12.5,12.59,9.484487,20000
2013-09-16,12.58,12.67,12.18,12.54,9.446817,31800
2013-09-17,12.44,12.51,12.3,12.43,9.363952,13800
2013-09-18,12.31,12.43,12.12,12.41,9.348886,15400
2013-09-19,12.42,12.58,12.34,12.34,9.296152,9100
2013-09-20,12.3,12.54,12.13,12.54,9.446817,20000
2013-09-23,12.51,12.59,12.25,12.28,9.250952,8500
2013-09-24,12.29,12.45,12.29,12.3,9.266018,2900
2013-09-25,12.3,12.39,12.3,12.3,9.266018,3100
2013-09-26,12.32,12.33,12.17,12.24,9.220818,5500
2013-09-27,12.24,12.35,12.21,12.24,9.220818,12200
2013-09-30,12.1,12.27,12.1,12.1,9.115352,12800
2013-10-01,12.1,12.28,12.1,12.19,9.183153,6500
2013-10-02,12.18,12.28,12.16,12.16,9.160551,7300
2013-10-03,12.27,12.51,12.15,12.47,9.394085,15400
2013-10-04,12.51,12.59,12.28,12.32,9.281085,8300
2013-10-07,12.36,12.5,12.35,12.5,9.416683,17100
2013-10-08,12.5,12.64,12.5,12.64,9.522153,6100
2013-10-09,12.53,12.62,12.51,12.51,9.424217,4400
2013-10-10,12.51,12.67,12.51,12.51,9.424217,4600
2013-10-11,12.59,12.69,12.51,12.6,9.492019,5200
2013-10-14,12.6,12.6,12.5,12.6,9.492019,22600
2013-10-15,12.59,12.7,12.5,12.68,9.552286,12000
2013-10-16,12.61,12.72,12.61,12.7,9.56735,9700
2013-10-17,12.72,12.72,12.62,12.64,9.522153,6300
2013-10-18,12.69,12.71,12.65,12.71,9.574884,14900
2013-10-21,12.78,12.78,12.7,12.71,9.574884,11100
2013-10-22,12.69,12.71,12.29,12.7,9.56735,10700
2013-10-23,12.71,12.71,12.59,12.61,9.499552,1900
2013-10-24,12.55,12.63,12.49,12.49,9.40915,6200
2013-10-25,12.5,12.68,12.5,12.59,9.484487,6500
2013-10-28,12.59,12.75,12.59,12.7,9.56735,17900
