Date,Open,High,Low,Close,Adj Close,Volume
2016-05-18,1.36,1.36,1.196,1.22,1.22,71055
2016-05-19,1.29,1.29,1.12,1.196,1.196,91550
2016-05-20,1.204,1.228,1.04,1.192,1.192,236735
2016-05-23,1.112,1.194,1.032,1.16,1.16,37495
2016-05-24,1.2,1.2,1.1,1.1,1.1,11565
2016-05-25,0.01,0.012,0.01,0.01,0.01,66150
2016-05-26,1.03,1.11,0.972,1.0,1.0,118150
2016-05-27,0.924,1.004,0.91,0.96,0.96,54110
2016-05-31,1.0,1.02,0.94,0.998,0.998,38525
2016-06-01,1.0,1.06,0.98,1.06,1.06,70920
2016-06-02,1.1,1.2,0.998,1.04,1.04,68235
2016-06-03,1.134,1.134,0.998,1.02,1.02,74015
2016-06-06,1.02,1.096,1.0,1.038,1.038,66285
2016-06-07,1.058,1.058,0.96,1.0,1.0,85720
2016-06-08,1.0,1.02,0.948,0.948,0.948,65975
2016-06-09,0.95,1.0,0.9,0.978,0.978,83670
2016-06-10,0.978,0.978,0.78,0.97,0.97,299580
2016-06-13,0.862,0.97,0.86,0.928,0.928,61050
2016-06-14,0.83,0.968,0.81,0.81,0.81,84485
2016-06-15,0.87,0.94,0.782,0.818,0.818,63860
2016-06-16,0.802,0.86,0.782,0.854,0.854,64995
2016-06-17,0.854,0.86,0.75,0.8,0.8,47450
2016-06-20,0.84,0.84,0.8,0.82,0.82,21900
2016-06-21,0.84,0.84,0.81,0.83,0.83,37935
2016-06-22,0.86,0.86,0.722,0.798,0.798,45715
2016-06-23,0.812,0.848,0.752,0.794,0.794,29400
2016-06-24,0.794,0.838,0.7,0.8,0.8,111160
2016-06-27,0.732,0.8,0.7,0.76,0.76,104145
2016-06-28,0.72,0.76,0.664,0.74,0.74,250680
2016-06-29,0.724,0.756,0.672,0.68,0.68,114445
2016-06-30,0.674,0.756,0.63,0.66,0.66,115940
2016-07-01,0.66,0.72,0.638,0.72,0.72,81365
2016-07-05,0.71,0.756,0.65,0.65,0.65,49175
2016-07-06,0.694,0.75,0.652,0.7,0.7,69890
2016-07-07,0.718,0.718,0.66,0.7,0.7,58945
2016-07-08,0.75,0.75,0.652,0.68,0.68,87315
2016-07-11,0.652,0.68,0.604,0.67,0.67,59095
2016-07-12,0.66,0.68,0.626,0.674,0.674,65970
2016-07-13,0.73,0.74,0.622,0.678,0.678,129610
2016-07-14,0.66,0.7,0.61,0.64,0.64,97120
2016-07-15,0.64,0.668,0.62,0.666,0.666,70545
2016-07-18,0.696,0.72,0.6,0.6,0.6,107725
2016-07-19,0.672,0.68,0.6,0.63,0.63,87090
2016-07-20,0.638,0.64,0.606,0.618,0.618,22035
2016-07-21,0.606,0.64,0.6,0.64,0.64,63280
2016-07-22,0.6,0.64,0.596,0.62,0.62,13390
2016-07-25,0.642,0.644,0.596,0.62,0.62,37915
2016-07-26,0.62,0.64,0.598,0.618,0.618,19955
2016-07-27,0.618,0.704,0.6,0.654,0.654,18035
2016-07-28,0.696,0.696,0.65,0.66,0.66,78125
2016-07-29,0.66,0.75,0.66,0.7,0.7,26105
2016-08-01,0.622,0.76,0.62,0.7,0.7,123340
2016-08-02,0.728,0.73,0.68,0.71,0.71,30270
2016-08-03,0.668,0.71,0.66,0.71,0.71,52405
2016-08-04,0.738,0.738,0.65,0.68,0.68,29905
2016-08-05,0.622,0.74,0.622,0.7,0.7,99945
2016-08-08,0.694,0.738,0.65,0.688,0.688,57230
2016-08-09,0.656,0.696,0.656,0.696,0.696,40420
2016-08-10,0.684,0.716,0.66,0.69,0.69,56315
2016-08-11,0.686,0.698,0.6,0.658,0.658,132295
2016-08-12,0.62,0.67,0.62,0.648,0.648,38685
2016-08-15,0.604,0.69,0.6,0.66,0.66,59555
2016-08-16,0.66,0.72,0.66,0.69,0.69,124220
2016-08-17,0.716,0.716,0.634,0.68,0.68,103725
2016-08-18,0.68,0.688,0.644,0.686,0.686,141880
2016-08-19,0.676,0.69,0.644,0.662,0.662,40500
2016-08-22,0.642,0.7,0.632,0.66,0.66,63880
2016-08-23,0.674,0.688,0.59,0.648,0.648,452110
2016-08-24,0.634,0.696,0.63,0.668,0.668,61770
2016-08-25,0.688,0.696,0.662,0.688,0.688,39200
2016-08-26,0.696,0.7,0.67,0.7,0.7,27115
2016-08-29,0.7,0.75,0.67,0.718,0.718,116790
2016-08-30,0.708,0.738,0.65,0.68,0.68,106830
2016-08-31,0.68,0.68,0.634,0.65,0.65,185955
2016-09-01,0.68,0.68,0.63,0.65,0.65,61890
2016-09-02,0.68,0.68,0.6,0.65,0.65,260450
2016-09-06,0.65,0.65,0.596,0.63,0.63,101575
2016-09-07,0.64,0.64,0.58,0.6,0.6,71285
2016-09-08,0.6,0.62,0.51,0.558,0.558,50390
2016-09-09,0.62,0.62,0.5,0.58,0.58,279885
2016-09-12,0.59,0.728,0.52,0.7,0.7,280860
2016-09-13,0.736,0.738,0.62,0.642,0.642,212175
2016-09-14,0.688,0.688,0.6,0.65,0.65,230730
2016-09-15,0.64,0.64,0.6,0.638,0.638,74940
2016-09-16,0.64,0.656,0.6,0.656,0.656,119720
2016-09-19,0.668,0.668,0.6,0.63,0.63,207895
2016-09-20,0.688,0.688,0.604,0.62,0.62,55030
2016-09-21,0.648,0.648,0.59,0.596,0.596,85370
2016-09-22,0.62,0.64,0.6,0.64,0.64,45580
2016-09-23,0.64,0.64,0.6,0.628,0.628,118360
2016-09-26,0.62,0.656,0.6,0.63,0.63,130615
2016-09-27,0.66,0.66,0.6,0.6,0.6,84990
2016-09-28,0.6,0.624,0.59,0.6,0.6,76155
2016-09-29,0.622,0.624,0.57,0.6,0.6,182560
2016-09-30,0.6,0.618,0.56,0.586,0.586,90545
2016-10-03,0.586,0.618,0.582,0.61,0.61,159335
2016-10-04,0.638,0.658,0.6,0.64,0.64,127270
2016-10-05,0.64,0.64,0.56,0.618,0.618,327080
2016-10-06,0.638,0.64,0.6,0.638,0.638,49090
2016-10-07,0.62,0.638,0.568,0.6,0.6,58440
2016-10-10,0.62,0.62,0.58,0.608,0.608,86815
2016-10-11,0.62,0.73,0.61,0.73,0.73,483655
2016-10-12,0.75,0.998,0.73,0.96,0.96,436825
2016-10-13,0.96,0.962,0.802,0.85,0.85,276375
2016-10-14,0.84,0.84,0.68,0.728,0.728,217345
2016-10-17,0.728,0.766,0.64,0.698,0.698,157615
2016-10-18,0.73,0.73,0.642,0.716,0.716,313715
2016-10-19,0.73,0.758,0.654,0.704,0.704,243175
2016-10-20,0.722,0.746,0.68,0.74,0.74,176400
2016-10-21,0.744,0.798,0.7,0.79,0.79,108415
2016-10-24,0.798,1.0,0.74,0.938,0.938,693995
2016-10-25,1.056,1.178,0.942,1.158,1.158,1016620
2016-10-26,1.33,1.4,1.1,1.376,1.376,663050
2016-10-27,1.356,1.38,1.052,1.138,1.138,578995
2016-10-28,1.164,1.196,1.01,1.096,1.096,240090
2016-10-31,1.12,1.3,1.096,1.254,1.254,572165
2016-11-01,1.2,1.4,1.2,1.2,1.2,533055
2016-11-02,1.2,1.2,1.2,1.2,1.2,237190
2016-11-03,1.2,1.2,1.0,1.0,1.0,518020
2016-11-04,1.0,1.0,0.8,1.0,1.0,532005
2016-11-07,1.0,1.2,0.8,1.0,1.0,242365
2016-11-08,1.0,1.0,0.8,0.8,0.8,331200
2016-11-09,0.8,0.8,0.6,0.8,0.8,212115
2016-11-10,0.8,0.8,0.8,0.8,0.8,163610
2016-11-11,0.8,0.8,0.8,0.8,0.8,108845
2016-11-14,0.84,0.87,0.8,0.858,0.858,233260
2016-11-15,0.86,0.87,0.81,0.85,0.85,132050
2016-11-16,0.84,0.87,0.77,0.8,0.8,159635
2016-11-17,0.824,0.848,0.76,0.79,0.79,68210
2016-11-18,0.8,0.8,0.76,0.78,0.78,53600
2016-11-21,0.78,0.78,0.662,0.728,0.728,209640
2016-11-22,0.72,0.72,0.67,0.698,0.698,149240
2016-11-23,0.68,0.76,0.664,0.746,0.746,76515
2016-11-25,0.744,0.8,0.72,0.774,0.774,21960
2016-11-28,0.85,0.85,0.72,0.84,0.84,63225
2016-11-29,0.838,0.838,0.76,0.79,0.79,44330
2016-11-30,0.776,0.79,0.702,0.744,0.744,43440
2016-12-01,0.79,0.79,0.664,0.7,0.7,107520
2016-12-02,0.7,0.74,0.66,0.696,0.696,58030
2016-12-05,0.72,0.72,0.66,0.718,0.718,103710
2016-12-06,0.72,0.72,0.672,0.698,0.698,60660
2016-12-07,0.688,0.704,0.678,0.696,0.696,99100
2016-12-08,0.692,0.784,0.692,0.71,0.71,131730
2016-12-09,0.754,0.754,0.7,0.74,0.74,57030
2016-12-12,0.746,0.752,0.7,0.732,0.732,55830
2016-12-13,0.748,0.768,0.698,0.698,0.698,105470
2016-12-14,0.712,0.724,0.66,0.72,0.72,47470
2016-12-15,0.712,0.724,0.68,0.7,0.7,210665
2016-12-16,0.682,0.78,0.67,0.698,0.698,76675
2016-12-19,0.692,0.72,0.602,0.664,0.664,157375
2016-12-20,0.688,0.696,0.62,0.62,0.62,46010
2016-12-21,0.648,0.678,0.62,0.668,0.668,36600
2016-12-22,0.678,0.678,0.602,0.678,0.678,74655
2016-12-23,0.676,0.68,0.606,0.68,0.68,42290
2016-12-27,0.688,0.756,0.67,0.738,0.738,308195
2016-12-28,0.724,0.778,0.69,0.716,0.716,157030
2016-12-29,0.72,0.748,0.704,0.746,0.746,51315
2016-12-30,0.75,0.88,0.742,0.86,0.86,222915
2017-01-03,0.93,0.98,0.8,0.848,0.848,365165
2017-01-04,0.838,0.876,0.8,0.83,0.83,118825
2017-01-05,0.834,0.878,0.78,0.81,0.81,172585
2017-01-06,0.8,0.886,0.78,0.86,0.86,130785
2017-01-09,0.856,0.94,0.83,0.936,0.936,229130
2017-01-10,0.936,1.1,0.92,1.032,1.032,354970
2017-01-11,1.064,1.14,0.96,1.05,1.05,395600
2017-01-12,1.1,1.1,1.02,1.07,1.07,146145
2017-01-13,1.08,1.192,1.04,1.17,1.17,400885
2017-01-17,1.176,1.3,1.17,1.28,1.28,576690
2017-01-18,1.35,1.4,1.264,1.35,1.35,451430
2017-01-19,1.396,1.864,1.32,1.84,1.84,1122965
