Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,5.84,5.84,5.84,5.84,3.104075,5000
2013-07-17,5.84,5.84,5.84,5.84,3.104075,0
2013-07-18,5.76,5.76,5.74,5.74,3.050922,600
2013-07-19,5.77,5.79,5.76,5.79,3.077498,7700
2013-07-22,5.81,5.83,5.81,5.83,3.098759,500
2013-07-23,5.83,5.83,5.83,5.83,3.098759,0
2013-07-24,5.9,5.93,5.87,5.87,3.12002,4100
2013-07-25,5.87,5.87,5.87,5.87,3.12002,0
2013-07-26,5.89,5.93,5.86,5.86,3.114705,10000
2013-07-29,5.92,5.92,5.92,5.92,3.146597,100
2013-07-30,5.92,5.92,5.92,5.92,3.146597,0
2013-07-31,5.87,5.87,5.84,5.85,3.10939,4000
2013-08-01,5.85,5.85,5.85,5.85,3.10939,0
2013-08-02,5.76,5.76,5.6,5.6,2.97651,1200
2013-08-05,5.6,5.6,5.6,5.6,2.97651,0
2013-08-06,5.69,5.69,5.58,5.58,2.965879,26200
2013-08-07,5.65,5.65,5.65,5.65,3.003086,5000
2013-08-08,5.61,5.61,5.61,5.61,2.981826,3500
2013-08-09,5.6,5.6,5.6,5.6,2.97651,5600
2013-08-12,5.67,5.68,5.65,5.68,3.019032,5000
2013-08-13,5.66,5.66,5.65,5.66,3.008401,2800
2013-08-14,5.66,5.66,5.66,5.66,3.008401,0
2013-08-15,5.66,5.66,5.66,5.66,3.008401,0
2013-08-16,5.62,5.65,5.61,5.63,2.992455,6600
2013-08-19,5.63,5.63,5.63,5.63,2.992455,0
2013-08-20,5.52,5.52,5.46,5.46,2.902097,6200
2013-08-21,5.46,5.46,5.46,5.46,2.902097,0
2013-08-22,5.38,5.38,5.38,5.38,2.859576,600
2013-08-23,5.41,5.41,5.39,5.4,2.870206,6000
2013-08-26,5.47,5.5,5.47,5.5,2.923358,200
2013-08-27,5.5,5.5,5.5,5.5,2.923358,0
2013-08-28,5.5,5.5,5.5,5.5,2.923358,0
2013-08-29,5.5,5.5,5.5,5.5,2.923358,0
2013-08-30,5.54,5.54,5.54,5.54,2.944618,500
2013-09-03,5.58,5.58,5.55,5.55,2.949934,3000
2013-09-04,5.55,5.55,5.55,5.55,2.949934,0
2013-09-05,5.55,5.55,5.55,5.55,2.949934,0
2013-09-06,5.57,5.6,5.57,5.6,2.97651,3000
2013-09-09,5.65,5.65,5.58,5.58,2.965879,1400
2013-09-10,5.58,5.58,5.58,5.58,2.965879,0
2013-09-11,5.63,5.63,5.58,5.58,2.965879,30200
2013-09-12,5.61,5.61,5.61,5.61,2.981826,100
2013-09-13,5.61,5.61,5.61,5.61,2.981826,0
2013-09-16,5.61,5.61,5.61,5.61,2.981826,0
2013-09-17,5.67,5.7,5.65,5.65,3.003086,9000
2013-09-18,5.66,5.66,5.66,5.66,3.008401,600
2013-09-19,5.67,5.67,5.67,5.67,3.013717,300
2013-09-20,5.61,5.62,5.58,5.59,2.971194,13300
2013-09-23,5.65,5.65,5.65,5.65,3.003086,800
2013-09-24,5.63,5.63,5.63,5.63,2.992455,5100
2013-09-25,5.61,5.61,5.6,5.6,2.97651,1500
2013-09-26,5.58,5.58,5.58,5.58,2.965879,1000
2013-09-27,5.6,5.6,5.6,5.6,2.97651,16400
2013-09-30,5.6,5.6,5.6,5.6,2.97651,0
2013-10-01,5.6,5.6,5.6,5.6,2.97651,0
2013-10-02,5.46,5.46,5.45,5.45,2.896781,3500
2013-10-03,5.45,5.45,5.45,5.45,2.896781,0
2013-10-04,5.45,5.46,5.44,5.45,2.896781,19500
2013-10-07,5.45,5.45,5.44,5.45,2.896781,1800
2013-10-08,5.45,5.45,5.45,5.45,2.896781,0
2013-10-09,5.38,5.4,5.38,5.4,2.870206,3400
2013-10-10,5.4,5.4,5.4,5.4,2.870206,0
2013-10-11,5.4,5.4,5.4,5.4,2.870206,4200
2013-10-14,5.4,5.4,5.4,5.4,2.870206,0
2013-10-15,5.4,5.4,5.4,5.4,2.870206,0
2013-10-16,5.4,5.4,5.4,5.4,2.870206,0
2013-10-17,5.4,5.4,5.4,5.4,2.870206,0
2013-10-18,5.53,5.53,5.53,5.53,2.939303,69600
2013-10-21,5.5,5.5,5.48,5.48,2.912728,10000
2013-10-22,5.53,5.53,5.49,5.53,2.939303,21700
2013-10-23,5.52,5.52,5.45,5.45,2.896781,115600
2013-10-24,5.43,5.43,5.39,5.39,2.864891,30300
2013-10-25,5.36,5.36,5.28,5.28,2.806423,49700
2013-10-28,5.35,5.35,5.33,5.33,2.833,9200
2013-10-29,5.3,5.31,5.3,5.31,2.82237,69200
2013-10-30,5.27,5.27,5.22,5.22,2.774532,3900
2013-10-31,5.22,5.22,5.22,5.22,2.774532,0
2013-11-01,5.1,5.1,5.05,5.09,2.705435,18600
2013-11-04,5.04,5.04,4.98,5.0,2.657599,25100
2013-11-05,5.18,5.18,5.12,5.12,2.721381,6800
2013-11-06,5.15,5.15,5.15,5.15,2.737326,1900
2013-11-07,5.15,5.15,5.15,5.15,2.737326,0
2013-11-08,5.14,5.14,5.11,5.11,2.716066,4000
2013-11-11,5.08,5.15,5.08,5.13,2.726696,2400
2013-11-12,5.1,5.1,5.1,5.1,2.710751,300
2013-11-13,5.1,5.1,5.1,5.1,2.710751,900
2013-11-14,5.09,5.09,5.09,5.09,2.705435,800
2013-11-15,5.08,5.16,5.04,5.04,2.678859,6000
2013-11-18,5.08,5.08,5.03,5.03,2.673544,10100
2013-11-19,4.99,4.99,4.99,4.99,2.652284,300
2013-11-20,4.99,5.0,4.98,4.98,2.646967,3400
2013-11-21,4.99,4.99,4.9,4.9,2.604446,5600
2013-11-22,4.98,5.01,4.94,5.01,2.662914,9500
2013-11-25,5.01,5.01,4.97,4.97,2.641652,3200
2013-11-26,4.96,4.97,4.94,4.94,2.625708,18000
2013-11-27,4.9,4.9,4.85,4.9,2.604446,6500
2013-11-29,5.06,5.06,5.06,5.06,2.689489,400
2013-12-02,5.1,5.14,5.1,5.14,2.732011,7200
2013-12-03,5.17,5.17,5.17,5.17,2.747956,200
2013-12-04,5.15,5.16,5.06,5.06,2.689489,15400
2013-12-05,5.06,5.07,5.0,5.07,2.694805,2900
2013-12-06,5.03,5.1,5.03,5.1,2.710751,4700
2013-12-09,5.1,5.1,5.1,5.1,2.710751,0
2013-12-10,5.1,5.1,5.1,5.1,2.710751,0
2013-12-11,5.04,5.04,5.04,5.04,2.678859,1500
2013-12-12,4.95,4.96,4.95,4.96,2.636338,1800
2013-12-13,4.99,5.03,4.99,5.0,2.657599,33900
2013-12-16,5.06,5.06,5.05,5.06,2.689489,800
2013-12-17,5.02,5.02,5.0,5.0,2.657599,4000
2013-12-18,5.0,5.0,5.0,5.0,2.657599,0
2013-12-19,4.98,5.02,4.98,5.02,2.668228,1600
2013-12-20,5.01,5.01,5.0,5.0,2.657599,12900
