Date,Open,High,Low,Close,Adj Close,Volume
2014-04-21,3.43,3.6,3.43,3.6,3.6,7600
2014-04-22,3.6,3.6,3.6,3.6,3.6,0
2014-04-23,3.6,3.6,3.6,3.6,3.6,0
2014-04-24,2.89,3.2,2.89,3.2,3.2,1500
2014-04-25,2.69,4.08,2.69,2.88,2.88,8350
2014-04-28,2.88,2.88,2.88,2.88,2.88,0
2014-04-29,2.88,2.88,2.88,2.88,2.88,0
2014-04-30,2.6,2.6,2.6,2.6,2.6,100
2014-05-01,4.0,4.1,4.0,4.0,4.0,1080
2014-05-02,4.0,4.05,3.1,4.01,4.01,3680
2014-05-05,3.8,3.8,3.8,3.8,3.8,200
2014-05-06,4.1,4.1,3.8,3.8,3.8,1300
2014-05-07,3.8,3.8,3.8,3.8,3.8,0
2014-05-08,4.33,4.35,4.3,4.35,4.35,2500
2014-05-09,4.35,4.35,4.35,4.35,4.35,0
2014-05-12,4.35,4.35,4.35,4.35,4.35,0
2014-05-13,4.72,9.6,4.28,9.6,9.6,1490
2014-05-14,4.56,5.0,3.8,4.1,4.1,6220
2014-05-15,4.1,4.1,4.1,4.1,4.1,0
2014-05-16,4.1,4.1,4.1,4.1,4.1,0
2014-05-19,4.7,4.7,4.7,4.7,4.7,940
2014-05-20,4.71,6.5,4.7,6.0,6.0,4080
2014-05-21,5.9,5.9,4.9,5.48,5.48,4870
2014-05-22,5.48,5.48,5.48,5.48,5.48,0
2014-05-23,5.0,5.5,5.0,5.47,5.47,4330
2014-05-27,5.67,6.13,5.21,5.93,5.93,9280
2014-05-28,5.71,6.74,5.61,6.49,6.49,23750
2014-05-29,6.54,9.83,6.42,6.88,6.88,23610
2014-05-30,6.79,7.43,6.42,7.41,7.41,4140
2014-06-02,8.22,8.77,7.76,7.85,7.85,21610
2014-06-03,7.75,8.49,7.25,8.44,8.44,22160
2014-06-04,8.75,9.02,8.55,8.72,8.72,11480
2014-06-05,9.2,9.37,8.64,9.15,9.15,42860
2014-06-06,9.54,9.56,8.91,9.09,9.09,16650
2014-06-09,9.1,9.19,7.74,8.59,8.59,9880
2014-06-10,8.77,8.77,7.38,7.99,7.99,15360
2014-06-11,7.75,7.75,6.42,6.77,6.77,15150
2014-06-12,6.55,6.6,6.52,6.59,6.59,630
2014-06-13,6.52,7.7,6.43,7.7,7.7,3350
2014-06-16,7.32,7.52,7.15,7.42,7.42,4260
2014-06-17,7.79,7.79,6.57,6.6,6.6,12310
2014-06-18,6.54,6.59,5.83,6.32,6.32,9700
2014-06-19,6.62,6.62,6.06,6.5,6.5,3200
2014-06-20,6.59,7.01,6.46,7.0,7.0,1060
2014-06-23,7.1,7.14,6.84,7.03,7.03,1230
2014-06-24,7.1,7.1,6.64,6.64,6.64,1170
2014-06-25,6.58,6.68,6.2,6.68,6.68,1050
2014-06-26,6.31,6.52,6.31,6.5,6.5,640
2014-06-27,6.1,6.4,6.0,6.4,6.4,5060
2014-06-30,6.1,6.2,5.9,6.2,6.2,5320
2014-07-01,6.22,6.22,6.22,6.22,6.22,40
2014-07-02,6.4,6.68,6.32,6.68,6.68,860
2014-07-03,6.89,7.21,6.89,7.19,7.19,1440
2014-07-07,7.23,8.02,7.23,8.02,8.02,4610
2014-07-08,8.0,8.02,7.63,7.81,7.81,2170
2014-07-09,8.1,8.1,7.35,7.47,7.47,3150
2014-07-10,7.3,7.9,7.3,7.8,7.8,1490
2014-07-11,7.35,7.35,6.74,6.74,6.74,15680
2014-07-14,6.7,6.7,5.73,5.75,5.75,13580
2014-07-15,5.84,5.84,4.9,4.98,4.98,23090
2014-07-16,5.0,5.08,4.68,4.85,4.85,7580
2014-07-17,4.78,4.8,4.58,4.58,4.58,1310
2014-07-18,4.5,5.0,4.5,4.67,4.67,1730
2014-07-21,4.66,4.71,3.95,4.53,4.53,3670
2014-07-22,4.39,4.71,4.39,4.67,4.67,13900
2014-07-23,4.42,4.69,4.14,4.18,4.18,3150
2014-07-24,4.07,4.66,4.07,4.66,4.66,4490
2014-07-25,4.59,4.59,4.25,4.57,4.57,2030
2014-07-28,4.57,4.69,4.55,4.55,4.55,4950
2014-07-29,4.5,4.5,4.27,4.49,4.49,8720
2014-07-30,4.38,4.38,4.31,4.31,4.31,1050
2014-07-31,4.1,4.1,3.98,3.99,3.99,1560
2014-08-01,3.9,4.51,3.81,4.29,4.29,2160
2014-08-04,4.7,4.91,4.7,4.7,4.7,12090
2014-08-05,4.6,6.89,4.23,4.4,4.4,5190
2014-08-06,4.33,4.33,3.7,3.7,3.7,1910
2014-08-07,3.6,3.67,3.19,3.67,3.67,10880
2014-08-08,3.48,3.7,3.48,3.66,3.66,3010
2014-08-11,4.2,4.45,4.2,4.45,4.45,5130
2014-08-12,4.4,4.7,4.34,4.7,4.7,7150
2014-08-13,4.8,5.67,4.8,5.6,5.6,1800
2014-08-14,5.56,5.56,5.1,5.2,5.2,1530
2014-08-15,4.8,4.84,4.71,4.84,4.84,940
2014-08-18,4.51,4.51,4.3,4.3,4.3,1760
2014-08-19,3.9,4.36,3.9,4.0,4.0,8790
2014-08-20,4.26,4.3,4.1,4.14,4.14,1570
2014-08-21,4.24,4.24,4.14,4.15,4.15,420
2014-08-22,4.1,4.1,3.8,3.87,3.87,1100
2014-08-25,4.0,4.0,3.9,4.0,4.0,1080
2014-08-26,3.8,3.98,3.8,3.94,3.94,4330
2014-08-27,3.96,4.0,3.96,4.0,4.0,710
2014-08-28,4.47,5.3,4.47,5.13,5.13,2200
2014-08-29,5.2,5.76,5.2,5.67,5.67,930
2014-09-02,6.2,6.2,5.3,5.46,5.46,3330
2014-09-03,5.36,5.36,5.36,5.36,5.36,100
2014-09-04,5.59,5.6,5.5,5.57,5.57,1610
2014-09-05,5.6,5.66,5.53,5.66,5.66,1570
2014-09-08,5.1,5.44,5.09,5.16,5.16,470
2014-09-09,5.1,5.4,4.65,4.65,4.65,990
2014-09-10,4.19,4.72,4.19,4.6,4.6,820
2014-09-11,4.84,4.88,4.65,4.65,4.65,360
2014-09-12,4.56,4.57,4.54,4.54,4.54,240
2014-09-15,4.48,4.48,4.48,4.48,4.48,50
2014-09-16,4.5,4.5,3.79,4.16,4.16,780
2014-09-17,4.51,4.51,4.07,4.14,4.14,1650
2014-09-18,4.14,4.14,4.14,4.14,4.14,0
2014-09-19,3.99,3.99,3.59,3.59,3.59,330
2014-09-22,3.5,3.59,3.5,3.59,3.59,170
2014-09-23,3.59,3.64,3.37,3.59,3.59,1030
2014-09-24,3.5,3.58,3.26,3.58,3.58,7600
2014-09-25,3.39,3.39,3.19,3.23,3.23,520
2014-09-26,3.31,3.59,3.31,3.45,3.45,1410
2014-09-29,3.42,4.0,3.4,4.0,4.0,4000
2014-09-30,4.06,4.06,3.62,3.62,3.62,1150
2014-10-01,3.5,3.59,3.49,3.49,3.49,1400
2014-10-02,3.4,3.53,3.37,3.53,3.53,850
2014-10-03,3.5,3.76,3.5,3.76,3.76,1480
2014-10-06,3.76,3.76,3.76,3.76,3.76,0
2014-10-07,4.0,4.0,3.99,3.99,3.99,1090
2014-10-08,3.81,3.96,3.81,3.96,3.96,1350
2014-10-09,3.96,3.96,3.96,3.96,3.96,0
2014-10-10,3.45,3.45,3.24,3.3,3.3,4150
2014-10-13,3.3,3.3,3.22,3.22,3.22,330
2014-10-14,3.35,3.41,3.35,3.41,3.41,320
2014-10-15,3.15,3.15,2.89,2.89,2.89,230
2014-10-16,2.64,2.8,2.64,2.8,2.8,7630
2014-10-17,2.99,2.99,2.83,2.83,2.83,370
2014-10-20,2.56,2.56,2.0,2.44,2.44,7920
2014-10-21,2.6,2.6,2.26,2.26,2.26,610
2014-10-22,2.3,2.73,2.3,2.73,2.73,10650
2014-10-23,2.84,2.84,2.66,2.77,2.77,4410
2014-10-24,2.05,2.7,2.05,2.65,2.65,7280
2014-10-27,2.44,2.7,2.3,2.3,2.3,2010
2014-10-28,2.37,2.37,2.05,2.15,2.15,6250
2014-10-29,2.15,3.35,1.9,3.35,3.35,10000
2014-10-30,3.7,3.7,2.26,2.26,2.26,930
2014-10-31,3.25,3.5,2.8,3.49,3.49,6620
2014-11-03,1.73,4.1,1.73,3.7,3.7,4420
2014-11-04,4.1,4.52,3.54,3.54,3.54,2020
2014-11-05,3.55,3.55,3.1,3.48,3.48,1360
2014-11-06,3.1,3.25,2.81,2.81,2.81,2380
2014-11-07,2.73,2.73,2.7,2.7,2.7,180
2014-11-10,2.88,2.88,2.61,2.83,2.83,1950
2014-11-11,2.46,2.46,2.33,2.33,2.33,2810
2014-11-12,2.25,2.53,2.25,2.53,2.53,14060
2014-11-13,2.4,2.55,2.36,2.36,2.36,4920
2014-11-14,2.28,2.35,2.24,2.24,2.24,4440
2014-11-17,2.17,2.17,2.01,2.09,2.09,1530
2014-11-18,1.9,2.44,1.9,2.44,2.44,2550
2014-11-19,3.01,3.01,2.85,2.85,2.85,380
2014-11-20,2.5,2.68,2.47,2.47,2.47,2850
2014-11-21,2.48,2.5,2.25,2.25,2.25,2780
