Date,Open,High,Low,Close,Adj Close,Volume
2019-05-09,11.07,11.07,11.07,11.07,9.973859,73200
2019-05-10,11.7,11.73,11.7,11.73,10.568506,87100
2019-05-13,11.289,11.49,11.289,11.49,10.35227,55900
2019-05-14,11.26,11.51,11.26,11.51,10.37029,186500
2019-05-15,11.486,11.76,11.486,11.76,10.595535,257600
2019-05-16,11.64,11.75,11.563,11.62,10.469398,71100
2019-05-17,11.58,11.66,11.565,11.565,10.419845,68000
2019-05-20,11.63,11.63,11.43,11.525,10.383804,1100
2019-05-21,11.492,11.65,11.492,11.65,10.496428,19900
2019-05-22,11.16,11.16,11.16,11.16,10.054947,500
2019-05-23,11.75,11.75,11.75,11.75,10.586525,600
2019-05-24,11.81,11.85,11.81,11.85,10.676624,700
2019-05-28,12.141,12.141,12.141,12.141,10.938809,5400
2019-05-29,11.624,11.78,11.624,11.78,10.613556,12300
2019-05-30,11.79,11.82,11.79,11.82,10.649594,800
2019-05-31,11.31,11.31,11.31,11.31,10.190094,300
2019-06-03,12.08,12.08,12.08,12.08,10.883849,300
2019-06-04,11.4,11.4,11.37,11.37,10.244153,400
2019-06-05,11.35,11.35,11.19,11.19,10.081976,700
2019-06-06,10.76,10.76,10.65,10.65,9.595447,2200
2019-06-07,10.765,10.82,10.71,10.71,9.649506,800
2019-06-10,10.7,10.733,10.62,10.733,9.670228,700
2019-06-11,10.865,10.898,10.865,10.898,9.81889,1700
2019-06-12,10.898,10.898,10.898,10.898,9.81889,0
2019-06-13,10.46,10.49,10.46,10.49,9.45129,400
2019-06-14,10.415,10.563,10.415,10.563,9.517061,1500
2019-06-17,10.338,10.338,10.3,10.3,9.280105,400
2019-06-18,10.52,10.52,10.378,10.378,9.35038,300
2019-06-19,10.168,10.255,10.13,10.255,9.239559,440400
2019-06-20,10.35,10.545,10.22,10.355,9.329658,347300
2019-06-21,10.26,10.35,10.25,10.259,9.243164,95300
2019-06-24,10.5,10.5,10.5,10.5,9.460299,2000
2019-06-25,10.5,10.5,10.5,10.5,9.460299,0
2019-06-26,10.5,10.5,10.5,10.5,9.460299,0
2019-06-27,10.5,10.5,10.5,10.5,9.460299,0
2019-06-28,10.5,10.5,10.5,10.5,9.460299,0
2019-07-01,10.5,10.5,10.5,10.5,9.460299,0
2019-07-02,10.5,10.5,10.5,10.5,9.460299,0
2019-07-03,10.5,10.5,10.5,10.5,9.460299,0
2019-07-05,10.5,10.5,10.5,10.5,9.460299,0
2019-07-08,10.5,10.5,10.5,10.5,9.460299,0
2019-07-09,12.705,12.9,12.705,12.9,11.622654,4400
2019-07-10,12.76,12.89,12.75,12.89,11.613645,2600
2019-07-11,12.7,12.7,12.7,12.7,11.442457,100
2019-07-12,12.7,12.7,12.7,12.7,11.442457,0
2019-07-15,13.0,13.06,13.0,13.06,11.766811,300
2019-07-16,12.75,12.75,12.75,12.75,11.487508,300
2019-07-17,12.75,12.75,12.75,12.75,11.487508,0
2019-07-18,12.85,12.85,12.85,12.85,11.577605,300
2019-07-19,12.85,12.85,12.85,12.85,11.577605,0
2019-07-22,12.85,12.85,12.85,12.85,11.577605,0
2019-07-23,12.85,12.85,12.85,12.85,11.577605,0
2019-07-24,12.55,12.55,12.55,12.55,11.307311,2000
2019-07-25,12.44,12.44,12.44,12.44,11.208202,5600
2019-07-26,12.091,12.132,12.091,12.132,10.9307,600
2019-07-29,11.98,11.98,11.98,11.98,10.793751,100
2019-07-30,11.98,11.98,11.98,11.98,10.793751,0
2019-07-31,11.98,11.98,11.98,11.98,10.793751,0
2019-08-01,11.98,11.98,11.98,11.98,10.793751,0
2019-08-02,11.98,11.98,11.98,11.98,10.793751,0
2019-08-05,11.98,11.98,11.98,11.98,10.793751,0
2019-08-06,11.267,11.267,11.267,11.267,10.151353,1000
2019-08-07,11.267,11.267,11.267,11.267,10.151353,0
2019-08-08,11.267,11.267,11.267,11.267,10.151353,0
2019-08-09,11.267,11.267,11.267,11.267,10.151353,0
2019-08-12,11.343,11.343,11.343,11.343,10.219827,100
2019-08-13,11.343,11.343,11.343,11.343,10.219827,0
2019-08-14,12.186,12.186,12.186,12.186,10.979354,1400
2019-08-15,12.186,12.186,12.186,12.186,10.979354,0
2019-08-16,12.483,12.68,12.483,12.645,11.392904,16600
2019-08-19,12.315,12.43,12.15,12.228,11.017195,26000
2019-08-20,12.09,12.09,11.93,11.965,10.780236,8700
2019-08-21,12.0,12.0,11.95,12.0,10.811771,4100
2019-08-22,11.954,11.96,11.75,11.8,10.631575,6200
