Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,35.91,36.040001,35.549999,35.759998,35.759998,25300
2013-07-17,35.91,36.0,35.77,35.950001,35.950001,10400
2013-07-18,36.0,36.099998,35.869999,36.07,36.07,9900
2013-07-19,35.990002,36.09,35.41,35.919998,35.919998,17500
2013-07-22,35.740002,35.950001,35.610001,35.77,35.77,13500
2013-07-23,35.950001,35.950001,35.360001,35.630001,35.630001,8200
2013-07-24,35.900002,36.330002,34.529999,35.610001,35.610001,28900
2013-07-25,35.43,36.0,34.240002,35.709999,35.709999,19600
2013-07-26,35.27,35.48,34.900002,35.200001,35.200001,11000
2013-07-29,35.040001,35.119999,34.77,34.889999,34.889999,5800
2013-07-30,35.119999,35.119999,34.5,34.650002,34.650002,5600
2013-07-31,34.889999,35.490002,34.599998,35.150002,35.150002,5100
2013-08-01,35.5,35.650002,34.759998,35.650002,35.650002,13700
2013-08-02,35.200001,35.200001,34.169998,34.700001,34.700001,15800
2013-08-05,34.630001,34.630001,33.619999,34.349998,34.349998,27300
2013-08-06,34.139999,34.669998,33.400002,33.400002,33.400002,17400
2013-08-07,33.349998,33.349998,32.650002,32.98,32.98,8400
2013-08-08,33.380001,33.459999,32.43,33.240002,33.240002,17600
2013-08-09,33.060001,33.18,32.740002,33.139999,33.139999,4600
2013-08-12,32.77,33.630001,32.77,33.130001,33.130001,6700
2013-08-13,33.43,33.459999,32.48,32.919998,32.919998,19600
2013-08-14,32.919998,33.599998,32.389999,32.84,32.84,30200
2013-08-15,32.389999,32.389999,31.02,31.040001,31.040001,10300
2013-08-16,30.889999,31.379999,30.530001,31.01,31.01,40100
2013-08-19,31.09,31.610001,30.629999,30.709999,30.709999,6800
2013-08-20,30.790001,31.540001,30.51,31.030001,31.030001,5600
2013-08-21,30.790001,30.93,30.059999,30.41,30.41,6500
2013-08-22,30.629999,32.060001,30.629999,31.709999,31.709999,9300
2013-08-23,31.73,32.41,31.32,31.879999,31.879999,7400
2013-08-26,31.92,32.049999,31.290001,31.75,31.75,12600
2013-08-27,31.16,31.940001,29.9,29.950001,29.950001,9800
2013-08-28,30.049999,30.84,29.559999,29.559999,29.559999,10300
2013-08-29,29.559999,30.379999,29.040001,30.219999,30.219999,18600
2013-08-30,30.190001,30.709999,29.24,29.469999,29.469999,19700
2013-09-03,30.02,30.25,29.26,29.549999,29.549999,12600
2013-09-04,29.51,29.73,28.280001,28.32,28.32,18500
2013-09-05,28.440001,28.75,27.559999,27.799999,27.799999,13000
2013-09-06,27.93,29.049999,27.459999,29.049999,29.049999,14200
2013-09-09,29.23,29.709999,28.860001,28.950001,28.950001,14800
2013-09-10,29.209999,29.790001,29.209999,29.540001,29.540001,18000
2013-09-11,29.549999,30.030001,29.5,29.809999,29.809999,17600
2013-09-12,29.799999,30.040001,29.799999,29.870001,29.870001,8700
2013-09-13,29.969999,30.370001,29.209999,29.790001,29.790001,24700
2013-09-16,30.209999,30.530001,29.34,29.58,29.58,31500
2013-09-17,29.610001,30.0,29.5,29.889999,29.889999,23800
2013-09-18,29.809999,31.27,29.48,30.799999,30.799999,32000
2013-09-19,31.0,31.16,29.870001,30.32,30.32,21600
2013-09-20,30.379999,31.35,30.23,30.700001,30.700001,132500
2013-09-23,30.860001,30.860001,29.99,30.35,30.35,23400
2013-09-24,30.25,30.25,29.77,29.940001,29.940001,36700
2013-09-25,29.9,30.59,29.85,30.18,30.18,17300
2013-09-26,30.379999,30.5,29.98,30.129999,30.129999,6600
2013-09-27,29.9,30.040001,29.610001,30.0,30.0,22400
2013-09-30,29.549999,30.110001,29.549999,30.09,30.09,23800
2013-10-01,30.08,30.110001,29.379999,29.709999,29.709999,16700
2013-10-02,29.639999,29.85,29.0,29.209999,29.209999,48500
2013-10-03,29.32,29.59,28.860001,29.280001,29.280001,33900
2013-10-04,29.33,30.280001,29.33,29.879999,29.879999,23000
2013-10-07,29.49,30.09,28.93,29.93,29.93,39900
2013-10-08,29.84,30.25,28.65,28.93,28.93,54300
2013-10-09,29.0,29.16,28.01,28.129999,28.129999,41900
2013-10-10,28.75,29.940001,28.450001,29.379999,29.379999,44500
2013-10-11,29.33,30.280001,29.059999,30.23,30.23,36200
2013-10-14,29.93,30.57,29.559999,30.41,30.41,52100
2013-10-15,30.15,30.48,29.76,29.93,29.93,43300
2013-10-16,30.120001,30.629999,29.950001,29.99,29.99,48300
2013-10-17,29.83,30.299999,29.73,30.26,30.26,29200
2013-10-18,30.52,30.65,30.18,30.4,30.4,24700
2013-10-21,30.4,30.4,30.110001,30.280001,30.280001,10900
2013-10-22,30.110001,30.370001,29.940001,30.07,30.07,35300
2013-10-23,30.190001,30.290001,29.6,29.73,29.73,14700
2013-10-24,30.030001,30.27,29.790001,30.15,30.15,12000
2013-10-25,30.209999,30.370001,29.82,30.110001,30.110001,64100
2013-10-28,30.08,30.280001,29.719999,29.940001,29.940001,37400
2013-10-29,29.98,30.139999,29.92,30.0,30.0,17900
2013-10-30,30.1,30.1,29.67,29.780001,29.780001,15200
2013-10-31,29.709999,29.860001,29.25,29.32,29.32,28600
2013-11-01,29.25,29.75,29.219999,29.4,29.4,31000
2013-11-04,29.4,29.99,29.25,29.51,29.51,24600
2013-11-05,29.26,29.969999,29.01,29.49,29.49,17200
2013-11-06,29.65,29.93,29.32,29.48,29.48,17800
2013-11-07,29.6,29.809999,29.040001,29.610001,29.610001,82200
2013-11-08,29.610001,30.15,29.450001,29.75,29.75,43500
2013-11-11,29.76,29.76,29.42,29.559999,29.559999,3800
2013-11-12,29.4,29.4,28.83,29.16,29.16,10400
2013-11-13,28.98,29.48,28.879999,29.34,29.34,7000
2013-11-14,29.26,29.43,28.85,29.33,29.33,16100
2013-11-15,29.27,29.559999,29.049999,29.51,29.51,14400
2013-11-18,29.57,29.98,29.4,29.84,29.84,16200
2013-11-19,29.77,30.139999,29.77,29.879999,29.879999,9800
2013-11-20,29.959999,30.15,29.450001,29.51,29.51,18500
2013-11-21,29.74,30.139999,29.74,29.98,29.98,20500
2013-11-22,29.969999,30.280001,29.559999,29.99,29.99,13600
2013-11-25,29.99,30.15,29.610001,29.790001,29.790001,14400
2013-11-26,30.030001,30.08,29.58,29.610001,29.610001,17300
2013-11-27,29.6,30.299999,29.6,30.290001,30.290001,16600
2013-11-29,30.48,31.459999,29.52,31.33,31.33,5600
2013-12-02,31.219999,31.84,30.549999,31.629999,31.629999,24200
2013-12-03,31.49,32.299999,31.02,32.16,32.16,15200
2013-12-04,31.950001,33.200001,31.950001,32.959999,32.959999,15400
2013-12-05,32.889999,34.349998,32.490002,33.169998,33.169998,52000
2013-12-06,33.540001,34.32,33.540001,33.669998,33.669998,11800
2013-12-09,33.59,33.639999,32.709999,32.860001,32.860001,16800
2013-12-10,32.700001,32.889999,32.0,32.049999,32.049999,22500
2013-12-11,32.0,32.0,30.67,30.75,30.75,21000
2013-12-12,30.690001,32.139999,30.65,30.709999,30.709999,14200
2013-12-13,30.700001,31.0,30.280001,30.469999,30.469999,21500
2013-12-16,30.68,31.540001,29.98,30.040001,30.040001,31300
2013-12-17,30.6,31.469999,30.1,30.17,30.17,35700
2013-12-18,30.129999,30.66,29.77,30.219999,30.219999,22600
2013-12-19,30.1,30.68,30.049999,30.469999,30.469999,24000
2013-12-20,30.450001,31.48,30.41,31.25,31.25,101000
2013-12-23,31.32,32.200001,30.99,31.5,31.5,33900
2013-12-24,31.889999,32.450001,31.809999,31.809999,31.809999,13900
2013-12-26,32.07,32.110001,31.41,31.6,31.6,8600
2013-12-27,31.780001,32.009998,31.16,31.93,31.93,26700
2013-12-30,31.809999,32.490002,31.75,32.299999,32.299999,12400
2013-12-31,32.360001,32.360001,31.52,31.889999,31.889999,20700
2014-01-02,31.629999,31.92,31.049999,31.379999,31.379999,24500
2014-01-03,31.43,31.43,31.120001,31.18,31.18,15100
2014-01-06,31.26,31.540001,30.950001,31.02,31.02,9800
2014-01-07,31.110001,31.15,30.25,30.469999,30.469999,11200
2014-01-08,30.5,30.5,29.549999,30.110001,30.110001,42300
2014-01-09,30.15,30.15,29.26,29.73,29.73,19200
2014-01-10,29.809999,30.02,29.65,29.85,29.85,10200
2014-01-13,29.67,29.700001,29.35,29.440001,29.440001,14100
2014-01-14,29.41,30.18,29.41,29.950001,29.950001,18400
2014-01-15,29.93,30.58,29.93,30.129999,30.129999,15900
2014-01-16,30.049999,30.370001,29.73,29.77,29.77,8100
2014-01-17,29.809999,30.049999,29.700001,29.709999,29.709999,13900
2014-01-21,30.030001,30.030001,29.6,29.940001,29.940001,13400
2014-01-22,29.940001,30.0,29.709999,29.99,29.99,8400
2014-01-23,29.93,30.219999,29.9,30.040001,30.040001,14700
2014-01-24,29.76,29.92,29.4,29.52,29.52,11100
2014-01-27,29.620001,29.9,29.190001,29.209999,29.209999,16000
2014-01-28,29.049999,29.360001,28.85,29.360001,29.360001,23800
2014-01-29,29.4,29.559999,28.959999,29.17,29.17,23600
2014-01-30,29.209999,30.4,29.049999,30.01,30.01,20500
2014-01-31,29.59,30.16,28.889999,29.07,29.07,43400
2014-02-03,29.08,29.41,28.6,29.049999,29.049999,39000
2014-02-04,29.120001,29.440001,28.790001,29.01,29.01,18500
2014-02-05,28.799999,29.5,28.68,29.120001,29.120001,23000
2014-02-06,29.23,29.379999,29.0,29.02,29.02,19000
2014-02-07,29.1,29.84,28.799999,29.1,29.1,32000
2014-02-10,29.15,30.620001,28.65,29.629999,29.629999,36500
2014-02-11,29.549999,30.389999,28.66,29.43,29.43,45000
2014-02-12,29.370001,30.0,28.75,29.5,29.5,20300
2014-02-13,29.34,30.08,29.25,29.99,29.99,10600
2014-02-14,30.030001,30.17,29.17,29.91,29.91,20900
2014-02-18,29.91,30.33,29.68,30.16,30.16,8600
2014-02-19,30.07,30.4,29.860001,30.120001,30.120001,12300
2014-02-20,30.209999,30.48,30.16,30.389999,30.389999,8900
2014-02-21,30.459999,30.65,30.0,30.290001,30.290001,21600
2014-02-24,30.190001,30.49,29.9,30.16,30.16,14000
2014-02-25,30.040001,30.450001,29.85,29.98,29.98,10500
2014-02-26,30.0,30.190001,29.32,29.68,29.68,16500
2014-02-27,29.700001,29.83,29.120001,29.190001,29.190001,31400
2014-02-28,29.299999,30.549999,29.200001,30.280001,30.280001,31100
2014-03-03,30.16,30.360001,29.84,29.85,29.85,11500
2014-03-04,30.26,30.65,29.65,30.52,30.52,46500
2014-03-05,30.540001,30.540001,29.98,30.389999,30.389999,9900
2014-03-06,30.450001,30.57,29.74,30.549999,30.549999,17600
2014-03-07,30.58,30.790001,30.58,30.65,30.65,6400
2014-03-10,30.709999,31.6,30.41,31.6,31.6,19000
2014-03-11,31.5,31.9,30.82,31.200001,31.200001,21500
2014-03-12,31.120001,31.879999,30.940001,31.860001,31.860001,24900
2014-03-13,31.879999,31.879999,31.110001,31.4,31.4,21500
2014-03-14,31.379999,31.469999,31.139999,31.290001,31.290001,6100
2014-03-17,31.139999,31.469999,30.809999,31.26,31.26,18000
2014-03-18,31.17,31.690001,30.959999,31.629999,31.629999,11500
2014-03-19,31.610001,31.799999,30.57,30.6,30.6,8100
2014-03-20,30.67,31.040001,30.299999,30.74,30.74,12700
2014-03-21,30.75,31.57,30.48,30.969999,30.969999,67200
2014-03-24,31.15,31.15,30.370001,30.860001,30.860001,14700
2014-03-25,31.059999,31.059999,30.360001,30.76,30.76,19500
2014-03-26,31.01,31.01,30.030001,30.059999,30.059999,21700
2014-03-27,30.18,30.379999,29.41,29.870001,29.870001,19300
2014-03-28,29.879999,30.5,29.879999,30.25,30.25,13700
2014-03-31,30.51,31.91,30.43,31.48,31.48,21100
2014-04-01,31.799999,32.080002,31.1,31.860001,31.860001,18900
2014-04-02,31.83,31.83,31.35,31.57,31.57,7900
2014-04-03,31.639999,31.65,31.190001,31.65,31.65,6000
2014-04-04,31.65,31.65,29.559999,30.629999,30.629999,30100
2014-04-07,30.73,31.799999,30.51,30.700001,30.700001,52300
2014-04-08,30.83,32.009998,30.77,30.870001,30.870001,35000
2014-04-09,31.25,31.25,30.5,30.74,30.74,15700
2014-04-10,30.59,30.85,29.200001,29.370001,29.370001,20800
2014-04-11,29.049999,29.74,29.030001,29.309999,29.309999,19400
2014-04-14,29.5,29.65,29.1,29.360001,29.360001,21600
2014-04-15,29.530001,29.700001,28.52,28.690001,28.690001,21300
2014-04-16,28.65,28.959999,28.219999,28.450001,28.450001,22800
2014-04-17,28.440001,30.1,28.4,29.709999,29.709999,20300
2014-04-21,29.940001,29.940001,29.23,29.389999,29.389999,11900
2014-04-22,29.51,29.780001,29.35,29.459999,29.459999,13000
2014-04-23,29.530001,29.530001,29.110001,29.110001,29.110001,11700
2014-04-24,29.16,29.68,29.01,29.040001,29.040001,9600
2014-04-25,29.0,29.280001,28.51,28.73,28.73,19100
2014-04-28,28.75,29.17,28.25,28.530001,28.530001,12900
2014-04-29,28.559999,29.34,28.559999,28.74,28.74,20000
2014-04-30,28.85,28.870001,28.360001,28.4,28.4,22700
2014-05-01,28.76,29.48,28.389999,28.65,28.65,41300
2014-05-02,28.76,29.049999,28.379999,28.6,28.6,18100
2014-05-05,28.370001,29.200001,28.370001,28.43,28.43,23200
2014-05-06,28.280001,28.799999,28.280001,28.33,28.33,30100
2014-05-07,28.41,28.77,28.4,28.57,28.57,15600
2014-05-08,28.379999,28.77,28.299999,28.34,28.34,17000
2014-05-09,28.299999,29.059999,28.299999,28.790001,28.790001,15900
2014-05-12,28.48,29.23,28.4,29.040001,29.040001,15700
2014-05-13,29.25,29.629999,29.110001,29.469999,29.469999,30600
2014-05-14,29.41,29.42,28.299999,28.309999,28.309999,20200
2014-05-15,28.299999,28.51,27.93,27.93,27.93,29500
2014-05-16,27.879999,28.450001,27.879999,28.34,28.34,16000
2014-05-19,28.299999,28.65,28.24,28.469999,28.469999,19600
2014-05-20,28.469999,28.6,27.549999,28.5,28.5,44700
2014-05-21,28.52,28.700001,28.07,28.51,28.51,17200
2014-05-22,28.74,29.25,28.74,28.85,28.85,17800
2014-05-23,28.91,30.540001,28.91,30.4,30.4,21400
2014-05-27,30.24,30.59,29.809999,30.27,30.27,22100
2014-05-28,30.370001,30.370001,29.92,30.0,30.0,22000
2014-05-29,29.9,30.389999,29.610001,30.389999,30.389999,16400
2014-05-30,30.48,30.870001,30.209999,30.52,30.52,28500
2014-06-02,30.59,30.59,29.4,29.610001,29.610001,16000
2014-06-03,29.559999,30.58,29.559999,30.33,30.33,37100
2014-06-04,30.09,31.139999,29.85,30.969999,30.969999,24700
2014-06-05,31.049999,31.98,30.58,31.98,31.98,22900
2014-06-06,32.040001,32.25,31.809999,32.209999,32.209999,16000
2014-06-09,32.029999,32.549999,31.370001,32.529999,32.529999,31800
2014-06-10,32.52,32.650002,32.25,32.400002,32.400002,13700
2014-06-11,32.139999,32.139999,30.82,31.1,31.1,10800
2014-06-12,30.860001,31.0,30.01,30.26,30.26,18200
2014-06-13,30.24,30.67,29.92,30.48,30.48,12600
2014-06-16,30.299999,30.9,29.66,29.959999,29.959999,15100
2014-06-17,30.459999,31.02,29.780001,31.0,31.0,23400
2014-06-18,30.870001,31.219999,30.35,31.209999,31.209999,10100
2014-06-19,31.25,31.27,30.809999,31.059999,31.059999,8200
2014-06-20,31.030001,31.030001,30.219999,30.4,30.4,46800
2014-06-23,30.379999,30.379999,29.809999,29.889999,29.889999,12300
2014-06-24,30.07,30.15,29.73,29.85,29.85,19200
2014-06-25,29.75,30.16,29.68,30.0,30.0,31100
2014-06-26,30.790001,30.870001,30.040001,30.309999,30.309999,23000
2014-06-27,30.059999,30.549999,29.809999,30.469999,30.469999,57500
2014-06-30,30.309999,30.780001,29.870001,30.6,30.6,15100
2014-07-01,30.52,31.799999,30.24,31.32,31.32,27800
2014-07-02,31.42,31.75,31.049999,31.33,31.33,12300
2014-07-03,31.209999,31.51,30.709999,31.26,31.26,8900
2014-07-07,30.93,31.299999,30.6,30.98,30.98,32100
2014-07-08,30.940001,30.940001,29.84,30.07,30.07,35700
2014-07-09,30.200001,31.059999,30.120001,30.879999,30.879999,17900
2014-07-10,30.389999,31.15,30.389999,30.77,30.77,8600
2014-07-11,30.67,30.950001,30.34,30.360001,30.360001,5400
2014-07-14,30.690001,30.950001,30.450001,30.700001,30.700001,9300
2014-07-15,30.5,30.85,30.120001,30.200001,30.200001,12800
2014-07-16,30.459999,30.459999,30.120001,30.129999,30.129999,20400
2014-07-17,30.059999,30.24,29.34,29.450001,29.450001,17400
2014-07-18,29.4,30.780001,29.4,30.110001,30.110001,32300
2014-07-21,29.799999,30.290001,29.799999,29.92,29.92,8900
2014-07-22,30.290001,30.85,29.799999,30.74,30.74,9600
2014-07-23,30.370001,30.66,30.110001,30.309999,30.309999,14400
2014-07-24,30.16,30.389999,29.5,29.68,29.68,12300
2014-07-25,29.4,29.620001,29.16,29.440001,29.440001,16400
2014-07-28,29.549999,29.709999,29.309999,29.49,29.49,13000
2014-07-29,29.469999,29.799999,29.42,29.42,29.42,13000
2014-07-30,29.559999,29.75,29.02,29.32,29.32,7300
2014-07-31,29.41,29.59,28.620001,28.620001,28.620001,24000
2014-08-01,28.799999,29.18,28.459999,28.639999,28.639999,14900
2014-08-04,28.75,28.950001,28.299999,28.559999,28.559999,14000
2014-08-05,28.540001,28.629999,28.08,28.48,28.48,22700
2014-08-06,28.4,30.48,28.4,30.0,30.0,45300
2014-08-07,30.219999,30.82,29.280001,29.719999,29.719999,26600
2014-08-08,29.66,29.76,28.610001,29.530001,29.530001,13400
2014-08-11,29.700001,30.059999,29.6,29.93,29.93,16600
2014-08-12,29.67,30.469999,29.6,29.68,29.68,8400
2014-08-13,29.440001,30.1,29.209999,30.08,30.08,13300
2014-08-14,29.76,30.040001,29.76,30.040001,30.040001,2900
2014-08-15,30.33,30.33,29.76,29.9,29.9,18600
2014-08-18,30.23,30.360001,29.719999,30.17,30.17,10800
2014-08-19,30.1,30.48,30.1,30.469999,30.469999,6300
2014-08-20,30.440001,30.49,30.02,30.23,30.23,8800
2014-08-21,30.15,30.32,30.09,30.290001,30.290001,8600
2014-08-22,30.200001,30.309999,30.1,30.280001,30.280001,5900
2014-08-25,30.26,30.49,29.879999,30.040001,30.040001,12300
2014-08-26,29.969999,30.530001,29.969999,30.459999,30.459999,19600
2014-08-27,30.280001,30.52,30.280001,30.459999,30.459999,4300
2014-08-28,30.17,30.18,30.0,30.030001,30.030001,8800
2014-08-29,30.030001,30.209999,30.0,30.17,30.17,7600
2014-09-02,30.129999,30.92,30.129999,30.67,30.67,14400
2014-09-03,30.549999,30.959999,30.35,30.52,30.52,17000
2014-09-04,30.85,30.85,30.370001,30.49,30.49,11700
2014-09-05,30.469999,30.700001,30.139999,30.24,30.24,7300
2014-09-08,30.370001,30.68,30.049999,30.110001,30.110001,12200
2014-09-09,30.049999,30.23,29.9,29.91,29.91,12500
2014-09-10,29.9,30.17,29.9,30.17,30.17,4400
2014-09-11,30.01,30.24,29.9,30.18,30.18,15600
2014-09-12,30.129999,30.24,29.9,29.9,29.9,10300
2014-09-15,29.969999,30.07,29.85,29.92,29.92,10600
2014-09-16,29.860001,30.07,29.85,29.950001,29.950001,7900
2014-09-17,29.860001,30.02,29.85,29.870001,29.870001,13200
2014-09-18,30.030001,30.129999,29.9,29.969999,29.969999,32300
2014-09-19,30.040001,30.059999,29.799999,29.809999,29.809999,28600
2014-09-22,29.75,29.84,29.67,29.67,29.67,10400
2014-09-23,29.65,29.799999,29.6,29.700001,29.700001,16200
2014-09-24,29.9,29.99,28.98,29.85,29.85,35700
2014-09-25,29.66,29.67,28.790001,28.959999,28.959999,14800
2014-09-26,28.98,29.299999,28.940001,29.120001,29.120001,7900
2014-09-29,28.65,29.129999,28.65,28.93,28.93,14800
2014-09-30,29.0,29.82,28.6,28.6,28.6,35000
2014-10-01,28.629999,29.59,28.139999,28.9,28.9,27700
2014-10-02,29.99,29.99,29.030001,29.360001,29.360001,9000
2014-10-03,28.98,29.0,28.6,28.610001,28.610001,27400
2014-10-06,28.610001,28.799999,28.139999,28.15,28.15,15000
2014-10-07,28.049999,28.34,28.049999,28.09,28.09,44500
2014-10-08,28.1,28.379999,27.99,28.32,28.32,23400
2014-10-09,28.370001,28.65,28.07,28.129999,28.129999,21500
2014-10-10,27.950001,28.93,27.950001,28.139999,28.139999,25700
2014-10-13,28.139999,28.690001,28.120001,28.120001,28.120001,20300
2014-10-14,28.290001,29.629999,28.290001,28.950001,28.950001,19200
2014-10-15,28.5,29.139999,28.5,28.84,28.84,18800
2014-10-16,28.67,29.0,28.280001,28.98,28.98,19000
2014-10-17,29.08,29.1,28.16,28.379999,28.379999,27300
2014-10-20,28.360001,28.84,28.15,28.799999,28.799999,24800
2014-10-21,28.799999,28.889999,28.200001,28.75,28.75,18800
2014-10-22,28.66,28.66,28.049999,28.15,28.15,18900
2014-10-23,28.34,28.57,28.059999,28.32,28.32,16100
2014-10-24,28.370001,28.370001,27.33,27.389999,27.389999,20000
2014-10-27,27.360001,27.360001,25.799999,26.190001,26.190001,33300
2014-10-28,26.219999,27.469999,26.219999,27.309999,27.309999,25100
2014-10-29,27.389999,27.389999,26.4,26.57,26.57,21700
2014-10-30,26.49,26.950001,26.389999,26.629999,26.629999,24600
2014-10-31,27.09,27.75,26.879999,26.879999,26.879999,36400
2014-11-03,26.9,27.209999,26.459999,26.85,26.85,26300
2014-11-04,26.85,27.200001,26.799999,27.07,27.07,20600
2014-11-05,27.16,27.41,26.75,26.83,26.83,18100
2014-11-06,26.969999,27.15,26.84,27.110001,27.110001,17100
2014-11-07,26.860001,26.93,26.540001,26.809999,26.809999,14400
2014-11-10,26.59,27.110001,26.57,27.1,27.1,22200
2014-11-11,27.1,27.379999,26.959999,27.110001,27.110001,12400
2014-11-12,26.77,27.27,26.59,27.02,27.02,24400
2014-11-13,27.120001,27.25,26.76,27.129999,27.129999,16800
2014-11-14,27.059999,27.33,26.700001,26.74,26.74,16800
2014-11-17,26.809999,26.969999,26.370001,26.65,26.65,18400
2014-11-18,26.639999,26.809999,26.49,26.6,26.6,8300
2014-11-19,26.6,26.719999,26.299999,26.52,26.52,10600
2014-11-20,26.42,26.790001,26.42,26.66,26.66,9400
2014-11-21,26.93,27.34,26.790001,26.790001,26.790001,16400
2014-11-24,27.0,27.0,26.43,26.52,26.52,14400
2014-11-25,26.85,27.01,26.32,26.870001,26.870001,29600
2014-11-26,26.969999,27.5,26.84,27.5,27.5,17200
2014-11-28,27.389999,27.889999,26.610001,27.049999,27.049999,7000
2014-12-01,27.040001,27.219999,26.35,26.370001,26.370001,13800
2014-12-02,26.530001,26.77,26.299999,26.610001,26.610001,11800
2014-12-03,26.709999,26.709999,26.280001,26.33,26.33,12500
2014-12-04,26.33,26.33,25.549999,25.76,25.76,24400
2014-12-05,25.790001,26.530001,25.719999,26.34,26.34,19900
2014-12-08,26.42,26.42,25.860001,26.01,26.01,11000
2014-12-09,26.0,27.290001,26.0,27.290001,27.290001,20000
2014-12-10,26.98,26.98,26.0,26.040001,26.040001,18900
2014-12-11,26.049999,26.32,25.99,26.0,26.0,26000
2014-12-12,26.0,26.219999,25.799999,25.93,25.93,24800
2014-12-15,25.950001,26.0,25.42,25.42,25.42,12700
2014-12-16,25.52,26.18,25.27,25.41,25.41,15300
2014-12-17,25.360001,26.24,25.059999,26.07,26.07,18400
2014-12-18,26.440001,26.5,25.889999,26.07,26.07,22700
2014-12-19,25.98,27.51,25.58,26.75,26.75,123500
2014-12-22,26.65,27.07,26.43,26.57,26.57,24500
2014-12-23,26.559999,27.469999,25.68,27.33,27.33,13100
2014-12-24,27.219999,27.49,27.219999,27.33,27.33,2800
2014-12-26,27.4,28.120001,27.27,27.99,27.99,8300
2014-12-29,28.08,28.1,27.690001,27.690001,27.690001,6600
2014-12-30,27.83,27.940001,27.57,27.629999,27.629999,5800
2014-12-31,27.91,27.969999,26.75,27.030001,27.030001,15700
2015-01-02,27.18,27.18,26.77,27.0,27.0,5800
2015-01-05,26.73,26.84,25.860001,25.879999,25.879999,15200
2015-01-06,25.76,25.76,25.25,25.459999,25.459999,12500
2015-01-07,25.690001,26.700001,25.4,26.280001,26.280001,20900
2015-01-08,26.450001,26.85,25.77,26.58,26.58,40400
2015-01-09,26.65,26.75,26.26,26.389999,26.389999,11800
2015-01-12,26.6,27.389999,26.26,27.040001,27.040001,30000
2015-01-13,27.030001,27.51,26.299999,26.73,26.73,35000
2015-01-14,26.91,26.950001,26.450001,26.73,26.73,12700
2015-01-15,26.959999,27.209999,26.25,26.790001,26.790001,25000
2015-01-16,26.68,26.950001,26.040001,26.5,26.5,11200
2015-01-20,26.66,26.75,26.15,26.41,26.41,14800
2015-01-21,26.450001,26.809999,26.110001,26.209999,26.209999,14600
2015-01-22,26.440001,27.18,26.27,27.16,27.16,25100
2015-01-23,27.15,27.23,26.610001,27.1,27.1,11500
2015-01-26,27.0,27.030001,26.4,26.85,26.85,21300
2015-01-27,26.469999,27.030001,26.15,26.200001,26.200001,26800
2015-01-28,26.35,26.35,25.540001,25.780001,25.780001,14200
2015-01-29,25.549999,26.219999,25.549999,26.15,26.15,9400
2015-01-30,25.83,26.43,25.790001,25.879999,25.879999,26500
2015-02-02,25.879999,25.879999,25.32,25.530001,25.530001,16200
2015-02-03,25.52,25.93,25.48,25.639999,25.639999,18200
2015-02-04,25.690001,26.0,25.48,25.629999,25.629999,31600
2015-02-05,25.67,26.75,25.67,26.65,26.65,19200
2015-02-06,26.709999,27.450001,26.540001,27.450001,27.450001,24700
2015-02-09,27.23,27.4,26.98,27.24,27.24,13800
