Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,0.225,0.24,0.21,0.227,0.227,87800
2021-01-11,0.24,0.24,0.221,0.238,0.238,35100
2021-01-12,0.234,0.24,0.222,0.237,0.237,46400
2021-01-13,0.23,0.23,0.21,0.23,0.23,49600
2021-01-14,0.23,0.23,0.215,0.215,0.215,54000
2021-01-15,0.23,0.23,0.21,0.21,0.21,41700
2021-01-19,0.227,0.23,0.191,0.198,0.198,191100
2021-01-20,0.187,0.22,0.187,0.215,0.215,41700
2021-01-21,0.23,0.23,0.191,0.213,0.213,93800
2021-01-22,0.22,0.232,0.181,0.231,0.231,303000
2021-01-25,0.233,0.233,0.22,0.225,0.225,46800
2021-01-26,0.233,0.234,0.203,0.234,0.234,44000
2021-01-27,0.237,0.239,0.196,0.225,0.225,103900
2021-01-28,0.237,0.237,0.186,0.22,0.22,102700
2021-01-29,0.188,0.23,0.186,0.23,0.23,18500
2021-02-01,0.23,0.25,0.21,0.23,0.23,130100
2021-02-02,0.23,0.23,0.2,0.22,0.22,31300
2021-02-03,0.229,0.23,0.229,0.229,0.229,30200
2021-02-04,0.24,0.24,0.201,0.225,0.225,27600
2021-02-05,0.235,0.235,0.2,0.21,0.21,44500
2021-02-08,0.213,0.225,0.19,0.21,0.21,113700
2021-02-09,0.19,0.23,0.19,0.21,0.21,149300
2021-02-10,0.185,0.22,0.185,0.22,0.22,68300
2021-02-11,0.195,0.344,0.19,0.29,0.29,1227100
2021-02-12,0.29,0.29,0.231,0.28,0.28,249700
2021-02-16,0.278,0.28,0.225,0.257,0.257,343400
2021-02-17,0.26,0.281,0.259,0.281,0.281,380300
2021-02-18,0.28,0.309,0.25,0.25,0.25,250000
2021-02-19,0.269,0.269,0.25,0.254,0.254,156900
2021-02-22,0.253,0.28,0.25,0.28,0.28,216000
2021-02-23,0.275,0.3,0.24,0.289,0.289,179600
2021-02-24,0.275,0.276,0.26,0.26,0.26,95200
2021-02-25,0.265,0.265,0.24,0.24,0.24,50500
2021-02-26,0.243,0.275,0.205,0.238,0.238,318200
2021-03-01,0.25,0.454,0.23,0.372,0.372,2655300
2021-03-02,0.439,0.44,0.315,0.42,0.42,1551600
2021-03-03,0.45,0.469,0.375,0.395,0.395,511100
2021-03-04,0.41,0.45,0.211,0.34,0.34,734700
2021-03-05,0.265,0.32,0.247,0.307,0.307,182200
2021-03-08,0.26,0.34,0.251,0.29,0.29,210300
2021-03-09,0.3,0.3,0.253,0.294,0.294,108100
2021-03-10,0.265,0.293,0.251,0.285,0.285,143300
2021-03-11,0.285,0.3,0.251,0.28,0.28,125400
2021-03-12,0.285,0.295,0.265,0.28,0.28,99900
2021-03-15,0.28,0.3,0.267,0.3,0.3,107700
2021-03-16,0.275,0.3,0.253,0.276,0.276,140400
2021-03-17,0.28,0.28,0.24,0.27,0.27,301500
2021-03-18,0.25,0.265,0.231,0.253,0.253,149100
2021-03-19,0.253,0.253,0.231,0.25,0.25,66500
2021-03-22,0.25,0.274,0.232,0.257,0.257,138100
2021-03-23,0.274,0.274,0.245,0.25,0.25,34600
2021-03-24,0.222,0.28,0.222,0.28,0.28,169800
2021-03-25,0.28,0.29,0.243,0.279,0.279,51200
2021-03-26,0.256,0.28,0.232,0.27,0.27,80600
2021-03-29,0.27,0.27,0.232,0.27,0.27,29200
2021-03-30,0.27,0.27,0.233,0.254,0.254,50000
2021-03-31,0.257,0.27,0.241,0.25,0.25,61100
2021-04-01,0.25,0.26,0.24,0.24,0.24,55800
2021-04-05,0.263,0.263,0.235,0.24,0.24,77000
2021-04-06,0.24,0.25,0.24,0.24,0.24,14100
2021-04-07,0.245,0.245,0.225,0.238,0.238,56500
2021-04-08,0.225,0.253,0.225,0.242,0.242,127900
2021-04-09,0.253,0.283,0.233,0.253,0.253,81700
2021-04-12,0.25,0.25,0.225,0.239,0.239,45300
2021-04-13,0.24,0.248,0.221,0.24,0.24,39500
2021-04-14,0.222,0.24,0.218,0.22,0.22,183100
2021-04-15,0.249,0.249,0.218,0.235,0.235,34100
2021-04-16,0.25,0.25,0.19,0.229,0.229,126900
2021-04-19,0.185,0.228,0.185,0.219,0.219,31700
2021-04-20,0.219,0.225,0.2,0.217,0.217,67500
2021-04-21,0.224,0.224,0.178,0.2,0.2,76000
2021-04-22,0.2,0.23,0.2,0.22,0.22,73600
2021-04-23,0.22,0.237,0.204,0.237,0.237,19900
2021-04-26,0.228,0.24,0.216,0.24,0.24,56700
2021-04-27,0.221,0.24,0.212,0.24,0.24,13600
2021-04-28,0.22,0.23,0.205,0.23,0.23,38000
2021-04-29,0.217,0.24,0.205,0.24,0.24,86100
2021-04-30,0.22,0.24,0.177,0.24,0.24,187000
2021-05-03,0.201,0.24,0.201,0.229,0.229,115400
2021-05-04,0.201,0.226,0.191,0.226,0.226,105900
2021-05-05,0.207,0.227,0.2,0.201,0.201,63400
2021-05-06,0.22,0.23,0.2,0.23,0.23,73900
2021-05-07,0.239,0.24,0.205,0.24,0.24,65600
2021-05-10,0.22,0.24,0.176,0.222,0.222,33700
2021-05-11,0.235,0.235,0.179,0.221,0.221,73200
2021-05-12,0.222,0.222,0.202,0.22,0.22,48700
2021-05-13,0.203,0.213,0.195,0.209,0.209,13500
2021-05-14,0.209,0.23,0.195,0.22,0.22,42300
2021-05-17,0.23,0.23,0.2,0.23,0.23,32400
2021-05-18,0.23,0.23,0.179,0.227,0.227,38400
2021-05-19,0.176,0.226,0.176,0.22,0.22,50100
2021-05-20,0.22,0.242,0.21,0.225,0.225,47800
2021-05-21,0.223,0.225,0.22,0.22,0.22,6100
2021-05-24,0.22,0.22,0.135,0.185,0.185,313800
2021-05-25,0.193,0.249,0.193,0.221,0.221,166000
2021-05-26,0.205,0.223,0.205,0.223,0.223,28200
2021-05-27,0.2,0.233,0.2,0.23,0.23,44000
2021-05-28,0.208,0.233,0.2,0.23,0.23,74000
2021-06-01,0.231,0.231,0.212,0.215,0.215,14200
2021-06-02,0.223,0.229,0.184,0.229,0.229,133200
2021-06-03,0.22,0.22,0.195,0.2,0.2,42100
2021-06-04,0.205,0.205,0.174,0.19,0.19,551900
2021-06-07,0.21,0.21,0.175,0.2,0.2,66100
2021-06-08,0.178,0.229,0.162,0.2,0.2,137300
2021-06-09,0.205,0.214,0.18,0.2,0.2,69500
2021-06-10,0.179,0.2,0.153,0.19,0.19,180100
2021-06-11,0.2,0.2,0.152,0.189,0.189,210400
2021-06-14,0.167,0.189,0.16,0.16,0.16,209600
2021-06-15,0.16,0.188,0.16,0.188,0.188,25000
2021-06-16,0.187,0.187,0.16,0.18,0.18,88200
2021-06-17,0.154,0.17,0.154,0.166,0.166,118500
2021-06-18,0.16,0.163,0.141,0.154,0.154,331100
2021-06-21,0.166,0.166,0.151,0.155,0.155,76300
2021-06-22,0.151,0.151,0.135,0.139,0.139,454400
2021-06-23,0.139,0.148,0.126,0.138,0.138,554700
2021-06-24,0.143,0.148,0.126,0.126,0.126,221000
2021-06-25,0.125,0.145,0.125,0.145,0.145,110800
2021-06-28,0.139,0.189,0.125,0.139,0.139,373800
2021-06-29,0.14,0.15,0.14,0.14,0.14,261100
2021-06-30,0.144,0.144,0.129,0.14,0.14,124700
2021-07-01,0.128,0.135,0.123,0.123,0.123,253200
2021-07-02,0.123,0.14,0.123,0.14,0.14,79200
2021-07-06,0.158,0.165,0.14,0.155,0.155,289400
2021-07-07,0.147,0.168,0.142,0.152,0.152,30900
2021-07-08,0.152,0.16,0.143,0.16,0.16,118700
2021-07-09,0.141,0.16,0.141,0.16,0.16,40800
2021-07-12,0.141,0.167,0.141,0.16,0.16,59200
2021-07-13,0.16,0.16,0.141,0.141,0.141,28500
2021-07-14,0.141,0.155,0.141,0.155,0.155,42700
2021-07-15,0.14,0.155,0.14,0.15,0.15,17300
2021-07-16,0.15,0.15,0.135,0.135,0.135,94000
2021-07-19,0.135,0.154,0.135,0.137,0.137,83400
2021-07-20,0.135,0.142,0.13,0.13,0.13,103100
2021-07-21,0.13,0.14,0.13,0.14,0.14,41700
2021-07-22,0.138,0.14,0.138,0.14,0.14,26400
2021-07-23,0.136,0.136,0.131,0.136,0.136,27300
2021-07-26,0.13,0.131,0.13,0.13,0.13,32100
2021-07-27,0.125,0.139,0.125,0.125,0.125,20700
2021-07-28,0.135,0.135,0.12,0.128,0.128,130600
2021-07-29,0.133,0.133,0.133,0.133,0.133,600
2021-07-30,0.135,0.14,0.124,0.124,0.124,46200
2021-08-02,0.125,0.14,0.125,0.132,0.132,13800
2021-08-03,0.135,0.135,0.13,0.13,0.13,22500
2021-08-04,0.133,0.133,0.13,0.13,0.13,21400
2021-08-05,0.132,0.137,0.13,0.137,0.137,22000
2021-08-06,0.13,0.14,0.13,0.135,0.135,10600
2021-08-09,0.135,0.138,0.135,0.138,0.138,6200
2021-08-10,0.137,0.137,0.125,0.135,0.135,63900
2021-08-11,0.122,0.135,0.122,0.135,0.135,90100
2021-08-12,0.135,0.135,0.135,0.135,0.135,400
2021-08-13,0.14,0.14,0.129,0.129,0.129,4000
2021-08-16,0.125,0.131,0.12,0.12,0.12,42800
2021-08-17,0.137,0.145,0.123,0.132,0.132,40500
2021-08-18,0.12,0.137,0.12,0.137,0.137,24700
2021-08-19,0.121,0.122,0.103,0.122,0.122,218300
2021-08-20,0.108,0.115,0.086,0.107,0.107,218200
2021-08-23,0.106,0.11,0.096,0.104,0.104,43400
2021-08-24,0.1,0.105,0.093,0.1,0.1,155900
2021-08-25,0.1,0.105,0.1,0.1,0.1,63900
2021-08-26,0.1,0.1,0.1,0.1,0.1,15500
2021-08-27,0.105,0.106,0.105,0.105,0.105,162200
2021-08-30,0.102,0.11,0.095,0.095,0.095,118200
2021-08-31,0.11,0.11,0.101,0.101,0.101,43000
2021-09-01,0.095,0.1,0.095,0.1,0.1,17000
2021-09-02,0.099,0.108,0.099,0.108,0.108,157800
2021-09-03,0.105,0.105,0.1,0.1,0.1,125200
2021-09-07,0.098,0.105,0.09,0.09,0.09,361700
2021-09-08,0.1,0.112,0.093,0.112,0.112,93300
2021-09-09,0.145,0.145,0.095,0.105,0.105,339000
2021-09-10,0.098,0.11,0.098,0.108,0.108,332300
2021-09-13,0.096,0.108,0.095,0.107,0.107,224400
2021-09-14,0.106,0.107,0.099,0.099,0.099,179300
2021-09-15,0.099,0.105,0.099,0.1,0.1,131800
2021-09-16,0.09,0.102,0.09,0.096,0.096,61000
2021-09-17,0.1,0.1,0.096,0.096,0.096,7500
2021-09-20,0.102,0.102,0.09,0.093,0.093,160900
2021-09-21,0.091,0.096,0.088,0.088,0.088,249400
2021-09-22,0.088,0.1,0.088,0.094,0.094,108100
2021-09-23,0.1,0.107,0.095,0.097,0.097,384600
2021-09-24,0.099,0.105,0.094,0.095,0.095,189600
2021-09-27,0.105,0.105,0.095,0.104,0.104,135300
2021-09-28,0.104,0.104,0.092,0.092,0.092,118100
2021-09-29,0.095,0.097,0.09,0.095,0.095,169100
2021-09-30,0.095,0.103,0.095,0.095,0.095,158800
2021-10-01,0.09,0.096,0.08,0.096,0.096,122400
2021-10-04,0.084,0.098,0.077,0.092,0.092,339400
2021-10-05,0.093,0.094,0.089,0.089,0.089,67600
2021-10-06,0.092,0.097,0.086,0.089,0.089,82200
2021-10-07,0.1,0.1,0.086,0.086,0.086,80100
2021-10-08,0.095,0.095,0.088,0.093,0.093,305100
2021-10-11,0.091,0.095,0.09,0.092,0.092,217300
2021-10-12,0.089,0.089,0.088,0.088,0.088,5500
2021-10-13,0.09,0.095,0.089,0.093,0.093,443200
2021-10-14,0.09,0.1,0.09,0.1,0.1,154200
2021-10-15,0.105,0.115,0.095,0.113,0.113,115300
2021-10-18,0.112,0.115,0.102,0.115,0.115,88200
2021-10-19,0.105,0.115,0.104,0.104,0.104,50000
2021-10-20,0.11,0.11,0.109,0.11,0.11,74500
2021-10-21,0.117,0.117,0.111,0.111,0.111,14900
2021-10-22,0.112,0.114,0.111,0.114,0.114,14200
2021-10-25,0.12,0.12,0.11,0.114,0.114,6200
2021-10-26,0.113,0.113,0.09,0.09,0.09,147300
2021-10-27,0.111,0.118,0.11,0.11,0.11,61800
2021-10-28,0.11,0.115,0.094,0.102,0.102,90900
2021-10-29,0.11,0.113,0.1,0.111,0.111,43200
2021-11-01,0.115,0.115,0.115,0.115,0.115,1000
2021-11-02,0.113,0.118,0.106,0.118,0.118,34500
2021-11-03,0.106,0.112,0.106,0.11,0.11,12400
2021-11-04,0.108,0.108,0.106,0.106,0.106,7500
2021-11-05,0.106,0.11,0.106,0.11,0.11,37500
2021-11-08,0.111,0.111,0.107,0.109,0.109,8000
2021-11-09,0.109,0.11,0.109,0.109,0.109,57100
2021-11-10,0.114,0.114,0.109,0.114,0.114,73400
2021-11-11,0.108,0.11,0.106,0.11,0.11,57400
2021-11-12,0.115,0.115,0.106,0.106,0.106,8200
2021-11-15,0.11,0.11,0.106,0.106,0.106,34200
2021-11-16,0.106,0.112,0.106,0.106,0.106,20000
2021-11-17,0.113,0.114,0.102,0.106,0.106,60600
2021-11-18,0.11,0.11,0.102,0.105,0.105,78500
2021-11-19,0.109,0.113,0.105,0.105,0.105,22100
2021-11-22,0.11,0.11,0.105,0.105,0.105,14300
2021-11-23,0.105,0.11,0.105,0.105,0.105,15600
2021-11-24,0.113,0.113,0.09,0.09,0.09,27600
2021-11-26,0.093,0.102,0.093,0.1,0.1,4500
2021-11-29,0.1,0.103,0.087,0.09,0.09,469700
2021-11-30,0.09,0.09,0.085,0.09,0.09,58700
2021-12-01,0.088,0.09,0.076,0.08,0.08,656200
2021-12-02,0.08,0.087,0.074,0.081,0.081,529300
2021-12-03,0.062,0.08,0.062,0.07,0.07,25000
2021-12-06,0.07,0.088,0.065,0.07,0.07,311900
2021-12-07,0.082,0.082,0.069,0.07,0.07,202300
2021-12-08,0.071,0.075,0.071,0.071,0.071,71600
2021-12-09,0.079,0.079,0.067,0.067,0.067,273300
2021-12-10,0.068,0.074,0.065,0.066,0.066,333500
2021-12-13,0.066,0.074,0.066,0.074,0.074,13900
