Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,0.001,0.001,0.001,0.001,0.001,30400
2013-07-17,0.001,0.001,0.001,0.001,0.001,0
2013-07-18,0.001,0.001,0.001,0.001,0.001,0
2013-07-19,0.001,0.001,0.001,0.001,0.001,0
2013-07-22,0.001,0.001,0.001,0.001,0.001,0
2013-07-23,0.001,0.001,0.001,0.001,0.001,0
2013-07-24,0.001,0.001,0.001,0.001,0.001,750
2013-07-25,0.001,0.001,0.001,0.001,0.001,0
2013-07-26,0.0013,0.0048,0.0013,0.0038,0.0038,11222402
2013-07-29,0.0038,0.0039,0.002,0.0028,0.0028,2640000
2013-07-30,0.0028,0.0033,0.0022,0.0022,0.0022,1001800
2013-07-31,0.0022,0.003,0.002,0.0027,0.0027,1344999
2013-08-01,0.0027,0.0027,0.002,0.002,0.002,945000
2013-08-02,0.0025,0.0027,0.0025,0.0027,0.0027,1050000
2013-08-05,0.0021,0.0021,0.0016,0.0017,0.0017,395000
2013-08-06,0.0017,0.0019,0.0016,0.0016,0.0016,2239817
2013-08-07,0.0016,0.0016,0.0014,0.0014,0.0014,110000
2013-08-08,0.0016,0.002,0.0015,0.0019,0.0019,4169700
2013-08-09,0.0017,0.0017,0.0014,0.0016,0.0016,307000
2013-08-12,0.0016,0.0016,0.0016,0.0016,0.0016,255000
2013-08-13,0.0018,0.0018,0.0016,0.0016,0.0016,1650000
2013-08-14,0.0014,0.0014,0.0011,0.0013,0.0013,1199920
2013-08-15,0.0011,0.0012,0.001,0.0012,0.0012,5607236
2013-08-16,0.001,0.0015,0.001,0.0015,0.0015,5225000
2013-08-19,0.0013,0.0013,0.0013,0.0013,0.0013,320000
2013-08-20,0.0011,0.0015,0.001,0.0015,0.0015,3510100
2013-08-21,0.0015,0.0015,0.0015,0.0015,0.0015,0
2013-08-22,0.0015,0.0015,0.0015,0.0015,0.0015,0
2013-08-23,0.0009,0.0009,0.0009,0.0009,0.0009,100000
2013-08-26,0.0009,0.0009,0.0009,0.0009,0.0009,300000
2013-08-27,0.0012,0.0012,0.0012,0.0012,0.0012,31000
2013-08-28,0.0012,0.0012,0.0012,0.0012,0.0012,1000000
2013-08-29,0.0012,0.0012,0.0012,0.0012,0.0012,0
2013-08-30,0.0012,0.0012,0.0012,0.0012,0.0012,0
