Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,107.019997,107.449997,105.830002,107.160004,82.073311,520000
2013-07-17,107.5,107.540001,106.199997,106.580002,81.629051,310100
2013-07-18,106.660004,107.550003,106.559998,107.389999,82.249443,364400
2013-07-19,107.43,108.279999,106.68,108.160004,82.839195,330400
2013-07-22,108.199997,108.82,107.510002,108.790001,83.321678,633300
2013-07-23,108.709999,109.940002,108.5,109.68,84.003365,588900
2013-07-24,109.720001,109.919998,108.599998,109.510002,83.873169,573600
2013-07-25,109.139999,110.849998,108.650002,110.720001,84.799873,640800
2013-07-26,110.360001,111.599998,109.889999,111.540001,85.42791,487800
2013-07-29,111.589996,112.449997,111.360001,112.050003,85.818512,395100
2013-07-30,112.769997,113.120003,112.260002,112.389999,86.078934,361800
2013-07-31,112.730003,113.18,112.0,112.519997,86.178497,542200
2013-08-01,113.389999,114.07,113.089996,113.669998,87.059265,503900
2013-08-02,113.620003,114.110001,112.480003,113.970001,87.289047,415300
2013-08-05,113.970001,114.489998,113.209999,114.360001,87.587746,289100
2013-08-06,114.360001,114.720001,113.629997,114.230003,87.488159,390800
2013-08-07,113.589996,114.239998,113.370003,113.57,86.982674,486000
2013-08-08,114.32,114.32,112.940002,113.059998,86.592064,506300
2013-08-09,112.980003,113.900002,112.82,113.300003,86.775887,365500
2013-08-12,113.25,113.589996,112.660004,113.510002,86.936729,365600
2013-08-13,113.510002,114.389999,113.370003,113.910004,87.24308,250100
2013-08-14,113.32,113.699997,112.529999,112.57,86.658028,362000
2013-08-15,111.910004,112.040001,110.43,110.43,85.01062,437100
2013-08-16,110.190002,110.900002,110.080002,110.32,84.925934,410200
2013-08-19,110.18,110.540001,108.889999,109.059998,83.955963,727900
2013-08-20,108.980003,109.510002,107.82,109.099998,83.986763,825400
2013-08-21,109.199997,110.389999,107.400002,107.790001,82.978294,848400
2013-08-22,107.699997,108.209999,106.650002,107.489998,82.747345,535400
2013-08-23,107.410004,108.730003,107.220001,108.459999,83.494072,521500
2013-08-26,108.839996,109.120003,107.309998,107.5,82.755058,413100
2013-08-27,106.580002,107.68,106.519997,106.57,82.039139,434800
2013-08-28,106.349998,106.839996,105.18,105.32,81.076874,656400
2013-08-29,105.0,106.279999,104.5,105.800003,81.446419,414500
2013-08-30,106.099998,106.230003,105.089996,106.139999,81.708107,332300
2013-09-03,106.470001,107.150002,105.040001,105.389999,81.13073,417600
2013-09-04,105.18,106.330002,104.879997,106.25,81.792786,381100
2013-09-05,106.220001,107.529999,105.910004,106.779999,82.200813,643000
2013-09-06,107.010002,107.169998,105.080002,105.989998,81.592628,314500
2013-09-09,106.389999,108.139999,105.980003,108.139999,83.247749,437000
2013-09-10,108.660004,109.639999,108.029999,108.910004,83.840523,904900
2013-09-11,108.830002,108.830002,106.660004,107.779999,82.970619,573000
2013-09-12,107.279999,108.540001,106.959999,107.269997,82.578011,622300
2013-09-13,107.629997,108.040001,107.190002,107.870003,83.039894,449600
2013-09-16,108.660004,108.980003,107.779999,107.919998,83.078362,412500
2013-09-17,108.309998,108.760002,107.879997,108.300003,83.370911,505100
2013-09-18,108.400002,108.720001,106.660004,108.480003,83.509476,520200
2013-09-19,108.57,108.730003,107.110001,107.68,82.893631,413100
2013-09-20,107.269997,107.699997,106.830002,107.139999,82.477928,909500
2013-09-23,107.199997,107.239998,106.010002,106.559998,82.031418,352800
2013-09-24,106.169998,107.120003,106.050003,106.389999,81.900551,398400
2013-09-25,106.57,106.860001,105.809998,105.860001,81.492561,372200
2013-09-26,105.870003,106.489998,105.129997,105.690002,81.361702,379500
2013-09-27,105.050003,105.169998,104.370003,104.790001,80.668869,460900
2013-09-30,104.650002,105.389999,104.440002,105.040001,80.861305,845300
2013-10-01,105.099998,105.660004,104.599998,105.410004,81.146164,517300
2013-10-02,105.160004,105.160004,103.800003,104.949997,80.792038,587200
2013-10-03,104.639999,105.360001,103.900002,104.970001,80.807419,400200
2013-10-04,104.68,106.389999,104.480003,105.93,81.546471,397200
2013-10-07,105.699997,106.07,104.940002,105.779999,81.430969,490900
2013-10-08,105.57,106.400002,105.540001,105.580002,81.277016,609500
2013-10-09,105.529999,105.860001,104.18,104.379997,80.353203,459800
2013-10-10,105.349998,106.57,105.300003,106.510002,81.992973,455200
2013-10-11,106.050003,106.690002,105.82,106.599998,82.062233,366800
2013-10-14,106.400002,106.82,105.940002,106.730003,82.162315,378400
2013-10-15,106.449997,106.559998,105.730003,105.970001,81.577248,595000
2013-10-16,106.459999,107.519997,106.230003,107.5,82.755058,558900
2013-10-17,107.459999,108.519997,107.029999,108.440002,83.478683,425600
2013-10-18,108.870003,108.870003,107.620003,107.879997,83.047562,338000
2013-10-21,107.720001,107.720001,106.669998,106.860001,82.262375,465100
2013-10-22,106.989998,108.949997,106.860001,108.730003,83.701935,631500
2013-10-23,108.279999,109.080002,108.050003,108.849998,83.794296,316900
2013-10-24,108.82,109.629997,108.32,109.599998,84.371674,335200
