Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,195.0,204.0,195.0,204.0,204.0,15
2013-07-17,195.0,198.0,195.0,198.0,198.0,17
2013-07-18,198.0,198.0,198.0,198.0,198.0,31
2013-07-19,195.0,195.0,195.0,195.0,195.0,5
2013-07-22,195.0,195.0,195.0,195.0,195.0,5
2013-07-23,195.0,195.0,195.0,195.0,195.0,13
2013-07-24,195.0,198.0,195.0,195.0,195.0,25
2013-07-25,195.0,195.0,195.0,195.0,195.0,13
2013-07-26,195.0,210.0,195.0,210.0,210.0,40
2013-07-29,210.0,210.0,189.0,189.0,189.0,197
2013-07-30,195.0,195.0,192.0,192.0,192.0,106
2013-07-31,180.0,192.0,180.0,192.0,192.0,107
2013-08-01,192.0,192.0,192.0,192.0,192.0,0
2013-08-02,192.0,195.0,192.0,192.0,192.0,65
2013-08-05,192.0,210.0,189.0,210.0,210.0,57
2013-08-06,195.0,195.0,192.0,192.0,192.0,10
2013-08-07,192.0,192.0,192.0,192.0,192.0,0
2013-08-08,189.0,189.0,165.0,186.0,186.0,48
2013-08-09,189.0,216.0,186.0,204.0,204.0,799
2013-08-12,204.0,216.0,204.0,216.0,216.0,38
2013-08-13,210.0,210.0,207.0,210.0,210.0,64
2013-08-14,219.0,222.0,219.0,222.0,222.0,7
2013-08-15,222.0,285.0,222.0,285.0,285.0,763
2013-08-16,285.0,285.0,255.0,270.0,270.0,98
2013-08-19,270.0,282.0,267.0,267.0,267.0,91
2013-08-20,255.0,267.0,234.0,267.0,267.0,49
2013-08-21,240.0,243.0,219.0,219.0,219.0,9
2013-08-22,225.0,225.0,222.0,222.0,222.0,57
2013-08-23,222.0,222.0,222.0,222.0,222.0,0
2013-08-26,219.0,219.0,210.0,210.0,210.0,128
2013-08-27,210.0,210.0,210.0,210.0,210.0,0
2013-08-28,234.0,246.0,234.0,243.0,243.0,50
2013-08-29,234.0,240.0,234.0,240.0,240.0,8
2013-08-30,213.0,240.0,210.0,240.0,240.0,20
2013-09-03,240.0,240.0,225.0,225.0,225.0,35
2013-09-04,240.0,240.0,225.0,225.0,225.0,7
2013-09-05,225.0,225.0,225.0,225.0,225.0,0
2013-09-06,225.0,234.0,225.0,231.0,231.0,34
2013-09-09,231.0,231.0,231.0,231.0,231.0,10
2013-09-10,231.0,255.0,228.0,228.0,228.0,271
2013-09-11,228.0,228.0,228.0,228.0,228.0,0
2013-09-12,240.0,240.0,240.0,240.0,240.0,5
2013-09-13,213.0,234.0,213.0,234.0,234.0,11
2013-09-16,240.0,240.0,225.0,225.0,225.0,75
2013-09-17,216.0,225.0,216.0,225.0,225.0,51
2013-09-18,219.0,240.0,219.0,219.0,219.0,5
2013-09-19,240.0,240.0,222.0,222.0,222.0,8
2013-09-20,219.0,219.0,219.0,219.0,219.0,15
2013-09-23,219.0,240.0,219.0,237.0,237.0,43
2013-09-24,237.0,240.0,237.0,240.0,240.0,63
2013-09-25,240.0,240.0,240.0,240.0,240.0,0
2013-09-26,240.0,240.0,240.0,240.0,240.0,7
2013-09-27,240.0,240.0,240.0,240.0,240.0,0
2013-09-30,240.0,240.0,240.0,240.0,240.0,1
2013-10-01,225.0,225.0,225.0,225.0,225.0,3
2013-10-02,225.0,225.0,213.0,219.0,219.0,52
2013-10-03,213.0,213.0,213.0,213.0,213.0,19
