Date,Open,High,Low,Close,Adj Close,Volume
2014-11-20,17.9,17.950001,17.85,17.85,17.85,76900
2014-11-21,17.85,18.34,17.753,17.815001,17.815001,34800
2014-11-24,17.790001,17.809999,17.719999,17.780001,17.780001,75200
2014-11-25,17.716,17.940001,17.716,17.870001,17.870001,517200
2014-11-26,17.815001,17.91,17.75,17.809999,17.809999,398600
2014-11-28,17.57,17.73,17.57,17.59,17.59,321500
2014-12-01,17.809999,17.809999,17.559999,17.67,17.67,198600
2014-12-02,17.879999,17.879999,17.686001,17.695,17.695,38400
2014-12-03,17.85,17.940001,17.76,17.809999,17.809999,89900
2014-12-04,17.879999,18.02,17.879999,17.91,17.91,151000
2014-12-05,18.120001,18.120001,17.809999,17.825001,17.825001,77400
2014-12-08,17.938,18.1,17.92,18.0,18.0,64500
2014-12-09,18.115,18.42,18.08,18.209999,18.209999,36800
2014-12-10,17.75,17.84,17.674,17.84,17.84,75400
2014-12-11,17.799999,17.85,17.615999,17.68,17.68,47500
2014-12-12,17.535,17.549999,17.440001,17.440001,17.440001,37600
2014-12-15,17.4,17.5,17.389999,17.450001,17.450001,71000
2014-12-16,17.059999,17.309999,17.040001,17.105,17.105,43900
2014-12-17,17.155001,17.219999,16.82,16.93,16.93,66100
2014-12-18,17.225,17.33,17.17,17.23,17.23,63000
2014-12-19,17.309999,17.450001,17.26,17.295,17.295,40300
2014-12-22,17.34,17.559999,17.299999,17.299999,17.299999,37300
2014-12-23,17.325001,17.51,17.190001,17.25,17.25,61400
2014-12-24,17.42,17.42,17.309999,17.365,17.365,29700
2014-12-26,17.33,17.42,17.232,17.280001,17.280001,62100
2014-12-29,17.195,17.33,17.195,17.235001,17.235001,68400
2014-12-30,17.120001,17.405001,17.120001,17.334999,17.334999,57400
2014-12-31,17.219999,17.360001,17.209999,17.24,17.24,31900
2015-01-02,17.215,17.33,17.200001,17.285,17.285,31600
2015-01-05,16.954,17.09,16.85,16.99,16.99,44300
2015-01-06,16.812,16.812,16.540001,16.65,16.65,28200
2015-01-07,16.75,16.9,16.58,16.665001,16.665001,82500
2015-01-08,16.709999,16.780001,16.6,16.73,16.73,496700
2015-01-09,16.5,16.58,16.459999,16.49,16.49,242300
2015-01-12,16.535,16.639999,16.48,16.555,16.555,64200
2015-01-13,16.785,16.85,16.700001,16.75,16.75,455600
2015-01-14,16.6,16.67,16.52,16.559999,16.559999,453900
2015-01-15,17.459999,17.5,17.27,17.4,17.4,177600
2015-01-16,17.309999,17.334999,17.23,17.280001,17.280001,182700
2015-01-20,17.799999,17.805,17.66,17.690001,17.690001,43200
2015-01-21,17.924,18.049999,17.92,17.962999,17.962999,34300
2015-01-22,17.825001,17.950001,17.782,17.83,17.83,31200
2015-01-23,17.370001,17.389999,17.26,17.377001,17.377001,29600
2015-01-26,17.395,17.610001,17.370001,17.59,17.59,22800
2015-01-27,17.5,17.719999,17.5,17.700001,17.700001,11800
2015-01-28,17.74,17.780001,17.631001,17.76,17.76,12300
2015-01-29,17.65,17.77,17.65,17.690001,17.690001,31900
2015-01-30,17.51,17.629999,17.42,17.51,17.51,18600
2015-02-02,17.495001,17.6,17.459999,17.549999,17.549999,28000
2015-02-03,17.26,17.26,17.030001,17.1,17.1,65300
2015-02-04,17.0,17.209999,17.0,17.200001,17.200001,18800
2015-02-05,17.496,17.709999,17.496,17.620001,17.620001,31500
2015-02-06,17.117001,17.24,17.02,17.101,17.101,29600
2015-02-09,17.440001,17.440001,17.26,17.33,17.33,21300
2015-02-10,17.73,17.74,17.59,17.68,17.68,23500
2015-02-11,17.620001,17.66,17.48,17.66,17.66,21500
2015-02-12,17.535999,17.83,17.535999,17.83,17.83,24600
2015-02-13,17.719999,17.969999,17.690001,17.969999,17.969999,56800
2015-02-17,17.723,17.9,17.709999,17.73,17.73,69600
2015-02-18,17.867001,18.059999,17.867001,17.931999,17.931999,57200
2015-02-19,18.068001,18.23,18.059999,18.084999,18.084999,18600
2015-02-20,17.950001,18.129999,17.950001,18.049999,18.049999,50500
2015-02-23,18.139999,18.17,18.01,18.17,18.17,29900
2015-02-24,18.004999,18.16,17.99,18.049999,18.049999,11500
2015-02-25,18.17,18.26,18.17,18.239,18.239,13400
2015-02-26,18.813,18.959999,18.76,18.84,18.84,23800
2015-02-27,18.754999,18.799999,18.74,18.74,18.74,14100
2015-03-02,19.32,19.32,19.190001,19.290001,19.290001,19700
2015-03-03,19.261,19.440001,19.261,19.403999,19.403999,15000
2015-03-04,19.424,19.549999,19.424,19.542999,19.542999,20200
2015-03-05,20.32,20.459999,20.219999,20.295,20.295,19900
2015-03-06,20.566,20.566,20.34,20.389999,20.389999,12700
2015-03-09,20.105,20.209999,20.08,20.18,20.18,16700
2015-03-10,19.92,20.07,19.9,20.025,20.025,19100
2015-03-11,19.816,19.91,19.816,19.91,19.91,14300
2015-03-12,20.075001,20.16,20.040001,20.07,20.07,21900
2015-03-13,19.809999,20.01,19.799999,19.872,19.872,12200
2015-03-16,20.187,20.219999,20.01,20.02,20.02,21900
2015-03-17,19.924999,19.99,19.860001,19.98,19.98,14800
2015-03-18,19.874001,20.120001,19.84,20.01,20.01,20000
2015-03-19,20.030001,20.030001,19.83,19.93,19.93,14100
2015-03-20,19.84,19.950001,19.785999,19.950001,19.950001,31200
2015-03-23,20.368999,20.5,20.34,20.482,20.482,15400
2015-03-24,20.629999,21.18,20.629999,21.18,21.18,35700
2015-03-25,21.552999,21.690001,21.440001,21.57,21.57,14900
2015-03-26,21.417999,21.417999,21.290001,21.360001,21.360001,22400
2015-03-27,21.768,21.780001,21.665001,21.764999,21.764999,13300
2015-03-30,21.565001,21.66,21.559999,21.605,21.605,33400
2015-03-31,21.5,21.5,21.43,21.469999,21.469999,20100
2015-04-01,20.834999,21.049999,20.65,21.014999,21.014999,38100
2015-04-02,20.85,21.129999,20.85,21.08,21.08,97400
2015-04-06,21.444,21.780001,21.389,21.729,21.729,17800
2015-04-07,21.709999,21.709999,21.566,21.620001,21.620001,52800
2015-04-08,21.985001,22.07,21.940001,21.940001,21.940001,42800
2015-04-09,21.705,21.809999,21.657,21.76,21.76,13900
2015-04-10,21.657,21.77,21.6,21.76,21.76,21800
2015-04-13,21.799999,21.9,21.799999,21.879999,21.879999,72300
2015-04-14,22.291,22.530001,22.291,22.530001,22.530001,32400
2015-04-15,22.176001,22.26,22.045,22.23,22.23,13000
2015-04-16,22.719999,22.91,22.719999,22.870001,22.870001,20600
2015-04-17,22.23,22.629999,22.23,22.43,22.43,35700
2015-04-20,22.629999,22.629999,22.290001,22.334,22.334,8000
2015-04-21,22.402,22.440001,22.299999,22.41,22.41,10200
2015-04-22,22.007999,22.049999,21.906,21.983999,21.983999,27300
2015-04-23,21.690001,21.860001,21.65,21.82,21.82,23600
2015-04-24,21.950001,21.950001,21.799999,21.870001,21.870001,26300
2015-04-27,21.860001,21.91,21.780001,21.886,21.886,9100
2015-04-28,21.870001,22.049999,21.870001,22.040001,22.040001,20500
2015-04-29,21.809,21.959999,21.809,21.959999,21.959999,11200
2015-04-30,21.49,21.52,21.24,21.24,21.24,16100
2015-05-01,21.290001,21.531,21.290001,21.49,21.49,20000
2015-05-04,21.231001,21.52,21.231001,21.5,21.5,18600
2015-05-05,21.469999,21.540001,21.190001,21.379999,21.379999,15400
2015-05-06,21.285,21.389999,21.07,21.18,21.18,17000
2015-05-07,20.992001,21.16,20.992001,21.16,21.16,34200
2015-05-08,21.440001,21.49,21.396,21.49,21.49,39400
2015-05-11,21.405001,21.469999,21.299999,21.360001,21.360001,18600
2015-05-12,21.145,21.26,21.030001,21.16,21.16,122000
2015-05-13,21.18,21.225,21.129999,21.190001,21.190001,96200
2015-05-14,21.120001,21.23,21.120001,21.23,21.23,19900
2015-05-15,21.370001,21.559999,21.370001,21.559999,21.559999,18500
2015-05-18,21.719999,21.870001,21.68,21.715,21.715,14800
2015-05-19,21.768999,21.85,21.768999,21.809999,21.809999,22600
2015-05-20,21.459,21.58,21.459,21.528999,21.528999,21400
2015-05-21,21.719999,21.85,21.719999,21.85,21.85,31300
2015-05-22,21.677999,21.700001,21.665001,21.700001,21.700001,13500
2015-05-26,20.610001,20.615,20.565001,20.575001,20.575001,26100
2015-05-27,21.02,21.09,20.940001,21.079,21.079,27900
2015-05-28,20.75,20.860001,20.709999,20.75,20.75,38400
2015-05-29,20.726,20.790001,20.65,20.76,20.76,17400
2015-06-01,20.955,21.07,20.870001,20.917,20.917,21500
2015-06-02,20.799999,20.84,20.775999,20.799999,20.799999,19300
2015-06-03,20.530001,20.530001,20.42,20.5,20.5,59200
2015-06-04,20.334999,20.35,20.26,20.27,20.27,26600
2015-06-05,20.25,20.389999,20.25,20.389999,20.389999,20300
2015-06-08,20.24,20.27,20.228001,20.228001,20.228001,19400
2015-06-09,20.299999,20.33,20.285,20.299999,20.299999,18800
2015-06-10,20.540001,20.68,20.52,20.540001,20.540001,20700
2015-06-11,20.780001,20.860001,20.719999,20.77,20.77,17200
2015-06-12,20.860001,20.860001,20.68,20.790001,20.790001,16300
2015-06-15,20.42,20.5,20.290001,20.469999,20.469999,53700
2015-06-16,20.155001,20.23,20.129,20.23,20.23,14800
2015-06-17,20.209999,20.309999,20.07,20.254,20.254,49700
2015-06-18,19.965,20.07,19.965,20.07,20.07,28200
2015-06-19,19.98,20.18,19.98,20.139999,20.139999,35200
2015-06-22,20.15,20.280001,20.15,20.219999,20.219999,33200
2015-06-23,20.549999,20.690001,20.540001,20.59,20.59,23000
2015-06-24,20.530001,20.530001,20.299999,20.395,20.395,16300
2015-06-25,20.120001,20.24,20.120001,20.17,20.17,22400
2015-06-26,20.129999,20.190001,20.030001,20.1,20.1,16400
2015-06-29,19.84,19.879999,19.780001,19.84,19.84,19000
2015-06-30,20.120001,20.120001,19.879999,19.959999,19.959999,28900
2015-07-01,19.545,19.545,19.379999,19.5,19.5,19800
2015-07-02,19.483,19.51,19.41,19.459999,19.459999,64800
2015-07-06,19.459999,19.58,19.459999,19.530001,19.530001,14500
2015-07-07,19.459999,19.5,19.33,19.5,19.5,36300
2015-07-08,19.469999,19.690001,19.469999,19.66,19.66,26700
2015-07-09,20.68,20.74,20.530001,20.555,20.555,17600
2015-07-10,20.67,20.91,20.67,20.68,20.68,29400
2015-07-13,20.969999,21.02,20.91,21.01,21.01,23300
2015-07-14,20.934999,21.059999,20.889999,21.040001,21.040001,25300
2015-07-15,21.129999,21.16,21.08,21.15,21.15,66800
2015-07-16,21.24,21.25,21.209999,21.25,21.25,46000
2015-07-17,21.040001,21.41,21.040001,21.236,21.236,23500
2015-07-20,21.120001,21.32,21.120001,21.290001,21.290001,43500
2015-07-21,21.17,21.26,21.17,21.208,21.208,19300
2015-07-22,21.25,21.27,21.219999,21.23,21.23,34800
2015-07-23,21.42,21.42,21.32,21.337999,21.337999,31500
2015-07-24,21.469999,21.540001,21.355,21.42,21.42,32900
2015-07-27,21.440001,21.549999,21.440001,21.549999,21.549999,17800
2015-07-28,21.360001,21.440001,21.26,21.43,21.43,25700
2015-07-29,21.049999,21.32,21.049999,21.290001,21.290001,25000
2015-07-30,21.215,21.309999,21.184,21.309999,21.309999,14700
2015-07-31,21.235001,21.235001,21.08,21.110001,21.110001,26100
2015-08-03,21.17,21.389999,21.17,21.389999,21.389999,26800
2015-08-04,21.690001,21.75,21.65,21.709999,21.709999,19900
2015-08-05,21.780001,21.780001,21.716,21.745001,21.745001,16300
2015-08-06,21.698,21.698,21.51,21.59,21.59,24000
2015-08-07,21.805,21.879999,21.805,21.870001,21.870001,23400
2015-08-10,22.385,22.51,22.385,22.459999,22.459999,22700
2015-08-11,21.77,21.790001,21.719999,21.790001,21.790001,21000
2015-08-12,21.74,21.780001,21.674,21.76,21.76,23500
2015-08-13,21.745001,21.889999,21.67,21.844999,21.844999,20500
2015-08-14,21.802,22.02,21.802,22.01,22.01,20000
2015-08-17,22.355,22.389999,22.32,22.379999,22.379999,62000
2015-08-18,22.66,22.68,22.58,22.639999,22.639999,12700
2015-08-19,22.174999,22.280001,22.15,22.27,22.27,44300
2015-08-20,21.815001,21.83,21.719999,21.73,21.73,29300
2015-08-21,21.416,21.49,21.07,21.129999,21.129999,34600
2015-08-24,20.575001,20.809999,20.530001,20.700001,20.700001,32600
2015-08-25,20.67,20.67,20.290001,20.42,20.42,46600
2015-08-26,20.065001,20.25,19.950001,20.190001,20.190001,41600
2015-08-27,20.629999,21.0,20.629999,20.959999,20.959999,35900
2015-08-28,21.0,21.0,20.85,20.93,20.93,54600
2015-08-31,21.15,21.16,21.115,21.129999,21.129999,29700
2015-09-01,20.174999,20.32,20.174999,20.219999,20.219999,50000
2015-09-02,19.875999,20.030001,19.875,20.030001,20.030001,32200
2015-09-03,20.025,20.09,19.93,20.09,20.09,23500
2015-09-04,19.17,19.299999,19.17,19.27,19.27,19100
2015-09-08,19.08,19.35,19.07,19.34,19.34,89200
2015-09-09,19.01,19.01,18.575001,18.575001,18.575001,42300
2015-09-10,18.629999,18.65,18.539,18.58,18.58,25200
2015-09-11,18.49,18.77,18.49,18.745001,18.745001,45500
2015-09-14,18.705,18.9,18.51,18.9,18.9,13200
2015-09-15,18.9,19.049999,18.82,19.040001,19.040001,285100
2015-09-16,18.85,18.85,18.621,18.790001,18.790001,45300
2015-09-17,18.75,19.0,18.639999,18.950001,18.950001,21800
2015-09-18,18.51,18.559999,18.43,18.450001,18.450001,14700
2015-09-21,18.594999,18.799999,18.41,18.42,18.42,24800
2015-09-22,18.344999,18.370001,18.280001,18.299999,18.299999,31100
2015-09-23,18.389999,18.389999,18.16,18.290001,18.290001,18100
2015-09-24,18.0,18.32,18.0,18.139999,18.139999,21100
2015-09-25,18.459999,19.0,18.459999,18.82,18.82,18600
2015-09-28,18.809999,18.809999,18.41,18.549999,18.549999,69000
2015-09-29,18.379999,18.74,18.379999,18.530001,18.530001,25900
2015-09-30,19.165001,19.25,18.959999,19.25,19.25,37900
2015-10-01,18.875,18.969999,18.76,18.85,18.85,21200
2015-10-02,18.525,18.709999,18.440001,18.709999,18.709999,66600
2015-10-05,18.969999,19.200001,18.969999,19.165001,19.165001,36600
2015-10-06,19.219999,19.389999,19.219999,19.379999,19.379999,37300
2015-10-07,19.007,19.16,19.007,19.110001,19.110001,22600
2015-10-08,18.65,19.1,18.65,19.02,19.02,21400
2015-10-09,19.200001,19.200001,19.030001,19.155001,19.155001,32500
2015-10-12,19.200001,19.209999,19.1,19.195,19.195,56000
2015-10-13,19.275,19.6,19.23,19.5,19.5,193100
2015-10-14,19.23,19.23,19.030001,19.139999,19.139999,23900
2015-10-15,19.18,19.389999,19.18,19.33,19.33,33700
2015-10-16,19.370001,19.639999,19.33,19.610001,19.610001,77900
2015-10-19,19.6,19.6,19.27,19.540001,19.540001,24300
2015-10-20,19.280001,19.290001,19.236,19.27,19.27,16100
2015-10-21,19.51,19.549999,19.48,19.51,19.51,24600
2015-10-22,19.834999,19.950001,19.65,19.75,19.75,25400
2015-10-23,20.219999,20.370001,20.209999,20.360001,20.360001,17600
2015-10-26,20.018,20.35,20.018,20.177999,20.177999,25700
2015-10-27,19.9,20.309999,19.9,20.190001,20.190001,24200
2015-10-28,20.23,20.23,20.030001,20.17,20.17,30100
2015-10-29,19.934999,20.0,19.9,20.0,20.0,22400
2015-10-30,20.254999,20.254999,20.1,20.16,20.16,29600
2015-11-02,20.01,20.01,19.57,20.01,20.01,24500
2015-11-03,19.969999,20.120001,19.959999,20.09,20.09,51500
2015-11-04,20.030001,20.030001,19.436001,19.49,19.49,47300
2015-11-05,20.209999,20.26,20.059999,20.219999,20.219999,63100
2015-11-06,19.940001,19.940001,19.77,19.91,19.91,41200
2015-11-09,19.85,19.889999,19.65,19.73,19.73,65700
2015-11-10,19.74,19.76,19.6,19.73,19.73,24100
