Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,8.56,8.57,8.31,8.31,8.31,149400
2013-07-17,8.28,8.48,8.19,8.38,8.38,224700
2013-07-18,8.39,8.5,8.27,8.29,8.29,95500
2013-07-19,8.34,8.51,8.26,8.47,8.47,139500
2013-07-22,8.51,8.62,8.44,8.57,8.57,191500
2013-07-23,8.63,8.64,8.54,8.6,8.6,213500
2013-07-24,8.58,8.69,8.46,8.56,8.56,252500
2013-07-25,8.55,8.73,8.55,8.71,8.71,175500
2013-07-26,8.69,8.73,8.59,8.65,8.65,177200
2013-07-29,8.6,8.7,8.5,8.54,8.54,295500
2013-07-30,8.57,8.67,8.25,8.26,8.26,164200
2013-07-31,8.12,8.31,8.0,8.08,8.08,259600
2013-08-01,8.09,8.44,8.05,8.31,8.31,199400
2013-08-02,8.31,8.32,8.2,8.29,8.29,71700
2013-08-05,8.27,8.4,8.2,8.37,8.37,69000
2013-08-06,8.41,8.41,8.1,8.23,8.23,65900
2013-08-07,8.24,8.28,8.13,8.19,8.19,98900
2013-08-08,8.15,8.54,8.01,8.45,8.45,274100
2013-08-09,8.49,9.03,8.43,9.01,9.01,379300
2013-08-12,8.91,9.18,8.85,9.17,9.17,1033700
2013-08-13,9.15,9.25,9.0,9.0,9.0,572500
2013-08-14,9.03,9.25,9.02,9.02,9.02,110500
2013-08-15,8.99,9.05,8.8,8.85,8.85,277300
2013-08-16,8.88,8.89,8.75,8.85,8.85,139900
2013-08-19,8.81,8.97,8.77,8.89,8.89,147700
2013-08-20,8.82,9.04,8.76,8.93,8.93,184100
2013-08-21,8.87,8.92,8.82,8.84,8.84,186500
2013-08-22,8.82,8.89,8.76,8.82,8.82,129000
2013-08-23,8.79,8.99,8.76,8.96,8.96,86500
2013-08-26,8.93,9.02,8.73,8.78,8.78,182900
2013-08-27,8.75,8.86,8.75,8.83,8.83,213700
2013-08-28,8.83,8.89,8.79,8.82,8.82,94800
2013-08-29,8.84,8.88,8.77,8.82,8.82,90600
2013-08-30,8.89,9.01,8.84,8.95,8.95,112300
2013-09-03,9.02,9.08,8.83,9.04,9.04,264300
2013-09-04,9.01,9.15,8.99,9.01,9.01,127100
2013-09-05,9.0,9.16,8.95,9.1,9.1,166500
2013-09-06,9.16,9.43,9.1,9.3,9.3,181500
2013-09-09,9.33,9.53,9.3,9.5,9.5,222800
2013-09-10,9.61,9.88,9.55,9.73,9.73,468600
2013-09-11,9.74,9.9,9.74,9.82,9.82,272000
2013-09-12,9.9,9.9,9.5,9.5,9.5,193700
2013-09-13,9.47,9.73,9.46,9.64,9.64,291800
2013-09-16,9.7,9.7,9.44,9.6,9.6,167700
2013-09-17,9.57,9.62,9.44,9.61,9.61,134500
2013-09-18,9.59,9.82,9.43,9.68,9.68,401500
2013-09-19,9.74,9.99,9.51,9.98,9.98,237600
2013-09-20,9.84,9.99,9.71,9.8,9.8,288500
2013-09-23,9.76,9.77,9.53,9.64,9.64,141800
2013-09-24,9.64,9.75,9.63,9.7,9.7,90600
2013-09-25,9.72,10.4,9.62,10.15,10.15,1016600
2013-09-26,10.16,10.38,9.95,10.0,10.0,420600
2013-09-27,9.8,10.0,9.65,9.83,9.83,313800
