Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,26.209999,26.209999,26.209999,26.209999,26.209999,0
2013-07-17,25.15,25.15,25.15,25.15,25.15,100
2013-07-18,26.75,26.75,26.75,26.75,26.75,100
2013-07-19,26.75,26.75,26.75,26.75,26.75,0
2013-07-22,26.75,26.75,26.75,26.75,26.75,0
2013-07-23,26.75,26.75,26.75,26.75,26.75,100
2013-07-24,26.75,26.75,26.75,26.75,26.75,0
2013-07-25,26.75,26.75,26.75,26.75,26.75,100
2013-07-26,26.75,26.75,26.75,26.75,26.75,0
2013-07-29,26.75,26.75,26.75,26.75,26.75,200
2013-07-30,26.75,26.75,26.75,26.75,26.75,0
2013-07-31,26.49,26.49,26.49,26.49,26.49,100
2013-08-01,26.49,26.49,26.49,26.49,26.49,0
2013-08-02,26.5,26.5,26.5,26.5,26.5,100
2013-08-05,26.5,26.5,26.5,26.5,26.5,0
2013-08-06,25.25,25.25,25.15,25.15,25.15,400
2013-08-07,25.5,25.5,25.0,25.0,25.0,1000
2013-08-08,24.01,25.0,24.0,25.0,25.0,1000
2013-08-09,25.0,25.0,25.0,25.0,25.0,0
2013-08-12,24.0,24.25,21.5,22.66,22.66,2300
2013-08-13,24.0,24.0,24.0,24.0,24.0,100
2013-08-14,24.0,24.0,24.0,24.0,24.0,0
2013-08-15,24.0,24.0,24.0,24.0,24.0,0
2013-08-16,24.0,24.0,24.0,24.0,24.0,0
2013-08-19,24.0,24.0,24.0,24.0,24.0,0
2013-08-20,23.5,23.5,23.5,23.5,23.5,100
2013-08-21,23.5,23.5,23.5,23.5,23.5,0
2013-08-22,22.75,22.75,22.75,22.75,22.75,100
2013-08-23,22.75,22.75,22.75,22.75,22.75,1300
2013-08-26,22.75,22.75,22.75,22.75,22.75,300
2013-08-27,22.75,22.75,22.75,22.75,22.75,0
2013-08-28,22.75,22.75,22.75,22.75,22.75,0
2013-08-29,24.5,24.5,24.5,24.5,24.5,100
2013-08-30,24.5,24.5,24.5,24.5,24.5,0
2013-09-03,24.5,24.5,24.5,24.5,24.5,0
2013-09-04,24.450001,24.450001,24.450001,24.450001,24.450001,100
2013-09-05,24.450001,24.450001,24.450001,24.450001,24.450001,0
2013-09-06,24.5,24.5,24.5,24.5,24.5,100
2013-09-09,24.5,24.5,24.5,24.5,24.5,0
2013-09-10,24.5,24.5,24.5,24.5,24.5,100
2013-09-11,24.5,24.5,24.5,24.5,24.5,0
2013-09-12,22.25,22.25,22.25,22.25,22.25,100
2013-09-13,22.25,22.25,22.25,22.25,22.25,0
2013-09-16,24.5,24.5,24.5,24.5,24.5,100
2013-09-17,24.92,24.92,24.92,24.92,24.92,100
2013-09-18,24.92,24.92,24.92,24.92,24.92,0
2013-09-19,24.92,24.92,24.92,24.92,24.92,0
2013-09-20,24.92,24.92,24.92,24.92,24.92,0
2013-09-23,24.92,24.92,24.92,24.92,24.92,0
2013-09-24,24.92,24.92,24.92,24.92,24.92,0
2013-09-25,24.0,24.0,22.75,22.75,22.75,900
2013-09-26,22.75,22.75,22.75,22.75,22.75,0
2013-09-27,22.75,22.75,22.75,22.75,22.75,0
2013-09-30,22.76,22.76,22.76,22.76,22.76,100
2013-10-01,22.76,22.76,22.76,22.76,22.76,0
2013-10-02,22.76,22.76,22.76,22.76,22.76,0
2013-10-03,22.76,22.76,22.76,22.76,22.76,0
2013-10-04,22.76,22.76,22.76,22.76,22.76,0
2013-10-07,22.76,22.76,22.76,22.76,22.76,0
2013-10-08,22.76,22.76,22.76,22.76,22.76,0
2013-10-09,22.76,22.76,22.76,22.76,22.76,0
2013-10-10,22.76,22.76,22.76,22.76,22.76,0
2013-10-11,22.76,22.76,22.76,22.76,22.76,0
2013-10-14,23.75,23.75,23.75,23.75,23.75,500
2013-10-15,23.75,23.75,23.75,23.75,23.75,0
2013-10-16,23.5,23.6,23.5,23.6,23.6,600
2013-10-17,23.6,23.6,23.6,23.6,23.6,0
2013-10-18,24.0,24.0,24.0,24.0,24.0,100
2013-10-21,24.0,24.0,24.0,24.0,24.0,0
2013-10-22,24.0,24.0,24.0,24.0,24.0,0
2013-10-23,24.0,24.0,24.0,24.0,24.0,0
2013-10-24,23.75,23.75,23.75,23.75,23.75,100
2013-10-25,23.75,23.75,23.75,23.75,23.75,0
2013-10-28,23.99,23.99,23.99,23.99,23.99,100
2013-10-29,23.99,23.99,23.99,23.99,23.99,0
2013-10-30,23.700001,24.0,23.700001,24.0,24.0,500
2013-10-31,24.5,24.5,24.5,24.5,24.5,500
2013-11-01,24.0,24.0,24.0,24.0,24.0,100
2013-11-04,24.0,24.0,24.0,24.0,24.0,0
2013-11-05,24.0,24.0,24.0,24.0,24.0,0
2013-11-06,24.0,24.0,24.0,24.0,24.0,0
2013-11-07,24.0,24.0,24.0,24.0,24.0,0
2013-11-08,24.0,24.0,24.0,24.0,24.0,0
2013-11-11,23.5,23.5,23.5,23.5,23.5,300
2013-11-12,23.5,23.5,23.5,23.5,23.5,0
2013-11-13,23.5,23.5,23.5,23.5,23.5,0
2013-11-14,25.49,25.49,25.49,25.49,25.49,100
2013-11-15,25.49,25.49,25.49,25.49,25.49,0
2013-11-18,25.0,25.0,25.0,25.0,25.0,100
2013-11-19,25.0,25.0,25.0,25.0,25.0,0
2013-11-20,25.0,25.0,25.0,25.0,25.0,0
2013-11-21,25.0,25.0,25.0,25.0,25.0,0
2013-11-22,25.5,25.5,23.51,25.5,25.5,800
2013-11-25,24.0,25.49,24.0,25.49,25.49,800
2013-11-26,25.49,25.49,25.49,25.49,25.49,0
2013-11-27,25.49,25.49,25.49,25.49,25.49,0
2013-11-29,25.49,25.49,25.49,25.49,25.49,0
2013-12-02,25.49,25.49,25.49,25.49,25.49,0
2013-12-03,25.49,25.49,25.49,25.49,25.49,0
2013-12-04,25.49,25.49,25.49,25.49,25.49,0
2013-12-05,25.49,25.49,25.49,25.49,25.49,0
