Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,2.466,2.466,2.466,2.466,1.918581,0
2013-07-17,2.466,2.466,2.466,2.466,1.918581,0
2013-07-18,2.466,2.466,2.466,2.466,1.918581,0
2013-07-19,2.466,2.466,2.466,2.466,1.918581,0
2013-07-22,2.819,2.819,2.819,2.819,2.193219,1500
2013-07-23,2.819,2.819,2.819,2.819,2.193219,0
2013-07-24,2.813,2.842,2.813,2.842,2.211114,1500
2013-07-25,2.73,2.73,2.73,2.73,2.123976,400
2013-07-26,2.73,2.73,2.73,2.73,2.123976,0
2013-07-29,2.73,2.73,2.73,2.73,2.123976,0
2013-07-30,2.846,2.85,2.813,2.823,2.196331,4400
2013-07-31,2.823,2.823,2.823,2.823,2.196331,0
2013-08-01,2.823,2.823,2.823,2.823,2.196331,0
2013-08-02,2.823,2.823,2.823,2.823,2.196331,0
2013-08-05,2.823,2.823,2.823,2.823,2.196331,0
2013-08-06,2.823,2.823,2.823,2.823,2.196331,0
2013-08-07,2.823,2.823,2.823,2.823,2.196331,0
2013-08-08,2.753,2.753,2.753,2.753,2.14187,100
2013-08-09,2.753,2.753,2.753,2.753,2.14187,0
2013-08-12,2.753,2.753,2.753,2.753,2.14187,0
2013-08-13,2.753,2.753,2.753,2.753,2.14187,0
2013-08-14,2.753,2.753,2.753,2.753,2.14187,0
2013-08-15,2.675,2.675,2.675,2.675,2.081185,500
2013-08-16,2.675,2.675,2.675,2.675,2.081185,0
2013-08-19,2.675,2.675,2.675,2.675,2.081185,0
2013-08-20,2.675,2.675,2.675,2.675,2.081185,0
2013-08-21,2.675,2.675,2.675,2.675,2.081185,0
2013-08-22,2.675,2.675,2.675,2.675,2.081185,0
2013-08-23,2.675,2.675,2.675,2.675,2.081185,0
2013-08-26,2.675,2.675,2.675,2.675,2.081185,0
2013-08-27,2.675,2.675,2.675,2.675,2.081185,0
2013-08-28,2.675,2.675,2.675,2.675,2.081185,0
2013-08-29,2.675,2.675,2.675,2.675,2.081185,0
2013-08-30,2.675,2.675,2.675,2.675,2.081185,0
2013-09-03,2.675,2.675,2.675,2.675,2.081185,0
2013-09-04,2.675,2.675,2.675,2.675,2.081185,0
2013-09-05,2.675,2.675,2.675,2.675,2.081185,0
2013-09-06,2.675,2.675,2.675,2.675,2.081185,0
2013-09-09,2.675,2.675,2.675,2.675,2.081185,0
2013-09-10,2.675,2.675,2.675,2.675,2.081185,0
2013-09-11,2.675,2.675,2.675,2.675,2.081185,0
2013-09-12,2.675,2.675,2.675,2.675,2.081185,0
2013-09-13,2.675,2.675,2.675,2.675,2.081185,0
2013-09-16,2.693,2.693,2.693,2.693,2.09519,1700
2013-09-17,2.693,2.693,2.693,2.693,2.09519,0
2013-09-18,2.693,2.693,2.693,2.693,2.09519,0
2013-09-19,2.693,2.693,2.693,2.693,2.09519,0
2013-09-20,2.693,2.693,2.693,2.693,2.09519,0
2013-09-23,2.693,2.693,2.693,2.693,2.09519,0
2013-09-24,2.693,2.693,2.693,2.693,2.09519,0
2013-09-25,2.693,2.693,2.693,2.693,2.09519,0
2013-09-26,2.799,2.799,2.799,2.799,2.177659,1500
2013-09-27,2.799,2.799,2.799,2.799,2.177659,0
2013-09-30,2.799,2.799,2.799,2.799,2.177659,0
2013-10-01,2.799,2.799,2.799,2.799,2.177659,0
2013-10-02,2.799,2.799,2.799,2.799,2.177659,0
2013-10-03,2.799,2.799,2.799,2.799,2.177659,0
2013-10-04,2.799,2.799,2.799,2.799,2.177659,0
2013-10-07,2.799,2.799,2.799,2.799,2.177659,0
2013-10-08,2.799,2.799,2.799,2.799,2.177659,0
2013-10-09,2.799,2.799,2.799,2.799,2.177659,0
2013-10-10,2.743,2.743,2.733,2.733,2.12631,500
2013-10-11,2.733,2.733,2.733,2.733,2.12631,0
2013-10-14,2.733,2.733,2.733,2.733,2.12631,0
2013-10-15,2.733,2.733,2.733,2.733,2.12631,0
2013-10-16,2.733,2.733,2.733,2.733,2.12631,0
2013-10-17,2.733,2.733,2.733,2.733,2.12631,0
2013-10-18,2.733,2.733,2.733,2.733,2.12631,0
2013-10-21,2.733,2.733,2.733,2.733,2.12631,0
2013-10-22,2.733,2.733,2.733,2.733,2.12631,0
2013-10-23,2.733,2.733,2.733,2.733,2.12631,0
2013-10-24,2.733,2.733,2.733,2.733,2.12631,0
2013-10-25,2.733,2.733,2.733,2.733,2.12631,0
2013-10-28,2.733,2.733,2.733,2.733,2.12631,0
2013-10-29,2.733,2.733,2.733,2.733,2.12631,0
2013-10-30,2.733,2.733,2.733,2.733,2.12631,0
2013-10-31,2.733,2.733,2.733,2.733,2.12631,0
2013-11-01,2.733,2.733,2.733,2.733,2.12631,0
2013-11-04,2.8,2.8,2.8,2.8,2.178437,300
2013-11-05,2.8,2.8,2.8,2.8,2.178437,0
2013-11-06,2.8,2.8,2.8,2.8,2.178437,0
2013-11-07,2.8,2.8,2.8,2.8,2.178437,0
2013-11-08,2.8,2.8,2.8,2.8,2.178437,0
2013-11-11,2.8,2.8,2.8,2.8,2.178437,0
2013-11-12,2.91,2.91,2.91,2.91,2.264019,1700
2013-11-13,2.878,2.878,2.869,2.869,2.23212,1000
2013-11-14,2.856,2.892,2.856,2.892,2.250014,2300
2013-11-15,2.933,2.933,2.933,2.933,2.281913,500
2013-11-18,2.933,2.933,2.933,2.933,2.281913,0
2013-11-19,3.011,3.011,3.011,3.011,2.342597,200
2013-11-20,2.951,2.951,2.951,2.951,2.295917,1200
2013-11-21,2.951,2.951,2.951,2.951,2.295917,0
2013-11-22,2.951,2.951,2.951,2.951,2.295917,0
2013-11-25,2.951,2.951,2.951,2.951,2.295917,0
2013-11-26,2.951,2.951,2.951,2.951,2.295917,0
2013-11-27,2.951,2.951,2.951,2.951,2.295917,0
2013-11-29,2.951,2.951,2.951,2.951,2.295917,0
2013-12-02,2.951,2.951,2.951,2.951,2.295917,0
2013-12-03,2.951,2.951,2.951,2.951,2.295917,0
2013-12-04,2.951,2.951,2.951,2.951,2.295917,0
2013-12-05,2.951,2.951,2.951,2.951,2.295917,0
2013-12-06,2.951,2.951,2.951,2.951,2.295917,0
2013-12-09,2.951,2.951,2.951,2.951,2.295917,0
