Date,Open,High,Low,Close,Adj Close,Volume
2021-09-23,8.5,8.9,7.5,7.55,7.55,3962500
2021-09-24,7.75,8.6,7.58,8.35,8.35,1403200
2021-09-27,8.35,8.565,8.04,8.13,8.13,703400
2021-09-28,8.09,8.49,7.62,8.03,8.03,702300
2021-09-29,7.9,8.32,7.76,8.25,8.25,287500
2021-09-30,8.2,8.65,7.991,8.65,8.65,283700
2021-10-01,8.74,8.74,8.11,8.48,8.48,219100
2021-10-04,8.36,8.45,7.58,7.58,7.58,457800
2021-10-05,7.62,8.15,7.62,8.03,8.03,115900
2021-10-06,7.91,8.3,7.9,8.12,8.12,81400
2021-10-07,7.96,8.23,7.92,8.06,8.06,84400
2021-10-08,8.06,8.23,7.73,7.99,7.99,82000
2021-10-11,7.92,8.0,7.7,7.75,7.75,278800
2021-10-12,7.72,8.061,7.66,7.75,7.75,212500
2021-10-13,7.68,8.04,7.58,7.6,7.6,119600
2021-10-14,7.72,8.05,7.38,7.93,7.93,343000
2021-10-15,7.93,8.045,7.75,8.02,8.02,59800
2021-10-18,7.96,8.1,7.7,7.9,7.9,194200
2021-10-19,7.76,8.25,7.63,8.25,8.25,131700
2021-10-20,8.19,8.36,7.97,7.99,7.99,127100
2021-10-21,8.16,8.32,7.9,8.25,8.25,150000
2021-10-22,8.18,8.314,8.14,8.21,8.21,52900
2021-10-25,8.27,8.27,7.8,7.8,7.8,132700
2021-10-26,7.83,8.087,7.63,7.84,7.84,79000
2021-10-27,7.76,8.09,7.6,7.72,7.72,84800
2021-10-28,7.77,8.1,7.637,8.06,8.06,154300
2021-10-29,7.92,8.33,7.84,8.18,8.18,53100
2021-11-01,8.18,8.41,8.18,8.38,8.38,309900
2021-11-02,8.47,8.6,8.34,8.47,8.47,122100
2021-11-03,8.39,8.75,8.06,8.75,8.75,114500
2021-11-04,8.78,9.63,8.77,9.54,9.54,253700
2021-11-05,9.67,9.7,9.35,9.6,9.6,112900
2021-11-08,9.71,9.71,9.22,9.47,9.47,88700
2021-11-09,9.54,9.777,9.137,9.6,9.6,90300
2021-11-10,9.74,9.74,8.9,9.5,9.5,105900
2021-11-11,9.58,9.77,9.0,9.63,9.63,63300
2021-11-12,9.59,10.05,9.59,9.9,9.9,225800
2021-11-15,10.0,10.0,9.8,9.94,9.94,194500
2021-11-16,9.94,10.123,9.838,10.0,10.0,115700
2021-11-17,10.0,10.126,9.82,9.95,9.95,90500
2021-11-18,9.86,10.07,9.21,9.57,9.57,169800
2021-11-19,9.6,9.92,9.385,9.78,9.78,121000
2021-11-22,9.79,9.999,9.33,9.47,9.47,170600
2021-11-23,9.36,9.36,7.7,8.42,8.42,269600
2021-11-24,8.42,9.18,8.06,8.75,8.75,114500
2021-11-26,8.48,9.155,8.29,8.48,8.48,115700
2021-11-29,8.68,8.75,8.242,8.39,8.39,116500
2021-11-30,8.27,8.585,8.16,8.4,8.4,68800
2021-12-01,8.39,9.136,7.68,7.86,7.86,132400
2021-12-02,7.63,7.8,6.675,6.92,6.92,165300
2021-12-03,6.93,7.13,6.57,6.98,6.98,248600
2021-12-06,7.02,7.78,6.84,7.13,7.13,217000
2021-12-07,7.23,7.47,6.95,7.2,7.2,161100
2021-12-08,7.35,7.35,6.98,7.05,7.05,115900
2021-12-09,7.01,7.07,6.63,6.65,6.65,128200
2021-12-10,6.69,7.0,6.53,6.88,6.88,151800
2021-12-13,6.94,6.94,6.07,6.17,6.17,292000
2021-12-14,6.18,6.49,6.06,6.17,6.17,194100
2021-12-15,6.29,6.45,6.01,6.37,6.37,173900
2021-12-16,6.31,6.42,6.01,6.3,6.3,339400
2021-12-17,6.26,6.46,5.64,5.9,5.9,945300
2021-12-20,5.79,5.88,5.335,5.38,5.38,555100
2021-12-21,5.4,5.495,5.2,5.26,5.26,337400
2021-12-22,5.27,5.71,5.27,5.71,5.71,186300
2021-12-23,5.85,5.85,5.47,5.62,5.62,207100
2021-12-27,5.67,5.775,5.53,5.75,5.75,227500
2021-12-28,5.73,5.8,5.5,5.52,5.52,81900
2021-12-29,5.5,5.59,5.4,5.49,5.49,131900
2021-12-30,5.5,6.14,5.457,6.14,6.14,377900
2021-12-31,6.1,6.27,5.92,6.21,6.21,230500
2022-01-03,6.24,6.49,6.08,6.39,6.39,166800
2022-01-04,6.41,6.447,6.13,6.39,6.39,298600
2022-01-05,6.45,6.45,6.09,6.17,6.17,285700
2022-01-06,6.25,6.29,5.763,6.25,6.25,202900
2022-01-07,6.28,6.28,6.04,6.14,6.14,64900
2022-01-10,6.01,6.18,5.81,6.15,6.15,105100
2022-01-11,6.14,6.484,6.08,6.45,6.45,92400
2022-01-12,6.42,6.65,6.405,6.41,6.41,144600
2022-01-13,6.43,6.43,6.18,6.33,6.33,117000
2022-01-14,6.27,6.45,6.17,6.41,6.41,81200
2022-01-18,6.43,6.43,5.605,5.67,5.67,258000
2022-01-19,5.74,5.915,5.38,5.61,5.61,251000
2022-01-20,5.67,5.7,5.08,5.1,5.1,222000
2022-01-21,5.14,5.24,4.97,5.02,5.02,114800
2022-01-24,5.04,5.53,4.76,5.17,5.17,146600
2022-01-25,5.1,5.235,4.91,5.04,5.04,80700
2022-01-26,5.19,5.22,4.75,4.86,4.86,62800
2022-01-27,4.96,4.96,4.65,4.72,4.72,39200
2022-01-28,4.77,4.97,4.53,4.9,4.9,117000
2022-01-31,4.93,5.4,4.93,5.38,5.38,111000
2022-02-01,5.41,5.48,5.16,5.45,5.45,56100
2022-02-02,5.49,5.55,5.095,5.2,5.2,80300
2022-02-03,5.08,5.33,4.94,4.97,4.97,50200
2022-02-04,5.0,5.425,4.75,4.96,4.96,59000
2022-02-07,4.99,5.23,4.841,5.12,5.12,74100
2022-02-08,5.07,5.33,4.82,5.22,5.22,44600
2022-02-09,5.28,5.57,5.22,5.38,5.38,63600
2022-02-10,5.35,5.52,5.24,5.34,5.34,55900
2022-02-11,5.3,5.37,5.08,5.13,5.13,57100
2022-02-14,5.11,5.28,5.003,5.12,5.12,35400
2022-02-15,5.23,5.31,5.02,5.27,5.27,21300
2022-02-16,5.27,5.51,5.13,5.51,5.51,39500
2022-02-17,5.4,5.4,5.0,5.0,5.0,76000
2022-02-18,4.98,5.07,4.8,4.9,4.9,48600
2022-02-22,4.9,5.53,4.76,4.82,4.82,193400
2022-02-23,4.91,4.91,4.64,4.7,4.7,131600
2022-02-24,4.34,4.95,4.34,4.79,4.79,97000
2022-02-25,4.79,4.92,4.63,4.72,4.72,92400
2022-02-28,4.75,4.84,4.35,4.48,4.48,65300
2022-03-01,4.45,4.53,4.34,4.43,4.43,121100
2022-03-02,4.41,4.72,4.365,4.52,4.52,83000
2022-03-03,4.58,4.746,4.52,4.73,4.73,107100
2022-03-04,4.72,4.96,4.47,4.53,4.53,75700
2022-03-07,4.57,4.93,4.57,4.92,4.92,109000
2022-03-08,4.9,5.22,4.59,4.98,4.98,94800
2022-03-09,5.06,5.35,4.93,5.2,5.2,64500
2022-03-10,5.09,5.09,4.52,4.94,4.94,61000
2022-03-11,5.025,5.025,4.59,4.73,4.73,65900
2022-03-14,4.75,4.75,4.17,4.36,4.36,109500
2022-03-15,4.53,5.24,4.375,4.73,4.73,66200
2022-03-16,4.86,4.9,4.59,4.78,4.78,180900
2022-03-17,4.82,5.426,4.79,5.31,5.31,146700
2022-03-18,5.36,5.555,5.26,5.39,5.39,220700
2022-03-21,5.47,5.729,5.3,5.52,5.52,132800
2022-03-22,5.6,6.1,5.51,6.04,6.04,144200
2022-03-23,6.04,6.17,5.89,6.01,6.01,84000
2022-03-24,6.02,6.136,5.65,6.01,6.01,112300
2022-03-25,6.11,6.45,5.89,6.28,6.28,113200
2022-03-28,6.26,6.6,5.63,6.51,6.51,106100
2022-03-29,6.53,6.66,6.4,6.56,6.56,98100
2022-03-30,6.59,6.59,6.22,6.25,6.25,50000
2022-03-31,6.2,6.5,6.19,6.36,6.36,60900
2022-04-01,6.41,6.94,6.36,6.94,6.94,85500
2022-04-04,6.94,6.98,6.68,6.84,6.84,142800
2022-04-05,6.78,6.78,6.4,6.43,6.43,49300
2022-04-06,6.4,6.53,6.27,6.5,6.5,35600
2022-04-07,6.62,6.685,6.08,6.52,6.52,105300
2022-04-08,6.46,6.75,6.415,6.58,6.58,26500
2022-04-11,6.59,6.65,6.31,6.59,6.59,32000
2022-04-12,6.47,7.0,6.46,6.97,6.97,82000
2022-04-13,6.9,7.22,6.64,6.93,6.93,70900
2022-04-14,7.03,7.27,6.9,6.93,6.93,116800
2022-04-18,6.93,6.99,6.7,6.78,6.78,58300
2022-04-19,6.85,7.38,6.85,7.34,7.34,83900
2022-04-20,7.38,7.38,7.13,7.17,7.17,47300
2022-04-21,7.32,7.32,6.52,6.52,6.52,84800
