Date,Open,High,Low,Close,Adj Close,Volume
2015-05-07,1.0,1.1,1.0,1.1,1.1,2500
2015-05-08,1.15,1.15,1.15,1.15,1.15,1000
2015-05-11,1.2,1.2,1.2,1.2,1.2,1000
2015-05-12,1.2,1.2,1.2,1.2,1.2,0
2015-05-13,1.22,1.23,1.22,1.23,1.23,1200
2015-05-14,1.23,1.23,1.23,1.23,1.23,0
2015-05-15,1.23,1.23,1.23,1.23,1.23,0
2015-05-18,1.24,1.33,1.24,1.33,1.33,3700
2015-05-19,1.33,1.33,1.33,1.33,1.33,0
2015-05-20,1.33,1.33,1.33,1.33,1.33,200
2015-05-21,1.34,1.34,1.34,1.34,1.34,500
2015-05-22,1.34,1.45,1.34,1.45,1.45,4000
2015-05-26,1.5,1.5,1.45,1.5,1.5,5230
2015-05-27,1.5,1.5,1.5,1.5,1.5,2660
2015-05-28,1.5,1.5,1.5,1.5,1.5,0
2015-05-29,1.5,1.5,1.5,1.5,1.5,0
2015-06-01,1.5,1.5,1.5,1.5,1.5,2000
2015-06-02,1.5,1.5,1.5,1.5,1.5,0
2015-06-03,1.5,1.5,1.5,1.5,1.5,0
2015-06-04,1.5,1.5,1.5,1.5,1.5,0
2015-06-05,1.5,1.5,1.5,1.5,1.5,300
2015-06-08,1.5,1.5,1.5,1.5,1.5,662
2015-06-09,1.49,1.5,1.49,1.5,1.5,800
2015-06-10,1.5,1.5,1.5,1.5,1.5,0
2015-06-11,1.5,1.5,1.5,1.5,1.5,0
2015-06-12,1.5,1.5,1.5,1.5,1.5,0
2015-06-15,1.5,1.5,1.5,1.5,1.5,0
2015-06-16,1.25,1.25,1.25,1.25,1.25,750
2015-06-17,1.25,1.25,1.25,1.25,1.25,0
2015-06-18,1.25,1.25,1.25,1.25,1.25,0
2015-06-19,1.25,1.25,1.25,1.25,1.25,0
2015-06-22,1.25,1.25,1.25,1.25,1.25,0
2015-06-23,1.25,1.25,1.25,1.25,1.25,0
2015-06-24,1.25,1.49,1.16,1.49,1.49,992
2015-06-25,1.49,1.49,1.49,1.49,1.49,0
2015-06-26,1.49,1.49,1.49,1.49,1.49,0
2015-06-29,1.49,1.49,1.49,1.49,1.49,0
2015-06-30,1.49,1.49,1.49,1.49,1.49,0
2015-07-01,1.49,1.49,1.49,1.49,1.49,0
2015-07-02,1.49,1.49,1.49,1.49,1.49,0
2015-07-06,1.45,1.45,1.45,1.45,1.45,480
2015-07-07,1.46,1.5,1.46,1.5,1.5,500
2015-07-08,1.5,1.5,1.5,1.5,1.5,0
2015-07-09,1.5,1.5,1.5,1.5,1.5,0
2015-07-10,1.5,1.5,1.5,1.5,1.5,0
2015-07-13,1.5,1.5,1.5,1.5,1.5,0
2015-07-14,1.5,1.5,1.5,1.5,1.5,0
2015-07-15,1.5,1.5,1.5,1.5,1.5,0
2015-07-16,1.5,1.5,1.5,1.5,1.5,0
2015-07-17,1.5,1.5,1.5,1.5,1.5,0
2015-07-20,1.15,1.15,1.15,1.15,1.15,220
2015-07-21,1.15,1.15,1.15,1.15,1.15,0
2015-07-22,1.15,1.15,1.15,1.15,1.15,0
2015-07-23,1.15,1.15,1.15,1.15,1.15,0
2015-07-24,1.6,1.6,1.6,1.6,1.6,250
2015-07-27,1.6,1.6,1.6,1.6,1.6,0
2015-07-28,1.6,1.6,1.6,1.6,1.6,0
2015-07-29,1.6,1.6,1.6,1.6,1.6,0
2015-07-30,1.6,1.6,1.6,1.6,1.6,0
2015-07-31,1.6,1.6,1.6,1.6,1.6,0
2015-08-03,1.6,1.6,1.6,1.6,1.6,0
2015-08-04,1.6,1.6,1.6,1.6,1.6,0
2015-08-05,1.6,1.6,1.6,1.6,1.6,0
2015-08-06,1.6,1.6,1.6,1.6,1.6,0
2015-08-07,1.6,1.6,1.6,1.6,1.6,0
2015-08-10,1.6,1.6,1.6,1.6,1.6,0
2015-08-11,1.6,1.6,1.6,1.6,1.6,0
2015-08-12,1.6,1.6,1.6,1.6,1.6,0
2015-08-13,1.6,1.6,1.6,1.6,1.6,0
2015-08-14,1.6,1.6,1.6,1.6,1.6,0
2015-08-17,1.6,1.6,1.6,1.6,1.6,0
2015-08-18,1.6,1.6,1.6,1.6,1.6,0
2015-08-19,1.6,1.6,1.6,1.6,1.6,0
2015-08-20,1.6,1.6,1.6,1.6,1.6,0
2015-08-21,1.6,1.6,1.6,1.6,1.6,1050
2015-08-24,1.6,1.6,1.6,1.6,1.6,0
2015-08-25,1.6,1.6,1.6,1.6,1.6,0
2015-08-26,1.6,1.6,1.6,1.6,1.6,0
2015-08-27,1.6,1.6,1.6,1.6,1.6,0
2015-08-28,1.6,1.6,1.6,1.6,1.6,0
2015-08-31,1.6,1.6,1.6,1.6,1.6,0
2015-09-01,1.6,1.6,1.6,1.6,1.6,0
2015-09-02,1.6,1.6,1.6,1.6,1.6,0
